,Date,Avg
1,01/09/2019,69.32485
2,01/08/2019,68.32
3,01/07/2019,69.02250000000001
4,01/04/2019,67.785
5,01/03/2019,67.19
6,01/02/2019,70.01499999999999
7,12/31/2018,72.12
8,12/28/2018,71.175
9,12/27/2018,69.21000000000001
10,12/26/2018,67.77000000000001
11,12/24/2018,66.245
12,12/21/2018,68.07499999999999
13,12/20/2018,67.945
14,12/19/2018,69.83
15,12/18/2018,70.105
16,12/17/2018,70.00999999999999
17,12/14/2018,70.935
18,12/13/2018,72.36
19,12/12/2018,73.17490000000001
20,12/11/2018,71.92
21,12/10/2018,70.045
22,12/07/2018,70.50999999999999
23,12/06/2018,70.73
24,12/04/2018,72.84
25,12/03/2018,74.24000000000001
26,11/30/2018,73.64750000000001
27,11/29/2018,73.035
28,11/28/2018,71.47
29,11/27/2018,69.065
30,11/26/2018,68.86
31,11/23/2018,68.255
32,11/21/2018,68.985
33,11/20/2018,69.805
34,11/19/2018,71.345
35,11/16/2018,71.345
36,11/15/2018,69.34705
37,11/14/2018,69.715
38,11/13/2018,70.215
39,11/12/2018,71.65
40,11/09/2018,72.575
41,11/08/2018,72.5125
42,11/07/2018,72.0925
43,11/06/2018,70.61
44,11/05/2018,70.495
45,11/02/2018,70.485
46,11/01/2018,69.54499999999999
47,10/31/2018,69.2125
48,10/30/2018,67.78
49,10/29/2018,67.38
50,10/26/2018,66.735
51,10/25/2018,67.33500000000001
52,10/24/2018,68.00995
53,10/23/2018,68.01249999999999
54,10/22/2018,68.10005
55,10/19/2018,67.94
56,10/18/2018,68.595
57,10/17/2018,69.93
58,10/16/2018,70.24000000000001
59,10/15/2018,68.8
60,10/12/2018,69.28999999999999
61,10/11/2018,68.5575
62,10/10/2018,69.995
63,10/09/2018,71.23
64,10/08/2018,71.495
65,10/05/2018,71.7525
66,10/04/2018,71.47
67,10/03/2018,72.9
68,10/02/2018,73.735
69,10/01/2018,73.845
70,09/28/2018,73.17609999999999
71,09/27/2018,72.9345
72,09/26/2018,72.635
73,09/25/2018,71.82
74,09/24/2018,71.0
75,09/21/2018,69.065
76,09/20/2018,68.70500000000001
77,09/19/2018,68.675
78,09/18/2018,68.16499999999999
79,09/17/2018,67.965
80,09/14/2018,68.59
81,09/13/2018,67.845
82,09/12/2018,66.86
83,09/11/2018,66.4675
84,09/10/2018,66.685
85,09/07/2018,66.07499999999999
86,09/06/2018,65.71000000000001
87,09/05/2018,66.25
88,09/04/2018,66.8375
89,08/31/2018,66.91345000000001
90,08/30/2018,67.028
91,08/29/2018,66.9925
92,08/28/2018,66.89
93,08/27/2018,66.61
94,08/24/2018,66.025
95,08/23/2018,65.905
96,08/22/2018,65.14595
97,08/21/2018,64.785
98,08/20/2018,64.7525
99,08/17/2018,64.4725
100,08/16/2018,63.97
101,08/15/2018,63.315
102,08/14/2018,63.6525
103,08/13/2018,63.839999999999996
104,08/10/2018,64.235
105,08/09/2018,64.82249999999999
106,08/08/2018,64.9325
107,08/07/2018,65.025
108,08/06/2018,65.22749999999999
109,08/03/2018,64.84
110,08/02/2018,64.345
111,08/01/2018,65.22999999999999
112,07/31/2018,65.515
113,07/30/2018,65.24000000000001
114,07/27/2018,65.38
115,07/26/2018,65.385
116,07/25/2018,64.74000000000001
117,07/24/2018,64.015
118,07/23/2018,63.08
119,07/20/2018,63.660000000000004
