,Date,Avg
1,01/09/2019,2.065
2,01/08/2019,1.995
3,01/07/2019,1.9
4,01/04/2019,1.7353
5,01/03/2019,1.705
6,01/02/2019,1.63
7,12/31/2018,1.545
8,12/28/2018,1.45
9,12/27/2018,1.3900000000000001
10,12/26/2018,1.365
11,12/24/2018,1.3624999999999998
12,12/21/2018,1.415
13,12/20/2018,1.5037500000000001
14,12/19/2018,1.795
15,12/18/2018,2.23055
16,12/17/2018,2.79
17,12/14/2018,3.0999999999999996
18,12/13/2018,3.1506
19,12/12/2018,3.1725
20,12/11/2018,3.05
21,12/10/2018,3.085
22,12/07/2018,3.12505
23,12/06/2018,3.06
24,12/04/2018,3.09
25,12/03/2018,3.035
26,11/30/2018,2.88
27,11/29/2018,2.8875
28,11/28/2018,2.835
29,11/27/2018,2.8425000000000002
30,11/26/2018,2.9299999999999997
31,11/23/2018,2.9975
32,11/21/2018,2.965
33,11/20/2018,2.795
34,11/19/2018,2.8175
35,11/16/2018,2.775
36,11/15/2018,2.68505
37,11/14/2018,2.6799999999999997
38,11/13/2018,2.77
39,11/12/2018,2.815
40,11/09/2018,2.8975
41,11/08/2018,3.04
42,11/07/2018,3.04
43,11/06/2018,2.99
44,11/05/2018,3.13
45,11/02/2018,3.1725000000000003
46,11/01/2018,2.99285
47,10/31/2018,2.86
48,10/30/2018,2.8449999999999998
49,10/29/2018,2.92345
50,10/26/2018,2.99
51,10/25/2018,2.95
52,10/24/2018,2.955
53,10/23/2018,3.045
54,10/22/2018,2.98
55,10/19/2018,3.0774999999999997
56,10/18/2018,3.0300000000000002
57,10/17/2018,3.075
58,10/16/2018,3.105
59,10/15/2018,3.0300000000000002
60,10/12/2018,3.17
61,10/11/2018,3.0965
62,10/10/2018,3.16
63,10/09/2018,3.3875
64,10/08/2018,3.5525
65,10/05/2018,3.76
66,10/04/2018,3.795
67,10/03/2018,3.885
68,10/02/2018,3.755
69,10/01/2018,3.6950000000000003
70,09/28/2018,3.74
71,09/27/2018,3.75515
72,09/26/2018,3.671
73,09/25/2018,3.59
74,09/24/2018,3.545
75,09/21/2018,3.48
76,09/20/2018,3.37495
77,09/19/2018,3.21
78,09/18/2018,3.2175000000000002
79,09/17/2018,3.1725000000000003
80,09/14/2018,3.27
81,09/13/2018,3.275
82,09/12/2018,3.25
83,09/11/2018,3.31
84,09/10/2018,3.3449999999999998
85,09/07/2018,3.345
86,09/06/2018,3.415
87,09/05/2018,3.5949999999999998
88,09/04/2018,3.5025000000000004
89,08/31/2018,3.335
90,08/30/2018,3.12
91,08/29/2018,3.013
92,08/28/2018,2.82
93,08/27/2018,2.8025
94,08/24/2018,2.79
95,08/23/2018,2.8175
96,08/22/2018,2.755
97,08/21/2018,2.565
98,08/20/2018,2.5025
99,08/17/2018,2.57
100,08/16/2018,2.545
101,08/15/2018,2.575
102,08/14/2018,2.6507
103,08/13/2018,2.685
104,08/10/2018,2.7
105,08/09/2018,2.6376
106,08/08/2018,2.535
107,08/07/2018,2.5549999999999997
108,08/06/2018,2.4299999999999997
109,08/03/2018,2.535
110,08/02/2018,2.535
111,08/01/2018,2.58
112,07/31/2018,2.58
113,07/30/2018,2.67
114,07/27/2018,2.69
115,07/26/2018,2.73
116,07/25/2018,2.75
117,07/24/2018,2.81
118,07/23/2018,2.8334
119,07/20/2018,2.9299999999999997
120,07/19/2018,2.95
121,07/18/2018,2.9299999999999997
122,07/17/2018,3.0
123,07/16/2018,3.1399999999999997
124,07/13/2018,3.16655
125,07/12/2018,2.87
126,07/11/2018,2.8495
127,07/10/2018,2.9299999999999997
128,07/09/2018,2.98
129,07/06/2018,2.9699999999999998
130,07/05/2018,2.9050000000000002
131,07/03/2018,2.91
132,07/02/2018,2.835
133,06/29/2018,2.88
134,06/28/2018,2.7725
135,06/27/2018,2.805
136,06/26/2018,2.80965
137,06/25/2018,2.795
138,06/22/2018,2.7800000000000002
139,06/21/2018,2.925
140,06/20/2018,2.96
141,06/19/2018,2.9299999999999997
142,06/18/2018,2.955
143,06/15/2018,2.9825
144,06/14/2018,3.00555
145,06/13/2018,3.0
146,06/12/2018,3.0549999999999997
147,06/11/2018,3.1135
148,06/08/2018,3.0529
149,06/07/2018,3.065
150,06/06/2018,3.13
151,06/05/2018,3.15
152,06/04/2018,3.195
153,06/01/2018,3.34
154,05/31/2018,3.445
155,05/30/2018,3.485
156,05/29/2018,3.515
157,05/25/2018,3.58
158,05/24/2018,3.65
159,05/23/2018,3.71
160,05/22/2018,3.7125
161,05/21/2018,3.7775
162,05/18/2018,3.6550000000000002
163,05/17/2018,3.565
164,05/16/2018,3.5435
165,05/15/2018,3.5675
166,05/14/2018,3.5625
167,05/11/2018,3.505
168,05/10/2018,3.5895
169,05/09/2018,3.69
170,05/08/2018,3.6225
171,05/07/2018,3.6475
172,05/04/2018,3.5893
173,05/03/2018,3.615
174,05/02/2018,3.6054
175,05/01/2018,3.7625
176,04/30/2018,3.825
177,04/27/2018,3.8049999999999997
178,04/26/2018,3.69
179,04/25/2018,3.625
180,04/24/2018,3.5975
181,04/23/2018,3.6625
182,04/20/2018,3.6500000000000004
183,04/19/2018,3.675
184,04/18/2018,3.75
185,04/17/2018,3.705
186,04/16/2018,3.62
187,04/13/2018,3.6775
188,04/12/2018,3.67
189,04/11/2018,3.59
190,04/10/2018,3.5774999999999997
191,04/09/2018,3.5395000000000003
192,04/06/2018,3.4850000000000003
193,04/05/2018,3.52
194,04/04/2018,3.4924999999999997
195,04/03/2018,3.495
196,04/02/2018,3.5700000000000003
197,03/29/2018,3.715
198,03/28/2018,3.7199999999999998
199,03/27/2018,3.8825
200,03/26/2018,3.8550000000000004
201,03/23/2018,3.8516500000000002
202,03/22/2018,3.965
203,03/21/2018,3.9099999999999997
204,03/20/2018,3.835
205,03/19/2018,3.8239
206,03/16/2018,3.9625000000000004
207,03/15/2018,4.0725
208,03/14/2018,4.1075
209,03/13/2018,4.1825
210,03/12/2018,4.22
211,03/09/2018,4.1125
212,03/08/2018,3.8525
213,03/07/2018,3.62
214,03/06/2018,3.585
215,03/05/2018,3.575
216,03/02/2018,3.4175
217,03/01/2018,3.2775
218,02/28/2018,3.365
219,02/27/2018,3.45
220,02/26/2018,3.25495
221,02/23/2018,2.9725
222,02/22/2018,2.87
223,02/21/2018,3.045
224,02/20/2018,3.1050000000000004
225,02/16/2018,3.1550000000000002
226,02/15/2018,3.06
227,02/14/2018,2.9875
228,02/13/2018,2.9375
229,02/12/2018,2.8975
230,02/09/2018,2.845
231,02/08/2018,2.8775
232,02/07/2018,2.8449999999999998
233,02/06/2018,2.705
234,02/05/2018,2.69
235,02/02/2018,2.715
236,02/01/2018,2.665
237,01/31/2018,2.6950000000000003
238,01/30/2018,2.77
239,01/29/2018,2.84
240,01/26/2018,2.855
241,01/25/2018,2.88
242,01/24/2018,2.9299999999999997
243,01/23/2018,3.0
244,01/22/2018,2.9349999999999996
245,01/19/2018,2.915
246,01/18/2018,2.87
247,01/17/2018,2.895
248,01/16/2018,2.96
249,01/12/2018,2.965
250,01/11/2018,2.96
251,01/10/2018,2.9575
252,01/09/2018,2.9925
253,01/08/2018,2.98
254,01/05/2018,3.085
255,01/04/2018,3.13
256,01/03/2018,3.105
257,01/02/2018,2.98
258,12/29/2017,2.94
259,12/28/2017,2.9575
260,12/27/2017,2.99
261,12/26/2017,2.98
262,12/22/2017,2.9299999999999997
263,12/21/2017,2.92
264,12/20/2017,2.895
