,Date,Avg
1,01/11/2019,19.765
2,01/10/2019,19.765
3,01/09/2019,19.735
4,01/08/2019,19.42
5,01/07/2019,19.42
6,01/04/2019,19.3005
7,01/03/2019,18.9687
8,01/02/2019,18.9687
9,12/31/2018,19.03
10,12/28/2018,19.057499999999997
11,12/27/2018,18.51545
12,12/26/2018,18.542099999999998
13,12/24/2018,18.85
14,12/21/2018,18.955
15,12/20/2018,19.03
16,12/19/2018,19.4393
17,12/18/2018,19.292099999999998
18,12/17/2018,19.494500000000002
19,12/14/2018,19.77
20,12/13/2018,19.83025
21,12/12/2018,19.810000000000002
22,12/11/2018,19.41
23,12/10/2018,19.390349999999998
24,12/07/2018,19.7377
25,12/06/2018,19.77385
26,12/04/2018,20.441
27,12/03/2018,20.441
28,11/30/2018,20.247500000000002
29,11/29/2018,20.341
30,11/28/2018,20.3548
31,11/27/2018,20.10155
32,11/26/2018,20.182499999999997
33,11/23/2018,20.0275
34,11/21/2018,20.215
35,11/20/2018,20.020000000000003
36,11/19/2018,20.30435
37,11/16/2018,20.295
38,11/15/2018,20.2625
39,11/14/2018,20.395
40,11/13/2018,20.435
41,11/12/2018,20.265
42,11/09/2018,20.5683
43,11/08/2018,20.875
44,11/07/2018,20.9025
45,11/06/2018,20.61
46,11/05/2018,20.6503
47,11/02/2018,20.4561
48,11/01/2018,20.6113
49,10/31/2018,20.33
50,10/30/2018,19.955
51,10/29/2018,20.095
52,10/26/2018,19.905
53,10/25/2018,19.95615
54,10/24/2018,20.220550000000003
55,10/23/2018,20.701999999999998
56,10/22/2018,20.701999999999998
57,10/19/2018,20.701999999999998
58,10/18/2018,20.62
59,10/17/2018,20.9614
60,10/16/2018,20.915
61,10/15/2018,20.75
62,10/12/2018,20.7231
63,10/11/2018,20.7043
64,10/10/2018,21.0761
65,10/09/2018,21.189999999999998
66,10/08/2018,21.11
67,10/05/2018,21.4179
68,10/04/2018,21.50155
69,10/03/2018,21.79
70,10/02/2018,21.543
71,10/01/2018,21.78
72,09/28/2018,22.1418
73,09/27/2018,22.1418
74,09/26/2018,22.1418
75,09/25/2018,22.145400000000002
76,09/24/2018,21.9692
77,09/21/2018,22.085
78,09/20/2018,21.815
79,09/19/2018,21.6875
80,09/18/2018,21.46
81,09/17/2018,21.46
82,09/14/2018,21.46
83,09/13/2018,21.435000000000002
84,09/12/2018,21.331
85,09/11/2018,21.2668
86,09/10/2018,21.2134
87,09/07/2018,21.06355
88,09/06/2018,21.1784
89,09/05/2018,21.384999999999998
90,09/04/2018,21.41
91,08/31/2018,21.684649999999998
92,08/30/2018,21.938000000000002
93,08/29/2018,22.1058
94,08/28/2018,22.104999999999997
95,08/27/2018,22.155
96,08/24/2018,21.9101
97,08/23/2018,21.7
98,08/22/2018,21.7
99,08/21/2018,21.7
100,08/20/2018,21.585
101,08/17/2018,21.4621
102,08/16/2018,21.4533
103,08/15/2018,21.1984
104,08/14/2018,21.58905
105,08/13/2018,21.775
106,08/10/2018,22.16
107,08/09/2018,22.16
108,08/08/2018,22.16
109,08/07/2018,22.16
110,08/06/2018,22.16
111,08/03/2018,22.16
112,08/02/2018,22.105
113,08/01/2018,22.436
114,07/31/2018,22.561
