,Date,Avg
1,01/09/2019,3.38
2,01/08/2019,3.471
3,01/07/2019,3.56
4,01/04/2019,3.2558
5,01/03/2019,3.0495
6,01/02/2019,2.94
7,12/31/2018,2.995
8,12/28/2018,2.9441
9,12/27/2018,2.77
10,12/26/2018,2.65
11,12/24/2018,2.575
12,12/21/2018,2.665
13,12/20/2018,2.8200000000000003
14,12/19/2018,2.81
15,12/18/2018,2.82455
16,12/17/2018,2.92
17,12/14/2018,2.9299999999999997
18,12/13/2018,3.14
19,12/12/2018,3.2981
20,12/11/2018,3.45
21,12/10/2018,3.5875000000000004
22,12/07/2018,3.64
23,12/06/2018,3.45
24,12/04/2018,3.6550000000000002
25,12/03/2018,3.685
26,11/30/2018,3.2750000000000004
27,11/29/2018,3.10195
28,11/28/2018,3.045
29,11/27/2018,2.9749999999999996
30,11/26/2018,2.925
31,11/23/2018,2.7350000000000003
32,11/21/2018,3.015
33,11/20/2018,2.96655
34,11/19/2018,2.905
35,11/16/2018,2.7800000000000002
36,11/15/2018,2.48675
37,11/14/2018,2.395
38,11/13/2018,2.4
39,11/12/2018,2.3899999999999997
40,11/09/2018,2.1950000000000003
41,11/08/2018,2.13
42,11/07/2018,2.19
43,11/06/2018,2.385
44,11/05/2018,2.365
45,11/02/2018,2.1799999999999997
46,11/01/2018,2.05
47,10/31/2018,1.835
48,10/30/2018,1.32
49,10/29/2018,1.345
50,10/26/2018,1.3399999999999999
51,10/25/2018,1.33825
52,10/24/2018,1.3566
53,10/23/2018,1.3899
54,10/22/2018,1.47
55,10/19/2018,1.46
56,10/18/2018,1.455
57,10/17/2018,1.565
58,10/16/2018,1.545
59,10/15/2018,1.5154999999999998
60,10/12/2018,1.5909499999999999
61,10/11/2018,1.645
62,10/10/2018,1.6749999999999998
63,10/09/2018,1.6949999999999998
64,10/08/2018,1.6941
65,10/05/2018,1.6941
66,10/04/2018,1.755
67,10/03/2018,1.7650000000000001
68,10/02/2018,1.7650000000000001
69,10/01/2018,1.75
70,09/28/2018,1.7499500000000001
71,09/27/2018,1.73
72,09/26/2018,1.7149999999999999
73,09/25/2018,1.7149999999999999
74,09/24/2018,1.71505
75,09/21/2018,1.74295
76,09/20/2018,1.70535
77,09/19/2018,1.6400000000000001
78,09/18/2018,1.6400000000000001
79,09/17/2018,1.6400000000000001
80,09/14/2018,1.645
81,09/13/2018,1.66
82,09/12/2018,1.665
83,09/11/2018,1.685
84,09/10/2018,1.7202
85,09/07/2018,1.75475
86,09/06/2018,1.775
87,09/05/2018,1.77
88,09/04/2018,1.815
89,08/31/2018,1.8050000000000002
90,08/30/2018,1.8155000000000001
91,08/29/2018,1.81005
92,08/28/2018,1.7751000000000001
93,08/27/2018,1.76685
94,08/24/2018,1.845
95,08/23/2018,1.845
96,08/22/2018,1.81
97,08/21/2018,1.8050000000000002
98,08/20/2018,1.8103
99,08/17/2018,1.8250000000000002
100,08/16/2018,1.8450000000000002
101,08/15/2018,1.875
102,08/14/2018,1.88
103,08/13/2018,1.895
104,08/10/2018,1.825
105,08/09/2018,1.99
106,08/08/2018,1.9449999999999998
107,08/07/2018,1.9300000000000002
108,08/06/2018,1.9649999999999999
109,08/03/2018,1.92605
110,08/02/2018,1.895
111,08/01/2018,1.8645
112,07/31/2018,1.81
113,07/30/2018,1.81
114,07/27/2018,1.7850000000000001
115,07/26/2018,1.77
116,07/25/2018,1.8599999999999999
117,07/24/2018,1.865
118,07/23/2018,1.87
119,07/20/2018,1.92
120,07/19/2018,1.91015
121,07/18/2018,1.9151500000000001
122,07/17/2018,1.935
123,07/16/2018,1.9405000000000001
124,07/13/2018,1.9649999999999999
125,07/12/2018,1.97045
126,07/11/2018,1.975
127,07/10/2018,1.9905499999999998
128,07/09/2018,2.02545
129,07/06/2018,2.0075000000000003
130,07/05/2018,1.9735999999999998
131,07/03/2018,2.005
132,07/02/2018,1.96505
133,06/29/2018,1.96505
134,06/28/2018,1.895
135,06/27/2018,1.965
136,06/26/2018,2.04085
137,06/25/2018,2.0793999999999997
138,06/22/2018,2.145
139,06/21/2018,2.1647999999999996
140,06/20/2018,2.15555
141,06/19/2018,2.135
142,06/18/2018,2.185
143,06/15/2018,2.115
144,06/14/2018,2.12765
145,06/13/2018,2.17145
146,06/12/2018,2.22275
147,06/11/2018,2.165
148,06/08/2018,2.07
149,06/07/2018,2.07
150,06/06/2018,2.1550000000000002
151,06/05/2018,2.25
152,06/04/2018,2.3
153,06/01/2018,2.4005
154,05/31/2018,2.42
155,05/30/2018,2.55
156,05/29/2018,2.29
157,05/25/2018,2.1001000000000003
158,05/24/2018,1.9907500000000002
159,05/23/2018,1.94515
160,05/22/2018,1.95
161,05/21/2018,1.94045
162,05/18/2018,1.94045
163,05/17/2018,1.855
164,05/16/2018,1.8597000000000001
165,05/15/2018,1.92
166,05/14/2018,1.855
167,05/11/2018,1.75345
168,05/10/2018,1.685
169,05/09/2018,1.76
170,05/08/2018,1.9705
171,05/07/2018,1.8599999999999999
172,05/04/2018,1.855
173,05/03/2018,1.83005
174,05/02/2018,1.73
175,05/01/2018,1.68
176,04/30/2018,1.6749999999999998
177,04/27/2018,1.6549999999999998
178,04/26/2018,1.6204999999999998
179,04/25/2018,1.595
180,04/24/2018,1.6
181,04/23/2018,1.5845
182,04/20/2018,1.5396
183,04/19/2018,1.4920499999999999
184,04/18/2018,1.466
185,04/17/2018,1.46
186,04/16/2018,1.44395
187,04/13/2018,1.4111
188,04/12/2018,1.3945
189,04/11/2018,1.33
190,04/10/2018,1.33
191,04/09/2018,1.3599999999999999
192,04/06/2018,1.3461
193,04/05/2018,1.2905
194,04/04/2018,1.21
195,04/03/2018,1.24
196,04/02/2018,1.405
197,03/29/2018,1.5
198,03/28/2018,1.565
199,03/27/2018,1.6099999999999999
200,03/26/2018,1.5350000000000001
201,03/23/2018,1.635
202,03/22/2018,1.6655
203,03/21/2018,1.6749999999999998
204,03/20/2018,1.645
205,03/19/2018,1.66575
206,03/16/2018,1.685
207,03/15/2018,1.655
208,03/14/2018,1.64535
209,03/13/2018,1.67
210,03/12/2018,1.6738
211,03/09/2018,1.6800000000000002
212,03/08/2018,1.6152000000000002
213,03/07/2018,1.62
214,03/06/2018,1.6400000000000001
215,03/05/2018,1.6832
216,03/02/2018,1.73
217,03/01/2018,1.74
218,02/28/2018,1.83765
219,02/27/2018,1.885
220,02/26/2018,1.88
221,02/23/2018,1.8784999999999998
222,02/22/2018,1.9
223,02/21/2018,1.8900000000000001
224,02/20/2018,1.88
225,02/16/2018,1.92305
226,02/15/2018,1.9445000000000001
227,02/14/2018,1.9352
228,02/13/2018,1.865
229,02/12/2018,1.9016000000000002
230,02/09/2018,1.8405
231,02/08/2018,1.99735
232,02/07/2018,2.065
233,02/06/2018,1.9949999999999999
234,02/05/2018,2.07
235,02/02/2018,2.125
236,02/01/2018,2.2288
237,01/31/2018,2.20535
238,01/30/2018,2.29685
239,01/29/2018,2.365
240,01/26/2018,2.355
241,01/25/2018,2.3449999999999998
242,01/24/2018,2.395
243,01/23/2018,2.4055
244,01/22/2018,2.3445
245,01/19/2018,2.2800000000000002
246,01/18/2018,2.335
247,01/17/2018,2.7199999999999998
248,01/16/2018,2.115
249,01/12/2018,2.1698
250,01/11/2018,2.24
251,01/10/2018,2.26
252,01/09/2018,2.2800000000000002
253,01/08/2018,2.3200000000000003
254,01/05/2018,2.3449999999999998
255,01/04/2018,2.2855
256,01/03/2018,2.3175
257,01/02/2018,2.36965
258,12/29/2017,2.4000000000000004
259,12/28/2017,2.39995
260,12/27/2017,2.45995
261,12/26/2017,2.4299999999999997
262,12/22/2017,2.4299999999999997
263,12/21/2017,2.975
264,12/20/2017,2.00075
265,12/19/2017,2.0319
266,12/18/2017,2.0547
267,12/15/2017,2.1429
268,12/14/2017,2.24505
269,12/13/2017,2.2
270,12/12/2017,2.175
271,12/11/2017,2.3
272,12/08/2017,2.1849999999999996
273,12/07/2017,2.185
274,12/06/2017,2.1413
275,12/05/2017,2.1325
276,12/04/2017,2.0803000000000003
277,12/01/2017,1.975
278,11/30/2017,2.02
279,11/29/2017,2.0722
280,11/28/2017,2.08
281,11/27/2017,2.0728999999999997
282,11/24/2017,2.1
283,11/22/2017,2.0955
284,11/21/2017,2.1225
285,11/20/2017,2.02
286,11/17/2017,1.94
