,Date,Avg
1,01/09/2019,45.474999999999994
2,01/08/2019,45.25
3,01/07/2019,45.155
4,01/04/2019,44.9675
5,01/03/2019,44.93
6,01/02/2019,45.055
7,12/31/2018,45.239999999999995
8,12/28/2018,45.105000000000004
9,12/27/2018,44.195
10,12/26/2018,43.019999999999996
11,12/24/2018,42.785
12,12/21/2018,43.675
13,12/20/2018,43.6
14,12/19/2018,44.39
15,12/18/2018,44.685
16,12/17/2018,44.59115
17,12/14/2018,45.0116
18,12/13/2018,45.025
19,12/12/2018,43.1425
20,12/11/2018,43.12
21,12/10/2018,42.785
22,12/07/2018,43.557500000000005
23,12/06/2018,43.26845
24,12/04/2018,45.215
25,12/03/2018,45.93
26,11/30/2018,45.6225
27,11/29/2018,45.376850000000005
28,11/28/2018,44.849999999999994
29,11/27/2018,44.4625
30,11/26/2018,44.69
31,11/23/2018,44.47
32,11/21/2018,44.705
33,11/20/2018,44.6025
34,11/19/2018,44.93
35,11/16/2018,44.335
36,11/15/2018,43.82
37,11/14/2018,44.285
38,11/13/2018,44.525000000000006
39,11/12/2018,44.79
40,11/09/2018,45.09
41,11/08/2018,45.155
42,11/07/2018,44.54
43,11/06/2018,43.855000000000004
44,11/05/2018,43.334999999999994
45,11/02/2018,43.1
46,11/01/2018,43.015
47,10/31/2018,43.3875
48,10/30/2018,42.75
49,10/29/2018,42.3175
50,10/26/2018,41.78295
51,10/25/2018,42.74250000000001
52,10/24/2018,43.475
53,10/23/2018,43.7975
54,10/22/2018,44.5
55,10/19/2018,44.3625
56,10/18/2018,44.535
57,10/17/2018,44.535
58,10/16/2018,43.94
59,10/15/2018,44.075
60,10/12/2018,44.285
61,10/11/2018,45.31
62,10/10/2018,46.93
63,10/09/2018,47.135000000000005
64,10/08/2018,46.8
65,10/05/2018,46.656
66,10/04/2018,46.72
67,10/03/2018,47.08
68,10/02/2018,47.08
69,10/01/2018,47.114999999999995
70,09/28/2018,46.915000000000006
71,09/27/2018,47.115
72,09/26/2018,47.425
73,09/25/2018,47.815
74,09/24/2018,47.9385
75,09/21/2018,47.915000000000006
76,09/20/2018,47.915
77,09/19/2018,47.5865
78,09/18/2018,47.1275
79,09/17/2018,47.245000000000005
80,09/14/2018,46.9925
81,09/13/2018,46.57
82,09/12/2018,46.400000000000006
83,09/11/2018,46.625
84,09/10/2018,46.815
85,09/07/2018,46.870000000000005
86,09/06/2018,46.894999999999996
87,09/05/2018,46.8
88,09/04/2018,46.19
89,08/31/2018,46.405
90,08/30/2018,46.650000000000006
91,08/29/2018,46.8825
92,08/28/2018,46.864999999999995
93,08/27/2018,46.9525
94,08/24/2018,46.522499999999994
95,08/23/2018,46.477500000000006
96,08/22/2018,46.71
97,08/21/2018,46.69
98,08/20/2018,46.735
99,08/17/2018,46.665
100,08/16/2018,46.56999999999999
101,08/15/2018,46.22495000000001
102,08/14/2018,46.47
103,08/13/2018,46.355
104,08/10/2018,46.435
105,08/09/2018,46.77375
106,08/08/2018,46.769999999999996
107,08/07/2018,46.86
108,08/06/2018,46.61
109,08/03/2018,46.36
110,08/02/2018,46.44
111,08/01/2018,46.725
112,07/31/2018,46.43
113,07/30/2018,46.43
114,07/27/2018,45.995000000000005
115,07/26/2018,44.2025
116,07/25/2018,43.572500000000005
117,07/24/2018,43.67
118,07/23/2018,43.34
119,07/20/2018,42.870000000000005
120,07/19/2018,43.095
121,07/18/2018,43.0975
122,07/17/2018,42.82
123,07/16/2018,42.71
124,07/13/2018,42.490500000000004
125,07/12/2018,42.475
126,07/11/2018,42.645
127,07/10/2018,43.175
128,07/09/2018,43.1
129,07/06/2018,42.86
130,07/05/2018,42.9075
131,07/03/2018,43.08
132,07/02/2018,42.74
133,06/29/2018,43.2775
134,06/28/2018,43.292500000000004
135,06/27/2018,43.769999999999996
136,06/26/2018,44.125
137,06/25/2018,44.105000000000004
138,06/22/2018,44.46
139,06/21/2018,44.4975
140,06/20/2018,44.8825
141,06/19/2018,45.08
142,06/18/2018,45.1725
143,06/15/2018,45.38505
144,06/14/2018,45.519999999999996
145,06/13/2018,45.81
146,06/12/2018,45.730000000000004
147,06/11/2018,45.83
148,06/08/2018,45.739999999999995
149,06/07/2018,45.724999999999994
150,06/06/2018,45.515
151,06/05/2018,45.364999999999995
152,06/04/2018,45.55
153,06/01/2018,45.425
154,05/31/2018,45.135
155,05/30/2018,45.36
156,05/29/2018,44.695
157,05/25/2018,45.275
158,05/24/2018,45.19995
159,05/23/2018,45.32
160,05/22/2018,45.55
161,05/21/2018,45.66
162,05/18/2018,45.485
163,05/17/2018,45.445
164,05/16/2018,45.2975
165,05/15/2018,45.239999999999995
166,05/14/2018,45.2975
167,05/11/2018,45.29
168,05/10/2018,45.08
169,05/09/2018,44.6525
170,05/08/2018,44.775
171,05/07/2018,44.57
172,05/04/2018,44.504999999999995
173,05/03/2018,44.43
174,05/02/2018,45.25
175,05/01/2018,45.25
176,04/30/2018,45.86
177,04/27/2018,45.730000000000004
178,04/26/2018,45.72
179,04/25/2018,45.1225
180,04/24/2018,45.18
181,04/23/2018,45.35
182,04/20/2018,45.2575
183,04/19/2018,45.115500000000004
184,04/18/2018,45.185
185,04/17/2018,45.035
186,04/16/2018,44.905
187,04/13/2018,44.739999999999995
188,04/12/2018,44.65755
189,04/11/2018,44.14
190,04/10/2018,44.31
191,04/09/2018,43.795
192,04/06/2018,43.5925
193,04/05/2018,44.075
194,04/04/2018,43.7125
195,04/03/2018,43.4675
196,04/02/2018,43.25
197,03/29/2018,43.8425
198,03/28/2018,43.545
199,03/27/2018,43.615
200,03/26/2018,43.894999999999996
201,03/23/2018,43.974999999999994
202,03/22/2018,44.79
203,03/21/2018,45.49
204,03/20/2018,45.175
205,03/19/2018,44.915000000000006
206,03/16/2018,45.14
207,03/15/2018,45.17
208,03/14/2018,45.2575
209,03/13/2018,45.565
210,03/12/2018,45.5224
211,03/09/2018,45.425
212,03/08/2018,44.730000000000004
213,03/07/2018,44.150000000000006
214,03/06/2018,44.105000000000004
215,03/05/2018,43.9725
216,03/02/2018,43.5225
217,03/01/2018,44.165
218,02/28/2018,44.942499999999995
219,02/27/2018,45.2775
220,02/26/2018,45.03
221,02/23/2018,44.61750000000001
222,02/22/2018,44.4725
223,02/21/2018,44.8375
224,02/20/2018,44.63875
225,02/16/2018,44.53
226,02/15/2018,44.025
227,02/14/2018,43.579499999999996
228,02/13/2018,42.807500000000005
229,02/12/2018,42.5175
230,02/09/2018,42.015
231,02/08/2018,42.34
232,02/07/2018,43.09495
233,02/06/2018,42.3425
234,02/05/2018,43.79
235,02/02/2018,44.8475
236,02/01/2018,44.7725
237,01/31/2018,44.167500000000004
238,01/30/2018,44.415
239,01/29/2018,45.115
240,01/26/2018,45.1125
241,01/25/2018,44.489999999999995
242,01/24/2018,44.2625
243,01/23/2018,43.8925
244,01/22/2018,43.879999999999995
245,01/19/2018,43.43
246,01/18/2018,43.6225
247,01/17/2018,43.70025
248,01/16/2018,43.0025
249,01/12/2018,43.675
250,01/11/2018,45.65525
251,01/10/2018,45.207499999999996
252,01/09/2018,45.3125
253,01/08/2018,44.95
254,01/05/2018,44.67685
255,01/04/2018,44.575
256,01/03/2018,43.975049999999996
257,01/02/2018,44.082499999999996
258,12/29/2017,44.0775
259,12/28/2017,43.9675
260,12/27/2017,43.87625
261,12/26/2017,43.7725
262,12/22/2017,43.575
263,12/21/2017,43.71
264,12/20/2017,43.89625
265,12/19/2017,44.11
266,12/18/2017,44.465
267,12/15/2017,44.515
268,12/14/2017,44.332499999999996
269,12/13/2017,44.36125
270,12/12/2017,44.370000000000005
271,12/11/2017,44.1325
272,12/08/2017,43.917500000000004
273,12/07/2017,43.835
274,12/06/2017,43.9675
275,12/05/2017,44.03
276,12/04/2017,44.042500000000004
277,12/01/2017,43.33
278,11/30/2017,43.7625
279,11/29/2017,43.45
280,11/28/2017,42.93875
281,11/27/2017,42.735
282,11/24/2017,42.542500000000004
283,11/22/2017,42.545
284,11/21/2017,42.665
285,11/20/2017,42.254999999999995
286,11/17/2017,41.852500000000006
287,11/16/2017,42.2775
288,11/15/2017,42.08
289,11/14/2017,41.95
290,11/13/2017,41.90375
291,11/10/2017,41.7525
292,11/09/2017,41.9825
293,11/08/2017,41.93875
294,11/07/2017,42.09625
295,11/06/2017,42.177499999999995
296,11/03/2017,42.004999999999995
297,11/02/2017,42.1575
298,11/01/2017,42.16
299,10/31/2017,41.9375
300,10/30/2017,41.955
301,10/27/2017,41.845
302,10/26/2017,42.2275
303,10/25/2017,42.01225
304,10/24/2017,42.1975
305,10/23/2017,42.010000000000005
306,10/20/2017,42.230000000000004
307,10/19/2017,42.022499999999994
308,10/18/2017,41.8075
309,10/17/2017,41.95
310,10/16/2017,42.057500000000005
311,10/13/2017,42.16
312,10/12/2017,41.87525
313,10/11/2017,41.7625
314,10/10/2017,41.5675
315,10/09/2017,41.18875
316,10/06/2017,41.2425
317,10/05/2017,41.272499999999994
318,10/04/2017,41.135
319,10/03/2017,40.9875
320,10/02/2017,40.885
321,09/29/2017,40.845
322,09/28/2017,41.315
323,09/27/2017,41.76065
324,09/26/2017,41.73
325,09/25/2017,41.995000000000005
326,09/22/2017,41.86625
327,09/21/2017,41.815
328,09/20/2017,41.9624
329,09/19/2017,41.72
330,09/18/2017,41.4925
