,Date,Avg
1,01/09/2019,10.09
2,01/08/2019,10.09
3,01/07/2019,10.09
4,01/04/2019,10.09
5,01/03/2019,10.09
6,01/02/2019,10.09
7,12/31/2018,10.09
8,12/28/2018,10.09
9,12/27/2018,10.09
10,12/26/2018,10.09
11,12/24/2018,10.09
12,12/21/2018,10.09
13,12/20/2018,10.065
14,12/19/2018,10.01
15,12/18/2018,10.03
16,12/17/2018,10.03
17,12/14/2018,10.03
18,12/13/2018,10.05
19,12/12/2018,10.03
20,12/11/2018,10.0334
21,12/10/2018,10.0334
22,12/07/2018,10.0334
23,12/06/2018,10.0334
24,12/04/2018,10.0334
25,12/03/2018,10.04
26,11/30/2018,9.95
27,11/29/2018,10.01135
28,11/28/2018,10.03
29,11/27/2018,9.81815
30,11/26/2018,10.05
31,11/23/2018,10.045
32,11/21/2018,10.032499999999999
33,11/20/2018,10.07
34,11/19/2018,10.067499999999999
35,11/16/2018,10.07
36,11/15/2018,10.075050000000001
37,11/14/2018,10.06
38,11/13/2018,10.07
39,11/12/2018,10.075
40,11/09/2018,10.075
41,11/08/2018,10.079
42,11/07/2018,10.07
43,11/06/2018,10.285
44,11/05/2018,10.075
45,11/02/2018,10.09
46,11/01/2018,10.075
47,10/31/2018,10.0501
48,10/30/2018,10.04
49,10/29/2018,10.035
50,10/26/2018,10.045
51,10/25/2018,10.025
52,10/24/2018,10.03125
