,Date,Avg
1,01/09/2019,5.049799999999999
2,01/08/2019,5.035
3,01/07/2019,5.19255
4,01/04/2019,5.23
5,01/03/2019,4.9
6,01/02/2019,4.7582
7,12/31/2018,4.925
8,12/28/2018,5.0
9,12/27/2018,4.24
10,12/26/2018,3.9949500000000002
11,12/24/2018,3.8449999999999998
12,12/21/2018,4.09
13,12/20/2018,3.49
14,12/19/2018,3.285
15,12/18/2018,3.31
16,12/17/2018,3.38
17,12/14/2018,3.49
18,12/13/2018,3.415
19,12/12/2018,3.755
20,12/11/2018,2.7365500000000003
21,12/10/2018,2.80105
22,12/07/2018,2.825
23,12/06/2018,2.7350000000000003
24,12/04/2018,2.9134
25,12/03/2018,2.885
26,11/30/2018,2.8600000000000003
27,11/29/2018,2.815
28,11/28/2018,2.865
29,11/27/2018,2.88
30,11/26/2018,2.94
31,11/23/2018,2.975
32,11/21/2018,2.9806
33,11/20/2018,2.9730999999999996
34,11/19/2018,3.0208500000000003
35,11/16/2018,3.115
36,11/15/2018,2.99775
37,11/14/2018,3.06
38,11/13/2018,3.1096500000000002
39,11/12/2018,3.05
40,11/09/2018,3.2474499999999997
41,11/08/2018,3.19
42,11/07/2018,3.17295
43,11/06/2018,3.2548500000000002
44,11/05/2018,3.33
45,11/02/2018,3.2199999999999998
46,11/01/2018,3.01
47,10/31/2018,2.9749999999999996
48,10/30/2018,2.9
49,10/29/2018,2.98735
50,10/26/2018,2.885
51,10/25/2018,3.055
52,10/24/2018,2.785
53,10/23/2018,2.9397
54,10/22/2018,3.05
55,10/19/2018,2.965
56,10/18/2018,2.9675000000000002
57,10/17/2018,2.9623999999999997
58,10/16/2018,2.9850000000000003
59,10/15/2018,3.0707500000000003
60,10/12/2018,2.9450000000000003
61,10/11/2018,2.69
62,10/10/2018,3.205
63,10/09/2018,2.35995
64,10/08/2018,2.415
65,10/05/2018,2.85495
66,10/04/2018,2.565
67,10/03/2018,2.62
68,10/02/2018,2.535
69,10/01/2018,2.6899499999999996
70,09/28/2018,2.8064999999999998
71,09/27/2018,2.785
72,09/26/2018,2.9325
73,09/25/2018,3.07525
74,09/24/2018,3.855
75,09/21/2018,4.64255
76,09/20/2018,3.1885
77,09/19/2018,3.175
78,09/18/2018,3.1662999999999997
79,09/17/2018,3.2350000000000003
80,09/14/2018,3.35
81,09/13/2018,3.3481500000000004
82,09/12/2018,3.37
