,Date,Avg
1,01/11/2019,34.275
2,01/10/2019,34.015
3,01/09/2019,33.82
4,01/08/2019,33.405
5,01/07/2019,33.265
6,01/04/2019,33.0
7,01/03/2019,32.307500000000005
8,01/02/2019,33.11
9,12/31/2018,33.785
10,12/28/2018,33.625
11,12/27/2018,32.805
12,12/26/2018,32.0405
13,12/24/2018,31.575
14,12/21/2018,32.405
15,12/20/2018,32.5175
16,12/19/2018,32.65
17,12/18/2018,32.269999999999996
18,12/17/2018,31.465
19,12/14/2018,31.91
20,12/13/2018,32.32
21,12/12/2018,32.66
22,12/11/2018,32.4925
23,12/10/2018,33.215
24,12/07/2018,33.605000000000004
25,12/06/2018,33.835
26,12/04/2018,34.39
27,12/03/2018,35.37
28,11/30/2018,35.205
29,11/29/2018,35.035
30,11/28/2018,34.69
31,11/27/2018,33.86
32,11/26/2018,33.655
33,11/23/2018,33.325
34,11/21/2018,33.480000000000004
35,11/20/2018,33.355000000000004
36,11/19/2018,33.55
37,11/16/2018,32.41
38,11/15/2018,30.72
39,11/14/2018,30.235
40,11/13/2018,30.115000000000002
41,11/12/2018,29.740000000000002
42,11/09/2018,30.715
43,11/08/2018,30.905
44,11/07/2018,31.2
45,11/06/2018,30.56
46,11/05/2018,30.770000000000003
47,11/02/2018,31.385
48,11/01/2018,30.665
49,10/31/2018,30.185000000000002
50,10/30/2018,30.18
51,10/29/2018,30.325
52,10/26/2018,28.825000000000003
53,10/25/2018,30.174999999999997
54,10/24/2018,30.075000000000003
55,10/23/2018,30.505000000000003
56,10/22/2018,31.165
57,10/19/2018,31.29
58,10/18/2018,32.3
59,10/17/2018,32.504999999999995
60,10/16/2018,32.6425
61,10/15/2018,31.225
62,10/12/2018,32.120000000000005
63,10/11/2018,32.457350000000005
64,10/10/2018,33.585
65,10/09/2018,34.055
66,10/08/2018,34.815
67,10/05/2018,34.705
68,10/04/2018,34.74
69,10/03/2018,35.275000000000006
70,10/02/2018,35.22
71,10/01/2018,36.11
72,09/28/2018,35.2
73,09/27/2018,34.95
74,09/26/2018,35.075
75,09/25/2018,35.125
76,09/24/2018,34.55
77,09/21/2018,34.587500000000006
78,09/20/2018,34.325
79,09/19/2018,34.45
80,09/18/2018,34.225
81,09/17/2018,34.8625
82,09/14/2018,36.5
83,09/13/2018,36.55
84,09/12/2018,36.45
85,09/11/2018,36.1
86,09/10/2018,36.025000000000006
87,09/07/2018,36.475
88,09/06/2018,36.275
89,09/05/2018,36.150000000000006
90,09/04/2018,36.4875
91,08/31/2018,37.025000000000006
92,08/30/2018,36.775000000000006
93,08/29/2018,36.825
94,08/28/2018,36.92335
95,08/27/2018,36.625
96,08/24/2018,36.325
97,08/23/2018,36.525
98,08/22/2018,36.075
99,08/21/2018,35.8625
100,08/20/2018,36.2
101,08/17/2018,36.575
102,08/16/2018,36.5
103,08/15/2018,36.9
104,08/14/2018,36.65
105,08/13/2018,35.45
106,08/10/2018,35.875
107,08/09/2018,35.575
108,08/08/2018,35.7
109,08/07/2018,36.25
110,08/06/2018,36.475
111,08/03/2018,36.7
112,08/02/2018,36.8
113,08/01/2018,36.775000000000006
114,07/31/2018,35.69865
115,07/30/2018,34.7
116,07/27/2018,33.775
117,07/26/2018,33.0
118,07/25/2018,35.01825
119,07/24/2018,32.175
120,07/23/2018,32.55
121,07/20/2018,32.525000000000006
122,07/19/2018,32.35
123,07/18/2018,31.575000000000003
124,07/17/2018,32.125
125,07/16/2018,32.15
126,07/13/2018,32.925
127,07/12/2018,33.425
128,07/11/2018,34.875
129,07/10/2018,35.875
130,07/09/2018,36.075
131,07/06/2018,36.05
132,07/05/2018,35.275
133,07/03/2018,34.95
134,07/02/2018,33.8755
135,06/29/2018,34.974999999999994
136,06/28/2018,35.075
137,06/27/2018,35.675
138,06/26/2018,35.599999999999994
139,06/25/2018,35.941900000000004
140,06/22/2018,36.775
141,06/21/2018,36.260000000000005
142,06/20/2018,36.3
143,06/19/2018,35.95
144,06/18/2018,35.65
145,06/15/2018,36.125
146,06/14/2018,35.8
147,06/13/2018,35.45
148,06/12/2018,35.1875
149,06/11/2018,34.5
150,06/08/2018,34.075
151,06/07/2018,35.5
152,06/06/2018,37.0
153,06/05/2018,37.3
154,06/04/2018,37.075
155,06/01/2018,37.075
156,05/31/2018,36.650000000000006
157,05/30/2018,36.3
158,05/29/2018,35.95
159,05/25/2018,36.125
160,05/24/2018,35.974999999999994
161,05/23/2018,35.575
162,05/22/2018,35.412499999999994
163,05/21/2018,35.474999999999994
164,05/18/2018,35.599999999999994
165,05/17/2018,35.65
166,05/16/2018,35.75
167,05/15/2018,35.275000000000006
168,05/14/2018,35.55
169,05/11/2018,35.575
170,05/10/2018,34.650000000000006
171,05/09/2018,33.9
172,05/08/2018,33.6875
173,05/07/2018,33.275
174,05/04/2018,32.50125
175,05/03/2018,31.775000000000002
176,05/02/2018,33.15
177,05/01/2018,33.3
178,04/30/2018,33.55
179,04/27/2018,33.4
180,04/26/2018,33.350049999999996
181,04/25/2018,33.275
182,04/24/2018,36.15
183,04/23/2018,36.275000000000006
184,04/20/2018,36.1875
185,04/19/2018,35.9255
186,04/18/2018,36.285
187,04/17/2018,35.4125
188,04/16/2018,35.225
189,04/13/2018,34.725
190,04/12/2018,34.275
191,04/11/2018,34.0375
192,04/10/2018,34.0
193,04/09/2018,33.125
194,04/06/2018,33.275
195,04/05/2018,33.8
196,04/04/2018,33.05
197,04/03/2018,33.075
198,04/02/2018,32.9
199,03/29/2018,33.55
200,03/28/2018,33.3785
201,03/27/2018,33.95
202,03/26/2018,34.325
203,03/23/2018,35.125
204,03/22/2018,35.375
205,03/21/2018,34.925
206,03/20/2018,33.275
207,03/19/2018,32.900000000000006
208,03/16/2018,33.075
209,03/15/2018,33.05
210,03/14/2018,32.925
211,03/13/2018,32.787499999999994
212,03/12/2018,33.05
213,03/09/2018,32.425
214,03/08/2018,31.825
215,03/07/2018,32.45
216,03/06/2018,32.075
217,03/05/2018,31.8625
218,03/02/2018,31.2
219,03/01/2018,31.075000000000003
220,02/28/2018,31.4
221,02/27/2018,31.825
222,02/26/2018,31.075000000000003
223,02/23/2018,30.825
224,02/22/2018,31.5125
225,02/21/2018,30.924999999999997
226,02/20/2018,30.8
227,02/16/2018,30.525
228,02/15/2018,30.175
229,02/14/2018,30.325
230,02/13/2018,30.35
231,02/12/2018,29.924999999999997
232,02/09/2018,29.299999999999997
233,02/08/2018,30.225
234,02/07/2018,29.95
235,02/06/2018,30.0
236,02/05/2018,30.15
237,02/02/2018,30.5
238,02/01/2018,30.775
239,01/31/2018,31.375
240,01/30/2018,31.549999999999997
241,01/29/2018,32.1165
242,01/26/2018,31.35
243,01/25/2018,30.65
244,01/24/2018,30.25
245,01/23/2018,28.9
246,01/22/2018,28.475
247,01/19/2018,28.425
248,01/18/2018,28.425
249,01/17/2018,28.525
250,01/16/2018,28.75005
251,01/12/2018,29.10215
252,01/11/2018,28.924999999999997
253,01/10/2018,28.9125
254,01/09/2018,29.85
255,01/08/2018,31.36
256,01/05/2018,36.65875
257,01/04/2018,37.45
258,01/03/2018,37.575
259,01/02/2018,38.6
260,12/29/2017,38.725
261,12/28/2017,38.725
