,Date,Avg
1,01/10/2019,25.476599999999998
2,01/09/2019,25.71575
3,01/08/2019,25.9
4,01/07/2019,25.310000000000002
5,01/04/2019,24.159950000000002
6,01/03/2019,23.69895
7,01/02/2019,23.5
8,12/31/2018,23.06
9,12/28/2018,22.95375
10,12/27/2018,22.3402
11,12/26/2018,21.951349999999998
12,12/24/2018,20.83
13,12/21/2018,21.43
14,12/20/2018,22.335
15,12/19/2018,23.525
16,12/18/2018,24.060299999999998
17,12/17/2018,25.0068
18,12/14/2018,25.63995
19,12/13/2018,26.2605
20,12/12/2018,26.86
21,12/11/2018,26.5066
22,12/10/2018,25.973550000000003
23,12/07/2018,26.6773
24,12/06/2018,26.475
25,12/04/2018,27.58025
26,12/03/2018,28.15
27,11/30/2018,27.09235
28,11/29/2018,27.2556
29,11/28/2018,26.765
30,11/27/2018,26.700049999999997
31,11/26/2018,27.1625
32,11/23/2018,27.033499999999997
33,11/21/2018,26.44305
34,11/20/2018,25.7181
35,11/19/2018,26.48505
36,11/16/2018,26.455
37,11/15/2018,26.174750000000003
38,11/14/2018,25.895049999999998
39,11/13/2018,26.5631
40,11/12/2018,26.945050000000002
41,11/09/2018,27.954
42,11/08/2018,28.8854
43,11/07/2018,28.78895
44,11/06/2018,28.47995
45,11/05/2018,28.682499999999997
46,11/02/2018,28.795
47,11/01/2018,28.037950000000002
48,10/31/2018,26.862949999999998
49,10/30/2018,26.2875
50,10/29/2018,26.525
51,10/26/2018,26.960050000000003
52,10/25/2018,27.0324
53,10/24/2018,26.8869
54,10/23/2018,27.93105
55,10/22/2018,28.59
56,10/19/2018,29.714350000000003
57,10/18/2018,30.2146
58,10/17/2018,30.47
59,10/16/2018,30.22405
60,10/15/2018,28.97555
61,10/12/2018,29.451549999999997
62,10/11/2018,29.29
63,10/10/2018,29.805
64,10/09/2018,30.985
65,10/08/2018,31.05005
66,10/05/2018,31.7719
67,10/04/2018,32.81
68,10/03/2018,33.33815
69,10/02/2018,33.39005
70,10/01/2018,34.27995
71,09/28/2018,34.562
72,09/27/2018,34.59
73,09/26/2018,35.0245
74,09/25/2018,35.31
75,09/24/2018,34.955
76,09/21/2018,34.60295
77,09/20/2018,34.908649999999994
78,09/19/2018,34.174350000000004
79,09/18/2018,33.739999999999995
80,09/17/2018,33.48195
81,09/14/2018,33.9975
82,09/13/2018,34.08995
83,09/12/2018,33.99125
84,09/11/2018,34.2426
85,09/10/2018,34.165
86,09/07/2018,34.035
87,09/06/2018,34.78335
88,09/05/2018,35.241
89,09/04/2018,35.56835
90,08/31/2018,35.58415
91,08/30/2018,35.2934
92,08/29/2018,34.61795
93,08/28/2018,34.18195
94,08/27/2018,33.909949999999995
95,08/24/2018,33.4985
96,08/23/2018,33.285
97,08/22/2018,32.985
98,08/21/2018,32.32
99,08/20/2018,32.265
100,08/17/2018,32.35
101,08/16/2018,32.295
102,08/15/2018,32.1168
103,08/14/2018,32.7659
104,08/13/2018,32.644999999999996
105,08/10/2018,32.974999999999994
106,08/09/2018,32.93000000000001
107,08/08/2018,32.5167
108,08/07/2018,32.57
109,08/06/2018,32.1905
110,08/03/2018,32.44
111,08/02/2018,32.635
112,08/01/2018,32.859899999999996
113,07/31/2018,32.269999999999996
114,07/30/2018,31.92
115,07/27/2018,32.585
116,07/26/2018,33.43
117,07/25/2018,33.61835
118,07/24/2018,33.719750000000005
119,07/23/2018,33.86005
