,Date,Avg
1,01/10/2019,8.8964
2,01/09/2019,8.055
3,01/08/2019,8.395
4,01/07/2019,7.745
5,01/04/2019,7.82
6,01/03/2019,8.24255
7,01/02/2019,8.23
8,12/31/2018,8.24995
9,12/28/2018,8.29
10,12/27/2018,8.161249999999999
11,12/26/2018,8.175
12,12/24/2018,8.4
13,12/21/2018,8.65
14,12/20/2018,9.39555
15,12/19/2018,10.125
16,12/18/2018,9.6812
17,12/17/2018,9.675
18,12/14/2018,9.805
19,12/13/2018,9.645
20,12/12/2018,10.065000000000001
21,12/11/2018,9.42
22,12/10/2018,9.375
23,12/07/2018,12.725
24,12/06/2018,9.605
25,12/04/2018,10.105
26,12/03/2018,10.125
27,11/30/2018,10.252500000000001
28,11/29/2018,9.795
29,11/28/2018,10.254999999999999
30,11/27/2018,10.274999999999999
31,11/26/2018,10.27
32,11/23/2018,10.265
33,11/21/2018,10.27
34,11/20/2018,10.27
35,11/19/2018,10.185099999999998
36,11/16/2018,10.265
37,11/15/2018,10.274999999999999
38,11/14/2018,10.274750000000001
39,11/13/2018,10.27
40,11/12/2018,10.215
41,11/09/2018,10.205
42,11/08/2018,10.195
43,11/07/2018,10.18
44,11/06/2018,10.219999999999999
45,11/05/2018,10.115
46,11/02/2018,10.1975
47,11/01/2018,10.190000000000001
48,10/31/2018,10.22
49,10/30/2018,10.219999999999999
50,10/29/2018,10.215
51,10/26/2018,10.21
52,10/25/2018,10.215
53,10/24/2018,10.225000000000001
54,10/23/2018,10.217500000000001
55,10/22/2018,10.215
56,10/19/2018,10.2173
57,10/18/2018,10.21
58,10/17/2018,10.2
59,10/16/2018,10.205
60,10/15/2018,10.205
61,10/12/2018,10.18235
62,10/11/2018,10.195
63,10/10/2018,10.19
64,10/09/2018,10.195
65,10/08/2018,10.2
66,10/05/2018,10.21
67,10/04/2018,10.215
68,10/03/2018,10.2
69,10/02/2018,10.195
70,10/01/2018,10.21
71,09/28/2018,10.2
72,09/27/2018,10.225
73,09/26/2018,10.197949999999999
74,09/25/2018,10.05
75,09/24/2018,10.2025
76,09/21/2018,10.195
77,09/20/2018,10.219999999999999
78,09/19/2018,10.219850000000001
79,09/18/2018,10.184999999999999
80,09/17/2018,10.175
81,09/14/2018,10.184999999999999
82,09/13/2018,10.17
83,09/12/2018,10.165
84,09/11/2018,10.16
85,09/10/2018,10.16395
86,09/07/2018,9.97
87,09/06/2018,9.97
88,09/05/2018,9.9775
89,09/04/2018,9.985
90,08/31/2018,9.9724
91,08/30/2018,9.96465
92,08/29/2018,9.975
93,08/28/2018,10.0
94,08/27/2018,9.985
95,08/24/2018,9.95
96,08/23/2018,9.95
97,08/22/2018,9.94
98,08/21/2018,9.94
99,08/20/2018,9.91
100,08/17/2018,9.9106
101,08/16/2018,9.94025
102,08/15/2018,9.93
103,08/14/2018,9.93
104,08/13/2018,9.95
105,08/10/2018,9.95
106,08/09/2018,9.95
107,08/08/2018,9.95
108,08/07/2018,9.95
109,08/06/2018,9.95
110,08/03/2018,9.97
111,08/02/2018,9.97
112,08/01/2018,9.97
113,07/31/2018,9.96
114,07/30/2018,9.94155
115,07/27/2018,9.92
116,07/26/2018,9.97
117,07/25/2018,9.97
118,07/24/2018,10.165
119,07/23/2018,9.92
120,07/20/2018,9.92
121,07/19/2018,9.92
122,07/18/2018,9.92
123,07/17/2018,9.92
124,07/16/2018,9.92
125,07/13/2018,9.92
126,07/12/2018,9.92
127,07/11/2018,9.945
128,07/10/2018,9.97
129,07/09/2018,9.955
130,07/06/2018,9.93
131,07/05/2018,9.9
132,07/03/2018,9.9
133,07/02/2018,9.93495
134,06/29/2018,9.87535
135,06/28/2018,9.922350000000002
136,06/27/2018,9.934999999999999
137,06/26/2018,9.9
138,06/25/2018,9.88005
139,06/22/2018,9.92
140,06/21/2018,9.92
141,06/20/2018,9.9
142,06/19/2018,9.895
143,06/18/2018,9.844999999999999
144,06/15/2018,9.8653
145,06/14/2018,9.88
146,06/13/2018,9.88
147,06/12/2018,9.844999999999999
148,06/11/2018,9.84
149,06/08/2018,9.84
150,06/07/2018,9.84
151,06/06/2018,9.844999999999999
152,06/05/2018,9.84
153,06/04/2018,9.87
154,06/01/2018,9.87
155,05/31/2018,9.87
156,05/30/2018,9.87
157,05/29/2018,9.87
158,05/25/2018,9.864999999999998
159,05/24/2018,9.86
160,05/23/2018,9.86
161,05/22/2018,9.9
162,05/21/2018,9.875
163,05/18/2018,9.84
164,05/17/2018,9.84
165,05/16/2018,9.820350000000001
166,05/15/2018,9.870000000000001
167,05/14/2018,9.85
168,05/11/2018,9.85
169,05/10/2018,9.85
170,05/09/2018,9.85
171,05/08/2018,9.825
172,05/07/2018,9.8
173,05/04/2018,9.8192
174,05/03/2018,9.86
175,05/02/2018,9.8584
176,05/01/2018,9.870000000000001
177,04/30/2018,9.85
178,04/27/2018,9.85
179,04/26/2018,9.86
180,04/25/2018,9.825
181,04/24/2018,9.84495
182,04/23/2018,9.825
183,04/20/2018,9.844999999999999
184,04/19/2018,9.815000000000001
185,04/18/2018,9.83085
186,04/17/2018,9.82
187,04/16/2018,10.78445
188,04/13/2018,9.85
189,04/12/2018,9.85
190,04/11/2018,9.85
191,04/10/2018,9.85
192,04/09/2018,9.8
193,04/06/2018,9.844999999999999
194,04/05/2018,9.83
195,04/04/2018,9.8
196,04/03/2018,9.8095
197,04/02/2018,9.8
198,03/29/2018,9.815000000000001
199,03/28/2018,9.795
200,03/27/2018,9.789
201,03/26/2018,9.77
202,03/23/2018,9.795
203,03/22/2018,9.8
204,03/21/2018,9.754999999999999
205,03/20/2018,9.7736
206,03/19/2018,9.76
207,03/16/2018,9.7775
