,Date,Avg
1,01/09/2019,16.11
2,01/08/2019,16.0731
3,01/07/2019,15.924999999999999
4,01/04/2019,15.745000000000001
5,01/03/2019,15.65
6,01/02/2019,15.465
7,12/31/2018,15.460650000000001
8,12/28/2018,15.407399999999999
9,12/27/2018,15.2
10,12/26/2018,15.125
11,12/24/2018,15.038450000000001
12,12/21/2018,15.004999999999999
13,12/20/2018,15.3132
14,12/19/2018,15.620000000000001
15,12/18/2018,15.4842
16,12/17/2018,15.6
17,12/14/2018,15.76
18,12/13/2018,15.8046
19,12/12/2018,15.9225
20,12/11/2018,16.11
21,12/10/2018,16.130000000000003
22,12/07/2018,16.185000000000002
23,12/06/2018,16.16
24,12/04/2018,16.255000000000003
25,12/03/2018,16.195
26,11/30/2018,16.095
27,11/29/2018,16.105
28,11/28/2018,16.11
29,11/27/2018,16.065
30,11/26/2018,16.085
31,11/23/2018,16.035
32,11/21/2018,16.085
33,11/20/2018,16.07
34,11/19/2018,16.215
35,11/16/2018,16.295
36,11/15/2018,16.310000000000002
37,11/14/2018,16.375
38,11/13/2018,16.585
39,11/12/2018,16.645
40,11/09/2018,16.72
41,11/08/2018,16.66
42,11/07/2018,16.625
43,11/06/2018,16.475
44,11/05/2018,16.409999999999997
45,11/02/2018,16.314999999999998
46,11/01/2018,16.305
47,10/31/2018,16.27
48,10/30/2018,16.245
49,10/29/2018,16.345
50,10/26/2018,16.36495
51,10/25/2018,16.424999999999997
52,10/24/2018,16.450000000000003
53,10/23/2018,16.424999999999997
54,10/22/2018,16.5
55,10/19/2018,16.557850000000002
56,10/18/2018,16.57
57,10/17/2018,16.585
58,10/16/2018,16.572
59,10/15/2018,16.47
60,10/12/2018,16.515
61,10/11/2018,16.7
62,10/10/2018,16.725
63,10/09/2018,16.69495
64,10/08/2018,16.65665
65,10/05/2018,16.8
66,10/04/2018,16.93
67,10/03/2018,17.125
68,10/02/2018,17.045
69,10/01/2018,16.98
70,09/28/2018,17.0199
71,09/27/2018,17.05
72,09/26/2018,17.1525
73,09/25/2018,17.29
74,09/24/2018,17.325000000000003
75,09/21/2018,17.3205
76,09/20/2018,17.2775
77,09/19/2018,17.240000000000002
78,09/18/2018,17.270000000000003
79,09/17/2018,17.315
80,09/14/2018,17.335
81,09/13/2018,17.38
82,09/12/2018,17.509999999999998
83,09/11/2018,17.415
84,09/10/2018,17.3486
85,09/07/2018,17.34
86,09/06/2018,17.365
87,09/05/2018,17.42
88,09/04/2018,17.49005
89,08/31/2018,17.595
90,08/30/2018,17.6525
91,08/29/2018,17.705
92,08/28/2018,17.68685
93,08/27/2018,17.6805
94,08/24/2018,17.6
95,08/23/2018,17.560000000000002
96,08/22/2018,17.6445
97,08/21/2018,17.575
98,08/20/2018,17.535
99,08/17/2018,17.53
100,08/16/2018,17.46
101,08/15/2018,17.439999999999998
102,08/14/2018,17.4478
103,08/13/2018,17.505000000000003
104,08/10/2018,17.450000000000003
105,08/09/2018,17.495
106,08/08/2018,17.5
107,08/07/2018,17.485
108,08/06/2018,17.46
109,08/03/2018,17.425
110,08/02/2018,17.3875
111,08/01/2018,17.385
112,07/31/2018,17.37505
113,07/30/2018,17.35
114,07/27/2018,17.3493
115,07/26/2018,17.348300000000002
116,07/25/2018,17.235
117,07/24/2018,17.115000000000002
118,07/23/2018,17.015
119,07/20/2018,17.0
120,07/19/2018,16.975
121,07/18/2018,17.020000000000003
122,07/17/2018,17.07
123,07/16/2018,17.025
124,07/13/2018,17.02505
125,07/12/2018,17.14
126,07/11/2018,17.165
127,07/10/2018,17.192500000000003
128,07/09/2018,17.22505
129,07/06/2018,17.2
130,07/05/2018,17.17
131,07/03/2018,17.143
132,07/02/2018,17.155
133,06/29/2018,17.14
134,06/28/2018,17.105
135,06/27/2018,17.134999999999998
136,06/26/2018,17.119999999999997
137,06/25/2018,17.14
138,06/22/2018,17.235
139,06/21/2018,17.285
140,06/20/2018,17.2
141,06/19/2018,17.185
142,06/18/2018,17.205
143,06/15/2018,17.245
144,06/14/2018,17.345
145,06/13/2018,17.51225
146,06/12/2018,17.47885
147,06/11/2018,17.455
148,06/08/2018,17.36
149,06/07/2018,17.36
150,06/06/2018,17.380000000000003
151,06/05/2018,17.3309
152,06/04/2018,17.28
153,06/01/2018,17.240000000000002
154,05/31/2018,17.22
155,05/30/2018,17.185000000000002
156,05/29/2018,17.125
157,05/25/2018,17.112499999999997
158,05/24/2018,17.15
159,05/23/2018,17.0987
160,05/22/2018,17.04875
161,05/21/2018,16.975
162,05/18/2018,16.895000000000003
163,05/17/2018,16.96
164,05/16/2018,16.990000000000002
165,05/15/2018,16.91995
166,05/14/2018,16.91
167,05/11/2018,17.015
168,05/10/2018,17.0
169,05/09/2018,16.96
170,05/08/2018,16.955
171,05/07/2018,16.935
172,05/04/2018,16.945
173,05/03/2018,16.93
174,05/02/2018,16.975
175,05/01/2018,16.950000000000003
176,04/30/2018,16.975
177,04/27/2018,16.869999999999997
178,04/26/2018,16.86
179,04/25/2018,16.82
180,04/24/2018,16.865
181,04/23/2018,16.810000000000002
182,04/20/2018,16.805
183,04/19/2018,16.83
184,04/18/2018,16.905
185,04/17/2018,16.95
186,04/16/2018,16.89505
187,04/13/2018,16.85
188,04/12/2018,17.034999999999997
189,04/11/2018,16.985
190,04/10/2018,16.95
191,04/09/2018,16.86
192,04/06/2018,16.79
193,04/05/2018,16.895
194,04/04/2018,16.85
195,04/03/2018,16.814999999999998
196,04/02/2018,16.8
197,03/29/2018,16.784999999999997
198,03/28/2018,16.73365
199,03/27/2018,16.715000000000003
200,03/26/2018,16.68
201,03/23/2018,16.7025
202,03/22/2018,16.727800000000002
203,03/21/2018,16.72
204,03/20/2018,16.7225
205,03/19/2018,16.825
206,03/16/2018,17.08
207,03/15/2018,17.299999999999997
208,03/14/2018,17.36
209,03/13/2018,17.5118
210,03/12/2018,17.5048
211,03/09/2018,17.4315
212,03/08/2018,17.4
213,03/07/2018,17.3444
214,03/06/2018,17.314999999999998
215,03/05/2018,17.30995
216,03/02/2018,17.335
217,03/01/2018,17.372500000000002
218,02/28/2018,17.39
219,02/27/2018,17.384999999999998
220,02/26/2018,17.45
221,02/23/2018,17.439999999999998
222,02/22/2018,17.405
223,02/21/2018,17.411
224,02/20/2018,17.37675
225,02/16/2018,17.389400000000002
226,02/15/2018,17.38
227,02/14/2018,17.362000000000002
228,02/13/2018,17.51255
229,02/12/2018,17.47
230,02/09/2018,17.37
231,02/08/2018,17.6
232,02/07/2018,17.64
233,02/06/2018,17.48485
234,02/05/2018,17.495
235,02/02/2018,17.6819
236,02/01/2018,17.795
237,01/31/2018,17.89
238,01/30/2018,17.880000000000003
239,01/29/2018,18.02
240,01/26/2018,18.11
241,01/25/2018,18.155
242,01/24/2018,18.2125
243,01/23/2018,18.15
244,01/22/2018,18.14755
245,01/19/2018,18.137500000000003
246,01/18/2018,18.095
247,01/17/2018,18.12
248,01/16/2018,18.2875
249,01/12/2018,18.23
250,01/11/2018,18.229999999999997
251,01/10/2018,18.21
252,01/09/2018,18.295
253,01/08/2018,18.26915
254,01/05/2018,18.25
255,01/04/2018,18.18
256,01/03/2018,18.12
257,01/02/2018,18.115000000000002
258,12/29/2017,18.14
259,12/28/2017,18.137700000000002
260,12/27/2017,18.225
261,12/26/2017,18.27
262,12/22/2017,18.225
263,12/21/2017,18.0945
264,12/20/2017,18.12
265,12/19/2017,18.134999999999998
266,12/18/2017,18.14
267,12/15/2017,18.05
268,12/14/2017,18.015
