,Date,Avg
1,01/09/2019,10.17
2,01/08/2019,10.17
3,01/07/2019,10.184999999999999
4,01/04/2019,10.19
5,01/03/2019,10.17725
6,01/02/2019,10.16695
7,12/31/2018,10.19
8,12/28/2018,10.2
9,12/27/2018,10.2
10,12/26/2018,10.2
11,12/24/2018,10.17
12,12/21/2018,10.09995
13,12/20/2018,10.145
14,12/19/2018,10.12
15,12/18/2018,10.12
16,12/17/2018,10.14
17,12/14/2018,10.14
18,12/13/2018,10.14
19,12/12/2018,10.14
20,12/11/2018,10.135
21,12/10/2018,10.12
22,12/07/2018,10.12
23,12/06/2018,10.12
24,12/04/2018,10.12
25,12/03/2018,10.12
26,11/30/2018,10.114999999999998
27,11/29/2018,10.1
28,11/28/2018,10.1
29,11/27/2018,10.115
30,11/26/2018,10.1075
31,11/23/2018,10.1499
32,11/21/2018,10.1499
33,11/20/2018,10.1499
34,11/19/2018,10.1499
35,11/16/2018,10.1499
36,11/15/2018,10.1499
37,11/14/2018,10.1
38,11/13/2018,10.1725
39,11/12/2018,10.07
40,11/09/2018,10.1
41,11/08/2018,10.1
42,11/07/2018,10.1
43,11/06/2018,10.1
44,11/05/2018,10.1
45,11/02/2018,10.1
46,11/01/2018,10.1
47,10/31/2018,10.09
48,10/30/2018,10.02
49,10/29/2018,10.02
50,10/26/2018,10.02
51,10/25/2018,10.02
52,10/24/2018,10.02
53,10/23/2018,10.02
54,10/22/2018,10.02
55,10/19/2018,10.02
56,10/18/2018,10.02
57,10/17/2018,10.02
58,10/16/2018,10.02045
59,10/15/2018,10.01
60,10/12/2018,10.035
61,10/11/2018,10.02
62,10/10/2018,10.02
63,10/09/2018,10.024999999999999
64,10/08/2018,10.04
65,10/05/2018,10.035
66,10/04/2018,10.01
67,10/03/2018,10.01
68,10/02/2018,10.01
69,10/01/2018,10.01
70,09/28/2018,10.01
71,09/27/2018,10.01
72,09/26/2018,10.01
73,09/25/2018,10.01
74,09/24/2018,9.98
75,09/21/2018,9.98
76,09/20/2018,9.9999
77,09/19/2018,9.9999
78,09/18/2018,9.9999
79,09/17/2018,9.9999
80,09/14/2018,9.975
81,09/13/2018,9.96
82,09/12/2018,9.96
83,09/11/2018,9.96
84,09/10/2018,9.95
85,09/07/2018,9.91
86,09/06/2018,9.91
87,09/05/2018,9.91
88,09/04/2018,9.91
89,08/31/2018,9.91
90,08/30/2018,9.91
91,08/29/2018,9.91
92,08/28/2018,9.91
93,08/27/2018,9.91
94,08/24/2018,9.91
95,08/23/2018,9.91
96,08/22/2018,9.91
97,08/21/2018,9.91
98,08/20/2018,9.91
99,08/17/2018,9.91
100,08/16/2018,9.91
101,08/15/2018,9.91
102,08/14/2018,9.91
103,08/13/2018,9.91
104,08/10/2018,9.9101
105,08/09/2018,9.9101
106,08/08/2018,9.92
107,08/07/2018,9.92
108,08/06/2018,9.934999999999999
109,08/03/2018,9.95
110,08/02/2018,9.95
111,08/01/2018,9.95
112,07/31/2018,9.96
113,07/30/2018,9.96
114,07/27/2018,9.96
115,07/26/2018,9.945
116,07/25/2018,9.94
117,07/24/2018,9.94
118,07/23/2018,9.94
119,07/20/2018,9.94
120,07/19/2018,9.955
121,07/18/2018,9.9775
122,07/17/2018,9.91
123,07/16/2018,9.91
124,07/13/2018,9.91
125,07/12/2018,9.91
126,07/11/2018,9.91
127,07/10/2018,9.91
128,07/09/2018,9.91
129,07/06/2018,9.91
130,07/05/2018,9.91
131,07/03/2018,9.91
132,07/02/2018,9.9101
133,06/29/2018,9.9101
134,06/28/2018,9.91005
135,06/27/2018,9.91
136,06/26/2018,9.91
137,06/25/2018,9.91
138,06/22/2018,9.91
139,06/21/2018,9.91
140,06/20/2018,9.92
141,06/19/2018,9.92
142,06/18/2018,9.915
143,06/15/2018,9.89
144,06/14/2018,9.89
145,06/13/2018,9.89
146,06/12/2018,9.93
147,06/11/2018,9.93
148,06/08/2018,9.93
149,06/07/2018,9.9
150,06/06/2018,9.9
151,06/05/2018,9.9
152,06/04/2018,9.87
153,06/01/2018,9.875
154,05/31/2018,9.87
155,05/30/2018,9.870000000000001
156,05/29/2018,9.9
157,05/25/2018,9.9
158,05/24/2018,9.875
159,05/23/2018,9.9
160,05/22/2018,9.9
161,05/21/2018,9.9
162,05/18/2018,9.85
163,05/17/2018,9.85
164,05/16/2018,9.85
165,05/15/2018,9.855
166,05/14/2018,9.85
167,05/11/2018,9.85
168,05/10/2018,9.85
169,05/09/2018,9.85
170,05/08/2018,9.85
171,05/07/2018,9.85
172,05/04/2018,9.85
173,05/03/2018,9.85
174,05/02/2018,9.85
175,05/01/2018,9.85
176,04/30/2018,9.85
177,04/27/2018,9.85
178,04/26/2018,9.85
179,04/25/2018,9.85
180,04/24/2018,9.85
181,04/23/2018,9.85
182,04/20/2018,9.86
183,04/19/2018,9.82
184,04/18/2018,9.81
185,04/17/2018,9.81
186,04/16/2018,9.81
187,04/13/2018,9.825
188,04/12/2018,9.83
189,04/11/2018,9.83
190,04/10/2018,9.835
191,04/09/2018,9.83
192,04/06/2018,9.83
193,04/05/2018,9.83
194,04/04/2018,9.83
195,04/03/2018,9.805
196,04/02/2018,9.78995
197,03/29/2018,9.82
198,03/28/2018,9.82
199,03/27/2018,9.82
200,03/26/2018,9.82
201,03/23/2018,9.82
202,03/22/2018,9.76
203,03/21/2018,9.775
204,03/20/2018,9.75
205,03/19/2018,9.75
206,03/16/2018,9.745000000000001
207,03/15/2018,9.86
208,03/14/2018,9.86
209,03/13/2018,9.86
210,03/12/2018,9.86
211,03/09/2018,9.86
212,03/08/2018,9.86
213,03/07/2018,9.86
214,03/06/2018,9.86
215,03/05/2018,9.86
216,03/02/2018,9.86
217,03/01/2018,9.872250000000001
218,02/28/2018,9.79
219,02/27/2018,9.80995
220,02/26/2018,9.7392
221,02/23/2018,9.76
222,02/22/2018,9.76
223,02/21/2018,9.754999999999999
224,02/20/2018,9.782399999999999
225,02/16/2018,9.7999
226,02/15/2018,9.7999
227,02/14/2018,9.7999
228,02/13/2018,9.7999
229,02/12/2018,9.7999
230,02/09/2018,9.75
231,02/08/2018,9.74
232,02/07/2018,9.735
233,02/06/2018,9.74
234,02/05/2018,9.735
235,02/02/2018,9.72
236,02/01/2018,9.72
237,01/31/2018,9.72
238,01/30/2018,9.705
239,01/29/2018,9.7
240,01/26/2018,9.69
241,01/25/2018,9.7
242,01/24/2018,9.68
243,01/23/2018,9.68
244,01/22/2018,9.68
245,01/19/2018,9.68
246,01/18/2018,9.68
247,01/17/2018,9.68
248,01/16/2018,9.68
249,01/12/2018,9.68
250,01/11/2018,9.68
251,01/10/2018,9.68
252,01/09/2018,9.83
253,01/08/2018,9.7
254,01/05/2018,9.73
255,01/04/2018,9.7299
256,01/03/2018,9.7299
257,01/02/2018,9.6977
258,12/29/2017,9.68
259,12/28/2017,9.695
260,12/27/2017,9.7561
261,12/26/2017,9.68
262,12/22/2017,9.7
263,12/21/2017,9.683
264,12/20/2017,9.7
265,12/19/2017,9.7
266,12/18/2017,9.7
267,12/15/2017,9.75
268,12/14/2017,9.7
269,12/13/2017,9.68
270,12/12/2017,9.6775
271,12/11/2017,10.265
272,12/08/2017,9.65
