,Date,Avg
1,01/09/2019,1.615
2,01/08/2019,1.6392
3,01/07/2019,1.5406
4,01/04/2019,1.475
5,01/03/2019,1.46875
6,01/02/2019,1.4984
7,12/31/2018,1.2466499999999998
8,12/28/2018,1.26
9,12/27/2018,1.3050000000000002
10,12/26/2018,1.2814999999999999
11,12/24/2018,1.2850000000000001
12,12/21/2018,1.355
13,12/20/2018,1.4
14,12/19/2018,1.415
15,12/18/2018,1.46
16,12/17/2018,1.4800499999999999
17,12/14/2018,1.52
18,12/13/2018,1.4705
19,12/12/2018,1.455
20,12/11/2018,1.54115
21,12/10/2018,1.54365
22,12/07/2018,1.63425
23,12/06/2018,1.74
24,12/04/2018,1.8
25,12/03/2018,1.8175
26,11/30/2018,1.78925
27,11/29/2018,1.8192
28,11/28/2018,1.7091500000000002
29,11/27/2018,1.67
30,11/26/2018,1.685
31,11/23/2018,1.69
32,11/21/2018,1.7349999999999999
33,11/20/2018,1.725
34,11/19/2018,1.755
35,11/16/2018,1.7800500000000001
36,11/15/2018,1.7850000000000001
37,11/14/2018,1.835
38,11/13/2018,1.835
39,11/12/2018,1.88
40,11/09/2018,1.9
41,11/08/2018,1.905
42,11/07/2018,1.9053
43,11/06/2018,1.8900000000000001
44,11/05/2018,1.9
45,11/02/2018,1.8900000000000001
46,11/01/2018,1.905
47,10/31/2018,1.9100000000000001
48,10/30/2018,1.89
49,10/29/2018,1.88
50,10/26/2018,1.8
51,10/25/2018,1.93455
52,10/24/2018,1.8599999999999999
53,10/23/2018,1.8900000000000001
54,10/22/2018,1.92405
55,10/19/2018,1.96
56,10/18/2018,1.9825
57,10/17/2018,2.04
58,10/16/2018,2.07105
59,10/15/2018,2.17
60,10/12/2018,2.165
61,10/11/2018,2.1799999999999997
62,10/10/2018,2.185
63,10/09/2018,2.1704499999999998
64,10/08/2018,2.17
65,10/05/2018,2.1905
66,10/04/2018,2.1854
67,10/03/2018,2.205
68,10/02/2018,2.135
69,10/01/2018,2.225
70,09/28/2018,2.215
71,09/27/2018,2.22
72,09/26/2018,2.205
73,09/25/2018,2.22
74,09/24/2018,2.25
75,09/21/2018,2.2649999999999997
76,09/20/2018,2.225
77,09/19/2018,2.215
78,09/18/2018,2.23
79,09/17/2018,2.285
80,09/14/2018,2.24675
81,09/13/2018,2.18
82,09/12/2018,2.12
83,09/11/2018,2.125
84,09/10/2018,2.115
85,09/07/2018,2.14
86,09/06/2018,2.105
87,09/05/2018,2.105
88,09/04/2018,2.18
89,08/31/2018,2.1925
90,08/30/2018,2.17
91,08/29/2018,2.1405000000000003
92,08/28/2018,2.0630499999999996
93,08/27/2018,2.08995
94,08/24/2018,2.0949999999999998
95,08/23/2018,2.13
96,08/22/2018,2.165
97,08/21/2018,2.1799999999999997
98,08/20/2018,2.1550000000000002
99,08/17/2018,2.16
100,08/16/2018,2.16085
101,08/15/2018,2.14
102,08/14/2018,2.16
103,08/13/2018,2.165
104,08/10/2018,2.175
105,08/09/2018,2.2056
106,08/08/2018,2.2
107,08/07/2018,2.2254
108,08/06/2018,2.26505
109,08/03/2018,2.33
110,08/02/2018,2.33505
111,08/01/2018,2.355
112,07/31/2018,2.3070500000000003
113,07/30/2018,2.41
114,07/27/2018,2.36695
115,07/26/2018,2.3899999999999997
116,07/25/2018,2.4436
117,07/24/2018,2.465
118,07/23/2018,2.4850000000000003
119,07/20/2018,2.5149999999999997
120,07/19/2018,2.52
121,07/18/2018,2.475
122,07/17/2018,2.445
123,07/16/2018,2.3875
124,07/13/2018,2.3645
125,07/12/2018,2.385
126,07/11/2018,2.4299999999999997
127,07/10/2018,2.4450000000000003
128,07/09/2018,2.4074999999999998
129,07/06/2018,2.375
130,07/05/2018,2.37
131,07/03/2018,2.365
132,07/02/2018,2.34
133,06/29/2018,2.3575999999999997
134,06/28/2018,2.3795
135,06/27/2018,2.41
136,06/26/2018,2.46
137,06/25/2018,2.4450000000000003
138,06/22/2018,2.48
139,06/21/2018,2.495
140,06/20/2018,2.58025
141,06/19/2018,2.59
142,06/18/2018,2.5549999999999997
143,06/15/2018,2.52
144,06/14/2018,2.4555
145,06/13/2018,2.48
146,06/12/2018,2.44
147,06/11/2018,2.4699999999999998
148,06/08/2018,2.495
149,06/07/2018,2.525
150,06/06/2018,2.518
151,06/05/2018,2.54
152,06/04/2018,2.5866
153,06/01/2018,2.5549999999999997
154,05/31/2018,2.5949999999999998
155,05/30/2018,2.59
156,05/29/2018,2.5755
157,05/25/2018,2.575
158,05/24/2018,2.6005000000000003
159,05/23/2018,2.6500000000000004
160,05/22/2018,2.6705
161,05/21/2018,2.6719
162,05/18/2018,2.675
163,05/17/2018,2.6925
164,05/16/2018,2.61505
165,05/15/2018,2.4850000000000003
166,05/14/2018,2.4205
167,05/11/2018,2.49195
168,05/10/2018,2.4541
169,05/09/2018,2.4050000000000002
170,05/08/2018,2.455
171,05/07/2018,2.545
172,05/04/2018,2.58
173,05/03/2018,2.58
174,05/02/2018,2.6100000000000003
175,05/01/2018,2.59295
176,04/30/2018,2.6740500000000003
177,04/27/2018,2.72
178,04/26/2018,2.825
179,04/25/2018,2.835
180,04/24/2018,2.8805000000000005
181,04/23/2018,2.9444999999999997
182,04/20/2018,2.9555
183,04/19/2018,3.05625
184,04/18/2018,3.1524
185,04/17/2018,3.08
186,04/16/2018,2.92995
187,04/13/2018,2.92755
188,04/12/2018,2.925
189,04/11/2018,2.97455
190,04/10/2018,2.8654
191,04/09/2018,2.91005
192,04/06/2018,2.81995
193,04/05/2018,2.24505
194,04/04/2018,2.165
195,04/03/2018,2.13
196,04/02/2018,2.135
197,03/29/2018,2.185
198,03/28/2018,2.205
199,03/27/2018,2.2375
200,03/26/2018,2.215
201,03/23/2018,2.2350000000000003
202,03/22/2018,2.25
203,03/21/2018,2.262
204,03/20/2018,2.2577
205,03/19/2018,2.2407
206,03/16/2018,2.25
207,03/15/2018,2.245
208,03/14/2018,2.24
209,03/13/2018,2.2545
210,03/12/2018,2.2575000000000003
211,03/09/2018,2.265
212,03/08/2018,2.315
213,03/07/2018,2.295
214,03/06/2018,2.285
215,03/05/2018,2.29
216,03/02/2018,2.28395
217,03/01/2018,2.27
218,02/28/2018,2.2575000000000003
219,02/27/2018,2.3145
220,02/26/2018,2.3
221,02/23/2018,2.285
222,02/22/2018,2.315
223,02/21/2018,2.3600000000000003
224,02/20/2018,2.385
225,02/16/2018,2.385
226,02/15/2018,2.29
227,02/14/2018,2.245
228,02/13/2018,2.235
229,02/12/2018,2.2895000000000003
230,02/09/2018,2.3049999999999997
231,02/08/2018,2.36
232,02/07/2018,2.35215
233,02/06/2018,2.295
234,02/05/2018,2.3398
235,02/02/2018,2.4749999999999996
236,02/01/2018,2.46
237,01/31/2018,2.585
238,01/30/2018,2.7104
239,01/29/2018,2.6197999999999997
240,01/26/2018,2.585
241,01/25/2018,2.64
242,01/24/2018,2.77
243,01/23/2018,2.765
244,01/22/2018,2.7851999999999997
245,01/19/2018,2.7611
246,01/18/2018,2.785
247,01/17/2018,2.8194999999999997
248,01/16/2018,2.8438
249,01/12/2018,2.7605000000000004
250,01/11/2018,2.7845
251,01/10/2018,2.73
252,01/09/2018,2.6950000000000003
253,01/08/2018,2.705
254,01/05/2018,2.735
255,01/04/2018,2.785
256,01/03/2018,2.7800000000000002
257,01/02/2018,2.73125
258,12/29/2017,2.7388
259,12/28/2017,2.7802499999999997
260,12/27/2017,2.9074999999999998
261,12/26/2017,2.7127499999999998
262,12/22/2017,2.6935000000000002
263,12/21/2017,2.66
264,12/20/2017,2.5095
265,12/19/2017,2.4326
266,12/18/2017,2.44
267,12/15/2017,2.41
268,12/14/2017,2.476
269,12/13/2017,2.535
270,12/12/2017,2.545
271,12/11/2017,2.48
272,12/08/2017,2.41995
273,12/07/2017,2.42815
274,12/06/2017,2.39785
275,12/05/2017,2.4438
276,12/04/2017,2.54
277,12/01/2017,2.375
