,Date,Avg
1,01/09/2019,17.605
2,01/08/2019,17.5375
3,01/07/2019,17.5
4,01/04/2019,17.4
5,01/03/2019,16.825
6,01/02/2019,16.78
7,12/31/2018,16.6
8,12/28/2018,16.18745
9,12/27/2018,15.855
10,12/26/2018,15.595
11,12/24/2018,15.754999999999999
12,12/21/2018,16.189999999999998
13,12/20/2018,16.7135
14,12/19/2018,17.325
15,12/18/2018,17.950000000000003
16,12/17/2018,18.28
17,12/14/2018,18.369999999999997
18,12/13/2018,18.7325
19,12/12/2018,19.15
20,12/11/2018,19.119999999999997
21,12/10/2018,19.12
22,12/07/2018,19.195
23,12/06/2018,19.525
24,12/04/2018,19.97
25,12/03/2018,20.57
26,11/30/2018,20.65
27,11/29/2018,20.715
28,11/28/2018,20.735
29,11/27/2018,20.775
30,11/26/2018,20.735
31,11/23/2018,20.5
32,11/21/2018,20.505000000000003
33,11/20/2018,20.740000000000002
34,11/19/2018,20.975
35,11/16/2018,21.22365
36,11/15/2018,21.115000000000002
37,11/14/2018,21.045
38,11/13/2018,21.65
39,11/12/2018,21.63
40,11/09/2018,21.835
41,11/08/2018,21.895
42,11/07/2018,21.875
43,11/06/2018,21.695
44,11/05/2018,21.535
45,11/02/2018,21.7175
46,11/01/2018,21.97
47,10/31/2018,21.85
48,10/30/2018,21.11
49,10/29/2018,20.32
50,10/26/2018,20.18
51,10/25/2018,19.435000000000002
52,10/24/2018,19.34
53,10/23/2018,19.75
54,10/22/2018,20.160249999999998
55,10/19/2018,20.585
56,10/18/2018,20.92
57,10/17/2018,21.200000000000003
58,10/16/2018,21.244999999999997
59,10/15/2018,21.1125
60,10/12/2018,21.200000000000003
61,10/11/2018,21.85
62,10/10/2018,22.25
63,10/09/2018,22.4496
64,10/08/2018,22.155
65,10/05/2018,22.072499999999998
66,10/04/2018,22.335
67,10/03/2018,21.965
68,10/02/2018,21.990000000000002
69,10/01/2018,22.5
70,09/28/2018,22.6075
71,09/27/2018,22.93
72,09/26/2018,22.58
73,09/25/2018,22.670900000000003
74,09/24/2018,22.98
75,09/21/2018,23.04
76,09/20/2018,22.255000000000003
77,09/19/2018,23.4775
78,09/18/2018,23.055
79,09/17/2018,22.979999999999997
80,09/14/2018,22.965
81,09/13/2018,22.939999999999998
82,09/12/2018,22.89
83,09/11/2018,23.155
84,09/10/2018,23.14875
85,09/07/2018,23.049999999999997
86,09/06/2018,23.045
87,09/05/2018,23.125
88,09/04/2018,22.89
89,08/31/2018,22.985
90,08/30/2018,23.205
