,Date,Avg
1,01/10/2019,66.365
2,01/09/2019,66.33500000000001
3,01/08/2019,65.74000000000001
4,01/07/2019,65.595
5,01/04/2019,64.765
6,01/03/2019,64.715
7,01/02/2019,64.85499999999999
8,12/31/2018,65.755
9,12/28/2018,65.8
10,12/27/2018,64.55
11,12/26/2018,63.64505
12,12/24/2018,63.769999999999996
13,12/21/2018,65.1
14,12/20/2018,64.38499999999999
15,12/19/2018,65.285
16,12/18/2018,65.63
17,12/17/2018,67.01499999999999
18,12/14/2018,69.00999999999999
19,12/13/2018,68.62
20,12/12/2018,68.225
21,12/11/2018,67.705
22,12/10/2018,66.435
23,12/07/2018,66.71000000000001
24,12/06/2018,66.295
25,12/04/2018,67.03
26,12/03/2018,65.905
27,11/30/2018,65.9
28,11/29/2018,65.9958
29,11/28/2018,66.725
30,11/27/2018,65.71000000000001
31,11/26/2018,65.68900000000001
32,11/23/2018,65.795
33,11/21/2018,64.96000000000001
34,11/20/2018,64.86500000000001
35,11/19/2018,64.95775
36,11/16/2018,65.755
37,11/15/2018,65.36
38,11/14/2018,65.5375
39,11/13/2018,65.61500000000001
40,11/12/2018,66.035
41,11/09/2018,64.97925000000001
42,11/08/2018,64.91
43,11/07/2018,66.765
44,11/06/2018,67.08500000000001
45,11/05/2018,66.56
46,11/02/2018,65.83500000000001
47,11/01/2018,62.959999999999994
48,10/31/2018,59.245000000000005
49,10/30/2018,59.75
50,10/29/2018,58.715
51,10/26/2018,58.135
52,10/25/2018,59.45525000000001
53,10/24/2018,60.125
54,10/23/2018,59.21
55,10/22/2018,59.83
56,10/19/2018,60.495000000000005
57,10/18/2018,58.8643
58,10/17/2018,58.269999999999996
59,10/16/2018,57.9925
60,10/15/2018,56.739999999999995
61,10/12/2018,55.66
62,10/11/2018,55.3125
63,10/10/2018,57.02
64,10/09/2018,59.724999999999994
65,10/08/2018,59.489999999999995
66,10/05/2018,58.785
67,10/04/2018,58.185
68,10/03/2018,59.695
69,10/02/2018,60.010000000000005
70,10/01/2018,59.555
71,09/28/2018,59.120000000000005
72,09/27/2018,59.17
73,09/26/2018,59.4163
74,09/25/2018,59.3
75,09/24/2018,59.504999999999995
76,09/21/2018,60.09
77,09/20/2018,59.42
78,09/19/2018,59.2825
79,09/18/2018,59.46
80,09/17/2018,59.697500000000005
81,09/14/2018,59.3975
82,09/13/2018,59.105000000000004
83,09/12/2018,59.2225
84,09/11/2018,58.620999999999995
85,09/10/2018,58.8625
86,09/07/2018,58.36
87,09/06/2018,57.76
88,09/05/2018,56.99
89,09/04/2018,56.55
90,08/31/2018,56.599999999999994
91,08/30/2018,56.56
92,08/29/2018,56.435
93,08/28/2018,56.695
94,08/27/2018,56.1825
95,08/24/2018,56.3625
96,08/23/2018,56.385
97,08/22/2018,56.5
98,08/21/2018,57.01355
99,08/20/2018,57.58
100,08/17/2018,57.035
101,08/16/2018,56.510000000000005
102,08/15/2018,55.72449999999999
103,08/14/2018,55.765
104,08/13/2018,55.79
105,08/10/2018,55.89235
106,08/09/2018,55.66
107,08/08/2018,56.224999999999994
108,08/07/2018,56.685
109,08/06/2018,57.29
110,08/03/2018,57.515
111,08/02/2018,56.415
112,08/01/2018,55.1751
113,07/31/2018,55.6
114,07/30/2018,55.26675
115,07/27/2018,55.2425
116,07/26/2018,55.135
117,07/25/2018,54.55
118,07/24/2018,54.545
119,07/23/2018,54.8275
120,07/20/2018,54.515
121,07/19/2018,53.8333
122,07/18/2018,54.135000000000005
123,07/17/2018,54.894999999999996
124,07/16/2018,55.34
125,07/13/2018,55.426050000000004
126,07/12/2018,54.735
127,07/11/2018,54.624449999999996
128,07/10/2018,53.8525
129,07/09/2018,53.989999999999995
130,07/06/2018,54.480000000000004
131,07/05/2018,53.8625
132,07/03/2018,53.147499999999994
133,07/02/2018,52.955
134,06/29/2018,53.195
135,06/28/2018,52.7075
136,06/27/2018,51.95
137,06/26/2018,51.515
138,06/25/2018,51.105000000000004
139,06/22/2018,50.8825
140,06/21/2018,50.665
141,06/20/2018,50.905
142,06/19/2018,50.97
143,06/18/2018,50.11
144,06/15/2018,49.99
145,06/14/2018,49.555
146,06/13/2018,49.575
147,06/12/2018,49.105000000000004
148,06/11/2018,48.69
149,06/08/2018,47.8525
150,06/07/2018,46.9725
151,06/06/2018,46.575
152,06/05/2018,46.92
153,06/04/2018,47.269999999999996
154,06/01/2018,47.165000000000006
155,05/31/2018,47.26505
156,05/30/2018,47.7
157,05/29/2018,47.6
158,05/25/2018,47.165
159,05/24/2018,46.995000000000005
160,05/23/2018,46.64
161,05/22/2018,46.68
162,05/21/2018,46.207499999999996
163,05/18/2018,46.055
164,05/17/2018,46.565
165,05/16/2018,46.485
166,05/15/2018,46.39
167,05/14/2018,47.17
168,05/11/2018,47.665000000000006
169,05/10/2018,47.92
170,05/09/2018,47.60395
171,05/08/2018,47.655
172,05/07/2018,47.335
173,05/04/2018,47.239999999999995
174,05/03/2018,46.815
175,05/02/2018,46.105000000000004
176,05/01/2018,45.905
177,04/30/2018,46.495000000000005
178,04/27/2018,46.455
179,04/26/2018,45.9225
180,04/25/2018,45.94
181,04/24/2018,45.29
182,04/23/2018,45.620000000000005
183,04/20/2018,47.09
