,Date,Avg
1,01/09/2019,84.31
2,01/08/2019,83.535
3,01/07/2019,82.6075
4,01/04/2019,82.03999999999999
5,01/03/2019,81.26499999999999
6,01/02/2019,83.00999999999999
7,12/31/2018,83.66499999999999
8,12/28/2018,83.7367
9,12/27/2018,82.12745000000001
10,12/26/2018,80.565
11,12/24/2018,80.105
12,12/21/2018,82.41
13,12/20/2018,82.965
14,12/19/2018,85.27000000000001
15,12/18/2018,85.45
16,12/17/2018,84.315
17,12/14/2018,84.485
18,12/13/2018,86.13
19,12/12/2018,88.69
20,12/11/2018,88.285
21,12/10/2018,86.65
22,12/07/2018,89.08500000000001
23,12/06/2018,88.715
24,12/04/2018,90.25
25,12/03/2018,92.80000000000001
26,11/30/2018,92.225
27,11/29/2018,91.6377
28,11/28/2018,91.78999999999999
29,11/27/2018,90.295
30,11/26/2018,89.935
31,11/23/2018,89.28
32,11/21/2018,88.755
33,11/20/2018,89.1412
34,11/19/2018,90.53999999999999
35,11/16/2018,90.7775
36,11/15/2018,90.285
37,11/14/2018,89.4724
38,11/13/2018,88.3625
39,11/12/2018,89.185
40,11/09/2018,90.5755
41,11/08/2018,90.655
42,11/07/2018,89.5475
43,11/06/2018,88.75
44,11/05/2018,88.475
45,11/02/2018,90.2675
46,11/01/2018,89.66499999999999
47,10/31/2018,90.03
48,10/30/2018,87.805
49,10/29/2018,87.14750000000001
50,10/26/2018,86.1
51,10/25/2018,87.33500000000001
52,10/24/2018,87.465
53,10/23/2018,89.06
54,10/22/2018,90.985
55,10/19/2018,92.155
56,10/18/2018,93.47
57,10/17/2018,93.07499999999999
58,10/16/2018,94.065
59,10/15/2018,92.1775
60,10/12/2018,91.53999999999999
61,10/11/2018,91.97
62,10/10/2018,94.265
63,10/09/2018,97.155
64,10/08/2018,97.37
65,10/05/2018,97.2525
66,10/04/2018,97.92
67,10/03/2018,97.71
68,10/02/2018,97.47
69,10/01/2018,98.195
70,09/28/2018,97.565
71,09/27/2018,97.43005
72,09/26/2018,97.095
73,09/25/2018,96.06
74,09/24/2018,97.09
75,09/21/2018,96.905
76,09/20/2018,97.3025
77,09/19/2018,97.385
78,09/18/2018,96.745
79,09/17/2018,98.0908
80,09/14/2018,99.595
81,09/13/2018,99.105
82,09/12/2018,98.965
83,09/11/2018,100.33250000000001
84,09/10/2018,98.16499999999999
85,09/07/2018,96.78999999999999
86,09/06/2018,97.185
87,09/05/2018,96.245
88,09/04/2018,96.445
89,08/31/2018,95.82
90,08/30/2018,95.44999999999999
91,08/29/2018,96.08
92,08/28/2018,96.66499999999999
93,08/27/2018,97.0
94,08/24/2018,96.565
95,08/23/2018,97.02
96,08/22/2018,98.00999999999999
97,08/21/2018,97.35845
98,08/20/2018,97.41
99,08/17/2018,95.03235000000001
100,08/16/2018,95.67
101,08/15/2018,93.91995
102,08/14/2018,94.1575
103,08/13/2018,94.45500000000001
104,08/10/2018,94.61500000000001
105,08/09/2018,95.36000000000001
106,08/08/2018,95.8629
107,08/07/2018,95.7495
108,08/06/2018,96.02494999999999
109,08/03/2018,95.1
110,08/02/2018,95.2645
111,08/01/2018,94.14
112,07/31/2018,91.695
113,07/30/2018,91.25
114,07/27/2018,91.63499999999999
115,07/26/2018,91.13204999999999
116,07/25/2018,90.87
117,07/24/2018,89.6745
118,07/23/2018,90.11675
119,07/20/2018,89.84514999999999
120,07/19/2018,89.17
121,07/18/2018,88.275
122,07/17/2018,87.585
123,07/16/2018,87.5255
124,07/13/2018,86.41
125,07/12/2018,85.75
126,07/11/2018,86.15
127,07/10/2018,85.875
128,07/09/2018,85.3
129,07/06/2018,84.24000000000001
130,07/05/2018,84.62
131,07/03/2018,85.7225
132,07/02/2018,84.675
133,06/29/2018,84.15
134,06/28/2018,83.09
135,06/27/2018,85.265
136,06/26/2018,85.62
137,06/25/2018,86.65
138,06/22/2018,89.34
139,06/21/2018,89.985
140,06/20/2018,90.21000000000001
141,06/19/2018,89.61
142,06/18/2018,89.865
143,06/15/2018,89.0
144,06/14/2018,90.62
145,06/13/2018,91.11
146,06/12/2018,89.9
147,06/11/2018,88.595
148,06/08/2018,88.205
149,06/07/2018,88.155
150,06/06/2018,87.66499999999999
151,06/05/2018,88.055
152,06/04/2018,87.845
153,06/01/2018,87.64
154,05/31/2018,88.04415
155,05/30/2018,89.14
156,05/29/2018,87.53875
157,05/25/2018,88.035
158,05/24/2018,87.83500000000001
159,05/23/2018,87.41499999999999
160,05/22/2018,89.2025
161,05/21/2018,89.36
162,05/18/2018,88.255
163,05/17/2018,86.8736
164,05/16/2018,85.59
165,05/15/2018,85.225
166,05/14/2018,86.12
167,05/11/2018,85.705
168,05/10/2018,84.1555
169,05/09/2018,83.905
170,05/08/2018,83.43
171,05/07/2018,82.61
172,05/04/2018,81.87
173,05/03/2018,82.33
174,05/02/2018,84.57
175,05/01/2018,91.1575
176,04/30/2018,92.275
177,04/27/2018,91.46000000000001
178,04/26/2018,91.8075
179,04/25/2018,92.63749999999999
180,04/24/2018,93.025
181,04/23/2018,93.69
182,04/20/2018,93.9
183,04/19/2018,94.70005
184,04/18/2018,95.75999999999999
185,04/17/2018,96.86
186,04/16/2018,97.345
187,04/13/2018,94.935
188,04/12/2018,95.23
189,04/11/2018,93.705
190,04/10/2018,93.53999999999999
191,04/09/2018,91.47
192,04/06/2018,91.43
193,04/05/2018,93.61
194,04/04/2018,93.505
195,04/03/2018,92.94
196,04/02/2018,92.66
197,03/29/2018,93.005
198,03/28/2018,91.42750000000001
199,03/27/2018,92.47999999999999
200,03/26/2018,92.3675
