,Date,Avg
1,01/10/2019,208.45
2,01/09/2019,209.5691
3,01/08/2019,206.63
4,01/07/2019,206.32999999999998
5,01/04/2019,204.69
6,01/03/2019,202.9875
7,01/02/2019,202.475
8,12/31/2018,202.885
9,12/28/2018,202.26999999999998
10,12/27/2018,197.54500000000002
11,12/26/2018,194.14499999999998
12,12/24/2018,192.5636
13,12/21/2018,197.51
14,12/20/2018,197.18765
15,12/19/2018,203.43
16,12/18/2018,203.11795
17,12/17/2018,204.3275
18,12/14/2018,212.255
19,12/13/2018,227.5475
20,12/12/2018,228.76
21,12/11/2018,225.625
22,12/10/2018,222.155
23,12/07/2018,228.42000000000002
24,12/06/2018,230.23000000000002
25,12/04/2018,229.43
26,12/03/2018,230.20499999999998
27,11/30/2018,231.545
28,11/29/2018,229.97500000000002
29,11/28/2018,226.325
30,11/27/2018,220.75
31,11/26/2018,221.19
32,11/23/2018,219.4198
33,11/21/2018,219.74
34,11/20/2018,221.525
35,11/19/2018,230.655
36,11/16/2018,228.82
37,11/15/2018,229.825
38,11/14/2018,234.41500000000002
39,11/13/2018,234.595
40,11/12/2018,236.665
41,11/09/2018,238.665
42,11/08/2018,238.41500000000002
43,11/07/2018,238.9075
44,11/06/2018,235.83285
45,11/05/2018,232.345
46,11/02/2018,229.70434999999998
47,11/01/2018,229.17000000000002
48,10/31/2018,228.06
49,10/30/2018,225.61020000000002
50,10/29/2018,221.82
51,10/26/2018,221.0
52,10/25/2018,225.215
53,10/24/2018,227.09
54,10/23/2018,226.54
55,10/22/2018,228.76
56,10/19/2018,229.675
57,10/18/2018,228.45
58,10/17/2018,227.195
59,10/16/2018,226.28799999999998
60,10/15/2018,225.595
61,10/12/2018,225.505
62,10/11/2018,223.125
63,10/10/2018,223.01999999999998
64,10/09/2018,223.85500000000002
65,10/08/2018,221.8784
66,10/05/2018,222.425
67,10/04/2018,232.32999999999998
68,10/03/2018,235.01999999999998
69,10/02/2018,235.72
70,10/01/2018,235.48000000000002
71,09/28/2018,234.63
72,09/27/2018,234.005
73,09/26/2018,234.555
74,09/25/2018,233.695
75,09/24/2018,233.875
76,09/21/2018,234.925
77,09/20/2018,233.658
78,09/19/2018,233.58085
79,09/18/2018,233.58499999999998
80,09/17/2018,233.0475
81,09/14/2018,236.735
82,09/13/2018,242.52
83,09/12/2018,243.675
84,09/11/2018,244.165
85,09/10/2018,242.95960000000002
86,09/07/2018,240.075
87,09/06/2018,235.91500000000002
88,09/05/2018,234.685
89,09/04/2018,234.02499999999998
90,08/31/2018,231.865
91,08/30/2018,230.3
92,08/29/2018,230.36725
93,08/28/2018,230.835
94,08/27/2018,230.48000000000002
95,08/24/2018,230.82999999999998
96,08/23/2018,229.45999999999998
97,08/22/2018,229.30595
98,08/21/2018,228.89999999999998
99,08/20/2018,227.095
100,08/17/2018,224.015
101,08/16/2018,223.2
102,08/15/2018,220.44
103,08/14/2018,221.21
104,08/13/2018,220.32
105,08/10/2018,219.7351
106,08/09/2018,219.63004999999998
107,08/08/2018,223.56
108,08/07/2018,224.23
109,08/06/2018,222.1406
110,08/03/2018,221.81
111,08/02/2018,218.2065
