,Date,Avg
1,01/10/2019,3.65
2,01/09/2019,3.535
3,01/08/2019,3.495
4,01/07/2019,3.3150000000000004
5,01/04/2019,3.3395
6,01/03/2019,3.125
7,01/02/2019,2.9775
8,12/31/2018,2.865
9,12/28/2018,2.875
10,12/27/2018,2.915
11,12/26/2018,2.9025
12,12/24/2018,2.8925
13,12/21/2018,2.9025
14,12/20/2018,2.98
15,12/19/2018,3.245
16,12/18/2018,3.315
17,12/17/2018,3.5250000000000004
18,12/14/2018,4.135
19,12/13/2018,4.54
20,12/12/2018,4.615
21,12/11/2018,4.57
22,12/10/2018,4.4350000000000005
23,12/07/2018,4.645
24,12/06/2018,4.54
25,12/04/2018,4.945
26,12/03/2018,4.734999999999999
27,11/30/2018,4.5423
28,11/29/2018,4.23
29,11/28/2018,3.9074999999999998
30,11/27/2018,3.7
31,11/26/2018,3.6849999999999996
32,11/23/2018,3.66
33,11/21/2018,3.66
34,11/20/2018,3.49
35,11/19/2018,3.64
36,11/16/2018,3.52
37,11/15/2018,3.6550000000000002
38,11/14/2018,3.73
39,11/13/2018,3.8475
40,11/12/2018,3.84
41,11/09/2018,3.79
42,11/08/2018,3.705
43,11/07/2018,3.7190000000000003
44,11/06/2018,3.545
45,11/05/2018,3.52
46,11/02/2018,3.505
47,11/01/2018,3.26
48,10/31/2018,3.05
49,10/30/2018,2.7199999999999998
50,10/29/2018,3.135
51,10/26/2018,2.9626
52,10/25/2018,2.875
53,10/24/2018,2.815
54,10/23/2018,2.9050000000000002
55,10/22/2018,2.945
56,10/19/2018,2.9524999999999997
57,10/18/2018,2.9450000000000003
58,10/17/2018,2.8200000000000003
59,10/16/2018,2.7275
60,10/15/2018,2.58
61,10/12/2018,2.66485
62,10/11/2018,2.7275
63,10/10/2018,2.94
64,10/09/2018,2.9525
65,10/08/2018,2.8049999999999997
66,10/05/2018,2.745
67,10/04/2018,2.6925
68,10/03/2018,2.84
69,10/02/2018,3.105
70,10/01/2018,3.365
71,09/28/2018,3.51
72,09/27/2018,3.56445
73,09/26/2018,3.4699999999999998
74,09/25/2018,3.455
75,09/24/2018,3.425
76,09/21/2018,3.495
77,09/20/2018,3.5149999999999997
78,09/19/2018,3.44
79,09/18/2018,3.325
80,09/17/2018,3.2649999999999997
81,09/14/2018,3.3449999999999998
82,09/13/2018,3.33
83,09/12/2018,3.21
84,09/11/2018,3.165
85,09/10/2018,3.1550000000000002
86,09/07/2018,3.29
87,09/06/2018,3.425
88,09/05/2018,3.5949999999999998
89,09/04/2018,3.665
90,08/31/2018,3.75
91,08/30/2018,3.62
92,08/29/2018,3.5949999999999998
93,08/28/2018,3.59
94,08/27/2018,3.6100000000000003
95,08/24/2018,3.55
96,08/23/2018,3.5275
97,08/22/2018,3.5250000000000004
98,08/21/2018,3.5700000000000003
99,08/20/2018,3.5075000000000003
100,08/17/2018,3.3449999999999998
101,08/16/2018,3.2199999999999998
102,08/15/2018,3.3049999999999997
103,08/14/2018,3.14
104,08/13/2018,3.13
105,08/10/2018,3.045
106,08/09/2018,3.06215
107,08/08/2018,3.0300000000000002
108,08/07/2018,3.1975
109,08/06/2018,3.3049999999999997
110,08/03/2018,3.175
111,08/02/2018,3.125
112,08/01/2018,3.2125
113,07/31/2018,3.365
114,07/30/2018,3.2350000000000003
115,07/27/2018,3.2
116,07/26/2018,3.23
117,07/25/2018,3.0675
118,07/24/2018,3.0625
119,07/23/2018,3.0300000000000002
120,07/20/2018,2.74
121,07/19/2018,2.74
122,07/18/2018,2.7350000000000003
123,07/17/2018,2.725
124,07/16/2018,2.77
125,07/13/2018,2.9000000000000004
126,07/12/2018,2.92
127,07/11/2018,2.92
128,07/10/2018,3.04
129,07/09/2018,3.145
130,07/06/2018,3.1100000000000003
131,07/05/2018,3.12
132,07/03/2018,2.99
133,07/02/2018,3.27
134,06/29/2018,3.495
135,06/28/2018,3.765
136,06/27/2018,3.987
137,06/26/2018,4.0825
138,06/25/2018,4.140000000000001
139,06/22/2018,4.359999999999999
140,06/21/2018,4.535
141,06/20/2018,4.535
142,06/19/2018,4.414999999999999
143,06/18/2018,4.465
144,06/15/2018,4.365
145,06/14/2018,4.359999999999999
146,06/13/2018,4.41
147,06/12/2018,4.45
148,06/11/2018,4.484999999999999
149,06/08/2018,4.21
150,06/07/2018,4.115
151,06/06/2018,3.87
152,06/05/2018,3.96
153,06/04/2018,3.925
154,06/01/2018,4.07
155,05/31/2018,4.29
156,05/30/2018,4.404999999999999
157,05/29/2018,4.245
158,05/25/2018,4.369999999999999
159,05/24/2018,4.395
160,05/23/2018,4.494999999999999
161,05/22/2018,4.51
162,05/21/2018,4.595
163,05/18/2018,4.555
164,05/17/2018,4.4907
165,05/16/2018,4.484999999999999
166,05/15/2018,4.4075
167,05/14/2018,4.435
168,05/11/2018,4.335
169,05/10/2018,4.4425
170,05/09/2018,4.48
171,05/08/2018,4.74
172,05/07/2018,4.895
173,05/04/2018,4.8505
174,05/03/2018,4.875
175,05/02/2018,4.715
176,05/01/2018,3.87
177,04/30/2018,3.81
178,04/27/2018,3.755
179,04/26/2018,3.84395
180,04/25/2018,3.84
181,04/24/2018,3.88
182,04/23/2018,3.92
183,04/20/2018,4.105
184,04/19/2018,4.175
185,04/18/2018,4.295
186,04/17/2018,4.13
187,04/16/2018,4.15
188,04/13/2018,4.154999999999999
189,04/12/2018,4.08
190,04/11/2018,4.0575
191,04/10/2018,4.09
192,04/09/2018,4.1525
193,04/06/2018,4.17
194,04/05/2018,4.1625
195,04/04/2018,4.01
196,04/03/2018,3.9225000000000003
197,04/02/2018,3.9074999999999998
198,03/29/2018,4.07
199,03/28/2018,4.145
200,03/27/2018,4.11
201,03/26/2018,4.2275
202,03/23/2018,4.295
203,03/22/2018,4.18
204,03/21/2018,4.245
205,03/20/2018,4.225
206,03/19/2018,4.27
207,03/16/2018,4.43
208,03/15/2018,4.515000000000001
209,03/14/2018,4.415
210,03/13/2018,4.6925
211,03/12/2018,4.9350000000000005
212,03/09/2018,4.895
213,03/08/2018,4.89
214,03/07/2018,4.8825
215,03/06/2018,4.85
216,03/05/2018,4.725
217,03/02/2018,4.640000000000001
218,03/01/2018,4.65
219,02/28/2018,5.325
220,02/27/2018,6.0649999999999995
221,02/26/2018,5.779999999999999
222,02/23/2018,5.865
223,02/22/2018,6.12
224,02/21/2018,5.99
225,02/20/2018,5.9849499999999995
226,02/16/2018,6.055
227,02/15/2018,5.59
228,02/14/2018,5.395
229,02/13/2018,5.452500000000001
230,02/12/2018,5.449999999999999
231,02/09/2018,5.365
232,02/08/2018,5.625
233,02/07/2018,5.505
234,02/06/2018,5.27
235,02/05/2018,5.43
236,02/02/2018,5.550050000000001
237,02/01/2018,5.6
238,01/31/2018,5.6899999999999995
239,01/30/2018,5.705
240,01/29/2018,5.7875
241,01/26/2018,5.640000000000001
242,01/25/2018,5.4275
243,01/24/2018,5.48
244,01/23/2018,5.64495
245,01/22/2018,5.585
246,01/19/2018,5.135
247,01/18/2018,5.1
248,01/17/2018,5.08
249,01/16/2018,5.09
250,01/12/2018,4.949999999999999
251,01/11/2018,4.585
252,01/10/2018,4.0
253,01/09/2018,3.965
254,01/08/2018,4.03
255,01/05/2018,4.15
256,01/04/2018,4.234999999999999
257,01/03/2018,4.145
258,01/02/2018,4.365
259,12/29/2017,4.3100000000000005
260,12/28/2017,4.17
261,12/27/2017,4.0649999999999995
262,12/26/2017,4.14
263,12/22/2017,3.995
264,12/21/2017,4.035
265,12/20/2017,4.03
266,12/19/2017,4.13
267,12/18/2017,4.27
268,12/15/2017,4.175
269,12/14/2017,4.2
270,12/13/2017,4.369999999999999
271,12/12/2017,4.46
272,12/11/2017,4.3375
273,12/08/2017,4.2575
274,12/07/2017,4.140000000000001
275,12/06/2017,4.015000000000001
276,12/05/2017,4.1025
277,12/04/2017,4.325
278,12/01/2017,4.445
279,11/30/2017,4.56615
280,11/29/2017,4.365
281,11/28/2017,4.225
282,11/27/2017,4.205
283,11/24/2017,4.1899999999999995
284,11/22/2017,4.115
285,11/21/2017,3.9749999999999996
286,11/20/2017,4.0600000000000005
287,11/17/2017,4.1899999999999995
288,11/16/2017,4.165
289,11/15/2017,4.1
290,11/14/2017,4.205
291,11/13/2017,4.32
292,11/10/2017,4.465
293,11/09/2017,4.505
294,11/08/2017,4.485
295,11/07/2017,4.465
296,11/06/2017,4.4
297,11/03/2017,4.48
298,11/02/2017,4.705
299,11/01/2017,5.5575
300,10/31/2017,5.91
301,10/30/2017,5.8100000000000005
302,10/27/2017,5.9775
303,10/26/2017,6.0017
304,10/25/2017,6.199999999999999
305,10/24/2017,6.3725000000000005
306,10/23/2017,6.47
307,10/20/2017,6.43
308,10/19/2017,6.05
309,10/18/2017,6.225
310,10/17/2017,6.145
311,10/16/2017,5.875
312,10/13/2017,5.58
313,10/12/2017,6.11
314,10/11/2017,6.295
315,10/10/2017,6.51
316,10/09/2017,6.802
317,10/06/2017,7.25
318,10/05/2017,7.455
319,10/04/2017,7.575
320,10/03/2017,7.640000000000001
321,10/02/2017,7.744999999999999
322,09/29/2017,7.654999999999999
323,09/28/2017,7.4625
324,09/27/2017,7.455
325,09/26/2017,7.41
326,09/25/2017,7.35
327,09/22/2017,7.2975
328,09/21/2017,7.275
329,09/20/2017,7.1475
330,09/19/2017,7.154999999999999
331,09/18/2017,7.390000000000001
332,09/15/2017,7.635
333,09/14/2017,7.475
334,09/13/2017,7.505000000000001
335,09/12/2017,7.555
336,09/11/2017,7.35
337,09/08/2017,7.15
338,09/07/2017,7.175000000000001
339,09/06/2017,7.3725000000000005
340,09/05/2017,7.775
