,Date,Avg
1,01/10/2019,6.25
2,01/09/2019,6.9365000000000006
3,01/08/2019,9.0159
4,01/07/2019,9.0159
5,01/04/2019,6.48
6,01/03/2019,6.07505
7,01/02/2019,6.535
8,12/31/2018,8.4336
9,12/28/2018,7.15
10,12/27/2018,6.233750000000001
11,12/26/2018,7.98
12,12/24/2018,6.30495
13,12/21/2018,5.6776
14,12/20/2018,7.155
15,12/19/2018,6.75
16,12/18/2018,7.57565
17,12/17/2018,6.725
18,12/14/2018,6.550000000000001
19,12/13/2018,7.2
20,12/12/2018,7.63675
21,12/11/2018,7.3267
22,12/10/2018,8.0475
23,12/07/2018,8.81495
24,12/06/2018,7.588800000000001
25,12/04/2018,7.655
26,12/03/2018,7.32
27,11/30/2018,9.9399
28,11/29/2018,7.970000000000001
29,11/28/2018,8.31995
30,11/27/2018,7.5
31,11/26/2018,7.614
32,11/23/2018,6.8065
33,11/21/2018,6.8057
34,11/20/2018,9.95
35,11/19/2018,9.95
36,11/16/2018,9.95
37,11/15/2018,9.87
38,11/14/2018,9.88
39,11/13/2018,9.95
40,11/12/2018,9.94
41,11/09/2018,8.63095
42,11/08/2018,9.0
43,11/07/2018,9.245000000000001
44,11/06/2018,8.51005
45,11/05/2018,9.35
46,11/02/2018,9.38
47,11/01/2018,9.38
48,10/31/2018,7.9982500000000005
49,10/30/2018,6.494999999999999
50,10/29/2018,7.69
51,10/26/2018,7.11475
52,10/25/2018,8.11005
53,10/24/2018,9.85
54,10/23/2018,8.184999999999999
55,10/22/2018,8.925
56,10/19/2018,8.015
57,10/18/2018,8.36535
58,10/17/2018,8.74
59,10/16/2018,8.52
60,10/15/2018,8.13
61,10/12/2018,8.694949999999999
62,10/11/2018,8.25995
63,10/10/2018,9.12
64,10/09/2018,8.655000000000001
65,10/08/2018,7.805
66,10/05/2018,8.2
67,10/04/2018,9.614999999999998
68,10/03/2018,9.43505
69,10/02/2018,10.12
70,10/01/2018,9.760000000000002
71,09/28/2018,9.68265
72,09/27/2018,9.280000000000001
73,09/26/2018,9.05005
74,09/25/2018,9.0959
75,09/24/2018,9.18
76,09/21/2018,9.32
77,09/20/2018,10.45
78,09/19/2018,9.825
79,09/18/2018,8.9094
80,09/17/2018,8.995000000000001
81,09/14/2018,10.03
82,09/13/2018,10.03
83,09/12/2018,9.975
84,09/11/2018,10.375
85,09/10/2018,11.05
86,09/07/2018,10.9138
87,09/06/2018,10.705
88,09/05/2018,11.75
89,09/04/2018,10.9
90,08/31/2018,10.68825
91,08/30/2018,10.99
92,08/29/2018,10.99
93,08/28/2018,10.74175
94,08/27/2018,10.71
95,08/24/2018,10.370000000000001
96,08/23/2018,9.915
97,08/22/2018,10.665
98,08/21/2018,11.82
99,08/20/2018,10.59085
100,08/17/2018,9.794
101,08/16/2018,10.995000000000001
102,08/15/2018,9.65455
103,08/14/2018,9.7
104,08/13/2018,12.48
105,08/10/2018,13.086500000000001
106,08/09/2018,12.31315
107,08/08/2018,12.6421
108,08/07/2018,12.15
109,08/06/2018,12.075
110,08/03/2018,11.6
111,08/02/2018,11.475
112,08/01/2018,11.03
113,07/31/2018,11.054400000000001
114,07/30/2018,11.069
115,07/27/2018,11.069
116,07/26/2018,11.184999999999999
117,07/25/2018,11.37
118,07/24/2018,11.67125
119,07/23/2018,12.27
120,07/20/2018,12.49
