,Date,Avg
1,01/10/2019,20.7384
2,01/09/2019,20.950000000000003
3,01/08/2019,20.990000000000002
4,01/07/2019,21.025
5,01/04/2019,21.039250000000003
6,01/03/2019,20.935000000000002
7,01/02/2019,20.54
8,12/31/2018,20.855
9,12/28/2018,20.88185
10,12/27/2018,21.9408
11,12/26/2018,21.525
12,12/24/2018,20.92
13,12/21/2018,21.545
14,12/20/2018,21.515
15,12/19/2018,21.6341
16,12/18/2018,21.45915
17,12/17/2018,21.34845
18,12/14/2018,21.365000000000002
19,12/13/2018,21.3
20,12/12/2018,21.350700000000003
21,12/11/2018,21.47
22,12/10/2018,21.425
23,12/07/2018,21.6721
24,12/06/2018,21.79
25,12/04/2018,21.925
26,12/03/2018,22.005
27,11/30/2018,21.9442
28,11/29/2018,21.882
29,11/28/2018,21.4
30,11/27/2018,21.354999999999997
31,11/26/2018,21.29495
32,11/23/2018,21.325000000000003
33,11/21/2018,21.37
34,11/20/2018,21.335
35,11/19/2018,21.325
36,11/16/2018,21.443199999999997
37,11/15/2018,21.445
38,11/14/2018,21.715000000000003
39,11/13/2018,22.1515
40,11/12/2018,22.39
41,11/09/2018,22.545
42,11/08/2018,22.7405
43,11/07/2018,22.475
44,11/06/2018,22.447499999999998
45,11/05/2018,22.344949999999997
46,11/02/2018,22.315
47,11/01/2018,22.28285
48,10/31/2018,22.071150000000003
49,10/30/2018,21.9
50,10/29/2018,21.805
51,10/26/2018,21.86
52,10/25/2018,22.2075
53,10/24/2018,22.3
54,10/23/2018,22.2
55,10/22/2018,22.105
56,10/19/2018,22.08
57,10/18/2018,22.134999999999998
58,10/17/2018,22.765
59,10/16/2018,22.58805
60,10/15/2018,22.29
61,10/12/2018,21.805
62,10/11/2018,21.69
63,10/10/2018,22.36
64,10/09/2018,22.675800000000002
65,10/08/2018,22.625
66,10/05/2018,22.77495
67,10/04/2018,23.060000000000002
68,10/03/2018,23.075499999999998
69,10/02/2018,23.0254
70,10/01/2018,22.945
71,09/28/2018,22.895
72,09/27/2018,22.89255
73,09/26/2018,22.715
74,09/25/2018,22.595
75,09/24/2018,22.605
76,09/21/2018,22.585
77,09/20/2018,22.58
78,09/19/2018,22.72005
79,09/18/2018,22.744999999999997
80,09/17/2018,22.875
81,09/14/2018,22.855
82,09/13/2018,22.83665
83,09/12/2018,22.84645
84,09/11/2018,22.64
85,09/10/2018,22.545
86,09/07/2018,22.49055
87,09/06/2018,22.498800000000003
88,09/05/2018,22.335
89,09/04/2018,22.380000000000003
90,08/31/2018,22.53
91,08/30/2018,22.47
92,08/29/2018,22.32
93,08/28/2018,22.174750000000003
94,08/27/2018,22.205849999999998
95,08/24/2018,22.2925
96,08/23/2018,22.435000000000002
97,08/22/2018,22.705
98,08/21/2018,22.905
99,08/20/2018,23.175
100,08/17/2018,23.1784
101,08/16/2018,22.8608
102,08/15/2018,22.564999999999998
103,08/14/2018,22.42
104,08/13/2018,22.295
105,08/10/2018,22.18065
106,08/09/2018,22.03
107,08/08/2018,21.8
108,08/07/2018,21.799999999999997
109,08/06/2018,21.665
110,08/03/2018,21.78155
111,08/02/2018,21.985
112,08/01/2018,22.325
113,07/31/2018,22.575000000000003
114,07/30/2018,22.520000000000003
115,07/27/2018,22.415
116,07/26/2018,22.38
117,07/25/2018,22.390900000000002
118,07/24/2018,22.8
