,Date,Avg
1,01/10/2019,9.535
2,01/09/2019,9.502500000000001
3,01/08/2019,9.2475
4,01/07/2019,9.1375
5,01/04/2019,8.995
6,01/03/2019,8.885
7,01/02/2019,8.945
8,12/31/2018,9.004999999999999
9,12/28/2018,9.072500000000002
10,12/27/2018,8.865
11,12/26/2018,8.8875
12,12/24/2018,8.8675
13,12/21/2018,9.030000000000001
14,12/20/2018,9.1525
15,12/19/2018,9.5375
16,12/18/2018,9.64
17,12/17/2018,9.745000000000001
18,12/14/2018,9.8925
19,12/13/2018,9.86
20,12/12/2018,9.85
21,12/11/2018,9.8625
22,12/10/2018,9.935
23,12/07/2018,10.1975
24,12/06/2018,10.21
25,12/04/2018,10.5
26,12/03/2018,10.594999999999999
27,11/30/2018,10.55
28,11/29/2018,10.635000000000002
29,11/28/2018,10.5725
30,11/27/2018,10.572500000000002
31,11/26/2018,10.555
32,11/23/2018,10.442499999999999
33,11/21/2018,10.5
34,11/20/2018,10.445
35,11/19/2018,10.48
36,11/16/2018,10.4725
37,11/15/2018,10.415
38,11/14/2018,10.455
39,11/13/2018,10.5
40,11/12/2018,10.51
41,11/09/2018,10.5175
42,11/08/2018,10.5075
43,11/07/2018,10.395
44,11/06/2018,10.34
45,11/05/2018,10.42
46,11/02/2018,10.370000000000001
47,11/01/2018,10.3425
48,10/31/2018,10.5
49,10/30/2018,10.42
50,10/29/2018,10.32
51,10/26/2018,10.17
52,10/25/2018,10.205
53,10/24/2018,10.215
54,10/23/2018,10.2875
55,10/22/2018,10.462499999999999
56,10/19/2018,10.51
57,10/18/2018,10.56
58,10/17/2018,10.64
59,10/16/2018,10.625
60,10/15/2018,10.5775
61,10/12/2018,10.625
62,10/11/2018,10.8
63,10/10/2018,11.11
64,10/09/2018,11.2975
65,10/08/2018,11.325
66,10/05/2018,11.219999999999999
67,10/04/2018,11.37
68,10/03/2018,11.432500000000001
69,10/02/2018,11.4875
70,10/01/2018,11.629999999999999
71,09/28/2018,11.620000000000001
72,09/27/2018,11.605
73,09/26/2018,11.735
74,09/25/2018,11.7725
75,09/24/2018,11.719999999999999
76,09/21/2018,11.91
77,09/20/2018,11.8275
78,09/19/2018,11.835
79,09/18/2018,11.91
80,09/17/2018,11.9
81,09/14/2018,11.8
82,09/13/2018,11.835
83,09/12/2018,11.77
84,09/11/2018,11.8025
85,09/10/2018,11.845
86,09/07/2018,11.76
87,09/06/2018,11.780000000000001
88,09/05/2018,11.7725
89,09/04/2018,11.8
90,08/31/2018,11.98
91,08/30/2018,11.985
92,08/29/2018,11.954999999999998
93,08/28/2018,11.775
94,08/27/2018,11.65
95,08/24/2018,11.73
96,08/23/2018,11.815000000000001
97,08/22/2018,11.870000000000001
98,08/21/2018,11.8
99,08/20/2018,11.805
100,08/17/2018,11.795
101,08/16/2018,11.780000000000001
102,08/15/2018,11.715
103,08/14/2018,11.6275
104,08/13/2018,11.54
105,08/10/2018,11.53
106,08/09/2018,11.565000000000001
107,08/08/2018,11.6905
108,08/07/2018,11.8
109,08/06/2018,11.754999999999999
110,08/03/2018,11.965
111,08/02/2018,12.1425
112,08/01/2018,11.94
113,07/31/2018,11.84
114,07/30/2018,11.725
115,07/27/2018,11.8325
116,07/26/2018,11.942499999999999
117,07/25/2018,11.9375
118,07/24/2018,12.225000000000001
119,07/23/2018,12.29
120,07/20/2018,12.2325
121,07/19/2018,12.215
122,07/18/2018,12.17
123,07/17/2018,12.265
124,07/16/2018,12.28
125,07/13/2018,12.317499999999999
126,07/12/2018,12.145
127,07/11/2018,12.280000000000001
128,07/10/2018,12.454999999999998
129,07/09/2018,12.4775
130,07/06/2018,12.467500000000001
131,07/05/2018,12.33
132,07/03/2018,12.265
133,07/02/2018,12.142499999999998
134,06/29/2018,12.16
135,06/28/2018,12.04
136,06/27/2018,12.155000000000001
137,06/26/2018,12.205
138,06/25/2018,12.27
139,06/22/2018,12.355
140,06/21/2018,12.3
141,06/20/2018,12.28
142,06/19/2018,12.1705
143,06/18/2018,12.1825
144,06/15/2018,12.1975
145,06/14/2018,12.195
146,06/13/2018,12.1675
147,06/12/2018,12.34
148,06/11/2018,12.3825
149,06/08/2018,12.4925
150,06/07/2018,12.555
151,06/06/2018,12.66
152,06/05/2018,12.8
153,06/04/2018,12.907499999999999
154,06/01/2018,12.745000000000001
155,05/31/2018,12.82
156,05/30/2018,12.75
157,05/29/2018,12.58
158,05/25/2018,12.55
159,05/24/2018,12.46
160,05/23/2018,12.41
161,05/22/2018,12.3525
162,05/21/2018,12.225
163,05/18/2018,11.7775
164,05/17/2018,11.7875
165,05/16/2018,11.675
166,05/15/2018,11.7325
167,05/14/2018,11.879999999999999
168,05/11/2018,11.9225
169,05/10/2018,11.86
170,05/09/2018,11.6775
171,05/08/2018,11.52
172,05/07/2018,11.435
173,05/04/2018,11.205
174,05/03/2018,11.18
175,05/02/2018,11.01
176,05/01/2018,11.0
177,04/30/2018,11.125
178,04/27/2018,11.125
179,04/26/2018,11.1075
180,04/25/2018,11.07
181,04/24/2018,11.057500000000001
182,04/23/2018,11.06
183,04/20/2018,11.094999999999999
184,04/19/2018,11.115
185,04/18/2018,11.192499999999999
186,04/17/2018,11.105
187,04/16/2018,11.0275
188,04/13/2018,10.875
189,04/12/2018,10.535
190,04/11/2018,10.2825
191,04/10/2018,10.2725
192,04/09/2018,10.42
193,04/06/2018,10.4925
194,04/05/2018,10.4825
195,04/04/2018,10.455
196,04/03/2018,10.445
197,04/02/2018,10.385
198,03/29/2018,10.485
199,03/28/2018,10.504999999999999
200,03/27/2018,10.192499999999999
201,03/26/2018,10.157499999999999
202,03/23/2018,10.14
203,03/22/2018,10.39375
204,03/21/2018,10.52
205,03/20/2018,10.690000000000001
206,03/19/2018,10.6775
207,03/16/2018,10.719999999999999
208,03/15/2018,10.6475
209,03/14/2018,10.625
210,03/13/2018,10.65
211,03/12/2018,10.635
212,03/09/2018,10.614999999999998
213,03/08/2018,10.52
214,03/07/2018,10.46
215,03/06/2018,10.2975
216,03/05/2018,10.21
217,03/02/2018,10.03
218,03/01/2018,10.18
219,02/28/2018,10.295
220,02/27/2018,10.625
221,02/26/2018,11.0
222,02/23/2018,11.0275
223,02/22/2018,10.9225
224,02/21/2018,11.035
225,02/20/2018,11.235
226,02/16/2018,11.3775
227,02/15/2018,11.28005
228,02/14/2018,11.0975
229,02/13/2018,11.025
230,02/12/2018,11.004999999999999
231,02/09/2018,10.98
232,02/08/2018,10.9875
233,02/07/2018,11.23
234,02/06/2018,11.0
235,02/05/2018,11.280000000000001
236,02/02/2018,11.54
237,02/01/2018,11.754999999999999
238,01/31/2018,11.71
239,01/30/2018,11.705
240,01/29/2018,11.815000000000001
241,01/26/2018,11.9
242,01/25/2018,11.9475
243,01/24/2018,12.035
244,01/23/2018,11.870000000000001
245,01/22/2018,11.735
246,01/19/2018,11.649999999999999
247,01/18/2018,11.645
248,01/17/2018,11.73
249,01/16/2018,11.75
250,01/12/2018,11.605
251,01/11/2018,11.55
252,01/10/2018,11.370000000000001
253,01/09/2018,11.32
254,01/08/2018,11.2425
255,01/05/2018,11.18
256,01/04/2018,11.215
257,01/03/2018,11.344999999999999
258,01/02/2018,11.3125
259,12/29/2017,11.37
260,12/28/2017,11.355
261,12/27/2017,11.405000000000001
262,12/26/2017,11.395
263,12/22/2017,11.395
264,12/21/2017,11.407499999999999
265,12/20/2017,11.5025
266,12/19/2017,11.555
267,12/18/2017,11.620000000000001
268,12/15/2017,11.45
269,12/14/2017,11.335
270,12/13/2017,11.265
271,12/12/2017,11.23
272,12/11/2017,11.29
273,12/08/2017,11.25
274,12/07/2017,11.2825
275,12/06/2017,11.25
276,12/05/2017,11.27
277,12/04/2017,11.475
278,12/01/2017,11.127500000000001
279,11/30/2017,11.085
280,11/29/2017,11.02
281,11/28/2017,11.04
282,11/27/2017,11.17
283,11/24/2017,11.1775
284,11/22/2017,11.26
285,11/21/2017,11.25
286,11/20/2017,11.155000000000001
287,11/17/2017,11.175
288,11/16/2017,11.145
289,11/15/2017,11.1175
290,11/14/2017,11.085
291,11/13/2017,11.245000000000001
292,11/10/2017,11.295
293,11/09/2017,11.34
294,11/08/2017,11.325
295,11/07/2017,11.43
296,11/06/2017,11.01
297,11/03/2017,10.995000000000001
298,11/02/2017,10.8975
299,11/01/2017,10.9225
300,10/31/2017,10.77
301,10/30/2017,10.787500000000001
302,10/27/2017,10.8675
303,10/26/2017,10.825
304,10/25/2017,10.73
305,10/24/2017,10.655000000000001
306,10/23/2017,10.665
307,10/20/2017,10.86
308,10/19/2017,11.100000000000001
309,10/18/2017,11.075
310,10/17/2017,11.015
311,10/16/2017,11.045
312,10/13/2017,11.0575
313,10/12/2017,10.995000000000001
314,10/11/2017,11.004999999999999
315,10/10/2017,11.002500000000001
316,10/09/2017,10.96
317,10/06/2017,10.92
318,10/05/2017,10.905000000000001
319,10/04/2017,10.8
320,10/03/2017,10.83
321,10/02/2017,10.932500000000001
322,09/29/2017,10.94
323,09/28/2017,10.8575
324,09/27/2017,10.885
325,09/26/2017,10.9525
326,09/25/2017,10.9875
327,09/22/2017,10.825
328,09/21/2017,10.835
329,09/20/2017,10.7975
330,09/19/2017,10.805
331,09/18/2017,10.870000000000001
332,09/15/2017,10.835
333,09/14/2017,10.844999999999999
334,09/13/2017,10.864999999999998
335,09/12/2017,10.81
336,09/11/2017,10.785
337,09/08/2017,10.615
338,09/07/2017,10.605
339,09/06/2017,10.594999999999999
340,09/05/2017,10.83
341,09/01/2017,11.02
342,08/31/2017,10.945
343,08/30/2017,10.809999999999999
344,08/29/2017,10.6325
345,08/28/2017,10.719999999999999
346,08/25/2017,10.715
347,08/24/2017,10.75
348,08/23/2017,10.745000000000001
349,08/22/2017,10.835
350,08/21/2017,10.7525
351,08/18/2017,10.855
352,08/17/2017,11.15
353,08/16/2017,11.2
354,08/15/2017,11.115
355,08/14/2017,11.125
356,08/11/2017,10.93
357,08/10/2017,10.925
358,08/09/2017,11.0246
359,08/08/2017,11.489999999999998
360,08/07/2017,11.6125
361,08/04/2017,11.505
362,08/03/2017,11.4775
363,08/02/2017,11.565000000000001
364,08/01/2017,11.715
