,Date,Avg
1,01/10/2019,8.1598
2,01/09/2019,7.9969
3,01/08/2019,8.039349999999999
4,01/07/2019,7.9206
5,01/04/2019,7.859999999999999
6,01/03/2019,7.75
7,01/02/2019,7.68
8,12/31/2018,7.75
9,12/28/2018,7.723649999999999
10,12/27/2018,7.63
11,12/26/2018,7.7707
12,12/24/2018,7.666399999999999
13,12/21/2018,7.86
14,12/20/2018,7.86
15,12/19/2018,7.95
16,12/18/2018,7.994999999999999
17,12/17/2018,7.970000000000001
18,12/14/2018,8.04005
19,12/13/2018,8.105
20,12/12/2018,8.07025
21,12/11/2018,8.045
22,12/10/2018,8.065
23,12/07/2018,8.23
24,12/06/2018,8.14
25,12/04/2018,8.464849999999998
26,12/03/2018,8.526299999999999
27,11/30/2018,8.4
28,11/29/2018,8.4187
29,11/28/2018,8.34
30,11/27/2018,8.3
31,11/26/2018,8.38
32,11/23/2018,8.32
33,11/21/2018,8.335
34,11/20/2018,8.235
35,11/19/2018,8.315000000000001
36,11/16/2018,8.3414
37,11/15/2018,8.40745
38,11/14/2018,8.451550000000001
39,11/13/2018,8.45
40,11/12/2018,8.445
41,11/09/2018,8.515
42,11/08/2018,8.60005
43,11/07/2018,8.575
44,11/06/2018,8.530000000000001
45,11/05/2018,8.68
46,11/02/2018,8.61
47,11/01/2018,8.585049999999999
48,10/31/2018,8.52125
49,10/30/2018,8.407499999999999
50,10/29/2018,8.488150000000001
51,10/26/2018,8.37505
52,10/25/2018,8.45
53,10/24/2018,8.4665
54,10/23/2018,8.55
55,10/22/2018,8.7
56,10/19/2018,8.719999999999999
57,10/18/2018,8.7997
58,10/17/2018,8.90005
59,10/16/2018,8.788499999999999
60,10/15/2018,8.675
61,10/12/2018,8.7429
62,10/11/2018,8.7441
63,10/10/2018,8.85135
64,10/09/2018,8.805
65,10/08/2018,9.0425
66,10/05/2018,9.2075
67,10/04/2018,9.242650000000001
68,10/03/2018,9.36445
69,10/02/2018,9.39
70,10/01/2018,9.379999999999999
71,09/28/2018,9.375
72,09/27/2018,9.510000000000002
73,09/26/2018,9.55545
74,09/25/2018,9.4725
75,09/24/2018,9.47955
76,09/21/2018,9.52
77,09/20/2018,9.525
78,09/19/2018,9.43505
79,09/18/2018,9.43
80,09/17/2018,9.440000000000001
81,09/14/2018,9.42
82,09/13/2018,9.36
83,09/12/2018,9.277899999999999
84,09/11/2018,9.280000000000001
85,09/10/2018,9.254999999999999
86,09/07/2018,9.22095
87,09/06/2018,9.254999999999999
88,09/05/2018,9.3812
89,09/04/2018,9.384599999999999
90,08/31/2018,9.495000000000001
91,08/30/2018,9.58915
92,08/29/2018,9.5574
93,08/28/2018,9.5838
94,08/27/2018,9.51505
95,08/24/2018,9.50565
96,08/23/2018,9.396650000000001
97,08/22/2018,9.385449999999999
98,08/21/2018,9.33915
99,08/20/2018,9.135000000000002
100,08/17/2018,9.20495
101,08/16/2018,9.286950000000001
102,08/15/2018,9.18505
103,08/14/2018,9.31
104,08/13/2018,9.27505
105,08/10/2018,9.306999999999999
106,08/09/2018,9.45
107,08/08/2018,9.453
108,08/07/2018,9.593499999999999
