,Date,Avg
1,01/10/2019,6.66
2,01/09/2019,6.7261
3,01/08/2019,6.755
4,01/07/2019,6.762499999999999
5,01/04/2019,6.57
6,01/03/2019,6.41
7,01/02/2019,6.475
8,12/31/2018,6.57
9,12/28/2018,6.7165
10,12/27/2018,6.495
11,12/26/2018,6.0600000000000005
12,12/24/2018,5.575
13,12/21/2018,5.74
14,12/20/2018,5.824999999999999
15,12/19/2018,6.34
16,12/18/2018,6.60125
17,12/17/2018,6.9049499999999995
18,12/14/2018,7.0071
19,12/13/2018,7.09
20,12/12/2018,7.205
21,12/11/2018,7.165
22,12/10/2018,7.1125
23,12/07/2018,7.0825
24,12/06/2018,6.85
25,12/04/2018,7.215
26,12/03/2018,7.71
27,11/30/2018,7.43
28,11/29/2018,7.37
29,11/28/2018,7.24
30,11/27/2018,7.055
31,11/26/2018,7.140000000000001
32,11/23/2018,7.005000000000001
33,11/21/2018,6.93
34,11/20/2018,6.845000000000001
35,11/19/2018,7.305
36,11/16/2018,7.8626000000000005
37,11/15/2018,7.845
38,11/14/2018,7.7975
39,11/13/2018,8.0325
40,11/12/2018,8.225
41,11/09/2018,8.32
42,11/08/2018,8.26
43,11/07/2018,8.21
44,11/06/2018,7.99
45,11/05/2018,7.925
46,11/02/2018,8.025
47,11/01/2018,7.54
48,10/31/2018,7.245
49,10/30/2018,6.779999999999999
50,10/29/2018,6.795
51,10/26/2018,7.0
52,10/25/2018,7.175
53,10/24/2018,7.305
54,10/23/2018,7.55
55,10/22/2018,7.725
56,10/19/2018,7.83
57,10/18/2018,7.890000000000001
58,10/17/2018,7.895
59,10/16/2018,7.595000000000001
60,10/15/2018,7.245
61,10/12/2018,7.2
62,10/11/2018,6.77
63,10/10/2018,7.055
64,10/09/2018,7.55
65,10/08/2018,7.525
66,10/05/2018,7.7006499999999996
67,10/04/2018,7.7725
68,10/03/2018,7.7782
69,10/02/2018,7.99425
70,10/01/2018,8.265
71,09/28/2018,8.15
72,09/27/2018,8.05625
73,09/26/2018,7.737500000000001
74,09/25/2018,7.8
75,09/24/2018,7.6
76,09/21/2018,7.574999999999999
77,09/20/2018,7.55
78,09/19/2018,7.3
79,09/18/2018,7.675
80,09/17/2018,7.75
81,09/14/2018,8.0
82,09/13/2018,7.375
83,09/12/2018,7.67225
84,09/11/2018,7.925000000000001
85,09/10/2018,8.475000000000001
86,09/07/2018,9.524999999999999
87,09/06/2018,12.85
88,09/05/2018,13.125
89,09/04/2018,13.95
90,08/31/2018,14.592600000000001
91,08/30/2018,15.2228
92,08/29/2018,14.975000000000001
93,08/28/2018,14.25
94,08/27/2018,13.899999999999999
95,08/24/2018,13.850000000000001
96,08/23/2018,13.87125
97,08/22/2018,13.825
98,08/21/2018,13.588799999999999
99,08/20/2018,14.149999999999999
100,08/17/2018,14.125499999999999
101,08/16/2018,14.05
102,08/15/2018,14.0625
103,08/14/2018,14.275
104,08/13/2018,14.325
105,08/10/2018,14.4
106,08/09/2018,14.1075
107,08/08/2018,13.75
108,08/07/2018,14.100000000000001
109,08/06/2018,13.3885
110,08/03/2018,13.419
111,08/02/2018,13.575
112,08/01/2018,13.0
113,07/31/2018,13.1796
114,07/30/2018,13.774999999999999
115,07/27/2018,14.375
116,07/26/2018,14.6875
117,07/25/2018,15.05
118,07/24/2018,15.1025
119,07/23/2018,14.675
120,07/20/2018,13.8
121,07/19/2018,13.63225
122,07/18/2018,13.64255
123,07/17/2018,13.1025
124,07/16/2018,13.175
125,07/13/2018,14.025
126,07/12/2018,14.75565
127,07/11/2018,14.25
128,07/10/2018,15.399999999999999
129,07/09/2018,16.849800000000002
130,07/06/2018,17.5
131,07/05/2018,16.675
132,07/03/2018,16.55
133,07/02/2018,15.624500000000001
134,06/29/2018,14.700499999999998
135,06/28/2018,14.75
136,06/27/2018,13.8
137,06/26/2018,12.7727
138,06/25/2018,12.399999999999999
139,06/22/2018,12.525
140,06/21/2018,12.625
141,06/20/2018,12.7
142,06/19/2018,12.389800000000001
143,06/18/2018,12.7875
144,06/15/2018,12.425
145,06/14/2018,12.524999999999999
146,06/13/2018,13.262
147,06/12/2018,13.075
148,06/11/2018,13.174949999999999
149,06/08/2018,13.45
150,06/07/2018,13.524999999999999
151,06/06/2018,13.325
152,06/05/2018,13.4625
153,06/04/2018,13.350000000000001
154,06/01/2018,12.975
155,05/31/2018,12.775
156,05/30/2018,12.2925
157,05/29/2018,12.125
158,05/25/2018,12.575
159,05/24/2018,11.925
160,05/23/2018,10.8
161,05/22/2018,10.375
162,05/21/2018,10.25
163,05/18/2018,10.4985
164,05/17/2018,10.875
165,05/16/2018,10.675
166,05/15/2018,10.475
167,05/14/2018,10.5727
168,05/11/2018,10.7162
169,05/10/2018,10.25
170,05/09/2018,9.950050000000001
171,05/08/2018,9.9875
172,05/07/2018,9.075
173,05/04/2018,8.9495
174,05/03/2018,8.8
175,05/02/2018,8.925
176,05/01/2018,8.75
177,04/30/2018,8.55
178,04/27/2018,8.65
179,04/26/2018,8.85
180,04/25/2018,8.575
181,04/24/2018,8.850000000000001
182,04/23/2018,9.0515
183,04/20/2018,8.85325
184,04/19/2018,9.075
185,04/18/2018,9.225
186,04/17/2018,8.925
187,04/16/2018,8.55
188,04/13/2018,8.875
189,04/12/2018,8.874600000000001
190,04/11/2018,8.575
191,04/10/2018,8.350000000000001
192,04/09/2018,8.175
193,04/06/2018,8.075
194,04/05/2018,7.95805
195,04/04/2018,7.625
196,04/03/2018,7.9254999999999995
197,04/02/2018,8.0625
198,03/29/2018,7.75
199,03/28/2018,7.6875
200,03/27/2018,8.125
201,03/26/2018,7.7250000000000005
202,03/23/2018,7.45
203,03/22/2018,7.375
204,03/21/2018,7.550000000000001
205,03/20/2018,7.4
206,03/19/2018,7.4
207,03/16/2018,7.65
208,03/15/2018,7.775
209,03/14/2018,7.800000000000001
210,03/13/2018,7.825
211,03/12/2018,7.825
212,03/09/2018,7.875
213,03/08/2018,7.9
214,03/07/2018,7.85
215,03/06/2018,7.8255
216,03/05/2018,7.65
217,03/02/2018,7.375
218,03/01/2018,7.58
219,02/28/2018,7.825
220,02/27/2018,7.725
221,02/26/2018,7.845000000000001
222,02/23/2018,7.725
223,02/22/2018,7.625
224,02/21/2018,7.449999999999999
225,02/20/2018,7.324999999999999
226,02/16/2018,7.275
227,02/15/2018,7.48255
228,02/14/2018,6.98215
229,02/13/2018,6.362500000000001
230,02/12/2018,5.9
231,02/09/2018,5.975
232,02/08/2018,5.0766
233,02/07/2018,5.199999999999999
234,02/06/2018,4.975
235,02/05/2018,4.9
236,02/02/2018,5.25
237,02/01/2018,5.2749500000000005
238,01/31/2018,5.225
239,01/30/2018,5.4975000000000005
240,01/29/2018,5.575
241,01/26/2018,5.65
242,01/25/2018,5.6
243,01/24/2018,5.75
244,01/23/2018,5.825
245,01/22/2018,5.8375
246,01/19/2018,5.875
247,01/18/2018,5.887499999999999
248,01/17/2018,5.625
249,01/16/2018,5.4505
250,01/12/2018,5.773999999999999
251,01/11/2018,5.5525
252,01/10/2018,5.2
253,01/09/2018,5.050000000000001
254,01/08/2018,5.225
255,01/05/2018,5.625
256,01/04/2018,5.725
257,01/03/2018,5.625
258,01/02/2018,5.4375
259,12/29/2017,5.2375
260,12/28/2017,5.225
261,12/27/2017,5.300000000000001
262,12/26/2017,4.9
263,12/22/2017,4.8
264,12/21/2017,5.0
265,12/20/2017,5.025
266,12/19/2017,4.825
267,12/18/2017,4.6
268,12/15/2017,4.675
269,12/14/2017,4.65
270,12/13/2017,4.6
271,12/12/2017,4.425
272,12/11/2017,4.5755
273,12/08/2017,4.75
274,12/07/2017,4.25
275,12/06/2017,3.75
276,12/05/2017,3.65
277,12/04/2017,3.575
278,12/01/2017,3.675
279,11/30/2017,3.55
280,11/29/2017,3.55
281,11/28/2017,3.575
282,11/27/2017,3.55
283,11/24/2017,3.45
284,11/22/2017,3.5250000000000004
285,11/21/2017,3.55
286,11/20/2017,3.4000000000000004
287,11/17/2017,3.3714000000000004
288,11/16/2017,3.375
289,11/15/2017,3.35865
290,11/14/2017,3.357
291,11/13/2017,3.35
292,11/10/2017,3.28325
293,11/09/2017,3.2750000000000004
294,11/08/2017,3.075
295,11/07/2017,3.05
296,11/06/2017,3.175
297,11/03/2017,3.275
298,11/02/2017,3.325
299,11/01/2017,3.4000000000000004
300,10/31/2017,3.275
301,10/30/2017,3.1
302,10/27/2017,2.925
303,10/26/2017,2.8274999999999997
304,10/25/2017,2.925
305,10/24/2017,2.9
306,10/23/2017,2.925
307,10/20/2017,3.1
308,10/19/2017,3.0250000000000004
309,10/18/2017,3.0250000000000004
310,10/17/2017,2.825
311,10/16/2017,3.125
312,10/13/2017,3.35
313,10/12/2017,3.425
314,10/11/2017,3.4993
315,10/10/2017,3.35
316,10/09/2017,3.5958
317,10/06/2017,3.49
318,10/05/2017,3.25
319,10/04/2017,3.25
320,10/03/2017,3.05
321,10/02/2017,3.025
322,09/29/2017,2.75
323,09/28/2017,2.7
324,09/27/2017,2.6
325,09/26/2017,2.475
326,09/25/2017,2.475
327,09/22/2017,2.45
328,09/21/2017,2.5
329,09/20/2017,2.52165
330,09/19/2017,2.55
331,09/18/2017,2.55
332,09/15/2017,2.5250000000000004
333,09/14/2017,2.4749999999999996
334,09/13/2017,2.4000000000000004
335,09/12/2017,2.075
336,09/11/2017,2.1036
337,09/08/2017,2.15
338,09/07/2017,2.2535999999999996
339,09/06/2017,1.775
340,09/05/2017,1.794
341,09/01/2017,1.725
342,08/31/2017,1.725
343,08/30/2017,1.7005
344,08/29/2017,1.7
345,08/28/2017,1.7374999999999998
346,08/25/2017,1.775
347,08/24/2017,1.8
348,08/23/2017,1.8
349,08/22/2017,1.825
350,08/21/2017,1.8
351,08/18/2017,1.7000000000000002
352,08/17/2017,1.6
353,08/16/2017,1.6
354,08/15/2017,1.65
355,08/14/2017,1.65
356,08/11/2017,1.6
357,08/10/2017,1.675
358,08/09/2017,1.725
359,08/08/2017,1.675
360,08/07/2017,1.7
361,08/04/2017,1.7500499999999999
362,08/03/2017,1.7999999999999998
363,08/02/2017,1.85
364,08/01/2017,1.875
365,07/31/2017,1.875
366,07/28/2017,1.875
367,07/27/2017,1.86615
368,07/26/2017,1.8250000000000002
369,07/25/2017,1.85
370,07/24/2017,1.85
371,07/21/2017,1.82715
372,07/20/2017,1.8
373,07/19/2017,1.8250000000000002
374,07/18/2017,1.775
375,07/17/2017,1.775
376,07/14/2017,1.75
377,07/13/2017,1.8005
378,07/12/2017,1.85
379,07/11/2017,1.875
380,07/10/2017,1.825
381,07/07/2017,1.95
382,07/06/2017,1.875
383,07/05/2017,1.75
384,07/03/2017,1.725
385,06/30/2017,1.65
386,06/29/2017,1.7
387,06/28/2017,1.725
388,06/27/2017,1.7
389,06/26/2017,1.6749999999999998
390,06/23/2017,1.5987
391,06/22/2017,1.525
392,06/21/2017,1.55
393,06/20/2017,1.55
394,06/19/2017,1.5750000000000002
395,06/16/2017,1.55
396,06/15/2017,1.525
397,06/14/2017,1.52665
398,06/13/2017,1.525
399,06/12/2017,1.575
400,06/09/2017,1.55
401,06/08/2017,1.55
402,06/07/2017,1.55
403,06/06/2017,1.55
404,06/05/2017,1.55
405,06/02/2017,1.5
406,06/01/2017,1.55
407,05/31/2017,1.5750000000000002
408,05/30/2017,1.5405
409,05/26/2017,1.525
410,05/25/2017,1.57505
411,05/24/2017,1.55
412,05/23/2017,1.5750000000000002
413,05/22/2017,1.55
414,05/19/2017,1.5750000000000002
415,05/18/2017,1.5
416,05/17/2017,1.475
417,05/16/2017,1.5375
418,05/15/2017,1.6
419,05/12/2017,1.6
420,05/11/2017,1.65
421,05/10/2017,1.7
422,05/09/2017,1.725
423,05/08/2017,1.725
424,05/05/2017,1.775
425,05/04/2017,1.782
426,05/03/2017,1.7875
427,05/02/2017,1.64825
428,05/01/2017,1.55
429,04/28/2017,1.54995
430,04/27/2017,1.525
431,04/26/2017,1.525
432,04/25/2017,1.6
433,04/24/2017,1.55
434,04/21/2017,1.475
435,04/20/2017,1.45
436,04/19/2017,1.475
437,04/18/2017,1.4249999999999998
438,04/17/2017,1.4
439,04/13/2017,1.35
440,04/12/2017,1.475
441,04/11/2017,1.55
442,04/10/2017,1.57505
443,04/07/2017,1.642
444,04/06/2017,1.45635
445,04/05/2017,1.35
446,04/04/2017,1.425
447,04/03/2017,1.475
448,03/31/2017,1.5
449,03/30/2017,1.5
450,03/29/2017,1.525
451,03/28/2017,1.475
452,03/27/2017,1.625
453,03/24/2017,1.6749999999999998
454,03/23/2017,1.675
455,03/22/2017,1.8250000000000002
456,03/21/2017,1.8250000000000002
457,03/20/2017,1.8250000000000002
458,03/17/2017,1.8399999999999999
459,03/16/2017,1.85
460,03/15/2017,1.8250000000000002
461,03/14/2017,1.875
462,03/13/2017,1.9
463,03/10/2017,1.9
464,03/09/2017,1.875
465,03/08/2017,1.85
466,03/07/2017,1.875
467,03/06/2017,1.825
468,03/03/2017,1.85
469,03/02/2017,1.875
470,03/01/2017,1.875
471,02/28/2017,1.8559999999999999
472,02/27/2017,1.9
473,02/24/2017,1.8500999999999999
474,02/23/2017,1.9249999999999998
475,02/22/2017,2.0
476,02/21/2017,2.025
477,02/17/2017,2.03745
478,02/16/2017,2.05
479,02/15/2017,2.05
480,02/14/2017,2.05
481,02/13/2017,2.05
482,02/10/2017,2.05
483,02/09/2017,2.125
484,02/08/2017,2.1500000000000004
485,02/07/2017,2.225
486,02/06/2017,2.1500000000000004
487,02/03/2017,2.175
488,02/02/2017,2.225
489,02/01/2017,2.2249999999999996
490,01/31/2017,2.2249999999999996
491,01/30/2017,2.2187
492,01/27/2017,2.20025
493,01/26/2017,2.1766
494,01/25/2017,2.1500000000000004
495,01/24/2017,2.1950000000000003
496,01/23/2017,2.2249999999999996
497,01/20/2017,2.25
498,01/19/2017,2.225
499,01/18/2017,2.2
500,01/17/2017,2.175
501,01/13/2017,2.0999999999999996
502,01/12/2017,2.2
503,01/11/2017,1.9500000000000002
504,01/10/2017,2.05
505,01/09/2017,2.0
506,01/06/2017,2.025
507,01/05/2017,2.0505
508,01/04/2017,2.0999999999999996
