,Date,Avg
1,01/10/2019,12.105
2,01/09/2019,12.620000000000001
3,01/08/2019,12.83295
4,01/07/2019,13.120000000000001
5,01/04/2019,13.435
6,01/03/2019,13.56
7,01/02/2019,12.83
8,12/31/2018,12.27
9,12/28/2018,12.48
10,12/27/2018,12.66
11,12/26/2018,12.27
12,12/24/2018,11.305
13,12/21/2018,11.10785
14,12/20/2018,12.25
15,12/19/2018,11.575
16,12/18/2018,12.695
17,12/17/2018,12.035
18,12/14/2018,11.54
19,12/13/2018,12.125
20,12/12/2018,12.8
21,12/11/2018,13.059999999999999
22,12/10/2018,12.7
23,12/07/2018,13.004999999999999
24,12/06/2018,13.585
25,12/04/2018,14.155000000000001
26,12/03/2018,15.267
27,11/30/2018,15.90965
28,11/29/2018,15.4621
29,11/28/2018,15.65
30,11/27/2018,14.85
31,11/26/2018,15.715
32,11/23/2018,15.28
33,11/21/2018,15.84
34,11/20/2018,16.5146
35,11/19/2018,16.45
36,11/16/2018,16.325
37,11/15/2018,15.84
38,11/14/2018,15.93075
39,11/13/2018,15.915
40,11/12/2018,16.715000000000003
41,11/09/2018,16.4825
42,11/08/2018,14.817499999999999
43,11/07/2018,13.785
44,11/06/2018,12.81
45,11/05/2018,13.120000000000001
46,11/02/2018,12.945
47,11/01/2018,11.945
48,10/31/2018,11.84
49,10/30/2018,10.5
50,10/29/2018,10.71295
51,10/26/2018,10.6975
52,10/25/2018,11.01
53,10/24/2018,11.54
54,10/23/2018,11.52
55,10/22/2018,12.885
56,10/19/2018,13.184249999999999
57,10/18/2018,13.05
58,10/17/2018,13.73
59,10/16/2018,13.89
60,10/15/2018,13.4073
61,10/12/2018,14.04
62,10/11/2018,14.085
63,10/10/2018,14.09
64,10/09/2018,15.245000000000001
65,10/08/2018,14.395
66,10/05/2018,14.96
67,10/04/2018,15.52
68,10/03/2018,16.1115
69,10/02/2018,16.3
70,10/01/2018,16.875
71,09/28/2018,16.8
72,09/27/2018,16.8034
73,09/26/2018,16.425
74,09/25/2018,15.92295
75,09/24/2018,15.825000000000001
76,09/21/2018,15.05
77,09/20/2018,15.350000000000001
78,09/19/2018,14.11
79,09/18/2018,13.7
80,09/17/2018,14.36
81,09/14/2018,14.83615
82,09/13/2018,15.075
83,09/12/2018,15.4575
84,09/11/2018,16.189999999999998
85,09/10/2018,17.185000000000002
86,09/07/2018,16.884999999999998
87,09/06/2018,17.055
88,09/05/2018,17.212200000000003
89,09/04/2018,17.68
90,08/31/2018,17.66
91,08/30/2018,17.845
92,08/29/2018,17.62495
93,08/28/2018,17.65495
94,08/27/2018,16.231250000000003
95,08/24/2018,14.70475
96,08/23/2018,13.699750000000002
97,08/22/2018,13.315
98,08/21/2018,12.774999999999999
99,08/20/2018,11.8925
100,08/17/2018,12.5775
101,08/16/2018,14.004999999999999
102,08/15/2018,14.52
103,08/14/2018,15.46
104,08/13/2018,15.315
105,08/10/2018,14.7
106,08/09/2018,14.05
107,08/08/2018,13.629999999999999
108,08/07/2018,13.3
109,08/06/2018,13.575
110,08/03/2018,13.777999999999999
111,08/02/2018,14.344999999999999
112,08/01/2018,14.785
113,07/31/2018,15.025
114,07/30/2018,15.385
115,07/27/2018,15.864999999999998
116,07/26/2018,16.4934
117,07/25/2018,15.885000000000002
118,07/24/2018,15.9975
119,07/23/2018,16.335
120,07/20/2018,16.59
121,07/19/2018,17.259999999999998
122,07/18/2018,17.439999999999998
123,07/17/2018,17.564999999999998
124,07/16/2018,18.225
125,07/13/2018,19.055
126,07/12/2018,19.2331
127,07/11/2018,19.15495
128,07/10/2018,19.48735
129,07/09/2018,19.439
130,07/06/2018,18.775
131,07/05/2018,18.1875
132,07/03/2018,17.66
133,07/02/2018,16.975
134,06/29/2018,18.25
135,06/28/2018,18.61
136,06/27/2018,19.05475
137,06/26/2018,19.205
138,06/25/2018,18.2925
139,06/22/2018,18.6575
140,06/21/2018,18.634500000000003
141,06/20/2018,19.1055
142,06/19/2018,19.6705
143,06/18/2018,21.875
144,06/15/2018,23.139000000000003
145,06/14/2018,21.0355
146,06/13/2018,20.880000000000003
147,06/12/2018,20.1
148,06/11/2018,18.5305
149,06/08/2018,15.73
150,06/07/2018,16.990000000000002
151,06/06/2018,15.95
152,06/05/2018,14.855
153,06/04/2018,14.655
154,06/01/2018,14.855
155,05/31/2018,14.66
156,05/30/2018,14.285
157,05/29/2018,14.415
158,05/25/2018,14.82265
159,05/24/2018,15.235050000000001
160,05/23/2018,14.615
161,05/22/2018,14.515
162,05/21/2018,15.075
163,05/18/2018,15.98
164,05/17/2018,15.8675
165,05/16/2018,15.19
166,05/15/2018,15.765
167,05/14/2018,15.32
168,05/11/2018,15.07
169,05/10/2018,15.10975
170,05/09/2018,14.3991
171,05/08/2018,13.66
172,05/07/2018,13.35
173,05/04/2018,12.9358
174,05/03/2018,13.565000000000001
175,05/02/2018,13.82495
176,05/01/2018,13.17
177,04/30/2018,11.895
178,04/27/2018,12.05
179,04/26/2018,11.135000000000002
180,04/25/2018,10.120000000000001
181,04/24/2018,10.6
182,04/23/2018,10.57
183,04/20/2018,10.274999999999999
184,04/19/2018,10.365
185,04/18/2018,10.45
186,04/17/2018,10.525
187,04/16/2018,10.485
188,04/13/2018,10.129999999999999
189,04/12/2018,10.254999999999999
190,04/11/2018,10.0
191,04/10/2018,10.025
192,04/09/2018,9.625
193,04/06/2018,9.8
194,04/05/2018,9.8
195,04/04/2018,9.585
196,04/03/2018,9.23
197,04/02/2018,8.875
198,03/29/2018,9.55
199,03/28/2018,9.2
200,03/27/2018,9.45
201,03/26/2018,9.149999999999999
202,03/23/2018,9.05
203,03/22/2018,8.1
204,03/21/2018,7.574999999999999
205,03/20/2018,7.365
206,03/19/2018,7.1
207,03/16/2018,7.02
208,03/15/2018,7.105
209,03/14/2018,7.0
210,03/13/2018,7.175
211,03/12/2018,7.555
212,03/09/2018,7.505000000000001
213,03/08/2018,7.6
214,03/07/2018,7.325
215,03/06/2018,7.125
216,03/05/2018,7.15
217,03/02/2018,7.075
218,03/01/2018,7.125
219,02/28/2018,7.135
220,02/27/2018,6.775
221,02/26/2018,6.625
222,02/23/2018,6.775
223,02/22/2018,6.78845
224,02/21/2018,6.975
225,02/20/2018,6.84
226,02/16/2018,6.5
227,02/15/2018,6.615
228,02/14/2018,6.5
229,02/13/2018,6.98
230,02/12/2018,6.875
231,02/09/2018,7.075
232,02/08/2018,7.475
233,02/07/2018,7.875
234,02/06/2018,7.85
235,02/05/2018,8.145
236,02/02/2018,8.149999999999999
237,02/01/2018,8.25
238,01/31/2018,8.23
239,01/30/2018,8.086500000000001
240,01/29/2018,8.2576
241,01/26/2018,8.4
242,01/25/2018,8.425
243,01/24/2018,8.55
244,01/23/2018,8.870000000000001
245,01/22/2018,8.425
246,01/19/2018,8.275
247,01/18/2018,7.25
248,01/17/2018,6.865
249,01/16/2018,6.640000000000001
250,01/12/2018,6.80575
251,01/11/2018,7.0
252,01/10/2018,7.1
253,01/09/2018,7.0600000000000005
254,01/08/2018,7.175
255,01/05/2018,7.595000000000001
256,01/04/2018,7.4425
257,01/03/2018,8.05
258,01/02/2018,7.75
259,12/29/2017,7.875
260,12/28/2017,7.98
261,12/27/2017,8.075
262,12/26/2017,8.025
263,12/22/2017,7.75
264,12/21/2017,7.52
265,12/20/2017,7.6
