,Date,Avg
1,01/10/2019,22.310000000000002
2,01/09/2019,22.08
3,01/08/2019,22.14
4,01/07/2019,21.73
5,01/04/2019,21.205
6,01/03/2019,20.795
7,01/02/2019,20.54765
8,12/31/2018,20.44
9,12/28/2018,20.365000000000002
10,12/27/2018,19.674999999999997
11,12/26/2018,19.5978
12,12/24/2018,19.595
13,12/21/2018,19.82
14,12/20/2018,19.96
15,12/19/2018,19.963
16,12/18/2018,20.12105
17,12/17/2018,20.115000000000002
18,12/14/2018,19.985
19,12/13/2018,20.21995
20,12/12/2018,20.59965
21,12/11/2018,20.7225
22,12/10/2018,21.55
23,12/07/2018,22.07
24,12/06/2018,22.3
25,12/04/2018,22.625
26,12/03/2018,23.23
27,11/30/2018,23.255000000000003
28,11/29/2018,23.17
29,11/28/2018,23.13
30,11/27/2018,23.0852
31,11/26/2018,23.21
32,11/23/2018,23.310000000000002
33,11/21/2018,22.668
34,11/20/2018,22.855
35,11/19/2018,22.93215
36,11/16/2018,22.975
37,11/15/2018,23.14
38,11/14/2018,23.32
39,11/13/2018,23.09
40,11/12/2018,22.8925
41,11/09/2018,22.7125
42,11/08/2018,22.725
43,11/07/2018,23.075000000000003
44,11/06/2018,23.009999999999998
45,11/05/2018,23.593449999999997
46,11/02/2018,23.675
47,11/01/2018,23.3
48,10/31/2018,23.145
49,10/30/2018,23.39
50,10/29/2018,22.689999999999998
51,10/26/2018,22.355
52,10/25/2018,22.47
53,10/24/2018,22.47
54,10/23/2018,22.3675
55,10/22/2018,23.23235
56,10/19/2018,23.4503
57,10/18/2018,23.880049999999997
58,10/17/2018,24.8055
59,10/16/2018,25.285
60,10/15/2018,24.37
61,10/12/2018,25.0875
62,10/11/2018,25.22255
63,10/10/2018,25.305
64,10/09/2018,25.435
65,10/08/2018,25.619999999999997
66,10/05/2018,25.299999999999997
67,10/04/2018,24.909
68,10/03/2018,25.270000000000003
69,10/02/2018,24.765
70,10/01/2018,25.854999999999997
71,09/28/2018,26.375
72,09/27/2018,26.205
73,09/26/2018,26.169800000000002
74,09/25/2018,26.0125
75,09/24/2018,26.075
76,09/21/2018,26.425
77,09/20/2018,26.4
78,09/19/2018,26.14
79,09/18/2018,26.125
80,09/17/2018,26.025
81,09/14/2018,26.66715
82,09/13/2018,27.1
83,09/12/2018,27.15
84,09/11/2018,27.05
85,09/10/2018,27.15
86,09/07/2018,27.15
87,09/06/2018,27.225
88,09/05/2018,27.325
89,09/04/2018,27.475
90,08/31/2018,27.4625
91,08/30/2018,27.525
92,08/29/2018,27.6
93,08/28/2018,27.65
94,08/27/2018,27.8
95,08/24/2018,27.925
96,08/23/2018,28.125
97,08/22/2018,28.2
98,08/21/2018,28.225
99,08/20/2018,28.0
100,08/17/2018,28.174999999999997
101,08/16/2018,28.35
102,08/15/2018,27.799999999999997
103,08/14/2018,28.0
104,08/13/2018,27.25
105,08/10/2018,28.125
106,08/09/2018,28.66975
107,08/08/2018,28.35
108,08/07/2018,28.549999999999997
109,08/06/2018,28.65
110,08/03/2018,29.2625
111,08/02/2018,29.525
112,08/01/2018,29.15
113,07/31/2018,29.0
114,07/30/2018,29.0865
115,07/27/2018,28.625
116,07/26/2018,29.425
117,07/25/2018,29.775
118,07/24/2018,30.025
119,07/23/2018,29.7
120,07/20/2018,29.75
121,07/19/2018,30.125
122,07/18/2018,30.125
123,07/17/2018,30.200000000000003
124,07/16/2018,30.299999999999997
125,07/13/2018,30.175
126,07/12/2018,30.299999999999997
127,07/11/2018,30.35
128,07/10/2018,30.175
129,07/09/2018,30.325000000000003
130,07/06/2018,30.125
131,07/05/2018,30.35
132,07/03/2018,30.0275
133,07/02/2018,29.65
134,06/29/2018,29.2
135,06/28/2018,29.0375
136,06/27/2018,28.325
137,06/26/2018,28.25
138,06/25/2018,27.775
139,06/22/2018,27.125
140,06/21/2018,27.275
141,06/20/2018,27.65
142,06/19/2018,28.0
143,06/18/2018,28.200000000000003
144,06/15/2018,28.25
145,06/14/2018,28.35
146,06/13/2018,28.375
147,06/12/2018,28.3125
148,06/11/2018,28.525
149,06/08/2018,28.625
150,06/07/2018,28.65
151,06/06/2018,28.9
152,06/05/2018,28.775
153,06/04/2018,28.925
154,06/01/2018,28.65
155,05/31/2018,28.52515
156,05/30/2018,28.575000000000003
157,05/29/2018,28.275
158,05/25/2018,28.2125
159,05/24/2018,28.375
160,05/23/2018,28.4625
161,05/22/2018,28.4
162,05/21/2018,28.549999999999997
163,05/18/2018,28.875
164,05/17/2018,28.7177
165,05/16/2018,28.9
166,05/15/2018,28.6
167,05/14/2018,28.45
168,05/11/2018,28.85
169,05/10/2018,28.575
170,05/09/2018,28.675
171,05/08/2018,28.95
172,05/07/2018,28.549999999999997
173,05/04/2018,28.02
174,05/03/2018,28.5
175,05/02/2018,29.075
176,05/01/2018,28.85
177,04/30/2018,28.975
178,04/27/2018,28.85
179,04/26/2018,28.775
180,04/25/2018,29.03
181,04/24/2018,28.9
182,04/23/2018,28.575
183,04/20/2018,27.475
184,04/19/2018,27.9
185,04/18/2018,28.174999999999997
186,04/17/2018,28.925
187,04/16/2018,28.2001
188,04/13/2018,27.95
189,04/12/2018,28.7
190,04/11/2018,28.424999999999997
191,04/10/2018,28.725
192,04/09/2018,28.775
193,04/06/2018,28.575
194,04/05/2018,28.925
195,04/04/2018,28.7
196,04/03/2018,28.700000000000003
197,04/02/2018,29.175
198,03/29/2018,29.0
199,03/28/2018,29.200000000000003
200,03/27/2018,29.475
201,03/26/2018,29.05
202,03/23/2018,28.575
203,03/22/2018,28.799999999999997
204,03/21/2018,28.9
205,03/20/2018,29.7
206,03/19/2018,29.23
207,03/16/2018,28.975
208,03/15/2018,28.875
209,03/14/2018,28.625
210,03/13/2018,28.7
211,03/12/2018,28.675
212,03/09/2018,28.875
213,03/08/2018,28.875
214,03/07/2018,28.95
215,03/06/2018,28.65
216,03/05/2018,28.775
217,03/02/2018,28.25
218,03/01/2018,28.05
219,02/28/2018,28.125
220,02/27/2018,28.175
221,02/26/2018,28.175
222,02/23/2018,28.0
223,02/22/2018,27.362499999999997
224,02/21/2018,27.627499999999998
225,02/20/2018,27.5349
226,02/16/2018,26.25
227,02/15/2018,27.55
228,02/14/2018,27.6
229,02/13/2018,27.525
230,02/12/2018,27.2
231,02/09/2018,27.6
232,02/08/2018,27.625
233,02/07/2018,27.9
234,02/06/2018,27.9
235,02/05/2018,28.2
236,02/02/2018,28.8525
237,02/01/2018,28.6529
238,01/31/2018,28.25
239,01/30/2018,28.55
240,01/29/2018,28.424999999999997
241,01/26/2018,28.575
242,01/25/2018,28.975
243,01/24/2018,28.975
244,01/23/2018,29.1157
245,01/22/2018,29.175
246,01/19/2018,27.025
247,01/18/2018,29.299999999999997
248,01/17/2018,29.36355
249,01/16/2018,28.924999999999997
250,01/12/2018,28.9501
251,01/11/2018,28.9
252,01/10/2018,28.9
253,01/09/2018,28.8
254,01/08/2018,28.45
255,01/05/2018,28.2875
256,01/04/2018,28.6
257,01/03/2018,28.9
258,01/02/2018,29.049999999999997
259,12/29/2017,29.275
260,12/28/2017,29.9835
261,12/27/2017,30.265
262,12/26/2017,30.45
263,12/22/2017,30.425
264,12/21/2017,29.862499999999997
265,12/20/2017,30.424999999999997
266,12/19/2017,30.175
267,12/18/2017,29.9
268,12/15/2017,29.075
269,12/14/2017,29.875
270,12/13/2017,29.1628
271,12/12/2017,28.83365
272,12/11/2017,28.25
273,12/08/2017,28.825
274,12/07/2017,28.775
275,12/06/2017,28.65
276,12/05/2017,28.925
277,12/04/2017,29.049999999999997
278,12/01/2017,28.75815
279,11/30/2017,29.29185
280,11/29/2017,28.8271
281,11/28/2017,28.25
282,11/27/2017,28.05
283,11/24/2017,28.05
284,11/22/2017,28.2
285,11/21/2017,28.325
286,11/20/2017,27.45
287,11/17/2017,27.0
288,11/16/2017,27.362499999999997
289,11/15/2017,26.85
290,11/14/2017,26.8
291,11/13/2017,26.6125
292,11/10/2017,25.95
293,11/09/2017,26.625
294,11/08/2017,26.875
295,11/07/2017,27.525
296,11/06/2017,27.425
297,11/03/2017,27.475
298,11/02/2017,27.3
299,11/01/2017,27.125
300,10/31/2017,27.475
301,10/30/2017,27.0775
302,10/27/2017,27.475
303,10/26/2017,27.075
304,10/25/2017,26.955
305,10/24/2017,27.0
306,10/23/2017,27.075000000000003
307,10/20/2017,26.862499999999997
308,10/19/2017,26.25
309,10/18/2017,26.375
310,10/17/2017,26.25
311,10/16/2017,26.425
312,10/13/2017,26.1887
313,10/12/2017,26.225
314,10/11/2017,26.299999999999997
315,10/10/2017,26.25
316,10/09/2017,26.275
317,10/06/2017,26.0775
318,10/05/2017,26.15
319,10/04/2017,25.85
320,10/03/2017,25.325
321,10/02/2017,24.925
322,09/29/2017,24.875
323,09/28/2017,24.8472
324,09/27/2017,24.45
325,09/26/2017,23.875
326,09/25/2017,23.825
327,09/22/2017,24.0
328,09/21/2017,24.175
329,09/20/2017,24.175
330,09/19/2017,23.85
331,09/18/2017,23.875
332,09/15/2017,23.875
333,09/14/2017,23.775
334,09/13/2017,23.8375
335,09/12/2017,23.75835
336,09/11/2017,23.575
337,09/08/2017,23.325000000000003
338,09/07/2017,23.15
339,09/06/2017,23.237499999999997
340,09/05/2017,23.525
341,09/01/2017,23.5
342,08/31/2017,23.2375
343,08/30/2017,23.15
344,08/29/2017,23.1375
345,08/28/2017,23.45
346,08/25/2017,23.35
347,08/24/2017,23.0625
348,08/23/2017,22.88825
349,08/22/2017,22.924599999999998
350,08/21/2017,22.65
