,Date,Avg
1,01/10/2019,7.745
2,01/09/2019,7.825
3,01/08/2019,7.717499999999999
4,01/07/2019,7.59
5,01/04/2019,7.449999999999999
6,01/03/2019,7.324999999999999
7,01/02/2019,7.135
8,12/31/2018,6.9925
9,12/28/2018,7.055
10,12/27/2018,6.9
11,12/26/2018,7.055
12,12/24/2018,6.985
13,12/21/2018,7.15
14,12/20/2018,7.17
15,12/19/2018,7.425
16,12/18/2018,7.5600000000000005
17,12/17/2018,7.8025
18,12/14/2018,8.0725
19,12/13/2018,8.335
20,12/12/2018,8.49
21,12/11/2018,8.295
22,12/10/2018,8.1525
23,12/07/2018,8.52
24,12/06/2018,8.2575
25,12/04/2018,8.765
26,12/03/2018,8.89
27,11/30/2018,8.7775
28,11/29/2018,9.245000000000001
29,11/28/2018,9.1025
30,11/27/2018,8.93
31,11/26/2018,8.335
32,11/23/2018,8.125
33,11/21/2018,8.34
34,11/20/2018,8.129999999999999
35,11/19/2018,8.445
36,11/16/2018,8.620000000000001
37,11/15/2018,8.46
38,11/14/2018,8.35
39,11/13/2018,8.375
40,11/12/2018,8.629999999999999
41,11/09/2018,8.905000000000001
42,11/08/2018,9.055
43,11/07/2018,9.325
44,11/06/2018,9.274999999999999
45,11/05/2018,9.274999999999999
46,11/02/2018,9.4875
47,11/01/2018,9.315000000000001
48,10/31/2018,9.245000000000001
49,10/30/2018,9.092500000000001
50,10/29/2018,9.215
51,10/26/2018,8.805
52,10/25/2018,8.695
53,10/24/2018,8.6475
54,10/23/2018,8.712499999999999
55,10/22/2018,8.95
56,10/19/2018,9.05
57,10/18/2018,9.075
58,10/17/2018,9.2
59,10/16/2018,9.225
60,10/15/2018,9.05375
61,10/12/2018,9.01
62,10/11/2018,8.8275
63,10/10/2018,9.14
64,10/09/2018,9.21
65,10/08/2018,9.057500000000001
66,10/05/2018,9.18
67,10/04/2018,9.165
68,10/03/2018,9.12
69,10/02/2018,9.015
70,10/01/2018,9.004999999999999
71,09/28/2018,8.625
72,09/27/2018,8.675
73,09/26/2018,8.7
74,09/25/2018,8.850000000000001
75,09/24/2018,8.8
76,09/21/2018,8.625
77,09/20/2018,8.5625
78,09/19/2018,8.425
79,09/18/2018,8.3125
80,09/17/2018,8.175
81,09/14/2018,8.225000000000001
82,09/13/2018,8.25
83,09/12/2018,8.3245
84,09/11/2018,8.275
85,09/10/2018,8.25
86,09/07/2018,8.125
87,09/06/2018,8.225000000000001
88,09/05/2018,8.2625
89,09/04/2018,8.475
90,08/31/2018,8.675
91,08/30/2018,8.725
92,08/29/2018,8.600000000000001
93,08/28/2018,8.625
94,08/27/2018,8.6375
95,08/24/2018,8.5
96,08/23/2018,8.5
97,08/22/2018,8.525
98,08/21/2018,8.3875
99,08/20/2018,8.16815
100,08/17/2018,7.975
101,08/16/2018,7.7625
102,08/15/2018,7.7375
103,08/14/2018,8.075
104,08/13/2018,8.15
105,08/10/2018,8.274999999999999
106,08/09/2018,8.649999999999999
107,08/08/2018,8.475
108,08/07/2018,8.45
109,08/06/2018,8.399999999999999
110,08/03/2018,8.4
111,08/02/2018,8.5
112,08/01/2018,8.524999999999999
113,07/31/2018,8.4625
114,07/30/2018,8.4625
115,07/27/2018,8.5375
116,07/26/2018,8.55
117,07/25/2018,8.462499999999999
118,07/24/2018,8.55
119,07/23/2018,8.475000000000001
120,07/20/2018,8.475000000000001
121,07/19/2018,8.6
122,07/18/2018,8.55
123,07/17/2018,8.475
124,07/16/2018,8.7625
125,07/13/2018,8.774999999999999
126,07/12/2018,8.95
127,07/11/2018,9.15
128,07/10/2018,9.175
129,07/09/2018,9.0125
130,07/06/2018,8.975000000000001
131,07/05/2018,9.0
132,07/03/2018,9.05
133,07/02/2018,9.087499999999999
134,06/29/2018,9.2
135,06/28/2018,9.1875
136,06/27/2018,9.4875
137,06/26/2018,9.4625
138,06/25/2018,9.6375
139,06/22/2018,9.925
140,06/21/2018,9.725
141,06/20/2018,9.575
142,06/19/2018,9.3
143,06/18/2018,9.3
144,06/15/2018,8.85
145,06/14/2018,9.1125
146,06/13/2018,9.175
147,06/12/2018,9.225
148,06/11/2018,9.325
149,06/08/2018,9.4
150,06/07/2018,9.525
151,06/06/2018,9.350000000000001
152,06/05/2018,9.4
153,06/04/2018,9.375
154,06/01/2018,9.35
155,05/31/2018,9.325
156,05/30/2018,9.100000000000001
157,05/29/2018,8.725000000000001
158,05/25/2018,8.600000000000001
159,05/24/2018,8.675
160,05/23/2018,8.7
161,05/22/2018,8.6
162,05/21/2018,8.375
163,05/18/2018,8.25
164,05/17/2018,8.3125
165,05/16/2018,8.350000000000001
166,05/15/2018,8.35
167,05/14/2018,8.45
168,05/11/2018,8.475000000000001
169,05/10/2018,8.425
170,05/09/2018,8.35
171,05/08/2018,8.225000000000001
172,05/07/2018,8.175
173,05/04/2018,8.15
174,05/03/2018,8.175
175,05/02/2018,8.225
176,05/01/2018,8.125
177,04/30/2018,8.149999999999999
178,04/27/2018,8.225
