,Date,Avg
1,01/10/2019,11.555
2,01/09/2019,11.530000000000001
3,01/08/2019,11.525
4,01/07/2019,11.469999999999999
5,01/04/2019,11.39
6,01/03/2019,11.373000000000001
7,01/02/2019,11.265
8,12/31/2018,11.16995
9,12/28/2018,11.18295
10,12/27/2018,11.129999999999999
11,12/26/2018,11.0962
12,12/24/2018,11.125
13,12/21/2018,11.106200000000001
14,12/20/2018,11.184999999999999
15,12/19/2018,11.15
16,12/18/2018,11.23
17,12/17/2018,11.23005
18,12/14/2018,11.225
19,12/13/2018,11.325
20,12/12/2018,11.39875
21,12/11/2018,11.395
22,12/10/2018,11.385
23,12/07/2018,11.325
24,12/06/2018,11.27
25,12/04/2018,11.235
26,12/03/2018,11.135
27,11/30/2018,11.120000000000001
28,11/29/2018,11.10245
29,11/28/2018,11.030000000000001
30,11/27/2018,11.02
31,11/26/2018,11.024999999999999
32,11/23/2018,11.004999999999999
33,11/21/2018,11.015
34,11/20/2018,11.02
35,11/19/2018,11.100000000000001
36,11/16/2018,11.0605
37,11/15/2018,11.08865
38,11/14/2018,11.080950000000001
39,11/13/2018,11.09
40,11/12/2018,11.08
41,11/09/2018,11.015
42,11/08/2018,10.94735
43,11/07/2018,10.965
44,11/06/2018,10.959900000000001
45,11/05/2018,10.98
46,11/02/2018,11.00245
47,11/01/2018,11.0014
48,10/31/2018,10.96975
49,10/30/2018,11.015
50,10/29/2018,11.0625
51,10/26/2018,11.06995
52,10/25/2018,11.02
53,10/24/2018,10.989799999999999
54,10/23/2018,10.905000000000001
55,10/22/2018,10.93
56,10/19/2018,10.905000000000001
57,10/18/2018,10.920000000000002
58,10/17/2018,10.899999999999999
59,10/16/2018,10.908850000000001
60,10/15/2018,10.935
61,10/12/2018,10.945
62,10/11/2018,10.95
63,10/10/2018,10.99045
64,10/09/2018,11.0549
65,10/08/2018,11.09
66,10/05/2018,11.125
67,10/04/2018,11.1379
68,10/03/2018,11.31345
69,10/02/2018,11.395
70,10/01/2018,11.425
71,09/28/2018,11.42285
72,09/27/2018,11.4
73,09/26/2018,11.405000000000001
74,09/25/2018,11.445
75,09/24/2018,11.538
76,09/21/2018,11.5845
77,09/20/2018,11.622499999999999
78,09/19/2018,11.665
79,09/18/2018,11.655000000000001
80,09/17/2018,11.665
81,09/14/2018,11.714500000000001
82,09/13/2018,11.735
83,09/12/2018,11.805
84,09/11/2018,11.76
85,09/10/2018,11.780000000000001
86,09/07/2018,11.795
87,09/06/2018,11.84
88,09/05/2018,11.815000000000001
89,09/04/2018,11.855
90,08/31/2018,11.855
91,08/30/2018,11.855
92,08/29/2018,11.83
93,08/28/2018,11.82
94,08/27/2018,11.825
95,08/24/2018,11.82
96,08/23/2018,11.77
97,08/22/2018,11.7325
98,08/21/2018,11.76
99,08/20/2018,11.77
100,08/17/2018,11.7601
101,08/16/2018,11.8
102,08/15/2018,11.88
103,08/14/2018,11.76425
104,08/13/2018,11.7594
105,08/10/2018,11.730049999999999
106,08/09/2018,11.7725
107,08/08/2018,11.795
108,08/07/2018,11.75
109,08/06/2018,11.725
110,08/03/2018,11.765
111,08/02/2018,11.8
112,08/01/2018,11.715
113,07/31/2018,11.7375
114,07/30/2018,11.74
115,07/27/2018,11.715
116,07/26/2018,11.225
117,07/25/2018,11.23
118,07/24/2018,11.215
119,07/23/2018,11.245
120,07/20/2018,11.275
121,07/19/2018,11.329999999999998
122,07/18/2018,11.325
123,07/17/2018,11.3
124,07/16/2018,11.205
125,07/13/2018,11.165
126,07/12/2018,11.160499999999999
127,07/11/2018,11.2
128,07/10/2018,11.245
129,07/09/2018,11.305
130,07/06/2018,11.275
131,07/05/2018,11.23
132,07/03/2018,11.195
133,07/02/2018,11.245000000000001
134,06/29/2018,11.25
135,06/28/2018,11.21
136,06/27/2018,11.22495
137,06/26/2018,11.2
138,06/25/2018,11.27
139,06/22/2018,11.262
140,06/21/2018,11.254999999999999
141,06/20/2018,11.22565
142,06/19/2018,11.21
143,06/18/2018,11.17
144,06/15/2018,11.149999999999999
145,06/14/2018,11.120000000000001
146,06/13/2018,11.129999999999999
147,06/12/2018,11.135
148,06/11/2018,11.155000000000001
149,06/08/2018,11.190000000000001
150,06/07/2018,11.225
151,06/06/2018,11.245000000000001
152,06/05/2018,11.27
153,06/04/2018,11.29
154,06/01/2018,11.28
155,05/31/2018,11.280000000000001
156,05/30/2018,11.254999999999999
157,05/29/2018,11.31
158,05/25/2018,11.210049999999999
159,05/24/2018,11.190000000000001
160,05/23/2018,11.08
161,05/22/2018,11.10365
162,05/21/2018,11.13105
163,05/18/2018,11.17135
164,05/17/2018,11.18
165,05/16/2018,11.135
166,05/15/2018,11.1055
167,05/14/2018,11.17
168,05/11/2018,11.14
169,05/10/2018,11.15
170,05/09/2018,11.18
171,05/08/2018,11.1895
172,05/07/2018,11.21
173,05/04/2018,11.219
174,05/03/2018,11.225000000000001
175,05/02/2018,11.215
176,05/01/2018,11.219999999999999
177,04/30/2018,11.25
178,04/27/2018,11.20315
179,04/26/2018,11.18
180,04/25/2018,11.155000000000001
181,04/24/2018,11.16035
182,04/23/2018,11.109950000000001
183,04/20/2018,11.094999999999999
184,04/19/2018,11.125
185,04/18/2018,11.15
186,04/17/2018,11.129999999999999
187,04/16/2018,11.13495
188,04/13/2018,11.149999999999999
189,04/12/2018,11.1608
190,04/11/2018,11.165
191,04/10/2018,11.190000000000001
192,04/09/2018,11.23
193,04/06/2018,11.219999999999999
194,04/05/2018,11.129999999999999
195,04/04/2018,11.115
196,04/03/2018,11.125
197,04/02/2018,11.185
198,03/29/2018,11.165
199,03/28/2018,11.11
200,03/27/2018,11.05
201,03/26/2018,11.02
202,03/23/2018,11.065
203,03/22/2018,11.09
204,03/21/2018,11.059999999999999
205,03/20/2018,11.095
206,03/19/2018,11.15
207,03/16/2018,11.120000000000001
208,03/15/2018,11.128599999999999
209,03/14/2018,11.168
210,03/13/2018,11.175
211,03/12/2018,11.225
212,03/09/2018,11.155
213,03/08/2018,11.215
214,03/07/2018,11.205
215,03/06/2018,11.1797
216,03/05/2018,11.18
217,03/02/2018,11.2325
218,03/01/2018,11.305
219,02/28/2018,11.219999999999999
220,02/27/2018,11.195
221,02/26/2018,11.239999999999998
222,02/23/2018,11.245000000000001
223,02/22/2018,11.219999999999999
224,02/21/2018,11.225
225,02/20/2018,11.25
226,02/16/2018,11.24
227,02/15/2018,11.235
228,02/14/2018,11.25
229,02/13/2018,11.3
230,02/12/2018,11.29815
231,02/09/2018,11.305
232,02/08/2018,11.405000000000001
233,02/07/2018,11.389949999999999
234,02/06/2018,11.34
235,02/05/2018,11.34
236,02/02/2018,11.370000000000001
237,02/01/2018,11.39
238,01/31/2018,11.440000000000001
239,01/30/2018,11.435
240,01/29/2018,11.469999999999999
241,01/26/2018,11.5
242,01/25/2018,11.64
243,01/24/2018,11.66
244,01/23/2018,11.7
245,01/22/2018,11.73
246,01/19/2018,11.695
247,01/18/2018,11.715
248,01/17/2018,11.795000000000002
249,01/16/2018,11.755
250,01/12/2018,11.7175
251,01/11/2018,11.760000000000002
252,01/10/2018,11.780000000000001
253,01/09/2018,11.77
254,01/08/2018,11.735
255,01/05/2018,11.735
256,01/04/2018,11.78105
257,01/03/2018,11.79
258,01/02/2018,11.649999999999999
259,12/29/2017,11.7
260,12/28/2017,11.695
261,12/27/2017,11.649999999999999
262,12/26/2017,11.635
263,12/22/2017,11.64
264,12/21/2017,11.6395
265,12/20/2017,11.620000000000001
266,12/19/2017,11.6382
267,12/18/2017,11.7226
268,12/15/2017,11.79
269,12/14/2017,11.865
270,12/13/2017,11.849
271,12/12/2017,11.825
272,12/11/2017,11.835
273,12/08/2017,11.895
274,12/07/2017,12.43
275,12/06/2017,11.965
276,12/05/2017,11.9032
277,12/04/2017,11.785
278,12/01/2017,11.76
279,11/30/2017,11.7
280,11/29/2017,11.7055
281,11/28/2017,11.765
282,11/27/2017,11.82815
283,11/24/2017,11.86
284,11/22/2017,11.864999999999998
285,11/21/2017,11.935
286,11/20/2017,11.915
287,11/17/2017,11.899999999999999
288,11/16/2017,11.90005
289,11/15/2017,11.92
290,11/14/2017,11.864999999999998
291,11/13/2017,11.89
292,11/10/2017,11.879999999999999
293,11/09/2017,11.995
294,11/08/2017,11.985
295,11/07/2017,11.89855
296,11/06/2017,11.899999999999999
297,11/03/2017,12.02
298,11/02/2017,11.877099999999999
299,11/01/2017,11.925
300,10/31/2017,11.94
301,10/30/2017,12.008949999999999
302,10/27/2017,12.010000000000002
303,10/26/2017,12.030000000000001
304,10/25/2017,12.075
305,10/24/2017,12.135
306,10/23/2017,12.190000000000001
307,10/20/2017,12.16845
308,10/19/2017,12.19
309,10/18/2017,12.219999999999999
310,10/17/2017,12.30085
311,10/16/2017,12.24925
312,10/13/2017,12.265
313,10/12/2017,12.2
314,10/11/2017,12.190000000000001
315,10/10/2017,12.1578
316,10/09/2017,12.245
317,10/06/2017,12.0329
318,10/05/2017,12.07
319,10/04/2017,12.055
320,10/03/2017,12.04445
321,10/02/2017,12.035
322,09/29/2017,12.059999999999999
323,09/28/2017,12.02
324,09/27/2017,12.057749999999999
325,09/26/2017,12.195
326,09/25/2017,12.195
327,09/22/2017,12.209500000000002
328,09/21/2017,12.2722
329,09/20/2017,12.305
330,09/19/2017,12.245000000000001
331,09/18/2017,12.2796
332,09/15/2017,12.275
333,09/14/2017,12.245000000000001
334,09/13/2017,12.239999999999998
335,09/12/2017,12.21
336,09/11/2017,12.265
337,09/08/2017,12.255
338,09/07/2017,12.265
339,09/06/2017,12.23
340,09/05/2017,12.239999999999998
341,09/01/2017,12.254999999999999
342,08/31/2017,12.2
343,08/30/2017,12.205
344,08/29/2017,12.23
345,08/28/2017,12.16
346,08/25/2017,12.17
347,08/24/2017,12.175
348,08/23/2017,12.24
349,08/22/2017,12.22345
350,08/21/2017,12.1445
351,08/18/2017,12.175
352,08/17/2017,12.2
353,08/16/2017,12.155
354,08/15/2017,12.190000000000001
355,08/14/2017,12.182500000000001
356,08/11/2017,12.185
357,08/10/2017,12.145
358,08/09/2017,12.215
359,08/08/2017,12.25
360,08/07/2017,12.3
361,08/04/2017,12.3
362,08/03/2017,12.37
363,08/02/2017,12.31505
364,08/01/2017,12.280000000000001
365,07/31/2017,12.291699999999999
366,07/28/2017,12.254999999999999
367,07/27/2017,12.2745
368,07/26/2017,12.23495
369,07/25/2017,12.260000000000002
370,07/24/2017,12.335
371,07/21/2017,12.34
372,07/20/2017,12.25
373,07/19/2017,12.295000000000002
374,07/18/2017,12.3825
375,07/17/2017,12.33
376,07/14/2017,12.33
377,07/13/2017,12.239999999999998
378,07/12/2017,12.205
379,07/11/2017,12.04
380,07/10/2017,12.09
381,07/07/2017,12.11
382,07/06/2017,12.195
383,07/05/2017,12.235
384,07/03/2017,12.129999999999999
385,06/30/2017,12.225000000000001
386,06/29/2017,12.26
387,06/28/2017,12.313500000000001
388,06/27/2017,12.350000000000001
389,06/26/2017,12.4905
390,06/23/2017,12.370049999999999
391,06/22/2017,12.445
392,06/21/2017,12.35255
393,06/20/2017,12.40335
394,06/19/2017,12.42
395,06/16/2017,12.295
396,06/15/2017,12.285
397,06/14/2017,12.295
398,06/13/2017,12.25
399,06/12/2017,12.245000000000001
400,06/09/2017,12.34
401,06/08/2017,12.274650000000001
402,06/07/2017,12.295
403,06/06/2017,12.315
404,06/05/2017,12.3005
405,06/02/2017,12.289950000000001
406,06/01/2017,12.272549999999999
407,05/31/2017,12.2395
408,05/30/2017,12.18
409,05/26/2017,12.184999999999999
410,05/25/2017,12.115
411,05/24/2017,12.14655
412,05/23/2017,12.18
413,05/22/2017,12.100000000000001
414,05/19/2017,12.215
415,05/18/2017,12.1804
416,05/17/2017,12.175
417,05/16/2017,12.175
418,05/15/2017,12.175
419,05/12/2017,12.16
420,05/11/2017,12.125
421,05/10/2017,12.120000000000001
422,05/09/2017,12.165
423,05/08/2017,12.29505
424,05/05/2017,12.185
425,05/04/2017,12.24415
426,05/03/2017,12.185
427,05/02/2017,12.160900000000002
428,05/01/2017,12.165
