,Date,Avg
1,01/10/2019,105.45500000000001
2,01/09/2019,107.32499999999999
3,01/08/2019,104.11
4,01/07/2019,101.67500000000001
5,01/04/2019,98.5875
6,01/03/2019,96.11
7,01/02/2019,93.0475
8,12/31/2018,92.1784
9,12/28/2018,91.81
10,12/27/2018,90.755
11,12/26/2018,88.6175
12,12/24/2018,87.475
13,12/21/2018,89.73
14,12/20/2018,89.92500000000001
15,12/19/2018,92.01
16,12/18/2018,88.235
17,12/17/2018,90.44
18,12/14/2018,93.81
19,12/13/2018,96.68515
20,12/12/2018,100.7096
21,12/11/2018,101.44
22,12/10/2018,101.665
23,12/07/2018,104.80000000000001
24,12/06/2018,99.64320000000001
25,12/04/2018,108.82275
26,12/03/2018,113.61500000000001
27,11/30/2018,108.3175
28,11/29/2018,111.91
29,11/28/2018,110.155
30,11/27/2018,111.60499999999999
31,11/26/2018,107.685
32,11/23/2018,105.11250000000001
33,11/21/2018,110.27000000000001
34,11/20/2018,109.985
35,11/19/2018,112.6575
36,11/16/2018,113.38
37,11/15/2018,110.12025
38,11/14/2018,109.91
39,11/13/2018,108.56
40,11/12/2018,112.775
41,11/09/2018,110.525
42,11/08/2018,112.85
43,11/07/2018,114.91
44,11/06/2018,114.5675
45,11/05/2018,116.58
46,11/02/2018,114.845
47,11/01/2018,114.265
48,10/31/2018,113.255
49,10/30/2018,108.09
50,10/29/2018,110.2675
51,10/26/2018,112.605
52,10/25/2018,113.705
53,10/24/2018,116.86
54,10/23/2018,119.62
55,10/22/2018,125.725
56,10/19/2018,127.92499999999998
57,10/18/2018,126.74000000000001
58,10/17/2018,129.6
59,10/16/2018,129.475
60,10/15/2018,127.415
61,10/12/2018,124.945
62,10/11/2018,127.135
63,10/10/2018,132.315
64,10/09/2018,134.55
65,10/08/2018,133.7113
66,10/05/2018,135.29
67,10/04/2018,137.29
68,10/03/2018,138.60500000000002
69,10/02/2018,136.29500000000002
70,10/01/2018,136.925
71,09/28/2018,135.535
72,09/27/2018,133.14249999999998
73,09/26/2018,132.85500000000002
74,09/25/2018,134.595
75,09/24/2018,131.76999999999998
76,09/21/2018,127.87
77,09/20/2018,128.065
78,09/19/2018,126.835
79,09/18/2018,124.6
80,09/17/2018,122.77
81,09/14/2018,120.97999999999999
82,09/13/2018,119.1
83,09/12/2018,119.319
84,09/11/2018,114.3177
85,09/10/2018,112.58500000000001
86,09/07/2018,112.66499999999999
87,09/06/2018,115.50999999999999
88,09/05/2018,118.2197
89,09/04/2018,121.02
90,08/31/2018,120.55250000000001
91,08/30/2018,121.625
92,08/29/2018,121.38
93,08/28/2018,121.71000000000001
94,08/27/2018,122.6991
95,08/24/2018,122.475
96,08/23/2018,122.38
97,08/22/2018,124.57
98,08/21/2018,122.88499999999999
99,08/20/2018,120.4925
100,08/17/2018,120.32
101,08/16/2018,119.39500000000001
102,08/15/2018,119.74000000000001
103,08/14/2018,133.735
104,08/13/2018,133.375
105,08/10/2018,133.525
106,08/09/2018,132.25
107,08/08/2018,133.055
108,08/07/2018,135.20499999999998
109,08/06/2018,133.4805
110,08/03/2018,132.38
111,08/02/2018,133.1755
112,08/01/2018,130.91000000000003
113,07/31/2018,132.54000000000002
114,07/30/2018,134.25
115,07/27/2018,134.07
116,07/26/2018,134.97500000000002
117,07/25/2018,134.0225
118,07/24/2018,133.365
119,07/23/2018,130.70499999999998
120,07/20/2018,131.51
121,07/19/2018,131.22
122,07/18/2018,129.58749999999998
123,07/17/2018,129.88
124,07/16/2018,129.6042
125,07/13/2018,131.39499999999998
126,07/12/2018,130.445
127,07/11/2018,131.9441
128,07/10/2018,135.555
129,07/09/2018,135.80495000000002
130,07/06/2018,133.0125
131,07/05/2018,132.085
132,07/03/2018,131.19
133,07/02/2018,129.485
134,06/29/2018,131.2525
135,06/28/2018,129.8725
136,06/27/2018,130.735
137,06/26/2018,124.305
138,06/25/2018,123.38
139,06/22/2018,127.44500000000001
140,06/21/2018,125.5
141,06/20/2018,129.025
142,06/19/2018,124.655
143,06/18/2018,119.06
144,06/15/2018,115.7076
145,06/14/2018,117.715
146,06/13/2018,118.46000000000001
147,06/12/2018,116.66
148,06/11/2018,114.26
149,06/08/2018,113.50999999999999
150,06/07/2018,114.03
151,06/06/2018,111.28999999999999
152,06/05/2018,110.48
153,06/04/2018,112.68985
154,06/01/2018,117.5599
155,05/31/2018,121.64
156,05/30/2018,122.09
157,05/29/2018,120.535
158,05/25/2018,120.22
159,05/24/2018,126.22385
160,05/23/2018,129.975
161,05/22/2018,134.94
162,05/21/2018,136.05
163,05/18/2018,135.2
164,05/17/2018,135.236
165,05/16/2018,130.10000000000002
166,05/15/2018,126.3
167,05/14/2018,124.265
168,05/11/2018,127.07194999999999
169,05/10/2018,133.49
170,05/09/2018,133.815
171,05/08/2018,131.35999999999999
172,05/07/2018,131.385
173,05/04/2018,126.675
174,05/03/2018,127.945
175,05/02/2018,129.24
176,05/01/2018,128.1975
177,04/30/2018,127.788
178,04/27/2018,126.49000000000001
179,04/26/2018,126.375
180,04/25/2018,126.2975
181,04/24/2018,126.59
182,04/23/2018,127.60454999999999
183,04/20/2018,128.39375
184,04/19/2018,128.915
185,04/18/2018,125.88999999999999
186,04/17/2018,121.49000000000001
187,04/16/2018,118.3635
188,04/13/2018,118.16999999999999
189,04/12/2018,116.445
190,04/11/2018,117.86500000000001
191,04/10/2018,116.10499999999999
192,04/09/2018,115.53
193,04/06/2018,119.0825
194,04/05/2018,124.50999999999999
195,04/04/2018,121.53
196,04/03/2018,122.22505
197,04/02/2018,122.3375
198,03/29/2018,125.85
199,03/28/2018,127.45455
200,03/27/2018,131.535
201,03/26/2018,131.0
202,03/23/2018,129.775
203,03/22/2018,128.86495
204,03/21/2018,128.715
205,03/20/2018,124.815
206,03/19/2018,123.735
207,03/16/2018,125.41
208,03/15/2018,125.995
209,03/14/2018,126.945
210,03/13/2018,127.94500000000001
211,03/12/2018,128.671
212,03/09/2018,127.51485
213,03/08/2018,125.41550000000001
214,03/07/2018,126.06654999999999
215,03/06/2018,128.95
216,03/05/2018,129.91000000000003
217,03/02/2018,126.705
218,03/01/2018,126.455
219,02/28/2018,126.41499999999999
220,02/27/2018,127.605
221,02/26/2018,128.115
222,02/23/2018,126.07
223,02/22/2018,122.87245
224,02/21/2018,122.76
225,02/20/2018,123.89005
226,02/16/2018,125.0975
227,02/15/2018,123.42500000000001
228,02/14/2018,118.86
229,02/13/2018,115.555
230,02/12/2018,114.22
231,02/09/2018,109.70415
232,02/08/2018,115.34
233,02/07/2018,120.745
234,02/06/2018,121.305
235,02/05/2018,121.89
236,02/02/2018,124.11
237,02/01/2018,126.425
238,01/31/2018,126.19749999999999
239,01/30/2018,126.28999999999999
240,01/29/2018,130.035
241,01/26/2018,128.52499999999998
242,01/25/2018,129.14
243,01/24/2018,132.3756
244,01/23/2018,132.285
245,01/22/2018,130.1547
246,01/19/2018,126.995
247,01/18/2018,127.26
248,01/17/2018,127.74000000000001
249,01/16/2018,129.36385
250,01/12/2018,130.515
251,01/11/2018,129.205
252,01/10/2018,127.56
253,01/09/2018,129.69565
254,01/08/2018,130.295
255,01/05/2018,129.70499999999998
256,01/04/2018,128.935
257,01/03/2018,128.61005
258,01/02/2018,126.525
259,12/29/2017,125.775
260,12/28/2017,124.685
261,12/27/2017,124.74000000000001
262,12/26/2017,125.935
263,12/22/2017,124.3155
264,12/21/2017,120.4
265,12/20/2017,114.87
266,12/19/2017,110.735
267,12/18/2017,109.95949999999999
268,12/15/2017,110.61500000000001
269,12/14/2017,111.63
270,12/13/2017,111.77600000000001
271,12/12/2017,111.425
272,12/11/2017,111.535
273,12/08/2017,110.31
274,12/07/2017,107.575
275,12/06/2017,107.45
276,12/05/2017,109.17
277,12/04/2017,110.475
278,12/01/2017,111.31
279,11/30/2017,109.73
280,11/29/2017,108.21000000000001
281,11/28/2017,107.69
282,11/27/2017,108.6255
283,11/24/2017,110.265
284,11/22/2017,109.7325
285,11/21/2017,108.7625
286,11/20/2017,107.54249999999999
287,11/17/2017,106.88
288,11/16/2017,106.995
289,11/15/2017,106.65
290,11/14/2017,109.5
291,11/13/2017,111.28999999999999
292,11/10/2017,111.53
293,11/09/2017,109.955
294,11/08/2017,109.59
295,11/07/2017,113.04
296,11/06/2017,112.155
297,11/03/2017,110.20750000000001
298,11/02/2017,109.1425
299,11/01/2017,109.925
300,10/31/2017,106.56
301,10/30/2017,105.765
302,10/27/2017,102.765
303,10/26/2017,100.805
304,10/25/2017,99.995
305,10/24/2017,99.95005
306,10/23/2017,101.465
307,10/20/2017,101.93375
308,10/19/2017,101.52
309,10/18/2017,102.78
310,10/17/2017,102.25139999999999
311,10/16/2017,102.7115
312,10/13/2017,101.715
313,10/12/2017,100.675
314,10/11/2017,100.92515
315,10/10/2017,101.08
316,10/09/2017,99.43
317,10/06/2017,98.55000000000001
318,10/05/2017,100.345
319,10/04/2017,100.4675
320,10/03/2017,101.205
321,10/02/2017,98.02
322,09/29/2017,97.3925
323,09/28/2017,97.475
324,09/27/2017,96.7975
325,09/26/2017,96.92
326,09/25/2017,96.80250000000001
327,09/22/2017,96.075
328,09/21/2017,96.97
329,09/20/2017,95.99
330,09/19/2017,94.965
331,09/18/2017,94.4525
332,09/15/2017,93.9
333,09/14/2017,94.59
334,09/13/2017,92.44
335,09/12/2017,90.515
336,09/11/2017,89.08500000000001
337,09/08/2017,89.445
338,09/07/2017,91.13
339,09/06/2017,92.7775
340,09/05/2017,92.55000000000001
341,09/01/2017,91.16499999999999
342,08/31/2017,89.795
343,08/30/2017,88.155
344,08/29/2017,87.64500000000001
345,08/28/2017,87.58
346,08/25/2017,89.0155
347,08/24/2017,88.525
348,08/23/2017,88.325
349,08/22/2017,87.64689999999999
350,08/21/2017,87.06
351,08/18/2017,87.045
352,08/17/2017,87.28999999999999
353,08/16/2017,88.61
354,08/15/2017,89.1439
355,08/14/2017,91.5985
356,08/11/2017,92.92
357,08/10/2017,93.3175
358,08/09/2017,95.275
359,08/08/2017,95.53999999999999
360,08/07/2017,94.44999999999999
361,08/04/2017,92.805
362,08/03/2017,93.11500000000001
363,08/02/2017,94.925
364,08/01/2017,95.595
365,07/31/2017,95.66
366,07/28/2017,96.6
367,07/27/2017,96.35249999999999
368,07/26/2017,96.58500000000001
369,07/25/2017,95.2775
370,07/24/2017,93.0575
371,07/21/2017,92.04
372,07/20/2017,93.82
373,07/19/2017,92.21000000000001
374,07/18/2017,90.7
375,07/17/2017,90.545
376,07/14/2017,90.055
377,07/13/2017,88.64500000000001
378,07/12/2017,89.2475
379,07/11/2017,87.705
380,07/10/2017,86.7025
381,07/07/2017,84.53999999999999
382,07/06/2017,87.825
383,07/05/2017,88.55015
384,07/03/2017,89.75
385,06/30/2017,88.03
386,06/29/2017,87.6
387,06/28/2017,88.03
388,06/27/2017,87.61500000000001
389,06/26/2017,87.708
390,06/23/2017,87.21000000000001
391,06/22/2017,87.04
392,06/21/2017,87.29435000000001
393,06/20/2017,85.45
394,06/19/2017,85.38050000000001
395,06/16/2017,85.39375
396,06/15/2017,86.98505
397,06/14/2017,90.655
398,06/13/2017,91.395
399,06/12/2017,90.79149999999998
400,06/09/2017,88.98
401,06/08/2017,88.11000000000001
402,06/07/2017,90.47005
403,06/06/2017,91.5275
404,06/05/2017,90.83500000000001
405,06/02/2017,92.76
406,06/01/2017,93.66499999999999
407,05/31/2017,92.555
408,05/30/2017,96.025
409,05/26/2017,98.87
410,05/25/2017,100.155
