,Date,Avg
1,01/11/2019,24.6
2,01/10/2019,24.62995
3,01/09/2019,23.325
4,01/08/2019,22.810000000000002
5,01/07/2019,22.759999999999998
6,01/04/2019,22.205
7,01/03/2019,21.70655
8,01/02/2019,21.905
9,12/31/2018,21.98
10,12/28/2018,21.335
11,12/27/2018,20.9755
12,12/26/2018,21.095
13,12/24/2018,20.9007
14,12/21/2018,21.14
15,12/20/2018,21.1575
16,12/19/2018,21.84505
17,12/18/2018,21.995
18,12/17/2018,22.165
19,12/14/2018,22.62
20,12/13/2018,23.02
21,12/12/2018,23.29
22,12/11/2018,23.2
23,12/10/2018,23.2025
24,12/07/2018,23.525
25,12/06/2018,23.575000000000003
26,12/04/2018,24.02
27,12/03/2018,24.130000000000003
28,11/30/2018,23.5822
29,11/29/2018,24.134999999999998
30,11/28/2018,23.685000000000002
31,11/27/2018,22.259999999999998
32,11/26/2018,22.25
33,11/23/2018,22.05
34,11/21/2018,21.805
35,11/20/2018,21.615
36,11/19/2018,21.9775
37,11/16/2018,22.4625
38,11/15/2018,22.450000000000003
39,11/14/2018,22.78
40,11/13/2018,22.83
41,11/12/2018,22.822499999999998
42,11/09/2018,23.7675
43,11/08/2018,22.545
44,11/07/2018,22.71
45,11/06/2018,22.674999999999997
46,11/05/2018,22.675
47,11/02/2018,23.235
48,11/01/2018,22.495
49,10/31/2018,22.095
50,10/30/2018,21.66
51,10/29/2018,21.555
52,10/26/2018,21.3675
53,10/25/2018,21.37
54,10/24/2018,21.64
55,10/23/2018,21.8706
56,10/22/2018,22.3
57,10/19/2018,22.085
58,10/18/2018,22.1021
59,10/17/2018,22.20495
60,10/16/2018,22.082500000000003
61,10/15/2018,21.240000000000002
62,10/12/2018,21.104999999999997
63,10/11/2018,21.634999999999998
64,10/10/2018,21.67
65,10/09/2018,22.560000000000002
66,10/08/2018,22.2075
67,10/05/2018,22.4025
68,10/04/2018,22.63
69,10/03/2018,22.965
70,10/02/2018,23.275199999999998
71,10/01/2018,23.53
72,09/28/2018,23.6
73,09/27/2018,23.450000000000003
74,09/26/2018,23.575000000000003
75,09/25/2018,23.6
76,09/24/2018,23.475
77,09/21/2018,23.6
78,09/20/2018,23.549999999999997
79,09/19/2018,23.225
80,09/18/2018,23.375
81,09/17/2018,23.0
82,09/14/2018,23.325
83,09/13/2018,23.075
84,09/12/2018,22.95
85,09/11/2018,23.975
86,09/10/2018,24.775
87,09/07/2018,24.725
88,09/06/2018,24.925
89,09/05/2018,24.9
90,09/04/2018,25.4125
91,08/31/2018,25.711599999999997
92,08/30/2018,25.725
93,08/29/2018,25.65
94,08/28/2018,25.6
95,08/27/2018,25.65
96,08/24/2018,25.549999999999997
97,08/23/2018,25.630000000000003
98,08/22/2018,25.5
99,08/21/2018,25.6
100,08/20/2018,25.25
101,08/17/2018,25.299999999999997
102,08/16/2018,25.575000000000003
103,08/15/2018,25.45
104,08/14/2018,25.35
105,08/13/2018,25.4625
106,08/10/2018,26.0
107,08/09/2018,25.825
108,08/08/2018,25.25
109,08/07/2018,25.25
110,08/06/2018,25.05
111,08/03/2018,24.925
112,08/02/2018,25.1625
113,08/01/2018,25.475
114,07/31/2018,25.525
115,07/30/2018,25.025
116,07/27/2018,25.275
117,07/26/2018,25.475
118,07/25/2018,25.275
119,07/24/2018,25.1375
120,07/23/2018,24.775
121,07/20/2018,24.8
122,07/19/2018,24.825000000000003
123,07/18/2018,24.6
124,07/17/2018,24.6
125,07/16/2018,24.9
126,07/13/2018,25.674999999999997
127,07/12/2018,25.775
128,07/11/2018,26.575
129,07/10/2018,26.025
130,07/09/2018,26.2
131,07/06/2018,26.65
132,07/05/2018,26.925
133,07/03/2018,26.325000000000003
134,07/02/2018,24.924999999999997
135,06/29/2018,25.275
136,06/28/2018,27.6625
137,06/27/2018,27.725
138,06/26/2018,28.025
139,06/25/2018,28.075
140,06/22/2018,28.775
141,06/21/2018,28.799999999999997
142,06/20/2018,28.875
143,06/19/2018,28.924999999999997
144,06/18/2018,29.125
145,06/15/2018,29.375
146,06/14/2018,29.025
147,06/13/2018,29.175
148,06/12/2018,29.1
149,06/11/2018,29.425
150,06/08/2018,29.174999999999997
151,06/07/2018,29.05
