,Date,Avg
1,01/11/2019,16.52
2,01/10/2019,16.52
3,01/09/2019,16.52
4,01/08/2019,16.59255
5,01/07/2019,16.52
6,01/04/2019,16.6454
7,01/03/2019,17.0
8,01/02/2019,17.0
9,12/31/2018,17.0
10,12/28/2018,17.0
11,12/27/2018,15.99
12,12/26/2018,16.130000000000003
13,12/24/2018,16.0021
14,12/21/2018,16.055
15,12/20/2018,16.16805
16,12/19/2018,16.265
17,12/18/2018,16.32
18,12/17/2018,16.46
19,12/14/2018,16.5
20,12/13/2018,16.4379
21,12/12/2018,16.41895
22,12/11/2018,16.545
23,12/10/2018,16.6858
24,12/07/2018,16.717
25,12/06/2018,16.561
26,12/04/2018,16.525
27,12/03/2018,16.55
28,11/30/2018,16.55
29,11/29/2018,16.73
30,11/28/2018,16.695
31,11/27/2018,16.5505
32,11/26/2018,16.8595
33,11/23/2018,16.58475
34,11/21/2018,16.62
35,11/20/2018,16.5081
36,11/19/2018,16.51585
37,11/16/2018,16.71
38,11/15/2018,16.5
39,11/14/2018,16.5
40,11/13/2018,16.4
41,11/12/2018,16.4
42,11/09/2018,16.7735
43,11/08/2018,16.7735
44,11/07/2018,16.7735
45,11/06/2018,16.89135
46,11/05/2018,16.69995
47,11/02/2018,16.92105
48,11/01/2018,16.674950000000003
49,10/31/2018,16.44445
50,10/30/2018,16.75
51,10/29/2018,16.75
52,10/26/2018,16.875
53,10/25/2018,17.0
54,10/24/2018,17.2
55,10/23/2018,17.4232
56,10/22/2018,17.35
57,10/19/2018,17.35
58,10/18/2018,17.35
59,10/17/2018,17.37
60,10/16/2018,17.3934
61,10/15/2018,17.35
62,10/12/2018,17.35
63,10/11/2018,17.36
64,10/10/2018,17.45
65,10/09/2018,17.525
66,10/08/2018,17.75
67,10/05/2018,17.625
68,10/04/2018,17.525
69,10/03/2018,17.54375
70,10/02/2018,17.518700000000003
71,10/01/2018,17.534399999999998
72,09/28/2018,17.5001
73,09/27/2018,17.7465
74,09/26/2018,17.7465
75,09/25/2018,17.7465
76,09/24/2018,18.0
77,09/21/2018,17.875
78,09/20/2018,17.54
79,09/19/2018,17.545
80,09/18/2018,17.75
81,09/17/2018,17.634999999999998
82,09/14/2018,17.677500000000002
83,09/13/2018,17.645
84,09/12/2018,17.75
85,09/11/2018,17.75
86,09/10/2018,17.875
87,09/07/2018,17.57
88,09/06/2018,17.57
89,09/05/2018,17.78
90,09/04/2018,17.907600000000002
91,08/31/2018,17.9
92,08/30/2018,18.0377
93,08/29/2018,18.125
94,08/28/2018,18.141550000000002
95,08/27/2018,17.58
96,08/24/2018,18.09
97,08/23/2018,18.09
98,08/22/2018,18.0
99,08/21/2018,18.02505
100,08/20/2018,17.75
101,08/17/2018,17.75
102,08/16/2018,17.7342
103,08/15/2018,17.7012
104,08/14/2018,17.7012
105,08/13/2018,18.03
106,08/10/2018,17.80005
107,08/09/2018,17.56
108,08/08/2018,17.56
109,08/07/2018,17.655
110,08/06/2018,18.0
111,08/03/2018,18.25
112,08/02/2018,17.909
113,08/01/2018,17.5
114,07/31/2018,17.825
115,07/30/2018,17.825
116,07/27/2018,17.874850000000002
117,07/26/2018,17.509999999999998
118,07/25/2018,17.75
119,07/24/2018,17.75
120,07/23/2018,17.5
121,07/20/2018,17.5
122,07/19/2018,17.61
123,07/18/2018,17.5
124,07/17/2018,17.5
125,07/16/2018,17.5625
126,07/13/2018,17.6625
127,07/12/2018,17.5
128,07/11/2018,17.7499
129,07/10/2018,17.7499
130,07/09/2018,17.7499
131,07/06/2018,17.7499
132,07/05/2018,17.7499
133,07/03/2018,17.7499
134,07/02/2018,17.74995
135,06/29/2018,17.75
136,06/28/2018,17.75
137,06/27/2018,17.75
138,06/26/2018,17.75
139,06/25/2018,17.45
140,06/22/2018,17.45
141,06/21/2018,17.7
142,06/20/2018,17.7
143,06/19/2018,17.7
144,06/18/2018,17.6615
145,06/15/2018,17.65
146,06/14/2018,17.455
147,06/13/2018,17.6105
148,06/12/2018,17.625
149,06/11/2018,17.35
150,06/08/2018,17.35
151,06/07/2018,17.310000000000002
152,06/06/2018,17.310000000000002
153,06/05/2018,17.310000000000002
154,06/04/2018,17.649949999999997
155,06/01/2018,17.504849999999998
156,05/31/2018,17.2
157,05/30/2018,17.2
158,05/29/2018,17.5004
159,05/25/2018,17.560200000000002
160,05/24/2018,17.65
161,05/23/2018,17.667650000000002
162,05/22/2018,17.6
163,05/21/2018,17.6
164,05/18/2018,17.625
165,05/17/2018,17.4363
166,05/16/2018,17.47
167,05/15/2018,17.47
168,05/14/2018,17.375
169,05/11/2018,17.4
170,05/10/2018,17.50005
171,05/09/2018,17.5
172,05/08/2018,17.509999999999998
173,05/07/2018,17.259999999999998
174,05/04/2018,17.585
175,05/03/2018,17.259500000000003
176,05/02/2018,17.4525
177,05/01/2018,17.5
178,04/30/2018,17.744999999999997
179,04/27/2018,17.15815
180,04/26/2018,17.475
181,04/25/2018,17.61505
182,04/24/2018,17.333
183,04/23/2018,17.49995
184,04/20/2018,17.29
185,04/19/2018,17.58
186,04/18/2018,17.332500000000003
187,04/17/2018,17.27
188,04/16/2018,16.964
189,04/13/2018,17.02395
190,04/12/2018,17.395
191,04/11/2018,17.0974
192,04/10/2018,16.85
193,04/09/2018,16.85
194,04/06/2018,16.85
195,04/05/2018,16.85
196,04/04/2018,17.125
197,04/03/2018,17.1
198,04/02/2018,17.02
199,03/29/2018,17.22735
200,03/28/2018,16.81
201,03/27/2018,16.81
202,03/26/2018,16.83
203,03/23/2018,16.83
204,03/22/2018,16.83
205,03/21/2018,16.915
206,03/20/2018,17.01
207,03/19/2018,18.0
208,03/16/2018,17.555
209,03/15/2018,17.195
210,03/14/2018,16.74
211,03/13/2018,16.824849999999998
212,03/12/2018,17.15
213,03/09/2018,17.465
214,03/08/2018,17.465
215,03/07/2018,17.0175
216,03/06/2018,16.61
217,03/05/2018,16.6
218,03/02/2018,16.6
219,03/01/2018,16.56
220,02/28/2018,16.56
221,02/27/2018,16.68
222,02/26/2018,16.808100000000003
223,02/23/2018,16.62
224,02/22/2018,16.645000000000003
225,02/21/2018,16.795
226,02/20/2018,16.87
227,02/16/2018,17.083
228,02/15/2018,16.95
229,02/14/2018,16.95
230,02/13/2018,17.25
231,02/12/2018,17.05
232,02/09/2018,17.05
233,02/08/2018,17.05
234,02/07/2018,16.96
235,02/06/2018,16.9554
236,02/05/2018,16.91585
237,02/02/2018,17.2
238,02/01/2018,17.35
239,01/31/2018,17.65
240,01/30/2018,17.65
241,01/29/2018,17.63
242,01/26/2018,17.65
243,01/25/2018,17.549999999999997
244,01/24/2018,17.54
245,01/23/2018,17.85
246,01/22/2018,17.831
247,01/19/2018,17.625
248,01/18/2018,17.8512
249,01/17/2018,17.950000000000003
250,01/16/2018,17.88495
251,01/12/2018,17.9
252,01/11/2018,18.055
253,01/10/2018,17.549999999999997
254,01/09/2018,17.799999999999997
255,01/08/2018,17.67
256,01/05/2018,17.7138
257,01/04/2018,17.731
258,01/03/2018,17.61
259,01/02/2018,17.475
260,12/29/2017,17.25
261,12/28/2017,17.15
262,12/27/2017,17.259999999999998
263,12/26/2017,17.310000000000002
264,12/22/2017,17.11
265,12/21/2017,17.32525
266,12/20/2017,17.130000000000003
267,12/19/2017,17.365000000000002
268,12/18/2017,17.25
269,12/15/2017,17.095
270,12/14/2017,17.0753
271,12/13/2017,16.79
272,12/12/2017,16.58
273,12/11/2017,16.625
274,12/08/2017,16.7168
275,12/07/2017,16.5498
276,12/06/2017,16.59
277,12/05/2017,16.67105
278,12/04/2017,16.68
279,12/01/2017,16.473
280,11/30/2017,16.48
281,11/29/2017,16.365000000000002
282,11/28/2017,16.2912
283,11/27/2017,16.215
284,11/24/2017,16.195
285,11/22/2017,16.1725
286,11/21/2017,16.25
287,11/20/2017,16.25
288,11/17/2017,16.8
289,11/16/2017,16.8
290,11/15/2017,16.67575
291,11/14/2017,16.1172
292,11/13/2017,16.15
293,11/10/2017,16.15
294,11/09/2017,16.15
295,11/08/2017,16.2733
296,11/07/2017,16.59
297,11/06/2017,16.77
298,11/03/2017,16.6501
299,11/02/2017,16.65
300,11/01/2017,16.695
301,10/31/2017,16.6828
302,10/30/2017,16.69
303,10/27/2017,16.674
304,10/26/2017,16.45
305,10/25/2017,16.45
306,10/24/2017,16.45
307,10/23/2017,16.45
308,10/20/2017,16.53005
309,10/19/2017,16.6944
310,10/18/2017,16.28
311,10/17/2017,16.1371
312,10/16/2017,15.74
313,10/13/2017,16.37
314,10/12/2017,16.33
315,10/11/2017,16.305
316,10/10/2017,16.28295
317,10/09/2017,16.16545
318,10/06/2017,16.096
319,10/05/2017,15.77
320,10/04/2017,16.29
321,10/03/2017,16.45
322,10/02/2017,16.72
323,09/29/2017,16.645049999999998
324,09/28/2017,16.05
325,09/27/2017,16.1078
326,09/26/2017,16.125
327,09/25/2017,15.8856
328,09/22/2017,15.675
329,09/21/2017,15.44
330,09/20/2017,15.344999999999999
331,09/19/2017,15.295
332,09/18/2017,15.629999999999999
333,09/15/2017,15.6
334,09/14/2017,15.919999999999998
335,09/13/2017,15.735
336,09/12/2017,15.245000000000001
337,09/11/2017,15.305
338,09/08/2017,15.23
339,09/07/2017,15.25
340,09/06/2017,15.21
341,09/05/2017,15.184999999999999
342,09/01/2017,15.12
343,08/31/2017,15.17
344,08/30/2017,15.18
345,08/29/2017,15.25
346,08/28/2017,15.3
347,08/25/2017,15.2005
348,08/24/2017,15.18505
349,08/23/2017,15.25
350,08/22/2017,15.15
351,08/21/2017,15.135
352,08/18/2017,15.125
353,08/17/2017,15.28125
354,08/16/2017,15.350000000000001
355,08/15/2017,15.345
356,08/14/2017,15.3
357,08/11/2017,15.3265
358,08/10/2017,15.331800000000001
359,08/09/2017,15.3
360,08/08/2017,15.3862
361,08/07/2017,15.35
362,08/04/2017,15.350000000000001
363,08/03/2017,15.315000000000001
364,08/02/2017,15.3156
365,08/01/2017,15.3225
366,07/31/2017,15.2204
367,07/28/2017,15.149999999999999
368,07/27/2017,15.1
369,07/26/2017,15.1
370,07/25/2017,15.120000000000001
371,07/24/2017,15.01
372,07/21/2017,15.0323
373,07/20/2017,14.98375
374,07/19/2017,15.025
375,07/18/2017,14.925
376,07/17/2017,15.024999999999999
377,07/14/2017,14.945
378,07/13/2017,15.05
379,07/12/2017,15.0495
380,07/11/2017,15.05
381,07/10/2017,14.895
382,07/07/2017,14.6725
383,07/06/2017,14.661000000000001
384,07/05/2017,14.605
385,07/03/2017,14.7036
386,06/30/2017,14.74
387,06/29/2017,14.7965
388,06/28/2017,14.7965
389,06/27/2017,14.7965
390,06/26/2017,14.7965
391,06/23/2017,14.7965
392,06/22/2017,14.72
393,06/21/2017,14.74
394,06/20/2017,14.7875
395,06/19/2017,14.79375
396,06/16/2017,14.8
397,06/15/2017,14.805
398,06/14/2017,14.844899999999999
399,06/13/2017,14.81
400,06/12/2017,14.87
401,06/09/2017,14.87
402,06/08/2017,14.86
403,06/07/2017,14.85005
404,06/06/2017,14.925
405,06/05/2017,14.925
406,06/02/2017,14.94605
407,06/01/2017,14.875
408,05/31/2017,14.9424
409,05/30/2017,14.9
410,05/26/2017,14.967
411,05/25/2017,15.0
412,05/24/2017,15.0
413,05/23/2017,14.995000000000001
414,05/22/2017,14.94735
415,05/19/2017,14.934349999999998
416,05/18/2017,14.9149
417,05/17/2017,14.9149
418,05/16/2017,14.95
419,05/15/2017,14.9
420,05/12/2017,14.91755
421,05/11/2017,14.9308
422,05/10/2017,15.0
423,05/09/2017,14.95
424,05/08/2017,14.9875
425,05/05/2017,15.05
426,05/04/2017,14.9921
427,05/03/2017,14.925
428,05/02/2017,14.965
429,05/01/2017,14.9189
430,04/28/2017,14.9
431,04/27/2017,14.95635
432,04/26/2017,14.95
433,04/25/2017,14.95
434,04/24/2017,14.95
435,04/21/2017,14.8141
436,04/20/2017,14.68
437,04/19/2017,14.59185
438,04/18/2017,14.555499999999999
439,04/17/2017,14.5141
440,04/13/2017,14.5
441,04/12/2017,14.450050000000001
442,04/11/2017,14.31
443,04/10/2017,14.31
444,04/07/2017,14.2101
445,04/06/2017,14.21005
446,04/05/2017,14.65
447,04/04/2017,14.65
448,04/03/2017,14.6153
449,03/31/2017,14.6
450,03/30/2017,14.6
451,03/29/2017,14.6
452,03/28/2017,14.674150000000001
453,03/27/2017,14.61275
454,03/24/2017,14.61
455,03/23/2017,14.40905
456,03/22/2017,14.6884
457,03/21/2017,14.6884
458,03/20/2017,14.7592
459,03/17/2017,14.84
460,03/16/2017,14.511
461,03/15/2017,14.511
462,03/14/2017,14.34995
463,03/13/2017,14.329699999999999
464,03/10/2017,14.31
465,03/09/2017,14.3432
466,03/08/2017,14.3397
467,03/07/2017,14.2698
468,03/06/2017,14.3115
469,03/03/2017,14.264199999999999
470,03/02/2017,14.219999999999999
471,03/01/2017,14.29485
472,02/28/2017,14.1476
473,02/27/2017,14.194500000000001
474,02/24/2017,14.2415
475,02/23/2017,14.32335
476,02/22/2017,14.27
477,02/21/2017,14.293800000000001
478,02/17/2017,14.30165
479,02/16/2017,14.34495
480,02/15/2017,14.34525
481,02/14/2017,14.34625
482,02/13/2017,14.344999999999999
483,02/10/2017,14.32
484,02/09/2017,14.35
485,02/08/2017,14.35
