,Date,Avg
1,01/11/2019,2.05
2,01/10/2019,1.9900000000000002
3,01/09/2019,1.9
4,01/08/2019,1.685
5,01/07/2019,1.67
6,01/04/2019,1.595
7,01/03/2019,1.495
8,01/02/2019,1.495
9,12/31/2018,1.5373
10,12/28/2018,1.5
11,12/27/2018,1.51
12,12/26/2018,1.595
13,12/24/2018,1.56875
14,12/21/2018,1.5804999999999998
15,12/20/2018,1.48
16,12/19/2018,1.5125
17,12/18/2018,1.54
18,12/17/2018,1.505
19,12/14/2018,1.565
20,12/13/2018,1.67
21,12/12/2018,1.6600000000000001
22,12/11/2018,1.785
23,12/10/2018,1.8006000000000002
24,12/07/2018,1.8199999999999998
25,12/06/2018,1.82
26,12/04/2018,1.92
27,12/03/2018,2.09
28,11/30/2018,2.185
29,11/29/2018,2.21
30,11/28/2018,2.1950000000000003
31,11/27/2018,2.185
32,11/26/2018,2.25
33,11/23/2018,2.33
34,11/21/2018,2.44
35,11/20/2018,2.395
36,11/19/2018,2.5149999999999997
37,11/16/2018,2.56
38,11/15/2018,2.525
39,11/14/2018,2.5999999999999996
40,11/13/2018,2.7350000000000003
41,11/12/2018,2.685
42,11/09/2018,2.835
43,11/08/2018,2.505
44,11/07/2018,2.05
45,11/06/2018,2.1399999999999997
46,11/05/2018,2.1950000000000003
47,11/02/2018,2.265
48,11/01/2018,2.115
49,10/31/2018,2.092
50,10/30/2018,2.1425
51,10/29/2018,2.275
52,10/26/2018,2.3600000000000003
53,10/25/2018,2.4074999999999998
54,10/24/2018,2.59
55,10/23/2018,2.425
56,10/22/2018,2.37
57,10/19/2018,2.3499999999999996
58,10/18/2018,2.535
59,10/17/2018,2.36
60,10/16/2018,2.3449999999999998
61,10/15/2018,2.26
62,10/12/2018,2.26
63,10/11/2018,2.2795
64,10/10/2018,2.27
65,10/09/2018,2.335
66,10/08/2018,2.3150000000000004
67,10/05/2018,2.325
68,10/04/2018,2.44
69,10/03/2018,2.4000000000000004
70,10/02/2018,2.3825000000000003
71,10/01/2018,2.58
72,09/28/2018,2.6891999999999996
73,09/27/2018,2.74
74,09/26/2018,2.6275
75,09/25/2018,2.71
76,09/24/2018,2.6950000000000003
77,09/21/2018,2.875
78,09/20/2018,3.0448500000000003
79,09/19/2018,3.01505
80,09/18/2018,3.0299500000000004
81,09/17/2018,2.8049
82,09/14/2018,2.75
83,09/13/2018,2.8449999999999998
84,09/12/2018,3.025
85,09/11/2018,3.17
86,09/10/2018,3.19
87,09/07/2018,3.58
88,09/06/2018,3.5549999999999997
89,09/05/2018,3.59
90,09/04/2018,3.625
91,08/31/2018,3.545
92,08/30/2018,3.52
93,08/29/2018,3.61
94,08/28/2018,3.7175000000000002
95,08/27/2018,3.76
96,08/24/2018,3.81
97,08/23/2018,3.8449999999999998
98,08/22/2018,3.895
99,08/21/2018,3.8
100,08/20/2018,3.825
101,08/17/2018,3.7800000000000002
102,08/16/2018,3.9
103,08/15/2018,3.9304499999999996
104,08/14/2018,4.175
105,08/13/2018,3.8449999999999998
106,08/10/2018,3.93505
107,08/09/2018,3.5496999999999996
108,08/08/2018,3.38
109,08/07/2018,3.375
110,08/06/2018,3.3125
111,08/03/2018,3.4
112,08/02/2018,3.5300000000000002
113,08/01/2018,3.62
114,07/31/2018,3.59
115,07/30/2018,3.5125
116,07/27/2018,3.42
117,07/26/2018,3.53325
118,07/25/2018,3.4050000000000002
119,07/24/2018,3.5344999999999995
120,07/23/2018,3.62
121,07/20/2018,3.7800000000000002
122,07/19/2018,4.44375
123,07/18/2018,4.57
124,07/17/2018,4.575
125,07/16/2018,4.49
126,07/13/2018,4.45
127,07/12/2018,4.445
128,07/11/2018,4.54
129,07/10/2018,4.63505
130,07/09/2018,4.77
131,07/06/2018,4.93
132,07/05/2018,4.915
133,07/03/2018,4.895
134,07/02/2018,4.79
135,06/29/2018,4.824999999999999
136,06/28/2018,5.0752
137,06/27/2018,5.115
138,06/26/2018,5.163
139,06/25/2018,5.1338
140,06/22/2018,5.5055
141,06/21/2018,5.55
142,06/20/2018,5.635
143,06/19/2018,5.6
144,06/18/2018,5.8100000000000005
145,06/15/2018,5.9350000000000005
146,06/14/2018,5.85
147,06/13/2018,5.815
148,06/12/2018,6.12
149,06/11/2018,6.244999999999999
150,06/08/2018,6.22
151,06/07/2018,6.07
152,06/06/2018,5.8025
153,06/05/2018,5.385
154,06/04/2018,5.385
155,06/01/2018,5.74585
156,05/31/2018,5.9
157,05/30/2018,5.98
158,05/29/2018,5.9025
159,05/25/2018,5.9125
160,05/24/2018,5.835
161,05/23/2018,5.37
162,05/22/2018,5.385
163,05/21/2018,5.395
164,05/18/2018,5.275
165,05/17/2018,5.0725
166,05/16/2018,4.88335
167,05/15/2018,4.725
168,05/14/2018,4.815
169,05/11/2018,4.945
170,05/10/2018,5.3775
171,05/09/2018,5.82
172,05/08/2018,6.05
173,05/07/2018,6.04
174,05/04/2018,6.47
175,05/03/2018,6.365
176,05/02/2018,6.2650500000000005
177,05/01/2018,6.3100000000000005
178,04/30/2018,6.529999999999999
179,04/27/2018,6.395
180,04/26/2018,5.9704999999999995
181,04/25/2018,5.98
182,04/24/2018,5.922499999999999
183,04/23/2018,6.109999999999999
184,04/20/2018,6.4350000000000005
185,04/19/2018,6.49
186,04/18/2018,6.455
187,04/17/2018,6.395
188,04/16/2018,5.949999999999999
189,04/13/2018,5.577500000000001
190,04/12/2018,5.55855
191,04/11/2018,5.43635
192,04/10/2018,5.215
193,04/09/2018,4.8100000000000005
194,04/06/2018,4.8149999999999995
195,04/05/2018,4.3855
196,04/04/2018,4.115
197,04/03/2018,3.69
198,04/02/2018,3.665
199,03/29/2018,3.74
200,03/28/2018,3.715
201,03/27/2018,3.885
202,03/26/2018,4.015000000000001
203,03/23/2018,4.16
204,03/22/2018,4.0600000000000005
205,03/21/2018,4.15
206,03/20/2018,4.140000000000001
207,03/19/2018,4.245
208,03/16/2018,4.265000000000001
209,03/15/2018,4.3325
210,03/14/2018,4.425
211,03/13/2018,4.449999999999999
212,03/12/2018,4.62
213,03/09/2018,4.654999999999999
214,03/08/2018,4.6155
215,03/07/2018,6.7325
216,03/06/2018,6.77
217,03/05/2018,6.535
218,03/02/2018,5.995
219,03/01/2018,5.914999999999999
220,02/28/2018,6.1
221,02/27/2018,6.335000000000001
222,02/26/2018,6.27
223,02/23/2018,6.26
224,02/22/2018,6.2575
225,02/21/2018,6.205
226,02/20/2018,6.07
227,02/16/2018,6.055
228,02/15/2018,6.0600000000000005
229,02/14/2018,5.995
230,02/13/2018,5.99
231,02/12/2018,5.94375
232,02/09/2018,5.725
233,02/08/2018,5.925
234,02/07/2018,5.872
235,02/06/2018,5.797499999999999
236,02/05/2018,5.67
237,02/02/2018,5.775
238,02/01/2018,5.855
239,01/31/2018,5.955
240,01/30/2018,5.96
241,01/29/2018,6.43
242,01/26/2018,6.77
243,01/25/2018,6.82
244,01/24/2018,6.91
245,01/23/2018,6.6850000000000005
246,01/22/2018,6.645
247,01/19/2018,6.8477
248,01/18/2018,6.925
249,01/17/2018,7.6625000000000005
250,01/16/2018,8.705
251,01/12/2018,8.54005
252,01/11/2018,8.1963
253,01/10/2018,7.836650000000001
254,01/09/2018,7.80495
255,01/08/2018,7.84335
256,01/05/2018,7.800000000000001
257,01/04/2018,7.71
258,01/03/2018,7.484999999999999
259,01/02/2018,7.3149999999999995
260,12/29/2017,7.135
261,12/28/2017,7.1225000000000005
262,12/27/2017,7.26
263,12/26/2017,7.18
264,12/22/2017,7.22
265,12/21/2017,7.4
266,12/20/2017,7.484999999999999
267,12/19/2017,7.42
268,12/18/2017,7.41
269,12/15/2017,7.095000000000001
270,12/14/2017,7.075
271,12/13/2017,7.145
272,12/12/2017,7.21
273,12/11/2017,7.105
274,12/08/2017,7.1899999999999995
275,12/07/2017,7.3149999999999995
276,12/06/2017,7.115
277,12/05/2017,7.075
278,12/04/2017,7.105
279,12/01/2017,6.6525
280,11/30/2017,6.91
281,11/29/2017,7.1395
282,11/28/2017,6.915
283,11/27/2017,7.055
284,11/24/2017,7.0125
285,11/22/2017,7.04
286,11/21/2017,7.140000000000001
287,11/20/2017,7.57
288,11/17/2017,7.69805
289,11/16/2017,7.415
290,11/15/2017,7.08
291,11/14/2017,7.359999999999999
292,11/13/2017,7.7722
293,11/10/2017,8.95
294,11/09/2017,9.49
295,11/08/2017,9.84
296,11/07/2017,10.45
297,11/06/2017,10.58
298,11/03/2017,10.45
299,11/02/2017,10.57
300,11/01/2017,10.745000000000001
301,10/31/2017,10.84
302,10/30/2017,10.844999999999999
303,10/27/2017,11.05015
304,10/26/2017,11.42
305,10/25/2017,11.395
306,10/24/2017,11.52
