,Date,Avg
1,01/11/2019,5.4975
2,01/10/2019,5.495
3,01/09/2019,5.495
4,01/08/2019,5.42
5,01/07/2019,5.29
6,01/04/2019,5.22
7,01/03/2019,5.154999999999999
8,01/02/2019,5.119999999999999
9,12/31/2018,5.139950000000001
10,12/28/2018,5.115
11,12/27/2018,5.02
12,12/26/2018,4.949999999999999
13,12/24/2018,4.8
14,12/21/2018,4.9399999999999995
15,12/20/2018,5.145
16,12/19/2018,5.32
17,12/18/2018,5.335
18,12/17/2018,5.405
19,12/14/2018,5.59
20,12/13/2018,5.624499999999999
21,12/12/2018,5.65
22,12/11/2018,5.633649999999999
23,12/10/2018,5.625
24,12/07/2018,5.765
25,12/06/2018,5.755
26,12/04/2018,6.105
27,12/03/2018,6.1899999999999995
28,11/30/2018,6.09
29,11/29/2018,6.07
30,11/28/2018,6.02
31,11/27/2018,5.95955
32,11/26/2018,5.95
33,11/23/2018,5.88
34,11/21/2018,5.89
35,11/20/2018,5.855
36,11/19/2018,6.015
37,11/16/2018,6.02
38,11/15/2018,5.99
39,11/14/2018,6.0241
40,11/13/2018,6.045
41,11/12/2018,6.08
42,11/09/2018,6.13505
43,11/08/2018,6.195
44,11/07/2018,6.131399999999999
45,11/06/2018,6.029999999999999
46,11/05/2018,6.0
47,11/02/2018,5.95
48,11/01/2018,5.8766
49,10/31/2018,5.8100000000000005
50,10/30/2018,5.7
51,10/29/2018,5.734999999999999
52,10/26/2018,5.735049999999999
53,10/25/2018,5.85
54,10/24/2018,5.9
55,10/23/2018,5.970000000000001
56,10/22/2018,6.06
57,10/19/2018,6.1
58,10/18/2018,6.09
59,10/17/2018,6.135
60,10/16/2018,6.105
61,10/15/2018,6.025
62,10/12/2018,6.02
63,10/11/2018,6.0051000000000005
64,10/10/2018,6.1925
65,10/09/2018,6.321400000000001
66,10/08/2018,6.30785
67,10/05/2018,6.3529
68,10/04/2018,6.449999999999999
69,10/03/2018,6.515000000000001
70,10/02/2018,6.495
71,10/01/2018,6.5225
72,09/28/2018,6.4916
73,09/27/2018,6.52
74,09/26/2018,6.5425
75,09/25/2018,6.525
76,09/24/2018,6.5600000000000005
77,09/21/2018,6.595
78,09/20/2018,6.57
79,09/19/2018,6.52
80,09/18/2018,6.4855
81,09/17/2018,6.46
82,09/14/2018,6.475
83,09/13/2018,6.484999999999999
84,09/12/2018,6.5775
85,09/11/2018,6.574999999999999
86,09/10/2018,6.5649999999999995
87,09/07/2018,6.525
88,09/06/2018,6.529999999999999
89,09/05/2018,6.535
90,09/04/2018,6.5633
91,08/31/2018,6.574999999999999
92,08/30/2018,6.609999999999999
93,08/29/2018,6.609999999999999
94,08/28/2018,6.5975
95,08/27/2018,6.58
96,08/24/2018,6.555
97,08/23/2018,6.55
98,08/22/2018,6.55
99,08/21/2018,6.545
100,08/20/2018,6.51
101,08/17/2018,6.48
102,08/16/2018,6.465
103,08/15/2018,6.425000000000001
104,08/14/2018,6.4399999999999995
105,08/13/2018,6.43
106,08/10/2018,6.445
107,08/09/2018,6.475
108,08/08/2018,6.484999999999999
109,08/07/2018,6.48
110,08/06/2018,6.4350000000000005
111,08/03/2018,6.4
112,08/02/2018,6.395
113,08/01/2018,6.42
114,07/31/2018,6.415
115,07/30/2018,6.42
116,07/27/2018,6.4251000000000005
117,07/26/2018,6.4094
118,07/25/2018,6.390000000000001
119,07/24/2018,6.3950499999999995
120,07/23/2018,6.375
121,07/20/2018,6.38645
122,07/19/2018,6.38
123,07/18/2018,6.355
124,07/17/2018,6.324999999999999
125,07/16/2018,6.3149999999999995
126,07/13/2018,6.3100000000000005
127,07/12/2018,6.3109
128,07/11/2018,6.33
129,07/10/2018,6.37
130,07/09/2018,6.34
131,07/06/2018,6.27
132,07/05/2018,6.26
133,07/03/2018,6.26
134,07/02/2018,6.24
135,06/29/2018,6.265000000000001
136,06/28/2018,6.205
137,06/27/2018,6.245
138,06/26/2018,6.2650500000000005
139,06/25/2018,6.27
140,06/22/2018,6.35
141,06/21/2018,6.295
142,06/20/2018,6.3105
143,06/19/2018,6.289999999999999
144,06/18/2018,6.324999999999999
145,06/15/2018,6.3275
146,06/14/2018,6.3475
147,06/13/2018,6.49
148,06/12/2018,6.475
149,06/11/2018,6.455
150,06/08/2018,6.415
151,06/07/2018,6.390000000000001
152,06/06/2018,6.37505
153,06/05/2018,6.33
154,06/04/2018,6.30135
155,06/01/2018,6.285
156,05/31/2018,6.285
157,05/30/2018,6.297499999999999
158,05/29/2018,6.245
159,05/25/2018,6.29505
160,05/24/2018,6.3125
161,05/23/2018,6.32
162,05/22/2018,6.36
163,05/21/2018,6.355
164,05/18/2018,6.300000000000001
165,05/17/2018,6.27
166,05/16/2018,6.26
167,05/15/2018,6.23
168,05/14/2018,6.25
169,05/11/2018,6.215
170,05/10/2018,6.17
171,05/09/2018,6.135
172,05/08/2018,6.125
173,05/07/2018,6.1208
174,05/04/2018,6.057499999999999
175,05/03/2018,6.0275
176,05/02/2018,6.075699999999999
177,05/01/2018,6.08
178,04/30/2018,6.145
179,04/27/2018,6.16
180,04/26/2018,6.16
181,04/25/2018,6.105
182,04/24/2018,6.154999999999999
183,04/23/2018,6.17
184,04/20/2018,6.175
185,04/19/2018,6.210000000000001
186,04/18/2018,6.205
187,04/17/2018,6.195
188,04/16/2018,6.16
189,04/13/2018,6.13
190,04/12/2018,6.1325
191,04/11/2018,6.12
192,04/10/2018,6.125
193,04/09/2018,6.0925
194,04/06/2018,6.1
195,04/05/2018,6.12595
196,04/04/2018,6.035
197,04/03/2018,6.029999999999999
198,04/02/2018,6.0600000000000005
199,03/29/2018,6.105
200,03/28/2018,6.067500000000001
201,03/27/2018,6.11
202,03/26/2018,6.1
203,03/23/2018,6.105
204,03/22/2018,6.157500000000001
205,03/21/2018,6.205
206,03/20/2018,6.202400000000001
207,03/19/2018,6.195
208,03/16/2018,6.245
209,03/15/2018,6.245
210,03/14/2018,6.285
211,03/13/2018,6.475
212,03/12/2018,6.490600000000001
213,03/09/2018,6.465
214,03/08/2018,6.37
215,03/07/2018,6.305
216,03/06/2018,6.305
217,03/05/2018,6.244999999999999
218,03/02/2018,6.18
219,03/01/2018,6.24
220,02/28/2018,6.35
221,02/27/2018,6.37
222,02/26/2018,6.395
223,02/23/2018,6.305
224,02/22/2018,6.25495
225,02/21/2018,6.28
226,02/20/2018,6.27
227,02/16/2018,6.30995
228,02/15/2018,6.2475000000000005
229,02/14/2018,6.16
230,02/13/2018,6.1
231,02/12/2018,6.095000000000001
232,02/09/2018,5.984999999999999
233,02/08/2018,6.1175
234,02/07/2018,6.220000000000001
235,02/06/2018,6.095000000000001
236,02/05/2018,6.2005
237,02/02/2018,6.41245
238,02/01/2018,6.49
239,01/31/2018,6.505
240,01/30/2018,6.49
241,01/29/2018,6.595
242,01/26/2018,6.61
243,01/25/2018,6.58
244,01/24/2018,6.575
245,01/23/2018,6.535
246,01/22/2018,6.49
247,01/19/2018,6.469950000000001
248,01/18/2018,6.4350000000000005
249,01/17/2018,6.4475
250,01/16/2018,6.46
251,01/12/2018,6.405
252,01/11/2018,6.355
253,01/10/2018,6.3149999999999995
254,01/09/2018,6.335
255,01/08/2018,6.3149999999999995
256,01/05/2018,6.30505
257,01/04/2018,6.279999999999999
258,01/03/2018,6.23
259,01/02/2018,6.195
260,12/29/2017,6.199999999999999
261,12/28/2017,6.1863
262,12/27/2017,6.18
263,12/26/2017,6.195
264,12/22/2017,6.195
265,12/21/2017,6.1872
266,12/20/2017,6.15
267,12/19/2017,6.16
268,12/18/2017,6.225
269,12/15/2017,6.145
270,12/14/2017,6.105
271,12/13/2017,6.205
272,12/12/2017,6.175000000000001
273,12/11/2017,6.23
274,12/08/2017,6.26
275,12/07/2017,6.185499999999999
276,12/06/2017,6.441000000000001
277,12/05/2017,6.38
278,12/04/2017,6.33
279,12/01/2017,6.225
280,11/30/2017,6.215
281,11/29/2017,6.1575500000000005
282,11/28/2017,6.140000000000001
283,11/27/2017,6.134499999999999
284,11/24/2017,6.1495
285,11/22/2017,6.115
286,11/21/2017,6.0764
287,11/20/2017,6.0649999999999995
288,11/17/2017,6.0395
289,11/16/2017,5.995
290,11/15/2017,5.99
291,11/14/2017,6.0
292,11/13/2017,6.005
293,11/10/2017,6.01
294,11/09/2017,6.0
295,11/08/2017,6.045
296,11/07/2017,6.045
297,11/06/2017,6.04
298,11/03/2017,6.015000000000001
299,11/02/2017,6.18495
300,11/01/2017,6.210000000000001
301,10/31/2017,6.195
302,10/30/2017,6.095000000000001
303,10/27/2017,6.125
304,10/26/2017,6.1850000000000005
305,10/25/2017,6.4750499999999995
306,10/24/2017,6.5287500000000005
307,10/23/2017,6.515000000000001
308,10/20/2017,6.52
309,10/19/2017,6.484999999999999
310,10/18/2017,6.54
311,10/17/2017,6.550000000000001
312,10/16/2017,6.5525
313,10/13/2017,6.550000000000001
314,10/12/2017,6.539949999999999
315,10/11/2017,6.54805
316,10/10/2017,6.525
317,10/09/2017,6.529999999999999
318,10/06/2017,6.535
319,10/05/2017,6.57
320,10/04/2017,6.529999999999999
321,10/03/2017,6.525
322,10/02/2017,6.529999999999999
323,09/29/2017,6.5
324,09/28/2017,6.48
325,09/27/2017,6.46995
326,09/26/2017,6.46
327,09/25/2017,6.45
328,09/22/2017,6.425000000000001
329,09/21/2017,6.404999999999999
330,09/20/2017,6.4
331,09/19/2017,6.375
332,09/18/2017,6.35
333,09/15/2017,6.32
334,09/14/2017,6.3155
335,09/13/2017,6.48005
336,09/12/2017,6.4399999999999995
337,09/11/2017,6.408099999999999
338,09/08/2017,6.365
339,09/07/2017,6.359999999999999
340,09/06/2017,6.336499999999999
341,09/05/2017,6.3100000000000005
342,09/01/2017,6.324999999999999
343,08/31/2017,6.3
344,08/30/2017,6.26
345,08/29/2017,6.225
346,08/28/2017,6.23
347,08/25/2017,6.225
348,08/24/2017,6.215
349,08/23/2017,6.21
350,08/22/2017,6.2
351,08/21/2017,6.145
352,08/18/2017,6.17
353,08/17/2017,6.21
354,08/16/2017,6.24
355,08/15/2017,6.245
356,08/14/2017,6.225
357,08/11/2017,6.15
358,08/10/2017,6.18
359,08/09/2017,6.29
360,08/08/2017,6.335
361,08/07/2017,6.3325
362,08/04/2017,6.300000000000001
363,08/03/2017,6.30555
364,08/02/2017,6.300000000000001
365,08/01/2017,6.3100000000000005
366,07/31/2017,6.3100000000000005
367,07/28/2017,6.3025
368,07/27/2017,6.32
369,07/26/2017,6.325
370,07/25/2017,6.32
371,07/24/2017,6.295
372,07/21/2017,6.3
373,07/20/2017,6.2829999999999995
374,07/19/2017,6.2675
375,07/18/2017,6.265000000000001
376,07/17/2017,6.22
377,07/14/2017,6.220000000000001
378,07/13/2017,6.215
379,07/12/2017,6.225
380,07/11/2017,6.1850000000000005
381,07/10/2017,6.199999999999999
382,07/07/2017,6.1850000000000005
383,07/06/2017,6.165
384,07/05/2017,6.2
385,07/03/2017,6.203749999999999
386,06/30/2017,6.165
387,06/29/2017,6.155
388,06/28/2017,6.1850000000000005
389,06/27/2017,6.175000000000001
390,06/26/2017,6.19
391,06/23/2017,6.140000000000001
392,06/22/2017,6.130000000000001
393,06/21/2017,6.140000000000001
394,06/20/2017,6.1604
395,06/19/2017,6.175000000000001
396,06/16/2017,6.119999999999999
397,06/15/2017,6.119999999999999
398,06/14/2017,6.17
399,06/13/2017,6.33
400,06/12/2017,6.275
401,06/09/2017,6.29
402,06/08/2017,6.2675
403,06/07/2017,6.245
404,06/06/2017,6.245
405,06/05/2017,6.265000000000001
406,06/02/2017,6.234999999999999
407,06/01/2017,6.16
408,05/31/2017,6.1249
409,05/30/2017,6.140000000000001
410,05/26/2017,6.140000000000001
411,05/25/2017,6.135
412,05/24/2017,6.1175
413,05/23/2017,6.115
414,05/22/2017,6.1
415,05/19/2017,6.0600000000000005
416,05/18/2017,6.0125
417,05/17/2017,6.03
418,05/16/2017,6.115
419,05/15/2017,6.1
420,05/12/2017,6.085
421,05/11/2017,6.1
422,05/10/2017,6.130000000000001
423,05/09/2017,6.140000000000001
424,05/08/2017,6.140000000000001
425,05/05/2017,6.115
426,05/04/2017,6.1154
427,05/03/2017,6.130000000000001
428,05/02/2017,6.140000000000001
429,05/01/2017,6.15
430,04/28/2017,6.135
431,04/27/2017,6.125
432,04/26/2017,6.130000000000001
433,04/25/2017,6.10455
434,04/24/2017,6.0575
435,04/21/2017,6.01
436,04/20/2017,5.984999999999999
437,04/19/2017,5.955
438,04/18/2017,5.945
439,04/17/2017,5.9350000000000005
440,04/13/2017,5.925000000000001
441,04/12/2017,5.9350000000000005
442,04/11/2017,5.9358
443,04/10/2017,5.955
444,04/07/2017,5.92
445,04/06/2017,5.9092
446,04/05/2017,5.925
447,04/04/2017,5.880000000000001
448,04/03/2017,5.92545
449,03/31/2017,5.975
450,03/30/2017,5.960000000000001
451,03/29/2017,5.955
452,03/28/2017,5.93215
453,03/27/2017,5.8605
454,03/24/2017,5.89
455,03/23/2017,5.875
456,03/22/2017,5.85
457,03/21/2017,5.915
458,03/20/2017,5.96
459,03/17/2017,5.957
460,03/16/2017,5.904999999999999
461,03/15/2017,5.890000000000001
462,03/14/2017,6.035
463,03/13/2017,6.055
464,03/10/2017,6.025
465,03/09/2017,6.005
466,03/08/2017,6.035
467,03/07/2017,6.05
468,03/06/2017,6.0649999999999995
469,03/03/2017,6.09
470,03/02/2017,6.115
471,03/01/2017,6.1099
472,02/28/2017,6.0475
473,02/27/2017,6.045
474,02/24/2017,6.025
475,02/23/2017,6.039999999999999
476,02/22/2017,6.01
477,02/21/2017,5.98
478,02/17/2017,5.925000000000001
479,02/16/2017,5.942
480,02/15/2017,5.95005
481,02/14/2017,5.93
482,02/13/2017,5.93025
483,02/10/2017,5.869999999999999
484,02/09/2017,5.83
485,02/08/2017,5.7729
486,02/07/2017,5.775
487,02/06/2017,5.775
488,02/03/2017,5.7650500000000005
489,02/02/2017,5.725
490,02/01/2017,5.725
491,01/31/2017,5.6850000000000005
492,01/30/2017,5.68
493,01/27/2017,5.715
494,01/26/2017,5.72585
495,01/25/2017,5.7098
496,01/24/2017,5.6450499999999995
497,01/23/2017,5.615
498,01/20/2017,5.6025
499,01/19/2017,5.58495
500,01/18/2017,5.59
501,01/17/2017,5.585
502,01/13/2017,5.62
503,01/12/2017,5.6
504,01/11/2017,5.6143
505,01/10/2017,5.619999999999999
506,01/09/2017,5.63
507,01/06/2017,5.615
508,01/05/2017,5.588749999999999
509,01/04/2017,5.595
510,01/03/2017,5.5362
511,12/30/2016,5.515000000000001
512,12/29/2016,5.535
513,12/28/2016,5.575
514,12/27/2016,5.615
515,12/23/2016,5.6
516,12/22/2016,5.65
517,12/21/2016,5.64975
518,12/20/2016,5.62
519,12/19/2016,5.615
520,12/16/2016,5.6
521,12/15/2016,5.5649999999999995
522,12/14/2016,5.5600000000000005
523,12/13/2016,5.59005
524,12/12/2016,5.5649999999999995
