,Date,Avg
1,01/11/2019,38.975
2,01/10/2019,38.975
3,01/09/2019,42.22
4,01/08/2019,41.9
5,01/07/2019,41.114999999999995
6,01/04/2019,40.7438
7,01/03/2019,39.295
8,01/02/2019,39.595
9,12/31/2018,39.385000000000005
10,12/28/2018,39.799949999999995
11,12/27/2018,39.205
12,12/26/2018,38.735
13,12/24/2018,37.8592
14,12/21/2018,38.56
15,12/20/2018,38.955
16,12/19/2018,40.11
17,12/18/2018,40.605000000000004
18,12/17/2018,40.515
19,12/14/2018,40.925
20,12/13/2018,42.04
21,12/12/2018,43.14
22,12/11/2018,43.0175
23,12/10/2018,42.51195
24,12/07/2018,44.475
25,12/06/2018,44.169700000000006
26,12/04/2018,46.09
27,12/03/2018,48.929199999999994
28,11/30/2018,47.725
29,11/29/2018,46.845
30,11/28/2018,45.525000000000006
31,11/27/2018,45.7525
32,11/26/2018,45.165
33,11/23/2018,44.85
34,11/21/2018,44.505
35,11/20/2018,44.13995
36,11/19/2018,46.8625
37,11/16/2018,48.209999999999994
38,11/15/2018,46.9434
39,11/14/2018,46.6925
40,11/13/2018,47.14
41,11/12/2018,48.14
42,11/09/2018,48.9471
43,11/08/2018,51.45
44,11/07/2018,51.295
45,11/06/2018,50.535
46,11/05/2018,50.394999999999996
47,11/02/2018,49.675
48,11/01/2018,48.870000000000005
49,10/31/2018,48.065
50,10/30/2018,47.815
51,10/29/2018,48.555
52,10/26/2018,50.915
53,10/25/2018,53.56
54,10/24/2018,56.16
55,10/23/2018,56.8
56,10/22/2018,58.7275
57,10/19/2018,56.45
58,10/18/2018,58.09
59,10/17/2018,59.97
60,10/16/2018,60.040000000000006
61,10/15/2018,59.45
62,10/12/2018,60.105599999999995
63,10/11/2018,60.7307
64,10/10/2018,62.57000000000001
65,10/09/2018,63.8
66,10/08/2018,62.815
67,10/05/2018,61.6275
68,10/04/2018,61.94755
69,10/03/2018,61.212500000000006
70,10/02/2018,59.8602
71,10/01/2018,60.1
72,09/28/2018,59.875
73,09/27/2018,60.3
74,09/26/2018,59.927499999999995
75,09/25/2018,60.0
76,09/24/2018,59.650000000000006
77,09/21/2018,60.2
78,09/20/2018,59.9
79,09/19/2018,59.6275
80,09/18/2018,59.35
81,09/17/2018,58.9
82,09/14/2018,58.375
83,09/13/2018,58.325
84,09/12/2018,57.7
85,09/11/2018,57.875
86,09/10/2018,58.075
87,09/07/2018,57.0
88,09/06/2018,57.425
89,09/05/2018,57.5
90,09/04/2018,57.7
91,08/31/2018,58.175
92,08/30/2018,58.224999999999994
93,08/29/2018,59.05
94,08/28/2018,59.7
95,08/27/2018,60.3
96,08/24/2018,59.65
97,08/23/2018,59.3
98,08/22/2018,58.875
99,08/21/2018,58.5
100,08/20/2018,57.724999999999994
101,08/17/2018,58.175
102,08/16/2018,57.25015
103,08/15/2018,57.275
104,08/14/2018,58.325
105,08/13/2018,57.92515
106,08/10/2018,58.6597
107,08/09/2018,58.9
108,08/08/2018,58.9182
109,08/07/2018,58.962500000000006
110,08/06/2018,58.9875
111,08/03/2018,59.075
112,08/02/2018,58.675
113,08/01/2018,57.125
114,07/31/2018,56.599999999999994
115,07/30/2018,56.575
116,07/27/2018,57.1375
117,07/26/2018,58.05
118,07/25/2018,57.25
119,07/24/2018,57.825
120,07/23/2018,57.45
121,07/20/2018,56.975
122,07/19/2018,55.25
123,07/18/2018,55.150000000000006
124,07/17/2018,55.132
125,07/16/2018,55.0
126,07/13/2018,54.4939
127,07/12/2018,53.75
128,07/11/2018,52.775000000000006
129,07/10/2018,54.0125
130,07/09/2018,55.325
131,07/06/2018,55.075
132,07/05/2018,54.25
133,07/03/2018,54.05
134,07/02/2018,53.43
135,06/29/2018,50.575
136,06/28/2018,46.45
137,06/27/2018,48.3
138,06/26/2018,48.4875
