,Date,Avg
1,01/11/2019,30.7485
2,01/10/2019,29.835
3,01/09/2019,31.494999999999997
4,01/08/2019,30.845
5,01/07/2019,29.855
6,01/04/2019,28.695
7,01/03/2019,28.189999999999998
8,01/02/2019,27.91
9,12/31/2018,27.509999999999998
10,12/28/2018,27.835
11,12/27/2018,27.125
12,12/26/2018,26.915
13,12/24/2018,26.005
14,12/21/2018,27.4
15,12/20/2018,27.82
16,12/19/2018,28.755000000000003
17,12/18/2018,29.36
18,12/17/2018,28.805
19,12/14/2018,29.2275
20,12/13/2018,29.8552
21,12/12/2018,31.0196
22,12/11/2018,31.405
23,12/10/2018,31.93
24,12/07/2018,35.015
25,12/06/2018,33.6905
26,12/04/2018,41.582499999999996
27,12/03/2018,42.693349999999995
28,11/30/2018,39.765
29,11/29/2018,39.2975
30,11/28/2018,38.605000000000004
31,11/27/2018,40.275
32,11/26/2018,42.150000000000006
33,11/23/2018,40.59
34,11/21/2018,39.355000000000004
35,11/20/2018,39.275
36,11/19/2018,41.4075
37,11/16/2018,41.290000000000006
38,11/15/2018,41.305
39,11/14/2018,42.69
40,11/13/2018,41.06
41,11/12/2018,41.17
42,11/09/2018,41.81
43,11/08/2018,41.9275
44,11/07/2018,40.4
45,11/06/2018,40.425
46,11/05/2018,41.54
47,11/02/2018,41.864999999999995
48,11/01/2018,40.40495
49,10/31/2018,40.1875
50,10/30/2018,38.605000000000004
51,10/29/2018,37.51
52,10/26/2018,36.5975
53,10/25/2018,36.055
54,10/24/2018,36.15
55,10/23/2018,36.1025
56,10/22/2018,36.085
57,10/19/2018,36.4725
58,10/18/2018,38.739999999999995
59,10/17/2018,38.629999999999995
60,10/16/2018,38.79
61,10/15/2018,38.225
62,10/12/2018,37.92
63,10/11/2018,37.004999999999995
64,10/10/2018,38.010000000000005
65,10/09/2018,39.965
66,10/08/2018,39.7
67,10/05/2018,40.975
68,10/04/2018,42.47
69,10/03/2018,43.53
70,10/02/2018,45.040000000000006
71,10/01/2018,47.745000000000005
72,09/28/2018,48.15
73,09/27/2018,47.86
74,09/26/2018,46.65865
75,09/25/2018,45.6108
76,09/24/2018,46.31
77,09/21/2018,47.5325
78,09/20/2018,47.1876
79,09/19/2018,47.095
80,09/18/2018,47.364999999999995
81,09/17/2018,47.09
82,09/14/2018,47.34
83,09/13/2018,47.7
84,09/12/2018,46.3725
85,09/11/2018,44.97
86,09/10/2018,44.345
87,09/07/2018,45.144999999999996
88,09/06/2018,47.56
89,09/05/2018,44.015
90,09/04/2018,44.925
91,08/31/2018,44.47875
92,08/30/2018,44.685
93,08/29/2018,44.95
94,08/28/2018,45.0225
95,08/27/2018,45.8
96,08/24/2018,46.18000000000001
97,08/23/2018,46.144999999999996
98,08/22/2018,46.3925
99,08/21/2018,45.355000000000004
100,08/20/2018,43.56
101,08/17/2018,42.55
102,08/16/2018,42.525000000000006
103,08/15/2018,45.01405
104,08/14/2018,46.405
105,08/13/2018,45.625
106,08/10/2018,45.82
107,08/09/2018,45.72125
108,08/08/2018,44.9975
109,08/07/2018,44.61
110,08/06/2018,43.754999999999995
111,08/03/2018,43.99
112,08/02/2018,43.31
113,08/01/2018,44.037499999999994
114,07/31/2018,45.195
115,07/30/2018,44.93
116,07/27/2018,45.80995
117,07/26/2018,47.06
118,07/25/2018,46.4525
119,07/24/2018,46.32035
120,07/23/2018,46.489999999999995
121,07/20/2018,47.52705
122,07/19/2018,47.295
123,07/18/2018,46.8
124,07/17/2018,46.325
125,07/16/2018,45.07
126,07/13/2018,44.09
127,07/12/2018,43.4375
128,07/11/2018,43.92
129,07/10/2018,43.945
130,07/09/2018,42.805
131,07/06/2018,43.43
132,07/05/2018,43.0375
133,07/03/2018,43.4775
134,07/02/2018,43.04
135,06/29/2018,45.745000000000005
136,06/28/2018,45.709999999999994
137,06/27/2018,46.64
138,06/26/2018,46.1125
139,06/25/2018,45.47
140,06/22/2018,46.57
141,06/21/2018,46.5707
142,06/20/2018,46.81375
143,06/19/2018,47.5725
144,06/18/2018,47.075
145,06/15/2018,47.19
146,06/14/2018,47.58
147,06/13/2018,48.53
148,06/12/2018,48.535
149,06/11/2018,49.1298
150,06/08/2018,49.17
151,06/07/2018,49.21
152,06/06/2018,47.915
153,06/05/2018,48.455
154,06/04/2018,42.315
155,06/01/2018,42.21
156,05/31/2018,41.84
157,05/30/2018,42.114999999999995
158,05/29/2018,40.105000000000004
159,05/25/2018,40.105000000000004
160,05/24/2018,39.055
161,05/23/2018,38.69
162,05/22/2018,38.730000000000004
163,05/21/2018,38.7
164,05/18/2018,38.92
165,05/17/2018,38.9675
166,05/16/2018,38.620000000000005
167,05/15/2018,37.8
168,05/14/2018,36.57
169,05/11/2018,36.685
170,05/10/2018,36.425
171,05/09/2018,36.524950000000004
172,05/08/2018,36.241299999999995
173,05/07/2018,35.66
174,05/04/2018,35.225
175,05/03/2018,35.835
176,05/02/2018,35.715
177,05/01/2018,35.205
178,04/30/2018,37.0025
179,04/27/2018,36.705
180,04/26/2018,35.8655
181,04/25/2018,35.28
182,04/24/2018,35.775
183,04/23/2018,36.06
184,04/20/2018,35.59
185,04/19/2018,36.471199999999996
186,04/18/2018,37.4225
187,04/17/2018,38.16
188,04/16/2018,38.15045
189,04/13/2018,39.045
190,04/12/2018,39.17
191,04/11/2018,39.095
192,04/10/2018,38.855000000000004
193,04/09/2018,38.83
194,04/06/2018,39.129999999999995
195,04/05/2018,39.705
196,04/04/2018,37.745000000000005
197,04/03/2018,36.606849999999994
198,04/02/2018,36.57
199,03/29/2018,37.41
200,03/28/2018,36.71
201,03/27/2018,36.394999999999996
202,03/26/2018,35.4775
203,03/23/2018,34.015
204,03/22/2018,33.93
205,03/21/2018,37.31
206,03/20/2018,36.815
207,03/19/2018,36.74
208,03/16/2018,36.9
209,03/15/2018,36.325
210,03/14/2018,35.98
211,03/13/2018,35.97
212,03/12/2018,36.16
213,03/09/2018,35.665
214,03/08/2018,35.965
215,03/07/2018,37.004999999999995
216,03/06/2018,37.54
217,03/05/2018,37.600750000000005
218,03/02/2018,36.715
219,03/01/2018,36.516000000000005
220,02/28/2018,37.485
221,02/27/2018,38.235
222,02/26/2018,37.11
223,02/23/2018,36.5125
224,02/22/2018,36.555
225,02/21/2018,36.542649999999995
226,02/20/2018,36.125
227,02/16/2018,36.715
228,02/15/2018,36.599999999999994
229,02/14/2018,35.64
230,02/13/2018,35.61
231,02/12/2018,34.8605
232,02/09/2018,33.95
233,02/08/2018,35.2475
234,02/07/2018,36.745000000000005
235,02/06/2018,35.525
236,02/05/2018,35.5175
237,02/02/2018,36.305
238,02/01/2018,36.765
239,01/31/2018,37.81999999999999
240,01/30/2018,38.56
241,01/29/2018,39.09
242,01/26/2018,38.93
243,01/25/2018,37.985
244,01/24/2018,38.045
245,01/23/2018,38.535
246,01/22/2018,39.18
247,01/19/2018,39.3
248,01/18/2018,38.894999999999996
249,01/17/2018,39.18
250,01/16/2018,39.980999999999995
251,01/12/2018,40.465
252,01/11/2018,39.525000000000006
253,01/10/2018,38.605000000000004
254,01/09/2018,39.08
255,01/08/2018,39.72
256,01/05/2018,38.79
257,01/04/2018,38.295
258,01/03/2018,37.955
259,01/02/2018,37.475
260,12/29/2017,37.31
261,12/28/2017,37.515
262,12/27/2017,37.42
263,12/26/2017,37.45
264,12/22/2017,36.67
265,12/21/2017,36.775
266,12/20/2017,35.8256
267,12/19/2017,35.905
268,12/18/2017,35.1125
269,12/15/2017,33.78
270,12/14/2017,33.985
271,12/13/2017,34.07955
272,12/12/2017,33.67
273,12/11/2017,34.32
274,12/08/2017,34.879999999999995
275,12/07/2017,34.955
276,12/06/2017,35.0445
277,12/05/2017,33.765
278,12/04/2017,30.7425
279,12/01/2017,30.057499999999997
280,11/30/2017,30.569699999999997
281,11/29/2017,29.45
282,11/28/2017,28.15
283,11/27/2017,27.11
284,11/24/2017,26.875
285,11/22/2017,27.16495
286,11/21/2017,27.255
287,11/20/2017,27.21
288,11/17/2017,26.228099999999998
289,11/16/2017,25.32
290,11/15/2017,24.744999999999997
291,11/14/2017,24.85
292,11/13/2017,25.112499999999997
293,11/10/2017,25.13
294,11/09/2017,23.91
295,11/08/2017,23.535
296,11/07/2017,24.0
297,11/06/2017,24.64
298,11/03/2017,24.875
299,11/02/2017,25.1275
300,11/01/2017,25.11
301,10/31/2017,25.3382
302,10/30/2017,25.62
303,10/27/2017,25.985
304,10/26/2017,26.455
305,10/25/2017,26.595
306,10/24/2017,26.555
307,10/23/2017,26.75
308,10/20/2017,26.479999999999997
309,10/19/2017,26.145000000000003
310,10/18/2017,26.2225
311,10/17/2017,26.130000000000003
312,10/16/2017,25.689999999999998
313,10/13/2017,25.705199999999998
314,10/12/2017,26.1025
315,10/11/2017,26.715
316,10/10/2017,27.825
317,10/09/2017,28.095
318,10/06/2017,28.635
319,10/05/2017,29.045
320,10/04/2017,29.285
321,10/03/2017,29.39
322,10/02/2017,29.057499999999997
323,09/29/2017,29.265
324,09/28/2017,29.159399999999998
325,09/27/2017,28.59
326,09/26/2017,28.634999999999998
327,09/25/2017,28.535
328,09/22/2017,28.2625
329,09/21/2017,27.942
330,09/20/2017,28.549999999999997
331,09/19/2017,29.395
332,09/18/2017,29.6752
333,09/15/2017,29.545
334,09/14/2017,29.2948
335,09/13/2017,29.575
336,09/12/2017,29.005
337,09/11/2017,29.235
338,09/08/2017,29.810000000000002
339,09/07/2017,30.4645
340,09/06/2017,29.695
341,09/05/2017,27.674999999999997
342,09/01/2017,27.655
