,Date,Avg
1,01/11/2019,30.25
2,01/10/2019,30.064999999999998
3,01/09/2019,29.884999999999998
4,01/08/2019,29.295
5,01/07/2019,28.765
6,01/04/2019,30.06
7,01/03/2019,27.134999999999998
8,01/02/2019,26.775
9,12/31/2018,25.68005
10,12/28/2018,26.65
11,12/27/2018,25.96
12,12/26/2018,25.4825
13,12/24/2018,26.50635
14,12/21/2018,26.195
15,12/20/2018,27.51
16,12/19/2018,27.845
17,12/18/2018,27.63275
18,12/17/2018,29.07
19,12/14/2018,28.564999999999998
20,12/13/2018,29.34
21,12/12/2018,30.075000000000003
22,12/11/2018,30.244999999999997
23,12/10/2018,29.875
24,12/07/2018,30.7825
25,12/06/2018,32.37995
26,12/04/2018,33.195
27,12/03/2018,33.0725
28,11/30/2018,32.81
29,11/29/2018,32.5
30,11/28/2018,32.480000000000004
31,11/27/2018,32.980000000000004
32,11/26/2018,33.51175
33,11/23/2018,32.655
34,11/21/2018,33.635
35,11/20/2018,34.77
36,11/19/2018,35.004999999999995
37,11/16/2018,33.2175
38,11/15/2018,32.07
39,11/14/2018,32.379999999999995
40,11/13/2018,31.5175
41,11/12/2018,31.500049999999998
42,11/09/2018,31.7725
43,11/08/2018,31.985
44,11/07/2018,31.435
45,11/06/2018,30.8675
46,11/05/2018,30.9
47,11/02/2018,30.5
48,11/01/2018,29.740000000000002
49,10/31/2018,29.03
50,10/30/2018,28.795
51,10/29/2018,29.6325
52,10/26/2018,28.810000000000002
53,10/25/2018,28.63
54,10/24/2018,29.27
55,10/23/2018,29.695
56,10/22/2018,30.369999999999997
57,10/19/2018,30.53
58,10/18/2018,31.83
59,10/17/2018,32.295
60,10/16/2018,32.114999999999995
61,10/15/2018,31.705
62,10/12/2018,32.160000000000004
63,10/11/2018,32.695
64,10/10/2018,33.945
65,10/09/2018,34.349999999999994
66,10/08/2018,34.035
67,10/05/2018,34.345
68,10/04/2018,35.265
69,10/03/2018,35.415
70,10/02/2018,35.292500000000004
71,10/01/2018,35.585
72,09/28/2018,35.6775
73,09/27/2018,35.18
74,09/26/2018,35.415
75,09/25/2018,35.275
76,09/24/2018,35.36
77,09/21/2018,34.975
78,09/20/2018,35.504999999999995
79,09/19/2018,34.9025
80,09/18/2018,34.730000000000004
81,09/17/2018,35.18495
82,09/14/2018,35.25
83,09/13/2018,34.879999999999995
84,09/12/2018,34.39
85,09/11/2018,34.67
