,Date,Avg
1,01/11/2019,21.4825
2,01/10/2019,21.490000000000002
3,01/09/2019,21.48
4,01/08/2019,20.705
5,01/07/2019,20.5
6,01/04/2019,20.009999999999998
7,01/03/2019,19.575000000000003
8,01/02/2019,19.719549999999998
9,12/31/2018,19.8956
10,12/28/2018,20.1
11,12/27/2018,19.905
12,12/26/2018,19.685000000000002
13,12/24/2018,19.435000000000002
14,12/21/2018,19.799999999999997
15,12/20/2018,20.494999999999997
16,12/19/2018,21.345
17,12/18/2018,21.93
18,12/17/2018,21.785
19,12/14/2018,22.064999999999998
20,12/13/2018,22.215
21,12/12/2018,22.685000000000002
22,12/11/2018,22.15
23,12/10/2018,22.3925
24,12/07/2018,23.2926
25,12/06/2018,23.295
26,12/04/2018,25.355
27,12/03/2018,26.87995
28,11/30/2018,26.14
29,11/29/2018,25.83
30,11/28/2018,25.205
31,11/27/2018,24.695
32,11/26/2018,25.11855
33,11/23/2018,25.0725
34,11/21/2018,25.405
35,11/20/2018,25.50995
36,11/19/2018,27.27
37,11/16/2018,27.46
38,11/15/2018,26.67625
39,11/14/2018,26.82
40,11/13/2018,26.935000000000002
41,11/12/2018,27.369999999999997
42,11/09/2018,28.09
43,11/08/2018,28.895
44,11/07/2018,28.7
45,11/06/2018,28.14
46,11/05/2018,28.1925
47,11/02/2018,27.4
48,11/01/2018,27.005000000000003
49,10/31/2018,27.57
50,10/30/2018,23.895
51,10/29/2018,23.695
52,10/26/2018,23.22
53,10/25/2018,23.215
54,10/24/2018,23.255
55,10/23/2018,23.795
56,10/22/2018,24.7325
57,10/19/2018,25.0925
58,10/18/2018,26.0134
59,10/17/2018,26.205
60,10/16/2018,25.9
61,10/15/2018,25.29
62,10/12/2018,25.0775
63,10/11/2018,25.560000000000002
64,10/10/2018,25.98
65,10/09/2018,26.505000000000003
66,10/08/2018,26.689999999999998
67,10/05/2018,27.38495
68,10/04/2018,28.335
69,10/03/2018,28.45
70,10/02/2018,28.16
71,10/01/2018,28.455
72,09/28/2018,28.575
73,09/27/2018,28.35
74,09/26/2018,28.4375
75,09/25/2018,28.475
76,09/24/2018,28.525
77,09/21/2018,28.4
