,Date,Avg
1,01/11/2019,18.8675
2,01/10/2019,18.975
3,01/09/2019,19.22
4,01/08/2019,18.85
5,01/07/2019,18.66
6,01/04/2019,18.42505
7,01/03/2019,18.244999999999997
8,01/02/2019,17.875
9,12/31/2018,17.625
10,12/28/2018,17.735
11,12/27/2018,17.21
12,12/26/2018,16.93
13,12/24/2018,16.77
14,12/21/2018,17.03
15,12/20/2018,16.935000000000002
16,12/19/2018,17.29
17,12/18/2018,17.83
18,12/17/2018,17.895
19,12/14/2018,17.8575
20,12/13/2018,17.91
21,12/12/2018,17.93
22,12/11/2018,17.854999999999997
23,12/10/2018,17.845
24,12/07/2018,18.259999999999998
25,12/06/2018,17.97
26,12/04/2018,18.87
27,12/03/2018,19.509999999999998
28,11/30/2018,19.455
29,11/29/2018,19.512500000000003
30,11/28/2018,19.4
31,11/27/2018,19.53
32,11/26/2018,19.5625
33,11/23/2018,19.13505
34,11/21/2018,19.259999999999998
35,11/20/2018,19.14
36,11/19/2018,19.49555
37,11/16/2018,19.275
38,11/15/2018,19.1
39,11/14/2018,19.47
40,11/13/2018,19.905
41,11/12/2018,19.7825
42,11/09/2018,20.1548
43,11/08/2018,20.219500000000004
44,11/07/2018,20.060000000000002
45,11/06/2018,20.1425
46,11/05/2018,20.075000000000003
47,11/02/2018,19.98
48,11/01/2018,20.085
49,10/31/2018,20.015
50,10/30/2018,19.645
51,10/29/2018,19.490000000000002
52,10/26/2018,18.53635
53,10/25/2018,17.565
54,10/24/2018,17.535
55,10/23/2018,17.814999999999998
56,10/22/2018,18.33
57,10/19/2018,18.9
58,10/18/2018,19.284999999999997
59,10/17/2018,19.42
60,10/16/2018,19.34
61,10/15/2018,19.39
62,10/12/2018,19.33
63,10/11/2018,19.8
64,10/10/2018,20.27
65,10/09/2018,20.32
66,10/08/2018,20.240000000000002
67,10/05/2018,20.189999999999998
68,10/04/2018,20.494999999999997
69,10/03/2018,20.235
70,10/02/2018,19.997500000000002
71,10/01/2018,20.1525
72,09/28/2018,20.130000000000003
73,09/27/2018,20.134999999999998
74,09/26/2018,20.4
75,09/25/2018,20.6012
76,09/24/2018,20.72
77,09/21/2018,21.055
78,09/20/2018,20.87
79,09/19/2018,20.37005
80,09/18/2018,20.145000000000003
81,09/17/2018,20.22
82,09/14/2018,20.354999999999997
83,09/13/2018,20.133
84,09/12/2018,20.21
85,09/11/2018,20.415
86,09/10/2018,20.61
87,09/07/2018,20.7975
88,09/06/2018,20.91
89,09/05/2018,21.03
90,09/04/2018,20.825
91,08/31/2018,20.634999999999998
92,08/30/2018,20.66
93,08/29/2018,20.775
94,08/28/2018,20.895
95,08/27/2018,21.3
96,08/24/2018,21.085
97,08/23/2018,21.07
98,08/22/2018,21.16
99,08/21/2018,21.045
100,08/20/2018,20.994999999999997
101,08/17/2018,20.98005
102,08/16/2018,20.98
103,08/15/2018,20.91
104,08/14/2018,20.924999999999997
105,08/13/2018,20.802500000000002
106,08/10/2018,20.689999999999998
107,08/09/2018,21.0125
108,08/08/2018,20.755000000000003
109,08/07/2018,20.78
110,08/06/2018,20.83
111,08/03/2018,21.035
112,08/02/2018,21.159999999999997
113,08/01/2018,21.310000000000002
114,07/31/2018,20.9775
115,07/30/2018,21.105
116,07/27/2018,21.6325
117,07/26/2018,22.314999999999998
118,07/25/2018,21.975
119,07/24/2018,22.259999999999998
120,07/23/2018,22.229999999999997
121,07/20/2018,22.17
122,07/19/2018,21.98
123,07/18/2018,21.814999999999998
124,07/17/2018,21.715
125,07/16/2018,21.84
126,07/13/2018,21.725
127,07/12/2018,22.34
128,07/11/2018,22.335
129,07/10/2018,22.75
130,07/09/2018,22.765
131,07/06/2018,22.37505
132,07/05/2018,22.185000000000002
133,07/03/2018,22.280549999999998
134,07/02/2018,21.905
135,06/29/2018,22.42
136,06/28/2018,22.505
137,06/27/2018,22.8325
138,06/26/2018,22.925
139,06/25/2018,23.01
140,06/22/2018,23.439999999999998
141,06/21/2018,23.450000000000003
142,06/20/2018,23.615000000000002
143,06/19/2018,23.32
144,06/18/2018,22.985
145,06/15/2018,22.795
146,06/14/2018,23.05
147,06/13/2018,23.235
148,06/12/2018,23.485
149,06/11/2018,23.735
150,06/08/2018,23.76
151,06/07/2018,23.875
152,06/06/2018,23.73
153,06/05/2018,23.5875
154,06/04/2018,23.71
155,06/01/2018,23.425
156,05/31/2018,23.66
157,05/30/2018,23.810000000000002
158,05/29/2018,23.45
159,05/25/2018,23.65
160,05/24/2018,23.565
161,05/23/2018,23.375
162,05/22/2018,23.465
163,05/21/2018,23.25
164,05/18/2018,23.015
165,05/17/2018,22.7675
166,05/16/2018,22.52505
167,05/15/2018,22.40125
168,05/14/2018,22.247500000000002
169,05/11/2018,22.880000000000003
170,05/10/2018,22.630000000000003
171,05/09/2018,22.66005
172,05/08/2018,22.615
173,05/07/2018,22.40005
174,05/04/2018,22.065
175,05/03/2018,22.045
176,05/02/2018,22.564999999999998
177,05/01/2018,22.3
178,04/30/2018,22.835
179,04/27/2018,22.6673
180,04/26/2018,24.515
181,04/25/2018,24.575
182,04/24/2018,24.685
183,04/23/2018,24.34505
184,04/20/2018,24.545
185,04/19/2018,24.22
186,04/18/2018,23.765
187,04/17/2018,23.765
188,04/16/2018,23.725
189,04/13/2018,23.71
190,04/12/2018,23.66
191,04/11/2018,23.335
192,04/10/2018,23.380000000000003
193,04/09/2018,23.310000000000002
194,04/06/2018,23.285
195,04/05/2018,23.705
196,04/04/2018,23.45005
197,04/03/2018,23.08
198,04/02/2018,23.125
