,Date,Avg
1,01/11/2019,20.645
2,01/10/2019,20.33
3,01/09/2019,20.6175
4,01/08/2019,19.96
5,01/07/2019,19.845
6,01/04/2019,19.02
7,01/03/2019,18.585
8,01/02/2019,18.2575
9,12/31/2018,18.22
10,12/28/2018,18.125
11,12/27/2018,17.575
12,12/26/2018,17.630000000000003
13,12/24/2018,17.16
14,12/21/2018,17.465
15,12/20/2018,18.065
16,12/19/2018,18.630000000000003
17,12/18/2018,18.61
18,12/17/2018,18.935000000000002
19,12/14/2018,19.685
20,12/13/2018,19.83465
21,12/12/2018,20.240000000000002
22,12/11/2018,19.935000000000002
23,12/10/2018,19.84
24,12/07/2018,20.310000000000002
25,12/06/2018,20.515
26,12/04/2018,21.6
27,12/03/2018,21.6975
28,11/30/2018,20.93
29,11/29/2018,20.975
30,11/28/2018,20.83
31,11/27/2018,21.055
32,11/26/2018,21.6189
33,11/23/2018,21.22505
34,11/21/2018,21.0475
35,11/20/2018,21.695
36,11/19/2018,22.705
37,11/16/2018,22.990000000000002
38,11/15/2018,23.427500000000002
39,11/14/2018,24.205
40,11/13/2018,23.965
41,11/12/2018,24.305
42,11/09/2018,24.64
43,11/08/2018,24.345
44,11/07/2018,24.770000000000003
45,11/06/2018,25.615000000000002
46,11/05/2018,25.155
47,11/02/2018,24.59
48,11/01/2018,23.195
49,10/31/2018,22.325
50,10/30/2018,21.83
51,10/29/2018,19.299999999999997
52,10/26/2018,19.175
53,10/25/2018,19.99
54,10/24/2018,20.072499999999998
55,10/23/2018,20.005
56,10/22/2018,20.005
57,10/19/2018,20.28
58,10/18/2018,20.259999999999998
59,10/17/2018,20.52
60,10/16/2018,20.185000000000002
61,10/15/2018,20.12
62,10/12/2018,19.925
63,10/11/2018,20.055
64,10/10/2018,20.064999999999998
65,10/09/2018,20.34
66,10/08/2018,20.07
67,10/05/2018,20.155
68,10/04/2018,20.22
69,10/03/2018,20.65
70,10/02/2018,20.259999999999998
71,10/01/2018,20.695
72,09/28/2018,21.512500000000003
73,09/27/2018,21.35
74,09/26/2018,21.55
75,09/25/2018,21.625
76,09/24/2018,21.35
77,09/21/2018,22.225
78,09/20/2018,22.775
79,09/19/2018,22.925
80,09/18/2018,23.125
81,09/17/2018,23.2125
82,09/14/2018,23.5
83,09/13/2018,23.45
84,09/12/2018,23.0
85,09/11/2018,22.9
86,09/10/2018,23.1
87,09/07/2018,22.421799999999998
88,09/06/2018,22.475
89,09/05/2018,22.275
90,09/04/2018,22.5
91,08/31/2018,22.3
92,08/30/2018,22.025
93,08/29/2018,21.725
94,08/28/2018,21.6
95,08/27/2018,21.275
96,08/24/2018,21.174999999999997
97,08/23/2018,20.924999999999997
98,08/22/2018,20.924999999999997
99,08/21/2018,20.725
100,08/20/2018,20.549999999999997
101,08/17/2018,20.05
102,08/16/2018,19.675
103,08/15/2018,19.4
104,08/14/2018,19.424999999999997
105,08/13/2018,19.05
106,08/10/2018,19.325
107,08/09/2018,19.4375
108,08/08/2018,19.075
109,08/07/2018,19.1
110,08/06/2018,19.0875
111,08/03/2018,18.9
112,08/02/2018,18.85
113,08/01/2018,18.75
114,07/31/2018,18.7
115,07/30/2018,18.275
116,07/27/2018,18.924999999999997
117,07/26/2018,17.674999999999997
118,07/25/2018,20.05
119,07/24/2018,20.645400000000002
120,07/23/2018,21.15
121,07/20/2018,21.03215
122,07/19/2018,21.325
123,07/18/2018,20.85
124,07/17/2018,20.675
125,07/16/2018,20.549999999999997
126,07/13/2018,20.55
127,07/12/2018,20.0
128,07/11/2018,20.425
129,07/10/2018,20.575
130,07/09/2018,20.625
131,07/06/2018,20.12495
132,07/05/2018,19.75
133,07/03/2018,19.7
134,07/02/2018,19.2
135,06/29/2018,19.1
136,06/28/2018,18.975
137,06/27/2018,19.1
138,06/26/2018,19.1625
139,06/25/2018,20.2375
140,06/22/2018,22.04735
141,06/21/2018,22.1875
142,06/20/2018,22.1
143,06/19/2018,21.775
144,06/18/2018,21.8
145,06/15/2018,23.825000000000003
146,06/14/2018,23.35
147,06/13/2018,23.55
148,06/12/2018,24.125
149,06/11/2018,24.6
150,06/08/2018,24.625
151,06/07/2018,24.675
152,06/06/2018,24.35
153,06/05/2018,24.05
154,06/04/2018,23.85
155,06/01/2018,23.575
156,05/31/2018,23.45
157,05/30/2018,23.5
158,05/29/2018,23.05
159,05/25/2018,23.5
160,05/24/2018,23.5
161,05/23/2018,23.825000000000003
162,05/22/2018,23.725
163,05/21/2018,23.8495
164,05/18/2018,23.8
165,05/17/2018,24.0
166,05/16/2018,24.112499999999997
167,05/15/2018,23.85
168,05/14/2018,23.7375
169,05/11/2018,23.4
170,05/10/2018,23.075000000000003
171,05/09/2018,22.775
172,05/08/2018,23.0125
173,05/07/2018,22.675
174,05/04/2018,22.75
175,05/03/2018,22.950000000000003
176,05/02/2018,22.9875
177,05/01/2018,22.15
178,04/30/2018,22.095
179,04/27/2018,22.8
180,04/26/2018,21.299999999999997
181,04/25/2018,17.525
182,04/24/2018,17.95
183,04/23/2018,17.9375
184,04/20/2018,18.049999999999997
185,04/19/2018,18.325
186,04/18/2018,18.75
187,04/17/2018,18.75
188,04/16/2018,18.75
189,04/13/2018,18.75
190,04/12/2018,18.775
191,04/11/2018,18.725
192,04/10/2018,18.675
193,04/09/2018,18.3
194,04/06/2018,18.7375
195,04/05/2018,18.9
196,04/04/2018,18.25
197,04/03/2018,18.674999999999997
198,04/02/2018,19.075
199,03/29/2018,19.525
200,03/28/2018,19.1
201,03/27/2018,19.15
202,03/26/2018,19.125
203,03/23/2018,19.7125
204,03/22/2018,19.9125
205,03/21/2018,20.25
206,03/20/2018,20.4
207,03/19/2018,20.4625
208,03/16/2018,20.375
209,03/15/2018,19.975
210,03/14/2018,20.275
211,03/13/2018,20.575
212,03/12/2018,20.950000000000003
213,03/09/2018,20.775
214,03/08/2018,20.6
215,03/07/2018,20.924999999999997
216,03/06/2018,20.9
217,03/05/2018,20.674999999999997
218,03/02/2018,20.2375
219,03/01/2018,20.525
220,02/28/2018,21.15
221,02/27/2018,21.352899999999998
222,02/26/2018,21.175
223,02/23/2018,20.85
224,02/22/2018,21.15
225,02/21/2018,21.35
226,02/20/2018,21.35
227,02/16/2018,21.75
228,02/15/2018,21.975
229,02/14/2018,21.455
230,02/13/2018,21.545499999999997
231,02/12/2018,21.325
232,02/09/2018,20.93
233,02/08/2018,20.875
234,02/07/2018,21.05
235,02/06/2018,20.25
236,02/05/2018,20.65
237,02/02/2018,21.700000000000003
238,02/01/2018,22.3
239,01/31/2018,22.925
240,01/30/2018,23.0
241,01/29/2018,23.48
242,01/26/2018,23.675
243,01/25/2018,23.75
244,01/24/2018,22.575
245,01/23/2018,20.25
246,01/22/2018,19.7
247,01/19/2018,19.325
248,01/18/2018,19.275
249,01/17/2018,19.25
250,01/16/2018,19.375
251,01/12/2018,19.7625
252,01/11/2018,19.45
253,01/10/2018,18.775
254,01/09/2018,18.5
255,01/08/2018,18.575000000000003
256,01/05/2018,18.65
257,01/04/2018,18.6
258,01/03/2018,19.15
259,01/02/2018,19.2875
260,12/29/2017,19.174950000000003
261,12/28/2017,19.225
262,12/27/2017,19.525
263,12/26/2017,19.775
