,Date,Avg
1,01/09/2019,5.07
2,01/08/2019,4.955
3,01/07/2019,4.859999999999999
4,01/04/2019,4.7575
5,01/03/2019,4.675000000000001
6,01/02/2019,4.6868
7,12/31/2018,4.725
8,12/28/2018,4.71
9,12/27/2018,4.78
10,12/26/2018,4.75775
11,12/24/2018,4.71
12,12/21/2018,4.74
13,12/20/2018,4.890000000000001
14,12/19/2018,4.995
15,12/18/2018,5.0
16,12/17/2018,5.0
17,12/14/2018,4.984999999999999
18,12/13/2018,5.07
19,12/12/2018,5.07
20,12/11/2018,5.025
21,12/10/2018,5.02
22,12/07/2018,5.125
23,12/06/2018,5.115
24,12/04/2018,5.245
25,12/03/2018,5.305
26,11/30/2018,5.1871
27,11/29/2018,5.23
28,11/28/2018,5.165
29,11/27/2018,5.11695
30,11/26/2018,5.2295
31,11/23/2018,5.1850000000000005
32,11/21/2018,5.17
33,11/20/2018,5.1
34,11/19/2018,5.17505
35,11/16/2018,5.1850000000000005
36,11/15/2018,5.16
37,11/14/2018,5.1850000000000005
38,11/13/2018,5.2492
39,11/12/2018,5.300000000000001
40,11/09/2018,5.353
41,11/08/2018,5.41
42,11/07/2018,5.375
43,11/06/2018,5.33
44,11/05/2018,5.29
45,11/02/2018,5.305
46,11/01/2018,5.25655
47,10/31/2018,5.19625
48,10/30/2018,5.13
49,10/29/2018,5.1395
50,10/26/2018,5.175
51,10/25/2018,5.285
52,10/24/2018,5.27965
53,10/23/2018,5.34
54,10/22/2018,5.42135
55,10/19/2018,5.465
56,10/18/2018,5.405
57,10/17/2018,5.38995
58,10/16/2018,5.4
59,10/15/2018,5.32
60,10/12/2018,5.33275
61,10/11/2018,5.381
62,10/10/2018,5.5499
63,10/09/2018,5.619999999999999
64,10/08/2018,5.63
65,10/05/2018,5.7625
66,10/04/2018,5.8100000000000005
67,10/03/2018,5.945
68,10/02/2018,5.9350000000000005
69,10/01/2018,5.95
70,09/28/2018,5.95
71,09/27/2018,5.945
72,09/26/2018,5.9676
73,09/25/2018,5.965
74,09/24/2018,5.9350000000000005
75,09/21/2018,5.93005
76,09/20/2018,6.07
77,09/19/2018,6.005
78,09/18/2018,5.905
79,09/17/2018,5.875
80,09/14/2018,5.82005
81,09/13/2018,5.84
82,09/12/2018,5.80505
83,09/11/2018,5.734999999999999
84,09/10/2018,5.705
85,09/07/2018,5.705
86,09/06/2018,5.7844999999999995
87,09/05/2018,5.805
88,09/04/2018,5.92005
89,08/31/2018,5.975
90,08/30/2018,6.055
91,08/29/2018,6.145
92,08/28/2018,6.17745
93,08/27/2018,6.15
94,08/24/2018,6.1555
95,08/23/2018,6.109999999999999
96,08/22/2018,6.155
97,08/21/2018,6.16
98,08/20/2018,6.175000000000001
99,08/17/2018,6.1785000000000005
100,08/16/2018,6.18
101,08/15/2018,6.135
102,08/14/2018,6.15005
103,08/13/2018,6.135
104,08/10/2018,6.154999999999999
105,08/09/2018,6.195
106,08/08/2018,6.1742
107,08/07/2018,6.18
108,08/06/2018,6.115
109,08/03/2018,6.15
110,08/02/2018,6.16
111,08/01/2018,6.16
112,07/31/2018,6.154999999999999
113,07/30/2018,6.140000000000001
114,07/27/2018,6.1615
115,07/26/2018,6.145
116,07/25/2018,6.145
117,07/24/2018,6.135
118,07/23/2018,6.105
119,07/20/2018,6.13
120,07/19/2018,6.08
121,07/18/2018,6.110849999999999
122,07/17/2018,6.0895
123,07/16/2018,6.08
124,07/13/2018,6.055
125,07/12/2018,6.115
126,07/11/2018,6.105
127,07/10/2018,6.115
128,07/09/2018,6.12
129,07/06/2018,6.155
130,07/05/2018,6.195
131,07/03/2018,6.183199999999999
132,07/02/2018,6.175
133,06/29/2018,6.21
134,06/28/2018,6.09
135,06/27/2018,6.085
136,06/26/2018,6.07
137,06/25/2018,6.04635
138,06/22/2018,6.125
139,06/21/2018,6.085
140,06/20/2018,6.17
141,06/19/2018,6.175
142,06/18/2018,6.2275
143,06/15/2018,6.210800000000001
144,06/14/2018,6.195
145,06/13/2018,6.2405
146,06/12/2018,6.26
147,06/11/2018,6.225
148,06/08/2018,6.17
149,06/07/2018,6.1899999999999995
150,06/06/2018,6.18
151,06/05/2018,6.15
152,06/04/2018,6.16
153,06/01/2018,6.119999999999999
154,05/31/2018,6.045
155,05/30/2018,6.05
156,05/29/2018,5.984999999999999
157,05/25/2018,6.05
158,05/24/2018,6.08
159,05/23/2018,6.07775
160,05/22/2018,6.112299999999999
161,05/21/2018,6.119999999999999
162,05/18/2018,6.05135
163,05/17/2018,6.08
164,05/16/2018,6.09745
165,05/15/2018,6.0504999999999995
166,05/14/2018,6.14
167,05/11/2018,6.12
168,05/10/2018,6.0895
169,05/09/2018,6.02
170,05/08/2018,6.005
171,05/07/2018,6.0205
172,05/04/2018,6.015000000000001
173,05/03/2018,6.00835
174,05/02/2018,6.009
175,05/01/2018,5.984999999999999
176,04/30/2018,6.01
177,04/27/2018,6.025
178,04/26/2018,6.0
179,04/25/2018,5.995
180,04/24/2018,5.975
181,04/23/2018,5.9222
182,04/20/2018,5.895
183,04/19/2018,5.9849499999999995
184,04/18/2018,6.04
185,04/17/2018,6.0436
186,04/16/2018,6.0594
187,04/13/2018,6.0649999999999995
188,04/12/2018,6.09535
189,04/11/2018,6.1
190,04/10/2018,6.125
191,04/09/2018,6.0794999999999995
192,04/06/2018,6.05
193,04/05/2018,6.025
194,04/04/2018,6.025
195,04/03/2018,6.09
196,04/02/2018,6.075
197,03/29/2018,6.07
198,03/28/2018,6.099
199,03/27/2018,6.154999999999999
200,03/26/2018,6.254
201,03/23/2018,6.1325
202,03/22/2018,6.14
203,03/21/2018,6.175
204,03/20/2018,6.14
205,03/19/2018,6.175
206,03/16/2018,6.245
207,03/15/2018,6.4394
208,03/14/2018,6.5150500000000005
209,03/13/2018,6.53
210,03/12/2018,6.55
211,03/09/2018,6.495
212,03/08/2018,6.415
213,03/07/2018,6.43335
214,03/06/2018,6.4399999999999995
215,03/05/2018,6.215
216,03/02/2018,6.2
217,03/01/2018,6.282500000000001
218,02/28/2018,6.4
219,02/27/2018,6.484999999999999
220,02/26/2018,6.52
221,02/23/2018,6.4350000000000005
222,02/22/2018,6.365
223,02/21/2018,6.3825
224,02/20/2018,6.385
