,Date,Avg
1,01/11/2019,49.0475
2,01/10/2019,49.025000000000006
3,01/09/2019,48.052499999999995
4,01/08/2019,48.4675
5,01/07/2019,47.3575
6,01/04/2019,48.45
7,01/03/2019,48.43
8,01/02/2019,46.815
9,12/31/2018,46.65375
10,12/28/2018,46.489999999999995
11,12/27/2018,45.154650000000004
12,12/26/2018,45.370000000000005
13,12/24/2018,45.345
14,12/21/2018,46.563050000000004
15,12/20/2018,46.265
16,12/19/2018,47.265
17,12/18/2018,49.1035
18,12/17/2018,48.71
19,12/14/2018,48.725
20,12/13/2018,50.363749999999996
21,12/12/2018,51.015
22,12/11/2018,51.47
23,12/10/2018,51.6525
24,12/07/2018,52.635000000000005
25,12/06/2018,52.78
26,12/04/2018,55.760000000000005
27,12/03/2018,57.3375
28,11/30/2018,57.66
29,11/29/2018,57.89875
30,11/28/2018,57.265
31,11/27/2018,57.395
32,11/26/2018,57.345
33,11/23/2018,56.34
34,11/21/2018,56.629999999999995
35,11/20/2018,56.735
36,11/19/2018,57.72
37,11/16/2018,57.935
38,11/15/2018,57.504999999999995
39,11/14/2018,57.965
40,11/13/2018,59.162499999999994
41,11/12/2018,59.025
42,11/09/2018,59.9375
43,11/08/2018,60.075
44,11/07/2018,59.4725
45,11/06/2018,59.4072
46,11/05/2018,58.795
47,11/02/2018,59.004999999999995
48,11/01/2018,58.695
49,10/31/2018,58.644999999999996
50,10/30/2018,57.32
51,10/29/2018,56.785
52,10/26/2018,55.275000000000006
53,10/25/2018,54.98365
54,10/24/2018,54.705
55,10/23/2018,56.870000000000005
56,10/22/2018,57.965
57,10/19/2018,60.46
58,10/18/2018,62.870000000000005
59,10/17/2018,63.790000000000006
60,10/16/2018,63.551249999999996
61,10/15/2018,63.92375
62,10/12/2018,63.699999999999996
63,10/11/2018,65.635
64,10/10/2018,67.47550000000001
65,10/09/2018,67.68
66,10/08/2018,67.3
67,10/05/2018,67.58000000000001
68,10/04/2018,68.075
69,10/03/2018,66.245
70,10/02/2018,65.0
71,10/01/2018,65.965
72,09/28/2018,65.8125
73,09/27/2018,66.55
74,09/26/2018,66.85
75,09/25/2018,67.075
76,09/24/2018,67.0
77,09/21/2018,68.3625
78,09/20/2018,68.1
79,09/19/2018,67.2
80,09/18/2018,66.15
81,09/17/2018,65.9
82,09/14/2018,65.80000000000001
83,09/13/2018,65.8
84,09/12/2018,66.2
85,09/11/2018,67.275
86,09/10/2018,67.6625
87,09/07/2018,68.075
88,09/06/2018,68.85
89,09/05/2018,69.425
90,09/04/2018,69.55
91,08/31/2018,69.15
92,08/30/2018,69.625
93,08/29/2018,69.95
94,08/28/2018,70.25
95,08/27/2018,70.875
96,08/24/2018,70.51644999999999
97,08/23/2018,70.25
98,08/22/2018,70.325
99,08/21/2018,70.075
100,08/20/2018,69.30000000000001
101,08/17/2018,68.69999999999999
102,08/16/2018,68.775
103,08/15/2018,68.55000000000001
104,08/14/2018,69.17500000000001
105,08/13/2018,69.025
106,08/10/2018,68.875
107,08/09/2018,69.15
108,08/08/2018,68.525
109,08/07/2018,68.275
110,08/06/2018,67.725
111,08/03/2018,68.32499999999999
112,08/02/2018,68.175
113,08/01/2018,67.7375
114,07/31/2018,67.3
115,07/30/2018,68.05
116,07/27/2018,68.80000000000001
117,07/26/2018,68.82499999999999
118,07/25/2018,68.4
119,07/24/2018,68.32499999999999
120,07/23/2018,69.4375
121,07/20/2018,69.575
122,07/19/2018,68.95
123,07/18/2018,68.35
124,07/17/2018,68.175
125,07/16/2018,67.8
126,07/13/2018,67.1
127,07/12/2018,68.05
128,07/11/2018,69.575
129,07/10/2018,68.9
130,07/09/2018,69.1
131,07/06/2018,67.8
132,07/05/2018,67.35
133,07/03/2018,67.65
134,07/02/2018,67.1
135,06/29/2018,67.4
136,06/28/2018,67.25
137,06/27/2018,67.8
138,06/26/2018,68.6
139,06/25/2018,69.45
140,06/22/2018,70.225
141,06/21/2018,70.375
142,06/20/2018,71.4
143,06/19/2018,70.94999999999999
144,06/18/2018,71.1505
145,06/15/2018,71.475
146,06/14/2018,72.425
147,06/13/2018,74.07390000000001
148,06/12/2018,74.74375
149,06/11/2018,75.6625
150,06/08/2018,76.1625
151,06/07/2018,76.85
152,06/06/2018,76.55
153,06/05/2018,76.67500000000001
154,06/04/2018,76.75
155,06/01/2018,76.0625
156,05/31/2018,75.325
157,05/30/2018,74.175
158,05/29/2018,73.075
159,05/25/2018,74.67500000000001
160,05/24/2018,73.85
161,05/23/2018,74.6
162,05/22/2018,78.3
163,05/21/2018,78.2
164,05/18/2018,77.625
165,05/17/2018,77.14995
166,05/16/2018,77.1
167,05/15/2018,76.55
168,05/14/2018,76.44999999999999
169,05/11/2018,76.9375
170,05/10/2018,76.0
171,05/09/2018,75.225
172,05/08/2018,74.95
173,05/07/2018,73.6375
174,05/04/2018,72.69999999999999
175,05/03/2018,71.95
176,05/02/2018,72.2
177,05/01/2018,71.19999999999999
178,04/30/2018,72.75
179,04/27/2018,73.57499999999999
180,04/26/2018,73.0101
181,04/25/2018,72.05000000000001
182,04/24/2018,71.45
183,04/23/2018,72.2
184,04/20/2018,72.35
185,04/19/2018,70.775
186,04/18/2018,70.175
187,04/17/2018,70.625
188,04/16/2018,70.80000000000001
189,04/13/2018,71.57499999999999
190,04/12/2018,70.725
191,04/11/2018,70.32499999999999
192,04/10/2018,70.94999999999999
193,04/09/2018,70.4375
194,04/06/2018,70.4
195,04/05/2018,71.7
196,04/04/2018,70.6
197,04/03/2018,70.1625
198,04/02/2018,69.65
199,03/29/2018,70.625
200,03/28/2018,69.7256
201,03/27/2018,70.35
202,03/26/2018,70.11250000000001
203,03/23/2018,70.025
204,03/22/2018,72.275
205,03/21/2018,73.5591
206,03/20/2018,72.875
207,03/19/2018,72.4125
208,03/16/2018,72.875
209,03/15/2018,71.975
210,03/14/2018,73.45
211,03/13/2018,72.69999999999999
212,03/12/2018,73.5
213,03/09/2018,74.0
214,03/08/2018,74.07499999999999
215,03/07/2018,74.6
216,03/06/2018,73.1
217,03/05/2018,71.875
218,03/02/2018,71.4505
219,03/01/2018,70.7
220,02/28/2018,71.32499999999999
221,02/27/2018,72.825
222,02/26/2018,72.65
223,02/23/2018,71.8
224,02/22/2018,72.6
225,02/21/2018,74.6
226,02/20/2018,74.025
227,02/16/2018,73.375
228,02/15/2018,72.05000000000001
229,02/14/2018,70.3
230,02/13/2018,69.0
231,02/12/2018,69.175
232,02/09/2018,68.65
233,02/08/2018,69.625
234,02/07/2018,70.525
235,02/06/2018,69.3
236,02/05/2018,69.75
237,02/02/2018,72.2995
238,02/01/2018,71.875
239,01/31/2018,72.5075
240,01/30/2018,73.2
241,01/29/2018,73.6
242,01/26/2018,73.92500000000001
243,01/25/2018,74.92500000000001
244,01/24/2018,74.9
245,01/23/2018,74.4
246,01/22/2018,74.15
247,01/19/2018,73.275
248,01/18/2018,72.44999999999999
249,01/17/2018,72.45750000000001
250,01/16/2018,72.9864
251,01/12/2018,73.05
252,01/11/2018,71.65
253,01/10/2018,70.8375
254,01/09/2018,70.15
255,01/08/2018,68.975
256,01/05/2018,69.05
257,01/04/2018,69.0125
258,01/03/2018,67.31655
259,01/02/2018,66.7755
260,12/29/2017,67.95
261,12/28/2017,67.7125
262,12/27/2017,67.82499999999999
263,12/26/2017,68.6
264,12/22/2017,69.62725
265,12/21/2017,69.7
266,12/20/2017,70.175
267,12/19/2017,70.45
268,12/18/2017,71.2625
269,12/15/2017,69.0625
270,12/14/2017,68.2005
271,12/13/2017,68.8255
272,12/12/2017,68.225
273,12/11/2017,68.325
274,12/08/2017,68.975
275,12/07/2017,68.85
276,12/06/2017,68.4375
277,12/05/2017,69.06970000000001
278,12/04/2017,70.025
279,12/01/2017,67.875
280,11/30/2017,69.625
281,11/29/2017,67.275
282,11/28/2017,65.4625
283,11/27/2017,64.25
284,11/24/2017,64.17500000000001
285,11/22/2017,64.2
286,11/21/2017,64.675
287,11/20/2017,63.959999999999994
288,11/17/2017,62.9875
289,11/16/2017,62.837500000000006
290,11/15/2017,62.675
291,11/14/2017,62.35
292,11/13/2017,61.05
293,11/10/2017,61.05
294,11/09/2017,61.9
295,11/08/2017,62.275
296,11/07/2017,63.675
297,11/06/2017,64.82499999999999
298,11/03/2017,64.05
299,11/02/2017,62.97635
300,11/01/2017,62.55
301,10/31/2017,63.5
302,10/30/2017,64.525
303,10/27/2017,64.5
304,10/26/2017,64.525
305,10/25/2017,63.95
306,10/24/2017,63.025
307,10/23/2017,61.025000000000006
308,10/20/2017,61.35
309,10/19/2017,60.5
310,10/18/2017,60.3
311,10/17/2017,60.4
312,10/16/2017,60.95
313,10/13/2017,60.67755
314,10/12/2017,61.270250000000004
315,10/11/2017,61.475
316,10/10/2017,61.45
317,10/09/2017,60.925
318,10/06/2017,60.85
319,10/05/2017,60.3763
320,10/04/2017,60.65
321,10/03/2017,60.025
322,10/02/2017,60.0
323,09/29/2017,59.900000000000006
324,09/28/2017,60.974999999999994
325,09/27/2017,60.8039
326,09/26/2017,59.1375
327,09/25/2017,58.8
328,09/22/2017,57.6499
329,09/21/2017,57.9
330,09/20/2017,57.375
331,09/19/2017,57.25
332,09/18/2017,56.725
333,09/15/2017,54.60225
334,09/14/2017,57.525
