,Date,Avg
1,01/11/2019,1.3747
2,01/10/2019,1.47005
3,01/09/2019,1.34055
4,01/08/2019,1.21
5,01/07/2019,1.09005
6,01/04/2019,1.261
7,01/03/2019,1.2650000000000001
8,01/02/2019,1.37
9,12/31/2018,0.96995
10,12/28/2018,1.055
11,12/27/2018,1.1099999999999999
12,12/26/2018,1.25
13,12/24/2018,1.2182
14,12/21/2018,1.33
15,12/20/2018,1.485
16,12/19/2018,1.55
17,12/18/2018,1.615
18,12/17/2018,1.69
19,12/14/2018,1.68505
20,12/13/2018,1.7161
21,12/12/2018,1.66415
22,12/11/2018,1.73
23,12/10/2018,1.8395
24,12/07/2018,1.85535
25,12/06/2018,1.67495
26,12/04/2018,1.7799999999999998
27,12/03/2018,1.7849499999999998
28,11/30/2018,1.6113499999999998
29,11/29/2018,1.6592500000000001
30,11/28/2018,1.63
31,11/27/2018,1.655
32,11/26/2018,1.7012999999999998
33,11/23/2018,1.69
34,11/21/2018,1.655
35,11/20/2018,1.825
36,11/19/2018,2.1950000000000003
37,11/16/2018,1.88435
38,11/15/2018,2.10565
39,11/14/2018,2.2965
40,11/13/2018,2.349
41,11/12/2018,2.45885
42,11/09/2018,2.05
43,11/08/2018,2.62155
44,11/07/2018,2.6550000000000002
45,11/06/2018,2.5250500000000002
46,11/05/2018,2.585
47,11/02/2018,2.5825
48,11/01/2018,2.4895
49,10/31/2018,2.66
50,10/30/2018,2.57125
51,10/29/2018,2.76
52,10/26/2018,2.8
53,10/25/2018,2.79
54,10/24/2018,2.715
55,10/23/2018,2.94465
56,10/22/2018,3.01565
57,10/19/2018,2.99
58,10/18/2018,3.065
59,10/17/2018,2.94705
60,10/16/2018,2.98
61,10/15/2018,2.865
62,10/12/2018,2.95
63,10/11/2018,2.88505
64,10/10/2018,2.93505
65,10/09/2018,2.925
66,10/08/2018,3.00365
67,10/05/2018,2.945
68,10/04/2018,3.0268499999999996
69,10/03/2018,3.005
70,10/02/2018,2.8499999999999996
71,10/01/2018,2.875
72,09/28/2018,2.8449999999999998
73,09/27/2018,2.9859999999999998
74,09/26/2018,3.15355
75,09/25/2018,3.28695
76,09/24/2018,3.25
77,09/21/2018,3.153
78,09/20/2018,3.29
79,09/19/2018,3.1214500000000003
80,09/18/2018,3.2342
81,09/17/2018,3.1799999999999997
82,09/14/2018,3.1100000000000003
83,09/13/2018,3.2685
84,09/12/2018,3.165
85,09/11/2018,3.1826
86,09/10/2018,3.4498499999999996
87,09/07/2018,3.4779
88,09/06/2018,3.0702
89,09/05/2018,3.263
90,09/04/2018,3.1022
91,08/31/2018,3.0307000000000004
92,08/30/2018,2.86645
93,08/29/2018,3.115
94,08/28/2018,3.3262
95,08/27/2018,3.1699
96,08/24/2018,2.935
97,08/23/2018,2.8377999999999997
98,08/22/2018,2.755
99,08/21/2018,2.925
100,08/20/2018,2.8150500000000003
101,08/17/2018,2.9142
102,08/16/2018,2.8557
103,08/15/2018,2.7265
104,08/14/2018,2.8983
105,08/13/2018,2.758
106,08/10/2018,3.07485
107,08/09/2018,3.07485
108,08/08/2018,2.95445
109,08/07/2018,3.06625
110,08/06/2018,3.0649
