,Date,Avg
1,01/11/2019,43.9525
2,01/10/2019,43.644999999999996
3,01/09/2019,43.519999999999996
4,01/08/2019,43.53
5,01/07/2019,43.455
6,01/04/2019,43.27005
7,01/03/2019,43.195
8,01/02/2019,43.33
9,12/31/2018,43.5775
10,12/28/2018,43.25
11,12/27/2018,42.8725
12,12/26/2018,42.36
13,12/24/2018,42.01
14,12/21/2018,42.9
15,12/20/2018,42.86
16,12/19/2018,43.129999999999995
17,12/18/2018,43.67
18,12/17/2018,43.039649999999995
19,12/14/2018,43.215
20,12/13/2018,43.44
21,12/12/2018,43.335
22,12/11/2018,42.91
23,12/10/2018,42.5925
24,12/07/2018,42.875
25,12/06/2018,42.34
26,12/04/2018,42.455
27,12/03/2018,42.515
28,11/30/2018,42.515
29,11/29/2018,42.735
30,11/28/2018,42.8
31,11/27/2018,42.7225
32,11/26/2018,43.445
33,11/23/2018,43.0925
34,11/21/2018,43.055
35,11/20/2018,42.6425
36,11/19/2018,43.345
37,11/16/2018,43.215
38,11/15/2018,42.83
39,11/14/2018,42.445
40,11/13/2018,42.28
41,11/12/2018,43.545
42,11/09/2018,39.425
43,11/08/2018,39.44
44,11/07/2018,38.945
45,11/06/2018,38.375
46,11/05/2018,37.925
47,11/02/2018,37.739999999999995
48,11/01/2018,37.735
49,10/31/2018,37.855000000000004
50,10/30/2018,37.375
51,10/29/2018,37.415000000000006
52,10/26/2018,36.675
53,10/25/2018,36.63
54,10/24/2018,36.445
55,10/23/2018,36.535
56,10/22/2018,37.150000000000006
57,10/19/2018,37.07
58,10/18/2018,37.2
59,10/17/2018,37.06
60,10/16/2018,36.8
61,10/15/2018,36.19
62,10/12/2018,35.72
63,10/11/2018,35.67
64,10/10/2018,36.315
65,10/09/2018,37.105000000000004
66,10/08/2018,36.4534
67,10/05/2018,36.355000000000004
68,10/04/2018,38.06
69,10/03/2018,42.34
70,10/02/2018,42.775
71,10/01/2018,43.364999999999995
72,09/28/2018,43.725
73,09/27/2018,43.925
74,09/26/2018,44.175
75,09/25/2018,44.15
76,09/24/2018,44.474999999999994
77,09/21/2018,45.0
78,09/20/2018,44.375
79,09/19/2018,44.25
80,09/18/2018,44.075
81,09/17/2018,44.25
82,09/14/2018,44.4875
83,09/13/2018,44.425
84,09/12/2018,43.900000000000006
85,09/11/2018,43.875
86,09/10/2018,44.05
87,09/07/2018,43.95
88,09/06/2018,44.275
89,09/05/2018,44.15
90,09/04/2018,44.2
91,08/31/2018,44.05455
92,08/30/2018,44.3
93,08/29/2018,44.099999999999994
94,08/28/2018,44.05
95,08/27/2018,44.1
96,08/24/2018,44.15
97,08/23/2018,44.15
98,08/22/2018,44.3
99,08/21/2018,44.5
100,08/20/2018,44.175
101,08/17/2018,44.0
102,08/16/2018,44.349999999999994
103,08/15/2018,44.375
104,08/14/2018,44.8
105,08/13/2018,44.162499999999994
106,08/10/2018,44.125
107,08/09/2018,44.075
108,08/08/2018,43.725
109,08/07/2018,44.2
110,08/06/2018,44.175
111,08/03/2018,43.85
112,08/02/2018,43.6375
113,08/01/2018,43.3
114,07/31/2018,43.05
115,07/30/2018,42.95
116,07/27/2018,43.575
117,07/26/2018,43.35
118,07/25/2018,42.725
119,07/24/2018,43.337500000000006
120,07/23/2018,43.525000000000006
121,07/20/2018,44.05
122,07/19/2018,44.2625
123,07/18/2018,44.275
124,07/17/2018,44.675
125,07/16/2018,44.825
126,07/13/2018,44.974999999999994
127,07/12/2018,45.224999999999994
128,07/11/2018,45.225
129,07/10/2018,46.049499999999995
130,07/09/2018,46.65
131,07/06/2018,46.1
132,07/05/2018,47.475
133,07/03/2018,45.5
134,07/02/2018,44.775
135,06/29/2018,44.525
136,06/28/2018,44.4875
137,06/27/2018,44.650000000000006
138,06/26/2018,44.425
139,06/25/2018,44.55
140,06/22/2018,45.075
141,06/21/2018,45.05
142,06/20/2018,45.45
143,06/19/2018,44.84375
144,06/18/2018,44.325
145,06/15/2018,43.8
146,06/14/2018,43.125
147,06/13/2018,43.05
148,06/12/2018,43.287499999999994
149,06/11/2018,43.25
150,06/08/2018,43.325
151,06/07/2018,43.4
152,06/06/2018,43.400000000000006
153,06/05/2018,42.7625
154,06/04/2018,42.1625
155,06/01/2018,42.0
156,05/31/2018,41.724999999999994
157,05/30/2018,42.35
158,05/29/2018,41.95
159,05/25/2018,42.25
160,05/24/2018,42.7
161,05/23/2018,43.025
162,05/22/2018,42.9125
163,05/21/2018,42.825
164,05/18/2018,42.825
165,05/17/2018,42.611999999999995
166,05/16/2018,42.2
167,05/15/2018,41.525000000000006
168,05/14/2018,41.2
169,05/11/2018,40.7125
170,05/10/2018,41.325
171,05/09/2018,41.75
172,05/08/2018,42.224999999999994
173,05/07/2018,41.8375
174,05/04/2018,41.2
175,05/03/2018,40.95
176,05/02/2018,41.25
177,05/01/2018,40.8
178,04/30/2018,41.425
179,04/27/2018,41.7
180,04/26/2018,41.775000000000006
181,04/25/2018,41.375
182,04/24/2018,41.400000000000006
183,04/23/2018,41.5
184,04/20/2018,41.225
185,04/19/2018,41.7
186,04/18/2018,42.025
187,04/17/2018,41.425
188,04/16/2018,40.8
189,04/13/2018,40.275
190,04/12/2018,40.425
191,04/11/2018,40.075
192,04/10/2018,40.025000000000006
193,04/09/2018,39.85
194,04/06/2018,40.25
195,04/05/2018,41.05
196,04/04/2018,41.025
197,04/03/2018,39.66025
198,04/02/2018,43.35
199,03/29/2018,43.849999999999994
200,03/28/2018,43.1125
201,03/27/2018,43.275
202,03/26/2018,43.4
203,03/23/2018,43.4875
204,03/22/2018,43.900000000000006
205,03/21/2018,44.225
206,03/20/2018,44.225
207,03/19/2018,44.375
208,03/16/2018,44.525
209,03/15/2018,44.5
210,03/14/2018,44.525
211,03/13/2018,44.974999999999994
212,03/12/2018,45.025000000000006
213,03/09/2018,45.325
214,03/08/2018,45.25
215,03/07/2018,45.425
216,03/06/2018,44.849999999999994
217,03/05/2018,44.675
218,03/02/2018,44.599999999999994
219,03/01/2018,44.925
