,Date,Avg
1,01/11/2019,14.825
2,01/10/2019,14.85
3,01/09/2019,14.684999999999999
4,01/08/2019,14.41485
5,01/07/2019,14.18
6,01/04/2019,13.895
7,01/03/2019,13.71
8,01/02/2019,13.635
9,12/31/2018,13.614999999999998
10,12/28/2018,13.445
11,12/27/2018,13.3
12,12/26/2018,13.32
13,12/24/2018,13.2
14,12/21/2018,13.33
15,12/20/2018,13.495000000000001
16,12/19/2018,13.725
17,12/18/2018,13.780000000000001
18,12/17/2018,13.995000000000001
19,12/14/2018,14.30945
20,12/13/2018,14.399999999999999
21,12/12/2018,14.49
22,12/11/2018,14.448450000000001
23,12/10/2018,14.42155
24,12/07/2018,14.549949999999999
25,12/06/2018,14.581
26,12/04/2018,14.870000000000001
27,12/03/2018,14.93
28,11/30/2018,14.835
29,11/29/2018,14.82
30,11/28/2018,14.735
31,11/27/2018,14.665
32,11/26/2018,14.677
33,11/23/2018,14.67
34,11/21/2018,14.665
35,11/20/2018,14.72495
36,11/19/2018,14.864999999999998
37,11/16/2018,14.945
38,11/15/2018,14.99
39,11/14/2018,15.133949999999999
40,11/13/2018,15.2403
41,11/12/2018,15.27
42,11/09/2018,15.275
43,11/08/2018,15.329999999999998
44,11/07/2018,15.22005
45,11/06/2018,15.075
46,11/05/2018,14.998149999999999
47,11/02/2018,14.9952
48,11/01/2018,15.05405
49,10/31/2018,14.945
50,10/30/2018,14.884
51,10/29/2018,15.01
52,10/26/2018,15.085
53,10/25/2018,15.165
54,10/24/2018,15.094999999999999
55,10/23/2018,15.095
56,10/22/2018,15.24365
57,10/19/2018,15.29005
58,10/18/2018,15.254999999999999
59,10/17/2018,15.33
60,10/16/2018,15.260000000000002
61,10/15/2018,15.06
62,10/12/2018,15.07
63,10/11/2018,15.2388
64,10/10/2018,15.4525
65,10/09/2018,15.535
66,10/08/2018,15.575
67,10/05/2018,15.594999999999999
68,10/04/2018,15.79505
69,10/03/2018,16.075
70,10/02/2018,16.134999999999998
71,10/01/2018,16.15505
72,09/28/2018,16.130000000000003
73,09/27/2018,16.134999999999998
74,09/26/2018,16.1
75,09/25/2018,16.145
76,09/24/2018,16.205
77,09/21/2018,16.2242
78,09/20/2018,16.240000000000002
79,09/19/2018,16.240000000000002
80,09/18/2018,16.2345
81,09/17/2018,16.28
82,09/14/2018,16.359
83,09/13/2018,16.37835
84,09/12/2018,16.425
85,09/11/2018,16.335
86,09/10/2018,16.33
87,09/07/2018,16.345
88,09/06/2018,16.46
89,09/05/2018,16.465
90,09/04/2018,16.495
91,08/31/2018,16.535
92,08/30/2018,16.560000000000002
93,08/29/2018,16.494999999999997
94,08/28/2018,16.44
95,08/27/2018,16.490000000000002
96,08/24/2018,16.48
97,08/23/2018,16.4
98,08/22/2018,16.39
99,08/21/2018,16.34
100,08/20/2018,16.305
101,08/17/2018,16.215
102,08/16/2018,16.185000000000002
103,08/15/2018,16.125
104,08/14/2018,16.21
105,08/13/2018,16.295
106,08/10/2018,16.3525
107,08/09/2018,16.34125
108,08/08/2018,16.2945
109,08/07/2018,16.34
110,08/06/2018,16.35
111,08/03/2018,16.2758
112,08/02/2018,16.18
113,08/01/2018,16.31545
114,07/31/2018,16.409950000000002
115,07/30/2018,16.395
116,07/27/2018,16.415
117,07/26/2018,16.40215
118,07/25/2018,16.335
119,07/24/2018,16.25505
120,07/23/2018,16.2095
121,07/20/2018,16.195
122,07/19/2018,16.195
123,07/18/2018,16.189999999999998
