,Date,Avg
1,01/11/2019,0.14
2,01/10/2019,0.14
3,01/09/2019,0.12
4,01/08/2019,0.12
5,01/07/2019,0.12
6,01/04/2019,0.11
7,01/03/2019,0.085
8,01/02/2019,0.08155000000000001
9,12/31/2018,0.075
10,12/28/2018,0.095
11,12/27/2018,0.09
12,12/26/2018,0.09
13,12/24/2018,0.07500000000000001
14,12/21/2018,0.0845
15,12/20/2018,0.1
16,12/19/2018,0.1
17,12/18/2018,0.1
18,12/17/2018,0.0945
19,12/14/2018,0.1
20,12/13/2018,0.1
21,12/12/2018,0.1148
22,12/11/2018,0.1148
23,12/10/2018,0.11875
24,12/07/2018,0.15
25,12/06/2018,0.15
26,12/04/2018,0.15
27,12/03/2018,0.17
28,11/30/2018,0.16
29,11/29/2018,0.14805
30,11/28/2018,0.13
31,11/27/2018,0.13
32,11/26/2018,0.15
33,11/23/2018,0.15
34,11/21/2018,0.15
35,11/20/2018,0.13225
36,11/19/2018,0.175
37,11/16/2018,0.18
38,11/15/2018,0.16
39,11/14/2018,0.16499999999999998
40,11/13/2018,0.165
41,11/12/2018,0.15575
42,11/09/2018,0.17
43,11/08/2018,0.1799
44,11/07/2018,0.1777
45,11/06/2018,0.16999999999999998
46,11/05/2018,0.17005
47,11/02/2018,0.195
48,11/01/2018,0.22
49,10/31/2018,0.22
50,10/30/2018,0.22
51,10/29/2018,0.21
52,10/26/2018,0.21
53,10/25/2018,0.21
54,10/24/2018,0.195
55,10/23/2018,0.24
56,10/22/2018,0.24
57,10/19/2018,0.24
58,10/18/2018,0.24
59,10/17/2018,0.24
60,10/16/2018,0.24
61,10/15/2018,0.24
62,10/12/2018,0.24
63,10/11/2018,0.24
64,10/10/2018,0.24
65,10/09/2018,0.22505
66,10/08/2018,0.22999999999999998
67,10/05/2018,0.26
68,10/04/2018,0.2
69,10/03/2018,0.20005
70,10/02/2018,0.21000000000000002
71,10/01/2018,0.2188
72,09/28/2018,0.2188
73,09/27/2018,0.2188
74,09/26/2018,0.2188
75,09/25/2018,0.22
76,09/24/2018,0.24
77,09/21/2018,0.245
78,09/20/2018,0.26
79,09/19/2018,0.26
80,09/18/2018,0.26
81,09/17/2018,0.24
82,09/14/2018,0.25
83,09/13/2018,0.26
84,09/12/2018,0.26
85,09/11/2018,0.26
86,09/10/2018,0.245
87,09/07/2018,0.29000000000000004
88,09/06/2018,0.24
89,09/05/2018,0.24
90,09/04/2018,0.25
91,08/31/2018,0.23005
92,08/30/2018,0.29
93,08/29/2018,0.29
94,08/28/2018,0.29
95,08/27/2018,0.29000000000000004
96,08/24/2018,0.3
97,08/23/2018,0.3
98,08/22/2018,0.3
99,08/21/2018,0.22505
100,08/20/2018,0.24
101,08/17/2018,0.27
102,08/16/2018,0.27
103,08/15/2018,0.27
104,08/14/2018,0.27
105,08/13/2018,0.26
106,08/10/2018,0.24635
107,08/09/2018,0.308
108,08/08/2018,0.37995
109,08/07/2018,0.4
110,08/06/2018,0.4
111,08/03/2018,0.4
112,08/02/2018,0.4
113,08/01/2018,0.4
114,07/31/2018,0.35914999999999997
115,07/30/2018,0.35
116,07/27/2018,0.33725
117,07/26/2018,0.31475
118,07/25/2018,0.29
119,07/24/2018,0.29
120,07/23/2018,0.29
121,07/20/2018,0.29
122,07/19/2018,0.253
123,07/18/2018,0.27
124,07/17/2018,0.27
125,07/16/2018,0.27
126,07/13/2018,0.2999
127,07/12/2018,0.27
128,07/11/2018,0.27
129,07/10/2018,0.27
130,07/09/2018,0.27935
131,07/06/2018,0.29
132,07/05/2018,0.29
133,07/03/2018,0.29
134,07/02/2018,0.29
135,06/29/2018,0.264
136,06/28/2018,0.30000000000000004
137,06/27/2018,0.23
138,06/26/2018,0.25
139,06/25/2018,0.27
140,06/22/2018,0.30855
141,06/21/2018,0.245
142,06/20/2018,0.2794
143,06/19/2018,0.2794
144,06/18/2018,0.26495
145,06/15/2018,0.25
146,06/14/2018,0.25
147,06/13/2018,0.235
148,06/12/2018,0.25
149,06/11/2018,0.25
150,06/08/2018,0.25
151,06/07/2018,0.25
152,06/06/2018,0.25
153,06/05/2018,0.25
154,06/04/2018,0.25
155,06/01/2018,0.25
156,05/31/2018,0.2799
157,05/30/2018,0.2799
158,05/29/2018,0.2799
159,05/25/2018,0.2799
160,05/24/2018,0.24995
161,05/23/2018,0.24
162,05/22/2018,0.24
163,05/21/2018,0.24
164,05/18/2018,0.24
