,Date,Avg
1,01/11/2019,75.24000000000001
2,01/10/2019,75.39994999999999
3,01/09/2019,76.62
4,01/08/2019,76.725
5,01/07/2019,76.405
6,01/04/2019,74.935
7,01/03/2019,73.285
8,01/02/2019,71.59
9,12/31/2018,71.66
10,12/28/2018,72.005
11,12/27/2018,70.32
12,12/26/2018,70.23
13,12/24/2018,70.28
14,12/21/2018,72.5075
15,12/20/2018,73.715
16,12/19/2018,75.975
17,12/18/2018,77.505
18,12/17/2018,78.35
19,12/14/2018,79.01499999999999
20,12/13/2018,80.21
21,12/12/2018,81.25999999999999
22,12/11/2018,80.20750000000001
23,12/10/2018,79.945
24,12/07/2018,81.675
25,12/06/2018,81.645
26,12/04/2018,83.39500000000001
27,12/03/2018,84.925
28,11/30/2018,84.845
29,11/29/2018,84.89500000000001
30,11/28/2018,82.905
31,11/27/2018,80.785
32,11/26/2018,79.695
33,11/23/2018,78.055
34,11/21/2018,78.265
35,11/20/2018,79.355
36,11/19/2018,83.055
37,11/16/2018,83.14
38,11/15/2018,81.445
39,11/14/2018,82.97
40,11/13/2018,83.2225
41,11/12/2018,82.11
42,11/09/2018,82.42500000000001
43,11/08/2018,83.66499999999999
44,11/07/2018,83.88
45,11/06/2018,83.005
46,11/05/2018,82.72
47,11/02/2018,82.78
48,11/01/2018,83.67
49,10/31/2018,83.02
50,10/30/2018,79.625
51,10/29/2018,78.29865
52,10/26/2018,76.19
53,10/25/2018,80.405
54,10/24/2018,80.43
55,10/23/2018,81.39
56,10/22/2018,83.305
57,10/19/2018,83.22999999999999
58,10/18/2018,82.2825
59,10/17/2018,82.63
60,10/16/2018,82.47
61,10/15/2018,80.2102
62,10/12/2018,79.07
63,10/11/2018,79.02000000000001
64,10/10/2018,81.14
65,10/09/2018,82.1025
66,10/08/2018,81.33
67,10/05/2018,81.92
68,10/04/2018,83.125
69,10/03/2018,83.875
70,10/02/2018,83.42
71,10/01/2018,83.82
72,09/28/2018,83.65
73,09/27/2018,83.9875
74,09/26/2018,83.45
75,09/25/2018,83.28
76,09/24/2018,84.175
77,09/21/2018,85.36500000000001
78,09/20/2018,84.975
79,09/19/2018,84.795
80,09/18/2018,83.58
81,09/17/2018,82.37
82,09/14/2018,82.435
83,09/13/2018,82.655
