,Date,Avg
1,01/11/2019,4.03
2,01/10/2019,3.615
3,01/09/2019,3.31
4,01/08/2019,3.202
5,01/07/2019,3.325
6,01/04/2019,3.2456
7,01/03/2019,3.25
8,01/02/2019,3.16005
9,12/31/2018,2.9299999999999997
10,12/28/2018,2.87495
11,12/27/2018,2.715
12,12/26/2018,2.8550500000000003
13,12/24/2018,2.795
14,12/21/2018,3.205
15,12/20/2018,3.065
16,12/19/2018,3.2456
17,12/18/2018,3.02
18,12/17/2018,3.185
19,12/14/2018,3.44505
20,12/13/2018,3.7724
21,12/12/2018,3.955
22,12/11/2018,3.915
23,12/10/2018,3.885
24,12/07/2018,4.03
25,12/06/2018,3.8998
26,12/04/2018,4.395
27,12/03/2018,4.06
28,11/30/2018,3.985
29,11/29/2018,3.80025
30,11/28/2018,3.9650000000000003
31,11/27/2018,3.8274999999999997
32,11/26/2018,3.88725
33,11/23/2018,3.915
34,11/21/2018,3.83
35,11/20/2018,3.775
36,11/19/2018,3.85
37,11/16/2018,3.7857000000000003
38,11/15/2018,3.92
39,11/14/2018,3.91015
40,11/13/2018,4.05275
41,11/12/2018,4.23
42,11/09/2018,4.21045
43,11/08/2018,4.295
44,11/07/2018,4.455
45,11/06/2018,4.390000000000001
46,11/05/2018,4.12005
47,11/02/2018,3.95495
48,11/01/2018,3.8234500000000002
49,10/31/2018,3.6718
50,10/30/2018,3.58
51,10/29/2018,3.685
52,10/26/2018,3.6218500000000002
53,10/25/2018,3.5208500000000003
54,10/24/2018,3.585
55,10/23/2018,3.50005
56,10/22/2018,3.81
57,10/19/2018,4.13
58,10/18/2018,4.35525
59,10/17/2018,4.5
60,10/16/2018,4.74
61,10/15/2018,4.955
62,10/12/2018,4.86495
63,10/11/2018,4.775
64,10/10/2018,4.835
65,10/09/2018,4.7519
66,10/08/2018,5.26
67,10/05/2018,5.025
68,10/04/2018,4.84
69,10/03/2018,5.245
70,10/02/2018,6.84
71,10/01/2018,5.005
72,09/28/2018,3.725
73,09/27/2018,3.72505
74,09/26/2018,4.484999999999999
75,09/25/2018,5.23
76,09/24/2018,5.00495
77,09/21/2018,6.465
78,09/20/2018,5.275
79,09/19/2018,4.05
80,09/18/2018,3.625
81,09/17/2018,3.2622999999999998
82,09/14/2018,3.16575
83,09/13/2018,3.3762
84,09/12/2018,3.37535
85,09/11/2018,3.175
86,09/10/2018,3.19
87,09/07/2018,3.07495
88,09/06/2018,3.175
89,09/05/2018,3.1849999999999996
90,09/04/2018,3.3204000000000002
91,08/31/2018,3.535
92,08/30/2018,3.74
93,08/29/2018,3.60905
94,08/28/2018,3.6500000000000004
95,08/27/2018,3.4749999999999996
96,08/24/2018,3.08
97,08/23/2018,3.1075
98,08/22/2018,3.07395
99,08/21/2018,2.9695
100,08/20/2018,3.1517
101,08/17/2018,3.075
102,08/16/2018,3.3499999999999996
103,08/15/2018,3.42125
104,08/14/2018,3.31
105,08/13/2018,2.957
106,08/10/2018,3.0250000000000004
107,08/09/2018,3.1142
108,08/08/2018,2.83
109,08/07/2018,2.915
110,08/06/2018,3.0599999999999996
111,08/03/2018,3.135
112,08/02/2018,3.225
113,08/01/2018,3.33
114,07/31/2018,3.3899999999999997
115,07/30/2018,3.3499999999999996
116,07/27/2018,3.3552999999999997
117,07/26/2018,3.32
118,07/25/2018,3.38
119,07/24/2018,3.55
120,07/23/2018,3.325
121,07/20/2018,3.4000000000000004
122,07/19/2018,3.3600000000000003
123,07/18/2018,3.42
124,07/17/2018,3.385
125,07/16/2018,3.5534999999999997
126,07/13/2018,3.5658
127,07/12/2018,3.74
128,07/11/2018,3.8049999999999997
129,07/10/2018,3.8086
130,07/09/2018,3.67
131,07/06/2018,3.6980000000000004
132,07/05/2018,3.7952
133,07/03/2018,3.765
134,07/02/2018,3.755
135,06/29/2018,3.745
136,06/28/2018,3.82005
137,06/27/2018,4.04005
138,06/26/2018,4.1335
139,06/25/2018,4.0636
140,06/22/2018,4.15
141,06/21/2018,3.91
142,06/20/2018,4.0495
143,06/19/2018,4.125
144,06/18/2018,4.140000000000001
145,06/15/2018,4.105
146,06/14/2018,4.075
147,06/13/2018,4.1
148,06/12/2018,4.32
149,06/11/2018,4.35
150,06/08/2018,4.4
151,06/07/2018,4.5
152,06/06/2018,4.625
153,06/05/2018,4.645
154,06/04/2018,4.66005
155,06/01/2018,4.71
156,05/31/2018,4.665
157,05/30/2018,4.627
158,05/29/2018,4.66665
159,05/25/2018,4.8
160,05/24/2018,4.81465
161,05/23/2018,4.875
162,05/22/2018,4.956899999999999
163,05/21/2018,4.640000000000001
164,05/18/2018,4.70505
165,05/17/2018,4.925
166,05/16/2018,5.0615
167,05/15/2018,5.14245
168,05/14/2018,5.21
169,05/11/2018,5.32
170,05/10/2018,5.074999999999999
171,05/09/2018,4.795
172,05/08/2018,4.7946
173,05/07/2018,4.615
174,05/04/2018,4.6243
175,05/03/2018,4.62
176,05/02/2018,4.775
177,05/01/2018,4.8774999999999995
178,04/30/2018,5.09
179,04/27/2018,5.436999999999999
180,04/26/2018,5.25
181,04/25/2018,5.080500000000001
182,04/24/2018,5.07
183,04/23/2018,5.050000000000001
184,04/20/2018,5.075
185,04/19/2018,4.83
186,04/18/2018,4.725
187,04/17/2018,4.54005
188,04/16/2018,4.4
189,04/13/2018,4.385
190,04/12/2018,4.3847000000000005
191,04/11/2018,4.3155
192,04/10/2018,4.4984
193,04/09/2018,4.15
194,04/06/2018,3.9444999999999997
195,04/05/2018,3.9299999999999997
196,04/04/2018,3.92
197,04/03/2018,4.075
198,04/02/2018,4.1705000000000005
199,03/29/2018,4.1899
200,03/28/2018,4.15
201,03/27/2018,3.925
202,03/26/2018,3.87
203,03/23/2018,3.875
204,03/22/2018,3.87495
205,03/21/2018,3.79
206,03/20/2018,3.765
207,03/19/2018,3.74
208,03/16/2018,3.845
209,03/15/2018,3.7775
210,03/14/2018,3.6399999999999997
211,03/13/2018,3.755
212,03/12/2018,3.8
213,03/09/2018,3.62
214,03/08/2018,3.7750000000000004
215,03/07/2018,3.76505
216,03/06/2018,3.81
217,03/05/2018,3.9901
218,03/02/2018,3.9749499999999998
219,03/01/2018,3.9961
220,02/28/2018,3.95
221,02/27/2018,3.88
222,02/26/2018,4.0275
223,02/23/2018,4.1
224,02/22/2018,4.26
225,02/21/2018,3.9754500000000004
226,02/20/2018,3.7175000000000002
227,02/16/2018,3.94
228,02/15/2018,3.9957
229,02/14/2018,4.105
230,02/13/2018,4.285
231,02/12/2018,4.3174
232,02/09/2018,4.249
233,02/08/2018,4.3195
234,02/07/2018,4.38675
235,02/06/2018,4.300000000000001
236,02/05/2018,4.449999999999999
237,02/02/2018,4.675
238,02/01/2018,4.915
239,01/31/2018,4.9318
240,01/30/2018,4.9266
241,01/29/2018,4.97985
242,01/26/2018,5.0104500000000005
243,01/25/2018,4.80935
244,01/24/2018,4.875
245,01/23/2018,5.175
246,01/22/2018,5.2
247,01/19/2018,5.1014
248,01/18/2018,5.1399
249,01/17/2018,5.0922
250,01/16/2018,4.9895
251,01/12/2018,4.949
252,01/11/2018,4.970000000000001
253,01/10/2018,5.029999999999999
254,01/09/2018,5.125
255,01/08/2018,5.0
256,01/05/2018,4.5552
