,Date,Avg
1,01/11/2019,14.23995
2,01/10/2019,14.2
3,01/09/2019,14.205
4,01/08/2019,14.175
5,01/07/2019,13.879999999999999
6,01/04/2019,13.499500000000001
7,01/03/2019,13.615
8,01/02/2019,13.66
9,12/31/2018,13.55
10,12/28/2018,13.53
11,12/27/2018,13.32
12,12/26/2018,13.25
13,12/24/2018,13.059000000000001
14,12/21/2018,13.33
15,12/20/2018,12.783850000000001
16,12/19/2018,13.08995
17,12/18/2018,13.375
18,12/17/2018,13.33
19,12/14/2018,13.4398
20,12/13/2018,13.42025
21,12/12/2018,13.475
22,12/11/2018,13.68
23,12/10/2018,13.5968
24,12/07/2018,13.690000000000001
25,12/06/2018,14.005
26,12/04/2018,14.530000000000001
27,12/03/2018,14.625
28,11/30/2018,15.13
29,11/29/2018,14.85
30,11/28/2018,15.0725
31,11/27/2018,14.9775
32,11/26/2018,14.85
33,11/23/2018,15.73
34,11/21/2018,15.8133
35,11/20/2018,15.735
36,11/19/2018,15.535
37,11/16/2018,15.450050000000001
38,11/15/2018,15.5305
39,11/14/2018,15.67005
40,11/13/2018,15.587499999999999
41,11/12/2018,15.765
42,11/09/2018,15.775
43,11/08/2018,15.655000000000001
44,11/07/2018,15.559999999999999
45,11/06/2018,15.619
46,11/05/2018,15.76
47,11/02/2018,15.72
48,11/01/2018,16.1
49,10/31/2018,15.690000000000001
50,10/30/2018,15.585
51,10/29/2018,15.405249999999999
52,10/26/2018,15.42
53,10/25/2018,15.434750000000001
54,10/24/2018,15.725
55,10/23/2018,15.592500000000001
56,10/22/2018,15.825
57,10/19/2018,15.625
58,10/18/2018,15.879999999999999
59,10/17/2018,15.93995
60,10/16/2018,16.1475
61,10/15/2018,16.06
62,10/12/2018,15.879999999999999
63,10/11/2018,15.57
64,10/10/2018,15.89
65,10/09/2018,15.90185
66,10/08/2018,15.92
67,10/05/2018,15.945
68,10/04/2018,15.8475
69,10/03/2018,16.02
70,10/02/2018,15.775
71,10/01/2018,16.1
72,09/28/2018,16.27
73,09/27/2018,16.59
74,09/26/2018,16.67
75,09/25/2018,16.395
76,09/24/2018,16.3853
77,09/21/2018,16.66
78,09/20/2018,16.34
79,09/19/2018,16.2725
80,09/18/2018,16.33
81,09/17/2018,16.305
82,09/14/2018,16.201900000000002
83,09/13/2018,16.18305
84,09/12/2018,16.27
85,09/11/2018,16.365000000000002
86,09/10/2018,16.71
87,09/07/2018,16.82
88,09/06/2018,16.4509
89,09/05/2018,16.265
90,09/04/2018,16.26
91,08/31/2018,16.26
92,08/30/2018,16.3
93,08/29/2018,16.25
94,08/28/2018,16.21
95,08/27/2018,16.314999999999998
96,08/24/2018,16.310000000000002
97,08/23/2018,16.264499999999998
98,08/22/2018,16.165
99,08/21/2018,16.18
100,08/20/2018,16.225
101,08/17/2018,16.255000000000003
102,08/16/2018,16.13
103,08/15/2018,16.07
104,08/14/2018,16.045
105,08/13/2018,15.96
106,08/10/2018,16.0341
107,08/09/2018,16.03895
108,08/08/2018,16.035
109,08/07/2018,16.06
110,08/06/2018,16.365000000000002
111,08/03/2018,16.33
112,08/02/2018,16.39
113,08/01/2018,16.42
114,07/31/2018,16.604100000000003
