,Date,Avg
1,01/11/2019,24.990000000000002
2,01/10/2019,25.0
3,01/09/2019,24.950000000000003
4,01/08/2019,24.5075
5,01/07/2019,23.375
6,01/04/2019,22.405
7,01/03/2019,21.799999999999997
8,01/02/2019,21.195
9,12/31/2018,21.09
10,12/28/2018,21.35
11,12/27/2018,21.345
12,12/26/2018,21.0325
13,12/24/2018,21.08
14,12/21/2018,22.045
15,12/20/2018,22.665
16,12/19/2018,23.015
17,12/18/2018,22.825
18,12/17/2018,22.6475
19,12/14/2018,22.82
20,12/13/2018,23.025
21,12/12/2018,23.095
22,12/11/2018,23.13
23,12/10/2018,23.490000000000002
24,12/07/2018,23.745
25,12/06/2018,23.015
26,12/04/2018,22.92
27,12/03/2018,23.46435
28,11/30/2018,23.53505
29,11/29/2018,23.9
30,11/28/2018,23.380000000000003
31,11/27/2018,23.635
32,11/26/2018,23.955
33,11/23/2018,24.07
34,11/21/2018,23.43
35,11/20/2018,23.09
36,11/19/2018,22.380000000000003
37,11/16/2018,22.29
38,11/15/2018,22.244999999999997
39,11/14/2018,23.284999999999997
40,11/13/2018,23.58
41,11/12/2018,23.4
42,11/09/2018,23.97
43,11/08/2018,23.915
44,11/07/2018,24.545
45,11/06/2018,24.82
46,11/05/2018,24.7
47,11/02/2018,24.247500000000002
48,11/01/2018,24.43
49,10/31/2018,24.075
50,10/30/2018,23.520000000000003
51,10/29/2018,23.375
52,10/26/2018,23.4675
53,10/25/2018,23.35
54,10/24/2018,23.314999999999998
55,10/23/2018,21.97
56,10/22/2018,21.795
57,10/19/2018,22.325
58,10/18/2018,22.8575
59,10/17/2018,22.875
60,10/16/2018,22.765
61,10/15/2018,22.182499999999997
62,10/12/2018,22.604999999999997
63,10/11/2018,23.015
64,10/10/2018,23.33
65,10/09/2018,23.515
66,10/08/2018,23.225
67,10/05/2018,23.115
68,10/04/2018,23.485
69,10/03/2018,24.060000000000002
70,10/02/2018,23.96
71,10/01/2018,23.905
72,09/28/2018,24.17
73,09/27/2018,24.42
74,09/26/2018,24.939999999999998
75,09/25/2018,25.23
76,09/24/2018,25.060000000000002
77,09/21/2018,24.83
78,09/20/2018,24.875
79,09/19/2018,25.445
80,09/18/2018,25.305
81,09/17/2018,25.375
82,09/14/2018,25.305
83,09/13/2018,24.685000000000002
84,09/12/2018,24.8575
85,09/11/2018,24.825000000000003
86,09/10/2018,24.549999999999997
87,09/07/2018,24.595
88,09/06/2018,25.689999999999998
89,09/05/2018,25.9125
90,09/04/2018,25.808149999999998
91,08/31/2018,25.78
92,08/30/2018,25.905
93,08/29/2018,26.095
94,08/28/2018,26.4025
95,08/27/2018,26.265
96,08/24/2018,26.11
97,08/23/2018,26.125
98,08/22/2018,26.424999999999997
99,08/21/2018,26.455
100,08/20/2018,25.872500000000002
101,08/17/2018,25.884999999999998
102,08/16/2018,25.799999999999997
103,08/15/2018,26.08
104,08/14/2018,25.025
105,08/13/2018,25.335
106,08/10/2018,26.095
107,08/09/2018,26.395000000000003
108,08/08/2018,26.177500000000002
109,08/07/2018,26.295
110,08/06/2018,25.66
111,08/03/2018,25.86
112,08/02/2018,25.785
113,08/01/2018,25.78
114,07/31/2018,25.695
115,07/30/2018,25.665
116,07/27/2018,25.708750000000002
117,07/26/2018,25.802500000000002
118,07/25/2018,26.365000000000002
119,07/24/2018,26.29
120,07/23/2018,26.935000000000002
121,07/20/2018,27.509999999999998
122,07/19/2018,27.880000000000003
123,07/18/2018,27.52
124,07/17/2018,27.54
125,07/16/2018,27.219
126,07/13/2018,27.485
127,07/12/2018,27.28
128,07/11/2018,27.145
129,07/10/2018,27.17
130,07/09/2018,27.05395
131,07/06/2018,26.82
132,07/05/2018,26.64
133,07/03/2018,26.52
134,07/02/2018,26.235
135,06/29/2018,26.6
136,06/28/2018,26.065
137,06/27/2018,26.450000000000003
138,06/26/2018,26.770000000000003
139,06/25/2018,26.36
140,06/22/2018,26.8075
141,06/21/2018,27.35
142,06/20/2018,27.4025
143,06/19/2018,27.6
144,06/18/2018,27.795
145,06/15/2018,27.795
146,06/14/2018,27.78
147,06/13/2018,28.505000000000003
148,06/12/2018,29.020000000000003
149,06/11/2018,28.832700000000003
150,06/08/2018,28.54
151,06/07/2018,28.0
152,06/06/2018,27.66
153,06/05/2018,27.935000000000002
154,06/04/2018,27.98
155,06/01/2018,27.700000000000003
156,05/31/2018,27.985
157,05/30/2018,28.63
158,05/29/2018,28.64
159,05/25/2018,28.494999999999997
160,05/24/2018,28.265
161,05/23/2018,28.29
162,05/22/2018,28.195
163,05/21/2018,28.784999999999997
164,05/18/2018,28.36
165,05/17/2018,28.205
166,05/16/2018,27.82
167,05/15/2018,28.299999999999997
168,05/14/2018,29.64
169,05/11/2018,30.075
170,05/10/2018,30.240000000000002
171,05/09/2018,30.525
172,05/08/2018,30.935000000000002
173,05/07/2018,30.89
174,05/04/2018,30.605
175,05/03/2018,30.305
176,05/02/2018,30.5325
177,05/01/2018,30.5
178,04/30/2018,31.38
179,04/27/2018,31.555
180,04/26/2018,31.085
181,04/25/2018,30.515
182,04/24/2018,32.535
183,04/23/2018,32.395
184,04/20/2018,33.11
185,04/19/2018,33.32
186,04/18/2018,34.325
187,04/17/2018,33.724999999999994
188,04/16/2018,33.06
189,04/13/2018,32.53
190,04/12/2018,32.97005
191,04/11/2018,33.84
192,04/10/2018,33.9825
193,04/09/2018,33.45
