,Date,Avg
1,01/11/2019,5.65975
2,01/10/2019,5.72
3,01/09/2019,6.09
4,01/08/2019,6.18
5,01/07/2019,5.375
6,01/04/2019,5.550000000000001
7,01/03/2019,5.52435
8,01/02/2019,5.895
9,12/31/2018,5.779999999999999
10,12/28/2018,6.48
11,12/27/2018,7.0
12,12/26/2018,7.68
13,12/24/2018,9.665
14,12/21/2018,8.785
15,12/20/2018,7.13495
16,12/19/2018,5.625
17,12/18/2018,4.25
18,12/17/2018,2.79885
19,12/14/2018,2.795
20,12/13/2018,2.4753
21,12/12/2018,2.3007
22,12/11/2018,2.375
23,12/10/2018,2.6100000000000003
24,12/07/2018,2.85565
25,12/06/2018,2.85635
26,12/04/2018,2.73
27,12/03/2018,2.705
28,11/30/2018,2.79505
29,11/29/2018,2.545
30,11/28/2018,2.20505
31,11/27/2018,2.2455
32,11/26/2018,2.2662
33,11/23/2018,2.2661
34,11/21/2018,2.245
35,11/20/2018,2.25605
36,11/19/2018,2.325
37,11/16/2018,2.35005
38,11/15/2018,2.4886999999999997
39,11/14/2018,2.8556500000000002
40,11/13/2018,2.8200000000000003
41,11/12/2018,2.735
42,11/09/2018,2.46535
43,11/08/2018,2.5399000000000003
44,11/07/2018,2.3574
45,11/06/2018,2.34585
46,11/05/2018,2.375
47,11/02/2018,2.45
48,11/01/2018,2.48
49,10/31/2018,2.3775
50,10/30/2018,2.385
51,10/29/2018,2.4375
52,10/26/2018,2.755
53,10/25/2018,2.815
54,10/24/2018,2.83
55,10/23/2018,2.8925
56,10/22/2018,2.95
57,10/19/2018,3.02
58,10/18/2018,3.105
59,10/17/2018,3.2350000000000003
60,10/16/2018,3.2
61,10/15/2018,3.225
62,10/12/2018,3.205
63,10/11/2018,3.275
64,10/10/2018,3.325
65,10/09/2018,3.325
66,10/08/2018,3.315
67,10/05/2018,3.2649999999999997
68,10/04/2018,3.2683
69,10/03/2018,3.335
70,10/02/2018,3.3348500000000003
71,10/01/2018,3.33
72,09/28/2018,3.325
73,09/27/2018,3.3
74,09/26/2018,3.2
75,09/25/2018,3.2
76,09/24/2018,3.35
77,09/21/2018,3.375
78,09/20/2018,3.325
79,09/19/2018,3.4
80,09/18/2018,3.3475
81,09/17/2018,3.35
82,09/14/2018,3.5
83,09/13/2018,3.65
84,09/12/2018,3.2975000000000003
85,09/11/2018,3.2975000000000003
86,09/10/2018,3.31685
87,09/07/2018,3.425
88,09/06/2018,3.45
89,09/05/2018,3.4524999999999997
90,09/04/2018,3.5471
91,08/31/2018,3.3
92,08/30/2018,3.35
93,08/29/2018,3.4
94,08/28/2018,3.375
95,08/27/2018,3.64425
96,08/24/2018,3.575
97,08/23/2018,3.85
98,08/22/2018,3.8
99,08/21/2018,3.7750000000000004
100,08/20/2018,3.625
101,08/17/2018,3.675
102,08/16/2018,3.9762999999999997
103,08/15/2018,4.1
104,08/14/2018,4.0405
105,08/13/2018,4.225
106,08/10/2018,4.175
107,08/09/2018,4.8
108,08/08/2018,5.075
109,08/07/2018,5.325
110,08/06/2018,5.45
111,08/03/2018,5.425000000000001
112,08/02/2018,5.52
113,08/01/2018,5.575
114,07/31/2018,5.575
115,07/30/2018,5.6
116,07/27/2018,5.675
117,07/26/2018,5.49985
118,07/25/2018,5.449999999999999
119,07/24/2018,5.65
120,07/23/2018,5.52695
121,07/20/2018,5.7
122,07/19/2018,5.7299500000000005
123,07/18/2018,5.675
124,07/17/2018,5.65
125,07/16/2018,5.55
126,07/13/2018,5.55
127,07/12/2018,5.65
128,07/11/2018,5.6
129,07/10/2018,5.74185
130,07/09/2018,5.85
131,07/06/2018,5.8025
132,07/05/2018,5.574999999999999
133,07/03/2018,5.525
134,07/02/2018,5.675
135,06/29/2018,5.7524999999999995
136,06/28/2018,5.85
137,06/27/2018,5.94675
138,06/26/2018,5.8
139,06/25/2018,5.875
140,06/22/2018,6.0
141,06/21/2018,6.075
142,06/20/2018,6.0426
143,06/19/2018,5.949999999999999
144,06/18/2018,6.072100000000001
145,06/15/2018,5.962149999999999
146,06/14/2018,5.975
147,06/13/2018,6.0
148,06/12/2018,5.975
149,06/11/2018,5.85
150,06/08/2018,5.725
151,06/07/2018,5.925000000000001
152,06/06/2018,6.025
153,06/05/2018,6.025
154,06/04/2018,6.1
155,06/01/2018,6.068999999999999
156,05/31/2018,5.885
157,05/30/2018,5.915100000000001
158,05/29/2018,5.875
159,05/25/2018,5.925
160,05/24/2018,5.9725
161,05/23/2018,6.15
162,05/22/2018,6.1725
163,05/21/2018,6.199999999999999
164,05/18/2018,6.16805
165,05/17/2018,5.95
166,05/16/2018,5.975
167,05/15/2018,6.3344000000000005
168,05/14/2018,6.6811
169,05/11/2018,6.975
170,05/10/2018,7.8779
171,05/09/2018,8.125
172,05/08/2018,8.275
173,05/07/2018,8.225
174,05/04/2018,8.12215
175,05/03/2018,8.0694
176,05/02/2018,7.75
177,05/01/2018,7.443
178,04/30/2018,7.275
179,04/27/2018,7.449999999999999
180,04/26/2018,7.475
181,04/25/2018,7.375
182,04/24/2018,7.45
183,04/23/2018,7.550000000000001
184,04/20/2018,7.425000000000001
185,04/19/2018,7.475
186,04/18/2018,7.275
187,04/17/2018,6.975
188,04/16/2018,7.050000000000001
189,04/13/2018,6.75
190,04/12/2018,6.6
191,04/11/2018,6.5
192,04/10/2018,6.425
193,04/09/2018,6.7
194,04/06/2018,6.65
195,04/05/2018,6.76
196,04/04/2018,6.7686
197,04/03/2018,6.65
198,04/02/2018,6.85
199,03/29/2018,6.725
200,03/28/2018,6.65
201,03/27/2018,6.6
202,03/26/2018,6.75
203,03/23/2018,6.775
204,03/22/2018,7.025
205,03/21/2018,7.025
206,03/20/2018,7.05
207,03/19/2018,6.975
208,03/16/2018,6.96805
209,03/15/2018,7.1
210,03/14/2018,7.175000000000001
211,03/13/2018,7.2
212,03/12/2018,7.300000000000001
213,03/09/2018,7.1
214,03/08/2018,7.325
215,03/07/2018,7.425
216,03/06/2018,7.449999999999999
217,03/05/2018,7.5691500000000005
218,03/02/2018,7.52985
219,03/01/2018,7.775
220,02/28/2018,7.75
221,02/27/2018,7.7
222,02/26/2018,8.325
223,02/23/2018,8.0
224,02/22/2018,9.3179
225,02/21/2018,9.350000000000001
226,02/20/2018,9.274999999999999
227,02/16/2018,9.525
228,02/15/2018,9.2275
229,02/14/2018,8.85
230,02/13/2018,8.55
231,02/12/2018,8.7025
232,02/09/2018,8.850000000000001
233,02/08/2018,8.875
234,02/07/2018,8.975
235,02/06/2018,8.850000000000001
236,02/05/2018,8.6875
237,02/02/2018,9.075
