,Date,Avg
1,01/11/2019,41.754999999999995
2,01/10/2019,41.71
3,01/09/2019,41.61
4,01/08/2019,40.71
5,01/07/2019,39.42
6,01/04/2019,38.1725
7,01/03/2019,37.335
8,01/02/2019,37.105000000000004
9,12/31/2018,36.355000000000004
10,12/28/2018,36.8575
11,12/27/2018,35.64
12,12/26/2018,34.595
13,12/24/2018,34.45
14,12/21/2018,36.0275
15,12/20/2018,37.285
16,12/19/2018,37.715
17,12/18/2018,37.42
18,12/17/2018,36.980000000000004
19,12/14/2018,37.230000000000004
20,12/13/2018,37.34
21,12/12/2018,37.35
22,12/11/2018,37.21
23,12/10/2018,37.515
24,12/07/2018,38.435
25,12/06/2018,37.336
26,12/04/2018,37.495
27,12/03/2018,37.989999999999995
28,11/30/2018,38.17
29,11/29/2018,38.71
30,11/28/2018,37.95
31,11/27/2018,38.185
32,11/26/2018,38.334999999999994
33,11/23/2018,38.457499999999996
34,11/21/2018,38.385000000000005
35,11/20/2018,37.415
36,11/19/2018,37.230000000000004
37,11/16/2018,36.59
38,11/15/2018,35.97
39,11/14/2018,38.47
40,11/13/2018,38.115
41,11/12/2018,37.769999999999996
42,11/09/2018,38.455
43,11/08/2018,37.730000000000004
44,11/07/2018,38.2275
45,11/06/2018,38.15
46,11/05/2018,38.29
47,11/02/2018,37.81
48,11/01/2018,37.78
49,10/31/2018,36.92
50,10/30/2018,36.055
51,10/29/2018,35.79
52,10/26/2018,36.182500000000005
53,10/25/2018,34.7
54,10/24/2018,33.4825
55,10/23/2018,32.93000000000001
56,10/22/2018,33.045
57,10/19/2018,33.815
58,10/18/2018,34.8
59,10/17/2018,34.01
60,10/16/2018,35.605
61,10/15/2018,34.9325
62,10/12/2018,35.33
63,10/11/2018,36.185
64,10/10/2018,37.230000000000004
65,10/09/2018,37.650000000000006
66,10/08/2018,37.897499999999994
67,10/05/2018,37.55
68,10/04/2018,38.010000000000005
69,10/03/2018,39.25
70,10/02/2018,39.66
71,10/01/2018,39.7491
72,09/28/2018,40.3875
73,09/27/2018,40.725
74,09/26/2018,41.825
75,09/25/2018,41.925
76,09/24/2018,42.35
77,09/21/2018,42.900000000000006
78,09/20/2018,43.85
79,09/19/2018,44.7
80,09/18/2018,45.175
81,09/17/2018,45.125
82,09/14/2018,44.425
83,09/13/2018,43.65
84,09/12/2018,43.958600000000004
85,09/11/2018,43.400000000000006
86,09/10/2018,43.325
87,09/07/2018,42.8875
88,09/06/2018,43.95
89,09/05/2018,43.325
90,09/04/2018,43.0
91,08/31/2018,42.9
92,08/30/2018,42.925
93,08/29/2018,43.25
94,08/28/2018,43.55
95,08/27/2018,43.55
96,08/24/2018,43.30815
97,08/23/2018,43.4
98,08/22/2018,44.150000000000006
99,08/21/2018,43.4
100,08/20/2018,42.0875
101,08/17/2018,42.15
102,08/16/2018,42.2625
103,08/15/2018,41.525400000000005
104,08/14/2018,42.15
105,08/13/2018,42.475
106,08/10/2018,42.875
107,08/09/2018,43.35
108,08/08/2018,43.075
109,08/07/2018,43.275000000000006
110,08/06/2018,42.724999999999994
111,08/03/2018,42.95
112,08/02/2018,42.85
113,08/01/2018,42.8875
114,07/31/2018,42.75
115,07/30/2018,42.875
116,07/27/2018,42.525
117,07/26/2018,41.9
118,07/25/2018,41.650000000000006
119,07/24/2018,43.25
120,07/23/2018,44.3125
121,07/20/2018,45.5375
122,07/19/2018,46.3875
123,07/18/2018,46.175
124,07/17/2018,46.4625
125,07/16/2018,45.625
126,07/13/2018,46.075
127,07/12/2018,45.6
128,07/11/2018,45.975
129,07/10/2018,46.175
130,07/09/2018,45.974999999999994
131,07/06/2018,45.475
132,07/05/2018,45.0
133,07/03/2018,44.45
134,07/02/2018,43.7875
135,06/29/2018,43.6125
136,06/28/2018,42.475
137,06/27/2018,43.125
138,06/26/2018,43.925
139,06/25/2018,43.150000000000006
140,06/22/2018,43.525
141,06/21/2018,44.150000000000006
142,06/20/2018,43.9875
143,06/19/2018,44.5
144,06/18/2018,44.775
145,06/15/2018,45.625
146,06/14/2018,45.7
147,06/13/2018,46.849999999999994
148,06/12/2018,48.325
149,06/11/2018,48.25
150,06/08/2018,47.849999999999994
151,06/07/2018,46.7
152,06/06/2018,45.725
153,06/05/2018,45.95
154,06/04/2018,45.900000000000006
155,06/01/2018,45.5
156,05/31/2018,45.525
157,05/30/2018,46.375
158,05/29/2018,45.8025
159,05/25/2018,45.075
160,05/24/2018,44.45
161,05/23/2018,44.125
162,05/22/2018,44.325
163,05/21/2018,45.1875
164,05/18/2018,44.25
165,05/17/2018,43.15
166,05/16/2018,42.125
167,05/15/2018,42.8
168,05/14/2018,44.75
169,05/11/2018,44.425
170,05/10/2018,44.575
171,05/09/2018,45.25
172,05/08/2018,46.175
173,05/07/2018,46.225
174,05/04/2018,45.9875
175,05/03/2018,45.275000000000006
176,05/02/2018,45.05
177,05/01/2018,44.475
178,04/30/2018,45.5
179,04/27/2018,46.349999999999994
180,04/26/2018,45.0125
181,04/25/2018,43.075
182,04/24/2018,43.224999999999994
183,04/23/2018,43.0
184,04/20/2018,43.425
185,04/19/2018,44.375
186,04/18/2018,45.916
187,04/17/2018,45.599999999999994
188,04/16/2018,45.25
189,04/13/2018,44.7
190,04/12/2018,45.0125
191,04/11/2018,45.675
192,04/10/2018,45.7501
193,04/09/2018,45.675
194,04/06/2018,46.337500000000006
195,04/05/2018,46.575
196,04/04/2018,44.7625
197,04/03/2018,43.340450000000004
198,04/02/2018,43.625
199,03/29/2018,44.925
200,03/28/2018,45.025
201,03/27/2018,45.9
202,03/26/2018,45.5
203,03/23/2018,45.599999999999994
204,03/22/2018,45.849999999999994
205,03/21/2018,45.55
206,03/20/2018,45.1875
207,03/19/2018,44.6125
208,03/16/2018,44.75
209,03/15/2018,44.75
210,03/14/2018,45.85
211,03/13/2018,46.225
212,03/12/2018,45.474999999999994
213,03/09/2018,44.599999999999994
214,03/08/2018,44.349999999999994
215,03/07/2018,45.1
216,03/06/2018,44.0
217,03/05/2018,43.45
218,03/02/2018,43.1
219,03/01/2018,43.15925
220,02/28/2018,43.375
221,02/27/2018,45.53
222,02/26/2018,45.325
223,02/23/2018,45.4
224,02/22/2018,46.1125
225,02/21/2018,46.775
226,02/20/2018,46.55
227,02/16/2018,46.9
228,02/15/2018,46.45
229,02/14/2018,45.925
230,02/13/2018,45.25
231,02/12/2018,45.05
232,02/09/2018,44.8
233,02/08/2018,45.95
234,02/07/2018,47.6
235,02/06/2018,45.625
236,02/05/2018,46.900000000000006
237,02/02/2018,49.900000000000006
