,Date,Avg
1,01/11/2019,12.34235
2,01/10/2019,12.7606
3,01/09/2019,12.235
4,01/08/2019,12.32
5,01/07/2019,12.754999999999999
6,01/04/2019,12.29
7,01/03/2019,11.8851
8,01/02/2019,10.93975
9,12/31/2018,10.908249999999999
10,12/28/2018,11.20905
11,12/27/2018,11.3841
12,12/26/2018,11.21945
13,12/24/2018,11.1295
14,12/21/2018,11.1112
15,12/20/2018,11.875
16,12/19/2018,12.835
17,12/18/2018,12.9816
18,12/17/2018,13.129999999999999
19,12/14/2018,13.081949999999999
20,12/13/2018,13.18105
21,12/12/2018,13.055299999999999
22,12/11/2018,13.110999999999999
23,12/10/2018,13.129950000000001
24,12/07/2018,13.17495
25,12/06/2018,13.165
26,12/04/2018,13.173
27,12/03/2018,13.268550000000001
28,11/30/2018,13.1752
29,11/29/2018,13.1876
30,11/28/2018,13.2545
31,11/27/2018,13.275
32,11/26/2018,13.27445
33,11/23/2018,13.3735
34,11/21/2018,13.3272
35,11/20/2018,13.27685
36,11/19/2018,13.28975
37,11/16/2018,13.28185
38,11/15/2018,13.33
39,11/14/2018,13.335
40,11/13/2018,13.28645
41,11/12/2018,13.275
42,11/09/2018,13.2625
43,11/08/2018,13.315000000000001
44,11/07/2018,13.3903
45,11/06/2018,13.315750000000001
46,11/05/2018,13.3751
47,11/02/2018,13.370000000000001
48,11/01/2018,13.325
49,10/31/2018,13.287500000000001
50,10/30/2018,13.3973
51,10/29/2018,13.5
52,10/26/2018,13.477
53,10/25/2018,13.495
54,10/24/2018,13.524999999999999
55,10/23/2018,13.59555
56,10/22/2018,13.95
57,10/19/2018,13.7681
58,10/18/2018,13.754999999999999
59,10/17/2018,14.139949999999999
60,10/16/2018,14.125
61,10/15/2018,14.0533
62,10/12/2018,14.1249
63,10/11/2018,14.1495
64,10/10/2018,14.295
65,10/09/2018,14.2975
66,10/08/2018,14.37425
67,10/05/2018,14.376999999999999
68,10/04/2018,14.3675
69,10/03/2018,14.34
70,10/02/2018,14.2961
71,10/01/2018,14.287849999999999
72,09/28/2018,14.31
73,09/27/2018,14.255
74,09/26/2018,14.372499999999999
75,09/25/2018,14.375
76,09/24/2018,14.379999999999999
77,09/21/2018,14.399999999999999
78,09/20/2018,14.4
79,09/19/2018,14.2971
80,09/18/2018,14.275
81,09/17/2018,14.275
82,09/14/2018,14.275
