,Date,Avg
1,01/11/2019,5.24
2,01/10/2019,5.2125
3,01/09/2019,5.1425
4,01/08/2019,5.165
5,01/07/2019,5.095
6,01/04/2019,5.07
7,01/03/2019,4.91245
8,01/02/2019,4.885
9,12/31/2018,4.865
10,12/28/2018,4.845
11,12/27/2018,4.755000000000001
12,12/26/2018,4.73
13,12/24/2018,4.695
14,12/21/2018,4.859999999999999
15,12/20/2018,4.9025
16,12/19/2018,4.955
17,12/18/2018,5.0600000000000005
18,12/17/2018,5.075
19,12/14/2018,5.08
20,12/13/2018,5.15
21,12/12/2018,5.155
22,12/11/2018,5.165
23,12/10/2018,5.220000000000001
24,12/07/2018,5.265000000000001
25,12/06/2018,5.244999999999999
26,12/04/2018,5.33
27,12/03/2018,5.4725
28,11/30/2018,5.45
29,11/29/2018,5.49
30,11/28/2018,5.465
31,11/27/2018,5.5
32,11/26/2018,5.48
33,11/23/2018,5.465
34,11/21/2018,5.54
35,11/20/2018,5.5649999999999995
36,11/19/2018,5.609999999999999
37,11/16/2018,5.72
38,11/15/2018,5.711399999999999
39,11/14/2018,5.8975
40,11/13/2018,5.895
41,11/12/2018,5.87
42,11/09/2018,5.9745
43,11/08/2018,6.03
44,11/07/2018,6.015000000000001
45,11/06/2018,5.994999999999999
46,11/05/2018,6.0075
47,11/02/2018,6.025
48,11/01/2018,6.015000000000001
49,10/31/2018,6.029999999999999
50,10/30/2018,5.875
51,10/29/2018,5.82
52,10/26/2018,5.8575
53,10/25/2018,5.88
54,10/24/2018,5.8149999999999995
55,10/23/2018,5.925000000000001
56,10/22/2018,6.0875
57,10/19/2018,6.1025
58,10/18/2018,6.095000000000001
59,10/17/2018,6.135
60,10/16/2018,6.095
61,10/15/2018,6.02
62,10/12/2018,6.07
63,10/11/2018,6.125
64,10/10/2018,6.369999999999999
65,10/09/2018,6.395
66,10/08/2018,6.42
67,10/05/2018,6.41
68,10/04/2018,6.359999999999999
69,10/03/2018,6.22285
70,10/02/2018,6.24
71,10/01/2018,6.27
72,09/28/2018,6.21
73,09/27/2018,6.285
74,09/26/2018,6.365
75,09/25/2018,6.395
76,09/24/2018,6.36
77,09/21/2018,6.3975
78,09/20/2018,6.390000000000001
79,09/19/2018,6.285
80,09/18/2018,6.2
81,09/17/2018,6.1
82,09/14/2018,6.07
83,09/13/2018,6.045
84,09/12/2018,6.0
85,09/11/2018,6.009
86,09/10/2018,6.029999999999999
87,09/07/2018,5.984999999999999
88,09/06/2018,6.015000000000001
89,09/05/2018,5.994999999999999
90,09/04/2018,6.0175
91,08/31/2018,6.015000000000001
92,08/30/2018,6.08
93,08/29/2018,6.15
94,08/28/2018,6.085
95,08/27/2018,6.085
96,08/24/2018,6.035
97,08/23/2018,6.04
98,08/22/2018,6.074999999999999
99,08/21/2018,6.105
100,08/20/2018,6.075
101,08/17/2018,5.97
102,08/16/2018,5.9399999999999995
103,08/15/2018,5.824999999999999
104,08/14/2018,5.875
105,08/13/2018,5.9
106,08/10/2018,5.9765999999999995
107,08/09/2018,6.075
108,08/08/2018,6.1025
109,08/07/2018,6.08
110,08/06/2018,6.08
111,08/03/2018,6.19
112,08/02/2018,6.285
113,08/01/2018,6.29
114,07/31/2018,6.1875
115,07/30/2018,6.32
116,07/27/2018,6.21
117,07/26/2018,6.192500000000001
118,07/25/2018,6.18
119,07/24/2018,6.234999999999999
120,07/23/2018,6.17
121,07/20/2018,5.915
122,07/19/2018,5.85
123,07/18/2018,5.79
124,07/17/2018,5.78
125,07/16/2018,5.6850000000000005
126,07/13/2018,5.65
127,07/12/2018,5.654999999999999
128,07/11/2018,5.665
129,07/10/2018,5.73
130,07/09/2018,5.765000000000001
131,07/06/2018,5.57
132,07/05/2018,5.555
133,07/03/2018,5.575
134,07/02/2018,5.54
135,06/29/2018,5.675
136,06/28/2018,5.675000000000001
137,06/27/2018,5.72
138,06/26/2018,5.695
139,06/25/2018,5.645
140,06/22/2018,5.665
141,06/21/2018,5.58
142,06/20/2018,5.745
143,06/19/2018,5.8
144,06/18/2018,5.85
145,06/15/2018,5.915
146,06/14/2018,6.0649999999999995
147,06/13/2018,6.09
148,06/12/2018,6.13
149,06/11/2018,6.195
150,06/08/2018,6.175
151,06/07/2018,6.22495
152,06/06/2018,6.1625
153,06/05/2018,6.195
154,06/04/2018,6.245
155,06/01/2018,6.11
156,05/31/2018,6.0
157,05/30/2018,6.0885
158,05/29/2018,6.15
159,05/25/2018,6.25
160,05/24/2018,6.33
161,05/23/2018,6.375
162,05/22/2018,6.45
163,05/21/2018,6.460000000000001
164,05/18/2018,6.495
165,05/17/2018,6.57
166,05/16/2018,6.525
167,05/15/2018,6.615
168,05/14/2018,6.65
169,05/11/2018,6.625
170,05/10/2018,6.5649999999999995
171,05/09/2018,6.545
172,05/08/2018,6.535
173,05/07/2018,6.505000000000001
174,05/04/2018,6.57
175,05/03/2018,6.45
176,05/02/2018,6.494999999999999
177,05/01/2018,6.5
178,04/30/2018,6.7075
179,04/27/2018,6.7
180,04/26/2018,6.797499999999999
181,04/25/2018,6.83
182,04/24/2018,6.81
183,04/23/2018,6.74
184,04/20/2018,6.63
185,04/19/2018,6.605
186,04/18/2018,6.545
187,04/17/2018,6.574999999999999
188,04/16/2018,6.65
189,04/13/2018,6.645
190,04/12/2018,6.592499999999999
191,04/11/2018,6.635
192,04/10/2018,6.609999999999999
193,04/09/2018,6.547499999999999
194,04/06/2018,6.484999999999999
195,04/05/2018,6.6
196,04/04/2018,6.43
197,04/03/2018,6.55755
198,04/02/2018,6.485
199,03/29/2018,6.6125
200,03/28/2018,6.609999999999999
201,03/27/2018,6.6425
202,03/26/2018,6.5875
203,03/23/2018,6.53
204,03/22/2018,6.615
205,03/21/2018,6.709099999999999
206,03/20/2018,6.71
207,03/19/2018,6.66
208,03/16/2018,6.795
209,03/15/2018,6.8258
210,03/14/2018,6.859999999999999
211,03/13/2018,6.885
212,03/12/2018,6.875
213,03/09/2018,6.83
214,03/08/2018,6.8431
215,03/07/2018,6.8225
216,03/06/2018,6.97
217,03/05/2018,6.925
218,03/02/2018,6.890000000000001
219,03/01/2018,6.9175
220,02/28/2018,7.15
221,02/27/2018,7.23
222,02/26/2018,7.225
223,02/23/2018,7.2075
224,02/22/2018,7.205
225,02/21/2018,7.21
226,02/20/2018,7.3575
227,02/16/2018,7.395
228,02/15/2018,7.3025
229,02/14/2018,7.18
230,02/13/2018,7.095000000000001
231,02/12/2018,7.2650500000000005
232,02/09/2018,7.1
233,02/08/2018,7.215
234,02/07/2018,7.4075
235,02/06/2018,7.36
236,02/05/2018,7.3100000000000005
237,02/02/2018,7.665
238,02/01/2018,7.8125
239,01/31/2018,7.615
240,01/30/2018,7.685499999999999
241,01/29/2018,7.7675
242,01/26/2018,7.74
243,01/25/2018,7.835
244,01/24/2018,7.9350000000000005
245,01/23/2018,7.99005
246,01/22/2018,7.975
247,01/19/2018,7.98
248,01/18/2018,7.9
249,01/17/2018,7.99
250,01/16/2018,8.07
251,01/12/2018,7.91
252,01/11/2018,7.895
253,01/10/2018,7.7775
254,01/09/2018,7.67
255,01/08/2018,7.645
256,01/05/2018,7.62
257,01/04/2018,7.55
258,01/03/2018,7.390000000000001
259,01/02/2018,7.31
260,12/29/2017,7.305
261,12/28/2017,7.265000000000001
262,12/27/2017,7.355
263,12/26/2017,7.375
264,12/22/2017,7.4350000000000005
265,12/21/2017,7.34
266,12/20/2017,7.3675
267,12/19/2017,7.245
268,12/18/2017,7.305
269,12/15/2017,7.17
270,12/14/2017,7.1850000000000005
271,12/13/2017,7.305
272,12/12/2017,7.1899999999999995
273,12/11/2017,7.015000000000001
274,12/08/2017,6.945
275,12/07/2017,6.9350000000000005
276,12/06/2017,6.994999999999999
277,12/05/2017,7.095000000000001
278,12/04/2017,7.115
279,12/01/2017,7.029999999999999
280,11/30/2017,7.1125
281,11/29/2017,7.074999999999999
282,11/28/2017,6.9225
283,11/27/2017,6.84
284,11/24/2017,6.845000000000001
285,11/22/2017,6.775
286,11/21/2017,6.635
287,11/20/2017,6.5649999999999995
288,11/17/2017,6.58
289,11/16/2017,6.5625
290,11/15/2017,6.484999999999999
291,11/14/2017,6.640000000000001
292,11/13/2017,6.495
293,11/10/2017,6.529999999999999
294,11/09/2017,6.555
295,11/08/2017,6.6899999999999995
296,11/07/2017,6.70495
297,11/06/2017,6.7075
298,11/03/2017,6.800000000000001
299,11/02/2017,6.795
300,11/01/2017,6.8025
301,10/31/2017,6.783
302,10/30/2017,6.855
303,10/27/2017,6.925000000000001
304,10/26/2017,6.775
305,10/25/2017,6.7
306,10/24/2017,6.625
307,10/23/2017,6.53
308,10/20/2017,6.487500000000001
309,10/19/2017,6.455
310,10/18/2017,6.475
311,10/17/2017,6.494999999999999
312,10/16/2017,6.55
313,10/13/2017,6.455
314,10/12/2017,6.415
315,10/11/2017,6.4925
316,10/10/2017,6.46
317,10/09/2017,6.484999999999999
318,10/06/2017,6.48
319,10/05/2017,6.3633
