,Date,Avg
1,01/11/2019,10.668050000000001
2,01/10/2019,11.025
3,01/09/2019,11.024999999999999
4,01/08/2019,11.059999999999999
5,01/07/2019,10.594999999999999
6,01/04/2019,10.351949999999999
7,01/03/2019,9.985
8,01/02/2019,9.665
9,12/31/2018,9.559999999999999
10,12/28/2018,9.20875
11,12/27/2018,9.184999999999999
12,12/26/2018,9.11
13,12/24/2018,9.105
14,12/21/2018,9.345
15,12/20/2018,9.395150000000001
16,12/19/2018,9.82
17,12/18/2018,9.809999999999999
18,12/17/2018,10.0475
19,12/14/2018,10.2975
20,12/13/2018,10.035
21,12/12/2018,9.745
22,12/11/2018,9.92
23,12/10/2018,9.95
24,12/07/2018,9.975000000000001
25,12/06/2018,9.475
26,12/04/2018,9.595
27,12/03/2018,9.6335
28,11/30/2018,9.485
29,11/29/2018,9.615
30,11/28/2018,9.5323
31,11/27/2018,9.695
32,11/26/2018,9.725249999999999
33,11/23/2018,9.465
34,11/21/2018,9.605
35,11/20/2018,9.365
36,11/19/2018,9.695
37,11/16/2018,9.485
38,11/15/2018,9.48
39,11/14/2018,9.612449999999999
40,11/13/2018,9.969999999999999
41,11/12/2018,10.275
42,11/09/2018,10.233450000000001
43,11/08/2018,10.745000000000001
44,11/07/2018,11.215
45,11/06/2018,10.285
46,11/05/2018,10.175
47,11/02/2018,9.879999999999999
48,11/01/2018,9.57
49,10/31/2018,9.705
50,10/30/2018,9.625
51,10/29/2018,9.715
52,10/26/2018,10.0975
53,10/25/2018,10.62535
54,10/24/2018,11.030000000000001
55,10/23/2018,11.370000000000001
56,10/22/2018,11.65
57,10/19/2018,11.54
58,10/18/2018,11.665
59,10/17/2018,11.8825
60,10/16/2018,12.02
61,10/15/2018,11.694949999999999
62,10/12/2018,11.465
63,10/11/2018,11.525
64,10/10/2018,11.4825
65,10/09/2018,11.225
66,10/08/2018,11.215
67,10/05/2018,11.175
68,10/04/2018,11.44
69,10/03/2018,11.655000000000001
70,10/02/2018,11.629999999999999
71,10/01/2018,11.58
72,09/28/2018,11.125
73,09/27/2018,10.745000000000001
74,09/26/2018,10.774999999999999
75,09/25/2018,11.025
76,09/24/2018,11.123
77,09/21/2018,11.25
78,09/20/2018,11.375
79,09/19/2018,11.537500000000001
80,09/18/2018,11.725
81,09/17/2018,11.649999999999999
82,09/14/2018,11.125
83,09/13/2018,11.175
84,09/12/2018,11.5475
85,09/11/2018,11.6875
86,09/10/2018,11.6875
87,09/07/2018,11.4025
88,09/06/2018,11.5
89,09/05/2018,11.65
90,09/04/2018,11.45
91,08/31/2018,11.5375
92,08/30/2018,11.899999999999999
93,08/29/2018,12.175
94,08/28/2018,12.275
95,08/27/2018,12.375
96,08/24/2018,12.65
97,08/23/2018,12.8
98,08/22/2018,12.962499999999999
99,08/21/2018,13.1125
100,08/20/2018,13.125
101,08/17/2018,13.0875
102,08/16/2018,12.9
103,08/15/2018,12.9
104,08/14/2018,13.175
105,08/13/2018,12.975
106,08/10/2018,13.0
107,08/09/2018,12.675
108,08/08/2018,12.375
109,08/07/2018,12.2
110,08/06/2018,12.9275
111,08/03/2018,12.8
112,08/02/2018,12.725
113,08/01/2018,12.4875
114,07/31/2018,12.1875
115,07/30/2018,12.075
116,07/27/2018,12.3
117,07/26/2018,12.62
118,07/25/2018,12.399999999999999
119,07/24/2018,12.3
120,07/23/2018,12.212499999999999
121,07/20/2018,12.55
122,07/19/2018,12.7
123,07/18/2018,12.3
124,07/17/2018,12.2
125,07/16/2018,12.275
126,07/13/2018,12.5
127,07/12/2018,12.225
128,07/11/2018,12.176549999999999
129,07/10/2018,12.375
130,07/09/2018,12.475000000000001
131,07/06/2018,12.475
132,07/05/2018,12.375
133,07/03/2018,12.5
134,07/02/2018,12.475
135,06/29/2018,12.525
136,06/28/2018,12.4
137,06/27/2018,12.8725
138,06/26/2018,12.775
139,06/25/2018,12.75
