,Date,Avg
1,01/09/2019,24.814999999999998
2,01/08/2019,24.86495
3,01/07/2019,24.84
4,01/04/2019,24.80005
5,01/03/2019,24.795
6,01/02/2019,24.775
7,12/31/2018,24.7155
8,12/28/2018,24.7875
9,12/27/2018,24.34
10,12/26/2018,24.36
11,12/24/2018,24.22
12,12/21/2018,24.229999999999997
13,12/20/2018,24.244999999999997
14,12/19/2018,24.455
15,12/18/2018,24.425
16,12/17/2018,24.494999999999997
17,12/14/2018,24.625
18,12/13/2018,24.634999999999998
19,12/12/2018,24.715
20,12/11/2018,24.732
21,12/10/2018,24.775
22,12/07/2018,24.79635
23,12/06/2018,24.814999999999998
24,12/04/2018,24.865000000000002
25,12/03/2018,24.92
26,11/30/2018,24.884999999999998
27,11/29/2018,25.37075
28,11/28/2018,25.395000000000003
29,11/27/2018,25.365000000000002
30,11/26/2018,25.424999999999997
31,11/23/2018,25.412950000000002
32,11/21/2018,25.365000000000002
33,11/20/2018,25.36
34,11/19/2018,25.395000000000003
35,11/16/2018,25.395
36,11/15/2018,25.395
37,11/14/2018,25.3793
38,11/13/2018,25.33
39,11/12/2018,25.3504
40,11/09/2018,25.367
41,11/08/2018,25.355
42,11/07/2018,25.244999999999997
43,11/06/2018,25.16
44,11/05/2018,25.14
45,11/02/2018,25.122999999999998
46,11/01/2018,25.15
47,10/31/2018,25.11985
48,10/30/2018,25.1
49,10/29/2018,25.1
50,10/26/2018,25.1282
51,10/25/2018,25.1
52,10/24/2018,25.10585
53,10/23/2018,25.098950000000002
54,10/22/2018,25.16
55,10/19/2018,25.119999999999997
56,10/18/2018,25.0503
57,10/17/2018,25.035
58,10/16/2018,25.02
59,10/15/2018,24.9919
60,10/12/2018,24.965
61,10/11/2018,25.035
62,10/10/2018,25.04
63,10/09/2018,25.1
64,10/08/2018,25.16265
65,10/05/2018,25.1715
66,10/04/2018,25.16305
67,10/03/2018,25.303150000000002
68,10/02/2018,25.42
69,10/01/2018,25.51995
70,09/28/2018,25.515
71,09/27/2018,25.49345
72,09/26/2018,25.48
73,09/25/2018,25.47785
74,09/24/2018,25.494950000000003
75,09/21/2018,25.525
76,09/20/2018,25.445
77,09/19/2018,25.405
78,09/18/2018,25.383850000000002
79,09/17/2018,25.33
80,09/14/2018,25.35
81,09/13/2018,25.4405
82,09/12/2018,25.53
83,09/11/2018,25.5352
84,09/10/2018,25.5447
85,09/07/2018,25.575
86,09/06/2018,25.64
87,09/05/2018,25.63845
88,09/04/2018,25.68
89,08/31/2018,25.695
90,08/30/2018,26.035
91,08/29/2018,26.07355
92,08/28/2018,26.04
93,08/27/2018,25.975
94,08/24/2018,25.935049999999997
95,08/23/2018,25.93415
96,08/22/2018,25.875
97,08/21/2018,25.85
98,08/20/2018,25.845
99,08/17/2018,25.72
100,08/16/2018,25.715
101,08/15/2018,25.685000000000002
102,08/14/2018,25.6645
103,08/13/2018,25.655
104,08/10/2018,25.58
105,08/09/2018,25.59
106,08/08/2018,25.56295
107,08/07/2018,25.52175
108,08/06/2018,25.57
109,08/03/2018,25.61875
110,08/02/2018,25.575
111,08/01/2018,25.5
112,07/31/2018,25.5
113,07/30/2018,25.57
114,07/27/2018,25.615000000000002
115,07/26/2018,25.565
116,07/25/2018,25.61
117,07/24/2018,25.595
118,07/23/2018,25.66465
119,07/20/2018,25.685000000000002
120,07/19/2018,25.520000000000003
121,07/18/2018,25.49995
122,07/17/2018,25.465
123,07/16/2018,25.5
124,07/13/2018,25.535
125,07/12/2018,25.619999999999997
126,07/11/2018,25.6179
127,07/10/2018,25.535
128,07/09/2018,25.56995
129,07/06/2018,25.51005
130,07/05/2018,25.425
131,07/03/2018,25.4
132,07/02/2018,25.395049999999998
133,06/29/2018,25.359949999999998
134,06/28/2018,25.25
135,06/27/2018,25.2245
136,06/26/2018,25.21
137,06/25/2018,25.195
138,06/22/2018,25.174999999999997
139,06/21/2018,25.174999999999997
140,06/20/2018,25.189
141,06/19/2018,25.18
142,06/18/2018,25.225
143,06/15/2018,25.200000000000003
144,06/14/2018,25.206500000000002
145,06/13/2018,25.225
146,06/12/2018,25.225
147,06/11/2018,25.2728
148,06/08/2018,25.3816
149,06/07/2018,25.36
150,06/06/2018,25.325
151,06/05/2018,25.295
152,06/04/2018,25.240000000000002
153,06/01/2018,25.15
154,05/31/2018,25.0995
155,05/30/2018,25.44495
156,05/29/2018,25.47
157,05/25/2018,25.445
