,Date,Avg
1,01/11/2019,3.9
2,01/10/2019,3.73
3,01/09/2019,3.8
4,01/08/2019,3.915
5,01/07/2019,3.8913
6,01/04/2019,3.6900000000000004
7,01/03/2019,3.3968
8,01/02/2019,3.23
9,12/31/2018,3.16
10,12/28/2018,3.1974
11,12/27/2018,3.045
12,12/26/2018,3.2199999999999998
13,12/24/2018,3.4450000000000003
14,12/21/2018,2.995
15,12/20/2018,3.33885
16,12/19/2018,3.56
17,12/18/2018,3.495
18,12/17/2018,3.6483499999999998
19,12/14/2018,3.575
20,12/13/2018,3.89
21,12/12/2018,4.085
22,12/11/2018,3.9837499999999997
23,12/10/2018,3.95
24,12/07/2018,4.095000000000001
25,12/06/2018,3.70505
26,12/04/2018,3.97135
27,12/03/2018,4.88
28,11/30/2018,5.1596
29,11/29/2018,5.68
30,11/28/2018,6.529999999999999
31,11/27/2018,6.8107500000000005
32,11/26/2018,7.38
33,11/23/2018,7.9
34,11/21/2018,8.19935
35,11/20/2018,8.51
36,11/19/2018,8.585
37,11/16/2018,9.2
38,11/15/2018,9.8
39,11/14/2018,9.8
40,11/13/2018,9.75
41,11/12/2018,9.774999999999999
42,11/09/2018,9.846499999999999
43,11/08/2018,9.95
44,11/07/2018,10.21
45,11/06/2018,10.12
46,11/05/2018,10.19
47,11/02/2018,9.85
48,11/01/2018,9.43
49,10/31/2018,8.530000000000001
50,10/30/2018,8.594999999999999
51,10/29/2018,8.455
52,10/26/2018,8.3
53,10/25/2018,8.870000000000001
54,10/24/2018,9.14
55,10/23/2018,9.41
56,10/22/2018,9.365
57,10/19/2018,8.675
58,10/18/2018,8.796399999999998
59,10/17/2018,8.59
60,10/16/2018,8.5175
61,10/15/2018,8.60715
62,10/12/2018,8.715
63,10/11/2018,8.7482
64,10/10/2018,9.669550000000001
65,10/09/2018,9.66855
66,10/08/2018,9.875
67,10/05/2018,10.125
68,10/04/2018,10.50345
69,10/03/2018,10.575
70,10/02/2018,10.815
71,10/01/2018,11.21
72,09/28/2018,11.21
73,09/27/2018,10.735
74,09/26/2018,11.03375
75,09/25/2018,11.23625
76,09/24/2018,11.375
77,09/21/2018,11.21865
78,09/20/2018,11.059999999999999
79,09/19/2018,11.5
80,09/18/2018,10.985
81,09/17/2018,11.120000000000001
82,09/14/2018,11.4043
83,09/13/2018,11.58
84,09/12/2018,11.370000000000001
85,09/11/2018,11.285
86,09/10/2018,11.89
87,09/07/2018,11.695
88,09/06/2018,11.9499
89,09/05/2018,11.94995
90,09/04/2018,11.535
91,08/31/2018,11.36515
92,08/30/2018,12.5656
93,08/29/2018,13.2575
94,08/28/2018,13.149999999999999
95,08/27/2018,13.34
96,08/24/2018,13.2758
97,08/23/2018,13.105
98,08/22/2018,13.1723
99,08/21/2018,13.3915
100,08/20/2018,13.46705
101,08/17/2018,13.1644
102,08/16/2018,13.275
103,08/15/2018,13.315
104,08/14/2018,13.575
105,08/13/2018,14.24125
106,08/10/2018,14.49
107,08/09/2018,14.4291
108,08/08/2018,14.46455
109,08/07/2018,14.135
110,08/06/2018,14.075
111,08/03/2018,14.5366
112,08/02/2018,14.79
113,08/01/2018,14.6375
114,07/31/2018,14.54
115,07/30/2018,14.7125
116,07/27/2018,15.0
117,07/26/2018,14.0
118,07/25/2018,13.0
119,07/24/2018,13.026
120,07/23/2018,13.0775
121,07/20/2018,13.2509
122,07/19/2018,13.1491
123,07/18/2018,13.0215
124,07/17/2018,13.05
125,07/16/2018,13.073
126,07/13/2018,13.0
127,07/12/2018,13.0189
128,07/11/2018,12.88005
129,07/10/2018,12.895
130,07/09/2018,12.97825
131,07/06/2018,13.1168
132,07/05/2018,13.2976
133,07/03/2018,12.6132
134,07/02/2018,12.6132
135,06/29/2018,12.6132
136,06/28/2018,12.6066
137,06/27/2018,12.80745
138,06/26/2018,12.95225
139,06/25/2018,12.995000000000001
140,06/22/2018,12.27
141,06/21/2018,12.61
142,06/20/2018,12.965
143,06/19/2018,13.175
144,06/18/2018,13.365
145,06/15/2018,12.74
146,06/14/2018,12.37235
147,06/13/2018,12.04515
148,06/12/2018,12.4479
149,06/11/2018,12.399999999999999
150,06/08/2018,12.33015
151,06/07/2018,12.44
152,06/06/2018,12.1025
153,06/05/2018,11.283349999999999
154,06/04/2018,10.98015
155,06/01/2018,11.16515
156,05/31/2018,11.16
157,05/30/2018,10.71665
158,05/29/2018,10.79225
159,05/25/2018,11.22
160,05/24/2018,11.39
161,05/23/2018,11.4
162,05/22/2018,11.4
163,05/21/2018,11.4
164,05/18/2018,11.280000000000001
165,05/17/2018,11.175
166,05/16/2018,11.325
167,05/15/2018,11.99
168,05/14/2018,11.99
169,05/11/2018,11.83
170,05/10/2018,11.45
171,05/09/2018,11.3625
172,05/08/2018,11.36
173,05/07/2018,11.36
174,05/04/2018,11.46085
175,05/03/2018,11.8
176,05/02/2018,11.74
177,05/01/2018,10.879999999999999
178,04/30/2018,11.455
179,04/27/2018,11.659949999999998
180,04/26/2018,12.3925
181,04/25/2018,11.773399999999999
182,04/24/2018,12.4351
183,04/23/2018,12.58315
184,04/20/2018,13.805
185,04/19/2018,13.2425
186,04/18/2018,13.4998
187,04/17/2018,12.497
188,04/16/2018,11.55765
189,04/13/2018,11.745000000000001
190,04/12/2018,11.646799999999999
191,04/11/2018,12.45
192,04/10/2018,11.73485
193,04/09/2018,11.2217
194,04/06/2018,11.9
195,04/05/2018,11.489999999999998
196,04/04/2018,11.0505
197,04/03/2018,11.002749999999999
198,04/02/2018,11.975
199,03/29/2018,12.59
200,03/28/2018,13.315000000000001
201,03/27/2018,13.15
202,03/26/2018,13.4525
203,03/23/2018,14.331
204,03/22/2018,14.532250000000001
205,03/21/2018,14.565
206,03/20/2018,14.97
207,03/19/2018,14.785
208,03/16/2018,14.485
209,03/15/2018,14.05
210,03/14/2018,13.3468
211,03/13/2018,13.27235
212,03/12/2018,13.370000000000001
213,03/09/2018,13.43
214,03/08/2018,13.86
215,03/07/2018,13.83
216,03/06/2018,13.8362
217,03/05/2018,13.690000000000001
218,03/02/2018,14.389600000000002
219,03/01/2018,14.508500000000002
220,02/28/2018,14.7
221,02/27/2018,14.959
222,02/26/2018,14.99
223,02/23/2018,15.2
224,02/22/2018,15.07575
225,02/21/2018,14.85
226,02/20/2018,15.132100000000001
227,02/16/2018,14.75
228,02/15/2018,15.065
229,02/14/2018,14.809999999999999
230,02/13/2018,15.01075
231,02/12/2018,15.0281
232,02/09/2018,14.780000000000001
233,02/08/2018,14.92175
234,02/07/2018,15.26995
235,02/06/2018,14.58
236,02/05/2018,15.125
237,02/02/2018,15.31
238,02/01/2018,15.424949999999999
239,01/31/2018,15.5764
240,01/30/2018,15.5764
241,01/29/2018,15.5182
242,01/26/2018,15.39
243,01/25/2018,15.8
244,01/24/2018,15.8
245,01/23/2018,16.0
246,01/22/2018,15.455
247,01/19/2018,15.347000000000001
248,01/18/2018,15.82
249,01/17/2018,16.05
250,01/16/2018,17.1853
251,01/12/2018,16.942500000000003
252,01/11/2018,17.112499999999997
253,01/10/2018,17.15
254,01/09/2018,17.31
255,01/08/2018,17.11
256,01/05/2018,16.835
257,01/04/2018,16.572499999999998
258,01/03/2018,16.325
259,01/02/2018,16.6787
260,12/29/2017,15.95495
261,12/28/2017,15.504999999999999
262,12/27/2017,15.85
263,12/26/2017,15.95
264,12/22/2017,16.04
265,12/21/2017,16.085
266,12/20/2017,15.715
267,12/19/2017,16.3
268,12/18/2017,15.965
269,12/15/2017,15.86505
270,12/14/2017,15.3225
271,12/13/2017,15.675
272,12/12/2017,15.554649999999999
273,12/11/2017,15.8325
274,12/08/2017,15.75
275,12/07/2017,16.125
276,12/06/2017,15.60005
277,12/05/2017,15.745000000000001
278,12/04/2017,16.165
279,12/01/2017,15.90005
280,11/30/2017,15.825
281,11/29/2017,16.02505
282,11/28/2017,15.905000000000001
283,11/27/2017,16.29
284,11/24/2017,16.23
285,11/22/2017,16.23
286,11/21/2017,16.065
287,11/20/2017,16.415
288,11/17/2017,16.22
289,11/16/2017,16.14
290,11/15/2017,15.705
291,11/14/2017,16.34
292,11/13/2017,16.825
293,11/10/2017,17.015
294,11/09/2017,17.96
295,11/08/2017,18.0595
296,11/07/2017,18.915
297,11/06/2017,17.84
298,11/03/2017,16.9572
299,11/02/2017,16.65505
300,11/01/2017,16.79
301,10/31/2017,16.79
302,10/30/2017,16.77505
303,10/27/2017,16.6086
304,10/26/2017,16.6086
305,10/25/2017,16.9743
306,10/24/2017,16.7
307,10/23/2017,16.18
308,10/20/2017,16.15
309,10/19/2017,15.785
310,10/18/2017,15.495000000000001
311,10/17/2017,14.681249999999999
312,10/16/2017,15.575
313,10/13/2017,15.295
314,10/12/2017,15.39
315,10/11/2017,15.39
316,10/10/2017,15.195
317,10/09/2017,15.120000000000001
318,10/06/2017,15.105
319,10/05/2017,15.615
320,10/04/2017,15.535
321,10/03/2017,16.0164
322,10/02/2017,16.06
323,09/29/2017,15.879999999999999
324,09/28/2017,15.92
325,09/27/2017,16.1
326,09/26/2017,16.1
327,09/25/2017,16.185000000000002
328,09/22/2017,16.07
329,09/21/2017,16.16
330,09/20/2017,16.15
331,09/19/2017,16.365000000000002
332,09/18/2017,16.05
333,09/15/2017,16.125
334,09/14/2017,16.05
335,09/13/2017,16.25
336,09/12/2017,16.755000000000003
337,09/11/2017,17.11
338,09/08/2017,17.06
339,09/07/2017,16.805
340,09/06/2017,16.695
341,09/05/2017,16.43
342,09/01/2017,17.53
343,08/31/2017,17.53
344,08/30/2017,17.255000000000003
345,08/29/2017,16.71
346,08/28/2017,16.83
347,08/25/2017,16.585
348,08/24/2017,16.4005
349,08/23/2017,16.499850000000002
350,08/22/2017,16.415
351,08/21/2017,16.40895
352,08/18/2017,16.1875
353,08/17/2017,16.685000000000002
354,08/16/2017,16.665
355,08/15/2017,16.645049999999998
356,08/14/2017,16.47
357,08/11/2017,16.085
358,08/10/2017,16.02195
359,08/09/2017,15.745000000000001
360,08/08/2017,15.74005
361,08/07/2017,15.4875
362,08/04/2017,14.8625
363,08/03/2017,14.745000000000001
364,08/02/2017,14.4025
365,08/01/2017,14.2
366,07/31/2017,13.76
367,07/28/2017,13.625
368,07/27/2017,13.75
369,07/26/2017,13.82
370,07/25/2017,14.12
371,07/24/2017,14.06385
372,07/21/2017,14.4
373,07/20/2017,14.4
374,07/19/2017,14.21
375,07/18/2017,14.21
376,07/17/2017,14.34505
377,07/14/2017,14.235
378,07/13/2017,14.280000000000001
379,07/12/2017,15.335
380,07/11/2017,15.213000000000001
381,07/10/2017,15.504999999999999
382,07/07/2017,15.565000000000001
383,07/06/2017,15.95
384,07/05/2017,15.485
385,07/03/2017,15.99
386,06/30/2017,15.73
387,06/29/2017,15.3225
388,06/28/2017,15.14
389,06/27/2017,15.69765
390,06/26/2017,15.745000000000001
391,06/23/2017,15.094999999999999
392,06/22/2017,14.75
393,06/21/2017,14.739999999999998
394,06/20/2017,15.23
395,06/19/2017,15.0
396,06/16/2017,15.325
397,06/15/2017,15.145
398,06/14/2017,15.245000000000001
399,06/13/2017,15.54
400,06/12/2017,15.96
401,06/09/2017,15.86
402,06/08/2017,15.5
403,06/07/2017,15.66
404,06/06/2017,15.06
405,06/05/2017,14.75
406,06/02/2017,15.75
407,06/01/2017,16.195
408,05/31/2017,17.49
409,05/30/2017,17.8
410,05/26/2017,17.95
411,05/25/2017,17.975
412,05/24/2017,18.165
413,05/23/2017,18.165
414,05/22/2017,17.89
415,05/19/2017,18.02
416,05/18/2017,18.05
417,05/17/2017,17.67
418,05/16/2017,17.86
419,05/15/2017,17.9274
420,05/12/2017,17.854999999999997
421,05/11/2017,17.66
422,05/10/2017,17.485
423,05/09/2017,17.575
424,05/08/2017,18.3
425,05/05/2017,17.76175
426,05/04/2017,17.59375
427,05/03/2017,17.64
428,05/02/2017,18.0075
429,05/01/2017,18.17
430,04/28/2017,17.53815
431,04/27/2017,17.3
432,04/26/2017,17.52
433,04/25/2017,17.505
434,04/24/2017,17.674999999999997
435,04/21/2017,18.325
436,04/20/2017,17.65
437,04/19/2017,17.25
438,04/18/2017,17.2206
439,04/17/2017,17.515
440,04/13/2017,17.6
441,04/12/2017,17.395
442,04/11/2017,17.35305
443,04/10/2017,17.645
444,04/07/2017,17.35
445,04/06/2017,17.005000000000003
446,04/05/2017,16.8675
447,04/04/2017,15.805
448,04/03/2017,15.67
449,03/31/2017,15.844999999999999
450,03/30/2017,15.7
451,03/29/2017,15.129999999999999
452,03/28/2017,14.535
453,03/27/2017,13.985
454,03/24/2017,14.295
455,03/23/2017,14.165
456,03/22/2017,13.76
457,03/21/2017,14.33
458,03/20/2017,12.325
459,03/17/2017,11.969999999999999
460,03/16/2017,12.05495
461,03/15/2017,11.975
462,03/14/2017,11.78375
463,03/13/2017,11.895
464,03/10/2017,11.5225
465,03/09/2017,11.450050000000001
466,03/08/2017,11.504999999999999
467,03/07/2017,11.434999999999999
468,03/06/2017,11.43505
469,03/03/2017,11.485
470,03/02/2017,11.327000000000002
471,03/01/2017,11.46
472,02/28/2017,11.45
473,02/27/2017,11.68
474,02/24/2017,11.405000000000001
475,02/23/2017,11.795
476,02/22/2017,11.91
477,02/21/2017,11.965
478,02/17/2017,11.57525
479,02/16/2017,11.97065
480,02/15/2017,12.370000000000001
481,02/14/2017,12.620000000000001
482,02/13/2017,12.35
483,02/10/2017,12.35
484,02/09/2017,12.11
485,02/08/2017,12.34925
486,02/07/2017,12.4925
487,02/06/2017,12.46
488,02/03/2017,12.445
489,02/02/2017,12.36
490,02/01/2017,12.67
491,01/31/2017,12.6785
492,01/30/2017,12.115
493,01/27/2017,12.684999999999999
494,01/26/2017,13.215
495,01/25/2017,13.465
496,01/24/2017,13.575050000000001
497,01/23/2017,13.46
498,01/20/2017,12.780000000000001
499,01/19/2017,12.07
500,01/18/2017,11.937000000000001
501,01/17/2017,11.465
502,01/13/2017,9.89
503,01/12/2017,9.435
504,01/11/2017,9.425
505,01/10/2017,9.286950000000001
506,01/09/2017,9.52
507,01/06/2017,9.83
508,01/05/2017,9.555
509,01/04/2017,8.8
510,01/03/2017,7.92
511,12/30/2016,7.535
512,12/29/2016,7.5222
513,12/28/2016,7.914999999999999
514,12/27/2016,8.05
515,12/23/2016,8.120000000000001
516,12/22/2016,7.50515
517,12/21/2016,6.575
518,12/20/2016,6.6616
519,12/19/2016,6.705
520,12/16/2016,6.765000000000001
521,12/15/2016,6.654999999999999
522,12/14/2016,6.3218
523,12/13/2016,6.295
524,12/12/2016,6.5649999999999995
525,12/09/2016,6.7187
526,12/08/2016,6.800000000000001
527,12/07/2016,6.914949999999999
528,12/06/2016,6.89105
529,12/05/2016,6.824999999999999
530,12/02/2016,6.77
531,12/01/2016,6.98
532,11/30/2016,6.8102
533,11/29/2016,6.945
534,11/28/2016,7.295
535,11/25/2016,7.68935
536,11/23/2016,7.890000000000001
537,11/22/2016,8.10005
538,11/21/2016,8.491800000000001
539,11/18/2016,8.66655
540,11/17/2016,9.085
541,11/16/2016,9.754999999999999
542,11/15/2016,7.485
543,11/14/2016,6.275
544,11/11/2016,6.03
545,11/10/2016,5.77
546,11/09/2016,5.8656500000000005
547,11/08/2016,6.125
548,11/07/2016,6.385
549,11/04/2016,6.585
550,11/03/2016,6.5
551,11/02/2016,6.765000000000001
552,11/01/2016,6.779999999999999
553,10/31/2016,6.0105
554,10/28/2016,6.35
555,10/27/2016,6.62
556,10/26/2016,6.775
557,10/25/2016,6.800000000000001
558,10/24/2016,6.79
559,10/21/2016,6.7806
560,10/20/2016,6.7305
561,10/19/2016,6.7677499999999995
562,10/18/2016,6.390000000000001
563,10/17/2016,5.125
564,10/14/2016,4.959
565,10/13/2016,4.935
566,10/12/2016,4.98
567,10/11/2016,5.09
568,10/10/2016,5.16
569,10/07/2016,5.175
570,10/06/2016,5.305
571,10/05/2016,5.305
572,10/04/2016,5.3019
573,10/03/2016,5.261
574,09/30/2016,5.375
575,09/29/2016,5.4
576,09/28/2016,5.324450000000001
577,09/27/2016,5.325
578,09/26/2016,5.488300000000001
579,09/23/2016,5.609999999999999
580,09/22/2016,5.325
581,09/21/2016,5.19875
582,09/20/2016,5.5869
583,09/19/2016,5.6
584,09/16/2016,5.366199999999999
585,09/15/2016,5.4399999999999995
586,09/14/2016,5.2884
587,09/13/2016,5.4399999999999995
588,09/12/2016,5.31005
589,09/09/2016,5.33
590,09/08/2016,5.17495
591,09/07/2016,5.2
592,09/06/2016,5.17
593,09/02/2016,5.475
594,09/01/2016,5.3
595,08/31/2016,5.27
596,08/30/2016,5.2
597,08/29/2016,5.220000000000001
598,08/26/2016,5.045
599,08/25/2016,5.135
600,08/24/2016,5.38
601,08/23/2016,5.505000000000001
602,08/22/2016,5.34005
603,08/19/2016,5.308
604,08/18/2016,5.43005
605,08/17/2016,5.32
606,08/16/2016,5.449999999999999
607,08/15/2016,5.22
608,08/12/2016,5.375
609,08/11/2016,5.565049999999999
610,08/10/2016,5.495
611,08/09/2016,5.73005
612,08/08/2016,5.845000000000001
613,08/05/2016,5.75
614,08/04/2016,5.625
615,08/03/2016,5.61855
616,08/02/2016,5.42
617,08/01/2016,5.5
618,07/29/2016,5.75005
