,Date,Avg
1,01/11/2019,23.2
2,01/10/2019,23.015
3,01/09/2019,22.905
4,01/08/2019,22.675
5,01/07/2019,22.275
6,01/04/2019,22.16
7,01/03/2019,21.955
8,01/02/2019,22.3
9,12/31/2018,22.1875
10,12/28/2018,21.965
11,12/27/2018,21.075000000000003
12,12/26/2018,20.810000000000002
13,12/24/2018,20.315
14,12/21/2018,20.375
15,12/20/2018,20.74
16,12/19/2018,21.285
17,12/18/2018,21.29
18,12/17/2018,22.02
19,12/14/2018,22.529400000000003
20,12/13/2018,22.755
21,12/12/2018,23.16
22,12/11/2018,22.755000000000003
23,12/10/2018,22.845
24,12/07/2018,23.509999999999998
25,12/06/2018,23.5
26,12/04/2018,24.689999999999998
27,12/03/2018,25.2
28,11/30/2018,24.89
29,11/29/2018,25.095
30,11/28/2018,24.75
31,11/27/2018,25.2375
32,11/26/2018,25.5475
33,11/23/2018,24.869999999999997
34,11/21/2018,24.53
35,11/20/2018,24.43
36,11/19/2018,24.560000000000002
37,11/16/2018,24.52
38,11/15/2018,24.625
39,11/14/2018,24.855
40,11/13/2018,24.560000000000002
41,11/12/2018,25.115000000000002
42,11/09/2018,26.025
43,11/08/2018,26.75
44,11/07/2018,26.55
45,11/06/2018,25.655
46,11/05/2018,25.515
47,11/02/2018,25.145
48,11/01/2018,24.65
49,10/31/2018,24.225
50,10/30/2018,23.965
51,10/29/2018,24.185000000000002
52,10/26/2018,24.1025
53,10/25/2018,23.05
54,10/24/2018,21.990000000000002
55,10/23/2018,22.604999999999997
56,10/22/2018,23.945
57,10/19/2018,24.630000000000003
58,10/18/2018,24.965
59,10/17/2018,25.5825
60,10/16/2018,24.939999999999998
61,10/15/2018,24.14
62,10/12/2018,24.4425
63,10/11/2018,25.125
64,10/10/2018,26.125
65,10/09/2018,26.814999999999998
66,10/08/2018,26.762500000000003
67,10/05/2018,27.005
68,10/04/2018,27.375
69,10/03/2018,26.78
70,10/02/2018,27.259999999999998
71,10/01/2018,27.6045
72,09/28/2018,27.0
73,09/27/2018,27.295
74,09/26/2018,28.035
75,09/25/2018,29.064999999999998
76,09/24/2018,29.125
77,09/21/2018,29.28
78,09/20/2018,29.215
79,09/19/2018,28.89
80,09/18/2018,28.525
81,09/17/2018,28.310000000000002
82,09/14/2018,28.259999999999998
83,09/13/2018,28.270000000000003
84,09/12/2018,28.060000000000002
85,09/11/2018,28.075
86,09/10/2018,28.50815
87,09/07/2018,28.12
88,09/06/2018,28.485
89,09/05/2018,28.167499999999997
90,09/04/2018,27.96
91,08/31/2018,27.89
92,08/30/2018,28.32505
93,08/29/2018,28.195
94,08/28/2018,28.32
95,08/27/2018,28.090000000000003
96,08/24/2018,27.990000000000002
97,08/23/2018,28.0574
98,08/22/2018,27.945
99,08/21/2018,27.685000000000002
100,08/20/2018,27.6025
101,08/17/2018,27.18
102,08/16/2018,27.1
103,08/15/2018,26.795
104,08/14/2018,27.285
105,08/13/2018,27.65
106,08/10/2018,28.14
107,08/09/2018,28.3
108,08/08/2018,28.564999999999998
109,08/07/2018,29.2
110,08/06/2018,28.43
111,08/03/2018,27.585
112,08/02/2018,27.1025
113,08/01/2018,27.28
114,07/31/2018,27.36
115,07/30/2018,27.060000000000002
116,07/27/2018,27.03
117,07/26/2018,27.415
118,07/25/2018,26.325
119,07/24/2018,25.560000000000002
120,07/23/2018,25.0875
121,07/20/2018,24.955
122,07/19/2018,25.19
123,07/18/2018,24.755000000000003
124,07/17/2018,24.595
125,07/16/2018,24.915
126,07/13/2018,24.990000000000002
127,07/12/2018,24.48
128,07/11/2018,24.6
129,07/10/2018,25.33495
130,07/09/2018,25.0925
131,07/06/2018,24.65625
132,07/05/2018,24.72
133,07/03/2018,24.935000000000002
134,07/02/2018,24.74
135,06/29/2018,25.0125
136,06/28/2018,24.66
137,06/27/2018,25.335
138,06/26/2018,25.509999999999998
139,06/25/2018,26.22
140,06/22/2018,26.9
141,06/21/2018,27.095
142,06/20/2018,27.16
143,06/19/2018,26.895000000000003
144,06/18/2018,26.7575
145,06/15/2018,26.7
146,06/14/2018,26.555
147,06/13/2018,27.155
148,06/12/2018,27.240000000000002
149,06/11/2018,27.345
150,06/08/2018,27.45
151,06/07/2018,27.6
152,06/06/2018,28.48
153,06/05/2018,28.185
154,06/04/2018,27.505000000000003
155,06/01/2018,27.11
156,05/31/2018,26.86
157,05/30/2018,26.994999999999997
158,05/29/2018,26.605
159,05/25/2018,26.384999999999998
160,05/24/2018,26.35
161,05/23/2018,25.91
162,05/22/2018,25.835
163,05/21/2018,25.384999999999998
164,05/18/2018,25.16
165,05/17/2018,24.905
166,05/16/2018,25.035
167,05/15/2018,25.41
168,05/14/2018,25.555500000000002
169,05/11/2018,25.4725
170,05/10/2018,25.125
171,05/09/2018,24.55
172,05/08/2018,24.439999999999998
173,05/07/2018,25.36
174,05/04/2018,24.405
175,05/03/2018,23.415
176,05/02/2018,22.715
177,05/01/2018,22.185000000000002
178,04/30/2018,22.394750000000002
179,04/27/2018,23.11
180,04/26/2018,23.0
181,04/25/2018,23.380000000000003
182,04/24/2018,22.975
183,04/23/2018,23.84195
184,04/20/2018,24.75
185,04/19/2018,24.93
186,04/18/2018,24.72
187,04/17/2018,26.115000000000002
