,Date,Avg
1,01/11/2019,14.655000000000001
2,01/10/2019,14.664950000000001
3,01/09/2019,14.735
4,01/08/2019,14.785
5,01/07/2019,14.74
6,01/04/2019,14.65
7,01/03/2019,14.61765
8,01/02/2019,14.4557
9,12/31/2018,14.600000000000001
10,12/28/2018,14.370000000000001
11,12/27/2018,14.195
12,12/26/2018,14.17
13,12/24/2018,14.219999999999999
14,12/21/2018,14.245000000000001
15,12/20/2018,14.194949999999999
16,12/19/2018,14.17
17,12/18/2018,14.125
18,12/17/2018,14.127
19,12/14/2018,14.18
20,12/13/2018,14.23
21,12/12/2018,14.4
22,12/11/2018,14.434999999999999
23,12/10/2018,14.46855
24,12/07/2018,14.3975
25,12/06/2018,14.379999999999999
26,12/04/2018,14.32
27,12/03/2018,14.2055
28,11/30/2018,14.145
29,11/29/2018,14.1976
30,11/28/2018,14.025
31,11/27/2018,13.965150000000001
32,11/26/2018,14.0
33,11/23/2018,13.9772
34,11/21/2018,13.95105
35,11/20/2018,13.955
36,11/19/2018,14.000499999999999
37,11/16/2018,14.015
38,11/15/2018,13.985
39,11/14/2018,13.9925
40,11/13/2018,14.030000000000001
41,11/12/2018,14.0495
42,11/09/2018,14.028749999999999
43,11/08/2018,14.0493
44,11/07/2018,14.04
45,11/06/2018,14.030000000000001
46,11/05/2018,14.215
47,11/02/2018,14.11
48,11/01/2018,14.21235
49,10/31/2018,14.295
50,10/30/2018,14.17325
51,10/29/2018,14.20505
52,10/26/2018,14.269
53,10/25/2018,14.26665
54,10/24/2018,14.29
55,10/23/2018,14.260000000000002
56,10/22/2018,14.26205
57,10/19/2018,14.299949999999999
58,10/18/2018,14.319700000000001
59,10/17/2018,14.365
60,10/16/2018,14.315000000000001
61,10/15/2018,14.33
62,10/12/2018,14.212499999999999
63,10/11/2018,14.317450000000001
64,10/10/2018,14.27
65,10/09/2018,14.27
66,10/08/2018,14.254999999999999
67,10/05/2018,14.29
68,10/04/2018,14.274999999999999
69,10/03/2018,14.19255
70,10/02/2018,14.1569
71,10/01/2018,14.115
72,09/28/2018,14.129999999999999
73,09/27/2018,14.22255
74,09/26/2018,14.170000000000002
75,09/25/2018,14.175
76,09/24/2018,14.1793
77,09/21/2018,14.200050000000001
78,09/20/2018,14.14
79,09/19/2018,14.16495
80,09/18/2018,14.275
81,09/17/2018,14.33
82,09/14/2018,14.414850000000001
83,09/13/2018,14.4607
84,09/12/2018,14.51
85,09/11/2018,14.51
86,09/10/2018,14.51565
87,09/07/2018,14.495000000000001
88,09/06/2018,14.5437
89,09/05/2018,14.559999999999999
90,09/04/2018,14.5643
91,08/31/2018,14.525
92,08/30/2018,14.5138
93,08/29/2018,14.54
94,08/28/2018,14.525
95,08/27/2018,14.61
96,08/24/2018,14.555
97,08/23/2018,14.54
98,08/22/2018,14.54
99,08/21/2018,14.585
100,08/20/2018,14.605
101,08/17/2018,14.655
102,08/16/2018,14.645
103,08/15/2018,14.65465
104,08/14/2018,14.614999999999998
105,08/13/2018,14.559999999999999
106,08/10/2018,14.524999999999999
107,08/09/2018,14.535
108,08/08/2018,14.52
109,08/07/2018,14.530000000000001
110,08/06/2018,14.585
111,08/03/2018,14.6525
112,08/02/2018,14.625
113,08/01/2018,14.645
114,07/31/2018,14.57
115,07/30/2018,14.54
116,07/27/2018,14.57
117,07/26/2018,14.559999999999999
118,07/25/2018,14.535
119,07/24/2018,14.52
120,07/23/2018,14.53005
121,07/20/2018,14.51
122,07/19/2018,14.504999999999999
123,07/18/2018,14.525
124,07/17/2018,14.530000000000001
