,Date,Avg
1,01/11/2019,9.2
2,01/10/2019,9.2
3,01/09/2019,9.6
4,01/08/2019,9.45
5,01/07/2019,9.45
6,01/04/2019,9.45
7,01/03/2019,9.175
8,01/02/2019,8.6733
9,12/31/2018,8.7
10,12/28/2018,8.77585
11,12/27/2018,8.42435
12,12/26/2018,8.8
13,12/24/2018,9.041
14,12/21/2018,8.7375
15,12/20/2018,8.8
16,12/19/2018,8.8
17,12/18/2018,8.8
18,12/17/2018,9.0701
19,12/14/2018,8.855
20,12/13/2018,8.9
21,12/12/2018,8.870000000000001
22,12/11/2018,8.76
23,12/10/2018,8.825
24,12/07/2018,9.31
25,12/06/2018,9.095
26,12/04/2018,8.81
27,12/03/2018,8.8
28,11/30/2018,8.898700000000002
29,11/29/2018,8.9499
30,11/28/2018,8.4934
31,11/27/2018,8.6
32,11/26/2018,8.6
33,11/23/2018,9.0
34,11/21/2018,8.95
35,11/20/2018,8.95
36,11/19/2018,8.475
37,11/16/2018,9.0
38,11/15/2018,9.0
39,11/14/2018,9.0
40,11/13/2018,8.695
41,11/12/2018,8.625
42,11/09/2018,8.51
43,11/08/2018,8.515
44,11/07/2018,8.35
45,11/06/2018,8.649999999999999
46,11/05/2018,8.26
47,11/02/2018,8.5
48,11/01/2018,8.4
49,10/31/2018,8.65
50,10/30/2018,8.7786
51,10/29/2018,8.46775
52,10/26/2018,8.75
53,10/25/2018,8.75
54,10/24/2018,8.75
55,10/23/2018,8.75
56,10/22/2018,8.69305
57,10/19/2018,8.746
58,10/18/2018,8.746
59,10/17/2018,8.746
60,10/16/2018,8.95
61,10/15/2018,8.95
62,10/12/2018,8.95
63,10/11/2018,8.80845
64,10/10/2018,8.653500000000001
65,10/09/2018,8.66505
66,10/08/2018,8.6
67,10/05/2018,8.6
68,10/04/2018,8.77735
69,10/03/2018,8.8085
70,10/02/2018,8.5
71,10/01/2018,8.8501
72,09/28/2018,8.8501
73,09/27/2018,8.8501
74,09/26/2018,8.8501
75,09/25/2018,8.8501
76,09/24/2018,8.8501
77,09/21/2018,8.775
78,09/20/2018,8.6
79,09/19/2018,8.6
80,09/18/2018,8.42
81,09/17/2018,8.71
82,09/14/2018,8.467500000000001
83,09/13/2018,8.5215
84,09/12/2018,8.35
85,09/11/2018,8.42545
86,09/10/2018,8.475000000000001
87,09/07/2018,8.7499
88,09/06/2018,8.7499
89,09/05/2018,8.7499
90,09/04/2018,8.449100000000001
91,08/31/2018,8.775
92,08/30/2018,8.65
93,08/29/2018,8.65
94,08/28/2018,8.65
95,08/27/2018,8.79725
96,08/24/2018,8.471499999999999
97,08/23/2018,8.4
