,Date,Avg
1,01/11/2019,15.485
2,01/10/2019,15.125
3,01/09/2019,15.4
4,01/08/2019,14.765
5,01/07/2019,14.035
6,01/04/2019,13.355
7,01/03/2019,12.835
8,01/02/2019,12.1355
9,12/31/2018,11.8575
10,12/28/2018,12.100000000000001
11,12/27/2018,11.705
12,12/26/2018,11.275
13,12/24/2018,11.344999999999999
14,12/21/2018,11.592500000000001
15,12/20/2018,12.684999999999999
16,12/19/2018,14.2575
17,12/18/2018,14.375
18,12/17/2018,14.625
19,12/14/2018,14.465
20,12/13/2018,14.76
21,12/12/2018,15.395
22,12/11/2018,14.76
23,12/10/2018,15.285
24,12/07/2018,15.924999999999999
25,12/06/2018,15.82
26,12/04/2018,16.96
27,12/03/2018,17.2325
28,11/30/2018,16.8475
29,11/29/2018,17.345
30,11/28/2018,17.072499999999998
31,11/27/2018,17.1825
32,11/26/2018,17.11
33,11/23/2018,16.64
34,11/21/2018,17.375
35,11/20/2018,17.189999999999998
36,11/19/2018,17.415
37,11/16/2018,17.622500000000002
38,11/15/2018,17.035
39,11/14/2018,16.97
40,11/13/2018,17.285
41,11/12/2018,18.15
42,11/09/2018,18.19005
43,11/08/2018,18.67
44,11/07/2018,19.009999999999998
45,11/06/2018,18.72
46,11/05/2018,18.805
47,11/02/2018,19.11
48,11/01/2018,18.85
49,10/31/2018,19.26
50,10/30/2018,18.23
51,10/29/2018,18.125
52,10/26/2018,18.915
53,10/25/2018,20.744999999999997
54,10/24/2018,22.115000000000002
55,10/23/2018,22.54
56,10/22/2018,23.43
57,10/19/2018,23.939999999999998
58,10/18/2018,24.43
59,10/17/2018,25.814999999999998
60,10/16/2018,25.845
61,10/15/2018,25.615000000000002
62,10/12/2018,25.235
63,10/11/2018,25.064999999999998
64,10/10/2018,26.225
65,10/09/2018,26.945
66,10/08/2018,26.465000000000003
67,10/05/2018,26.77
68,10/04/2018,27.28
69,10/03/2018,27.25
70,10/02/2018,27.174999999999997
71,10/01/2018,27.535
72,09/28/2018,27.95
73,09/27/2018,27.630000000000003
74,09/26/2018,27.875
75,09/25/2018,28.145000000000003
76,09/24/2018,27.54
77,09/21/2018,26.845
78,09/20/2018,26.2
79,09/19/2018,25.525
80,09/18/2018,25.51
81,09/17/2018,25.715
82,09/14/2018,25.92
83,09/13/2018,26.369999999999997
84,09/12/2018,26.884999999999998
85,09/11/2018,26.45
86,09/10/2018,26.54
87,09/07/2018,26.22
88,09/06/2018,26.795
89,09/05/2018,27.494999999999997
90,09/04/2018,27.925
91,08/31/2018,28.03
92,08/30/2018,28.1875
93,08/29/2018,28.305
94,08/28/2018,28.130000000000003
95,08/27/2018,28.035
96,08/24/2018,27.5025
97,08/23/2018,27.035
98,08/22/2018,27.225050000000003
99,08/21/2018,26.665
100,08/20/2018,25.744999999999997
101,08/17/2018,25.49005
102,08/16/2018,25.67
103,08/15/2018,25.535
104,08/14/2018,26.259999999999998
105,08/13/2018,26.03
106,08/10/2018,26.18
107,08/09/2018,26.310000000000002
108,08/08/2018,26.24
109,08/07/2018,26.697499999999998
110,08/06/2018,26.2775
111,08/03/2018,26.5275
112,08/02/2018,26.505
113,08/01/2018,26.880000000000003
114,07/31/2018,27.2506
115,07/30/2018,27.09
116,07/27/2018,26.32
117,07/26/2018,26.485
118,07/25/2018,26.564999999999998
119,07/24/2018,26.96
120,07/23/2018,26.52
121,07/20/2018,26.475
122,07/19/2018,26.525
123,07/18/2018,26.39
124,07/17/2018,26.28
125,07/16/2018,25.9775
126,07/13/2018,26.155
127,07/12/2018,25.655
128,07/11/2018,26.2975
129,07/10/2018,26.880000000000003
130,07/09/2018,26.6805
131,07/06/2018,26.0
132,07/05/2018,25.545
133,07/03/2018,25.71
134,07/02/2018,25.105
135,06/29/2018,25.44315
136,06/28/2018,25.06935
137,06/27/2018,24.945
138,06/26/2018,23.939999999999998
139,06/25/2018,23.990000000000002
140,06/22/2018,24.625
141,06/21/2018,23.7775
142,06/20/2018,23.9025
143,06/19/2018,23.502499999999998
144,06/18/2018,23.285
145,06/15/2018,23.075
146,06/14/2018,23.950000000000003
147,06/13/2018,24.16
148,06/12/2018,24.765
149,06/11/2018,24.275
150,06/08/2018,24.195
151,06/07/2018,24.4025
152,06/06/2018,23.85
153,06/05/2018,23.442500000000003
154,06/04/2018,23.5375
155,06/01/2018,24.015
156,05/31/2018,23.665
157,05/30/2018,23.67
158,05/29/2018,22.92
159,05/25/2018,22.865000000000002
160,05/24/2018,23.84
161,05/23/2018,23.59
162,05/22/2018,24.36
163,05/21/2018,24.36
164,05/18/2018,24.39
165,05/17/2018,24.35
166,05/16/2018,23.985
167,05/15/2018,23.42
168,05/14/2018,23.7625
169,05/11/2018,23.494999999999997
170,05/10/2018,23.37
171,05/09/2018,23.055
172,05/08/2018,21.9
173,05/07/2018,21.9025
174,05/04/2018,21.22
175,05/03/2018,20.814999999999998
176,05/02/2018,20.965000000000003
177,05/01/2018,20.78
178,04/30/2018,21.424999999999997
179,04/27/2018,21.04
180,04/26/2018,20.799999999999997
181,04/25/2018,20.96
182,04/24/2018,20.85
183,04/23/2018,20.21
184,04/20/2018,19.975
185,04/19/2018,20.229999999999997
186,04/18/2018,20.29
187,04/17/2018,19.82
188,04/16/2018,20.174999999999997
189,04/13/2018,20.405
190,04/12/2018,20.439999999999998
191,04/11/2018,19.965
192,04/10/2018,19.405
193,04/09/2018,18.7075
194,04/06/2018,18.745
195,04/05/2018,19.145
196,04/04/2018,18.33005
197,04/03/2018,18.25505
198,04/02/2018,18.125
199,03/29/2018,18.2998
200,03/28/2018,18.28
201,03/27/2018,19.14
202,03/26/2018,19.29
203,03/23/2018,19.455
204,03/22/2018,19.55
205,03/21/2018,19.61
206,03/20/2018,19.005
207,03/19/2018,18.7925
208,03/16/2018,18.810000000000002
209,03/15/2018,18.564999999999998
210,03/14/2018,19.25495
211,03/13/2018,18.945
212,03/12/2018,19.025
213,03/09/2018,19.18
214,03/08/2018,18.58
215,03/07/2018,18.51
216,03/06/2018,18.965
217,03/05/2018,18.36
218,03/02/2018,17.82
219,03/01/2018,18.240000000000002
220,02/28/2018,18.6725
221,02/27/2018,19.225
222,02/26/2018,19.28
223,02/23/2018,19.205
224,02/22/2018,19.067500000000003
225,02/21/2018,19.03
226,02/20/2018,18.810000000000002
227,02/16/2018,18.23
228,02/15/2018,17.994999999999997
229,02/14/2018,18.14
230,02/13/2018,18.025
231,02/12/2018,18.3
232,02/09/2018,18.125
233,02/08/2018,18.96
234,02/07/2018,19.799999999999997
235,02/06/2018,19.715
236,02/05/2018,20.21
237,02/02/2018,20.490000000000002
238,02/01/2018,20.915
239,01/31/2018,20.560000000000002
240,01/30/2018,20.555
241,01/29/2018,21.3575
242,01/26/2018,21.85
243,01/25/2018,22.075000000000003
244,01/24/2018,22.4345
245,01/23/2018,22.810000000000002
246,01/22/2018,22.384999999999998
247,01/19/2018,21.8175
248,01/18/2018,21.955
249,01/17/2018,22.275
250,01/16/2018,22.08
251,01/12/2018,22.445
252,01/11/2018,22.935
253,01/10/2018,22.71
254,01/09/2018,22.805
255,01/08/2018,23.225
256,01/05/2018,22.85
257,01/04/2018,22.634999999999998
258,01/03/2018,22.134999999999998
259,01/02/2018,21.427500000000002
260,12/29/2017,20.82
261,12/28/2017,20.700000000000003
262,12/27/2017,20.725
263,12/26/2017,20.674999999999997
264,12/22/2017,20.485
265,12/21/2017,20.2925
266,12/20/2017,19.7375
267,12/19/2017,19.447499999999998
268,12/18/2017,19.045
269,12/15/2017,18.57
270,12/14/2017,18.5
271,12/13/2017,18.746
272,12/12/2017,19.44
273,12/11/2017,19.205
274,12/08/2017,18.64
275,12/07/2017,18.332250000000002
276,12/06/2017,18.68995
277,12/05/2017,19.7
278,12/04/2017,20.23
279,12/01/2017,19.82
280,11/30/2017,19.740000000000002
281,11/29/2017,19.09
282,11/28/2017,18.795
283,11/27/2017,18.725
284,11/24/2017,18.925
285,11/22/2017,18.805
286,11/21/2017,18.33
287,11/20/2017,18.68
288,11/17/2017,18.905
289,11/16/2017,18.689999999999998
290,11/15/2017,19.47
291,11/14/2017,19.872500000000002
292,11/13/2017,20.34
293,11/10/2017,21.055
294,11/09/2017,21.415
295,11/08/2017,21.4525
296,11/07/2017,22.057499999999997
297,11/06/2017,21.5
298,11/03/2017,20.44
299,11/02/2017,20.425
300,11/01/2017,20.355
301,10/31/2017,20.015
302,10/30/2017,19.43
303,10/27/2017,18.729999999999997
304,10/26/2017,18.68
305,10/25/2017,24.015
306,10/24/2017,24.615000000000002
307,10/23/2017,24.6575
308,10/20/2017,24.785
309,10/19/2017,24.775
310,10/18/2017,24.994999999999997
311,10/17/2017,25.25
312,10/16/2017,25.575000000000003
313,10/13/2017,25.645
314,10/12/2017,25.33
315,10/11/2017,25.325
316,10/10/2017,25.634999999999998
317,10/09/2017,25.445
318,10/06/2017,25.0325
319,10/05/2017,25.475
320,10/04/2017,25.475
321,10/03/2017,25.665
322,10/02/2017,25.744999999999997
323,09/29/2017,26.384999999999998
324,09/28/2017,26.6475
325,09/27/2017,26.314999999999998
326,09/26/2017,26.424999999999997
327,09/25/2017,26.54
328,09/22/2017,25.89
329,09/21/2017,26.015
330,09/20/2017,26.509999999999998
331,09/19/2017,26.104999999999997
332,09/18/2017,25.98
333,09/15/2017,25.97
334,09/14/2017,26.174999999999997
335,09/13/2017,25.814999999999998
336,09/12/2017,25.174999999999997
337,09/11/2017,24.65
338,09/08/2017,24.3225
339,09/07/2017,24.235
340,09/06/2017,24.065
341,09/05/2017,23.64
342,09/01/2017,22.91
343,08/31/2017,22.630000000000003
344,08/30/2017,22.165
345,08/29/2017,22.375
346,08/28/2017,22.905
347,08/25/2017,23.0625
348,08/24/2017,22.39
349,08/23/2017,22.45
350,08/22/2017,22.725
351,08/21/2017,22.625
352,08/18/2017,22.415
353,08/17/2017,22.255000000000003
354,08/16/2017,22.4375
355,08/15/2017,22.725
356,08/14/2017,23.235
357,08/11/2017,23.177500000000002
358,08/10/2017,23.89
359,08/09/2017,24.4075
360,08/08/2017,24.915
361,08/07/2017,25.625
362,08/04/2017,25.855
363,08/03/2017,25.53
364,08/02/2017,25.1175
365,08/01/2017,25.5475
366,07/31/2017,25.575000000000003
367,07/28/2017,25.64
368,07/27/2017,24.89
369,07/26/2017,24.79
370,07/25/2017,24.94
