,Date,Avg
1,01/11/2019,8.02
2,01/10/2019,7.835000000000001
3,01/09/2019,7.745
4,01/08/2019,7.58
5,01/07/2019,7.4399999999999995
6,01/04/2019,7.305
7,01/03/2019,7.234999999999999
8,01/02/2019,7.205
9,12/31/2018,7.34
10,12/28/2018,7.0649999999999995
11,12/27/2018,6.75
12,12/26/2018,6.72
13,12/24/2018,6.734999999999999
14,12/21/2018,7.035
15,12/20/2018,6.99
16,12/19/2018,6.9350000000000005
17,12/18/2018,6.515000000000001
18,12/17/2018,6.46
19,12/14/2018,6.720000000000001
20,12/13/2018,7.220000000000001
21,12/12/2018,7.415
22,12/11/2018,7.605
23,12/10/2018,7.52
24,12/07/2018,7.640000000000001
25,12/06/2018,7.73
26,12/04/2018,8.08
27,12/03/2018,8.185
28,11/30/2018,8.115
29,11/29/2018,8.1525
30,11/28/2018,8.09
31,11/27/2018,8.094999999999999
32,11/26/2018,8.085
33,11/23/2018,8.105
34,11/21/2018,8.285
35,11/20/2018,8.2502
36,11/19/2018,8.345
37,11/16/2018,8.5
38,11/15/2018,8.43
39,11/14/2018,8.14975
40,11/13/2018,7.775
41,11/12/2018,7.83
42,11/09/2018,7.8825
43,11/08/2018,8.129999999999999
44,11/07/2018,8.257249999999999
45,11/06/2018,8.16
46,11/05/2018,7.945
47,11/02/2018,7.79
48,11/01/2018,7.59
49,10/31/2018,7.485
50,10/30/2018,7.545
51,10/29/2018,7.6775
52,10/26/2018,7.83
53,10/25/2018,7.8599499999999995
54,10/24/2018,8.06
55,10/23/2018,8.275
56,10/22/2018,8.684999999999999
57,10/19/2018,8.64
58,10/18/2018,8.805
59,10/17/2018,8.85
60,10/16/2018,8.875
61,10/15/2018,8.85
62,10/12/2018,8.995000000000001
63,10/11/2018,9.2
64,10/10/2018,9.24
65,10/09/2018,9.455
66,10/08/2018,9.537500000000001
67,10/05/2018,9.56
68,10/04/2018,9.56
69,10/03/2018,9.5775
70,10/02/2018,9.620000000000001
71,10/01/2018,9.795
72,09/28/2018,9.8
73,09/27/2018,10.149999999999999
74,09/26/2018,9.649999999999999
75,09/25/2018,10.1375
76,09/24/2018,10.149999999999999
77,09/21/2018,10.175
78,09/20/2018,10.125
79,09/19/2018,10.05
80,09/18/2018,10.2
81,09/17/2018,10.075
82,09/14/2018,10.225
83,09/13/2018,10.0125
84,09/12/2018,9.75
85,09/11/2018,9.75
86,09/10/2018,9.8
87,09/07/2018,9.7
88,09/06/2018,9.7
89,09/05/2018,9.625
90,09/04/2018,9.225
91,08/31/2018,9.125
92,08/30/2018,9.15
93,08/29/2018,9.2
94,08/28/2018,9.274999999999999
95,08/27/2018,9.4
96,08/24/2018,9.3
97,08/23/2018,9.225
98,08/22/2018,9.25
99,08/21/2018,9.2125
100,08/20/2018,9.075
101,08/17/2018,8.875
102,08/16/2018,8.875
103,08/15/2018,8.75
104,08/14/2018,8.625
105,08/13/2018,8.425
106,08/10/2018,8.524999999999999
107,08/09/2018,8.825
108,08/08/2018,8.775
109,08/07/2018,8.85
110,08/06/2018,8.875
111,08/03/2018,9.0
112,08/02/2018,9.025
113,08/01/2018,9.100000000000001
114,07/31/2018,9.274999999999999
115,07/30/2018,9.175
116,07/27/2018,9.375
117,07/26/2018,9.55
118,07/25/2018,9.27735
119,07/24/2018,9.41
120,07/23/2018,9.275
121,07/20/2018,9.350000000000001
122,07/19/2018,9.5625
123,07/18/2018,9.625
124,07/17/2018,9.675
125,07/16/2018,9.95
126,07/13/2018,10.2
127,07/12/2018,10.275
128,07/11/2018,10.375
129,07/10/2018,10.5
130,07/09/2018,10.45
131,07/06/2018,10.325
132,07/05/2018,10.3
133,07/03/2018,10.4179
134,07/02/2018,10.3
135,06/29/2018,10.350000000000001
136,06/28/2018,9.525
137,06/27/2018,9.6375
138,06/26/2018,9.7625
139,06/25/2018,9.7
140,06/22/2018,9.775
141,06/21/2018,9.7
142,06/20/2018,9.7625
143,06/19/2018,10.025
144,06/18/2018,10.175
145,06/15/2018,10.2
146,06/14/2018,10.4
147,06/13/2018,10.4875
148,06/12/2018,10.425
149,06/11/2018,10.425
150,06/08/2018,10.475000000000001
151,06/07/2018,10.575
152,06/06/2018,10.524999999999999
153,06/05/2018,10.3275
154,06/04/2018,10.25
155,06/01/2018,10.225
156,05/31/2018,10.325
157,05/30/2018,10.5625
158,05/29/2018,10.4375
159,05/25/2018,10.25
160,05/24/2018,10.287500000000001
161,05/23/2018,10.25
162,05/22/2018,10.3625
163,05/21/2018,10.35
164,05/18/2018,10.225
165,05/17/2018,10.05
166,05/16/2018,10.275
167,05/15/2018,10.825
168,05/14/2018,11.0
169,05/11/2018,11.175
170,05/10/2018,11.15
171,05/09/2018,11.2
172,05/08/2018,11.149999999999999
173,05/07/2018,11.0775
174,05/04/2018,10.975
175,05/03/2018,10.95
176,05/02/2018,11.075
177,05/01/2018,10.75
178,04/30/2018,11.075
179,04/27/2018,11.2625
180,04/26/2018,11.3
181,04/25/2018,11.325
182,04/24/2018,11.350000000000001
183,04/23/2018,11.475
184,04/20/2018,11.55
185,04/19/2018,11.600000000000001
186,04/18/2018,11.75
