,Date,Avg
1,01/11/2019,3.4068
2,01/10/2019,4.105
3,01/09/2019,3.6695
4,01/08/2019,3.4
5,01/07/2019,3.425
6,01/04/2019,3.04
7,01/03/2019,3.0
8,01/02/2019,3.0
9,12/31/2018,3.0
10,12/28/2018,3.0042
11,12/27/2018,3.05
12,12/26/2018,3.05
13,12/24/2018,2.89
14,12/21/2018,2.925
15,12/20/2018,3.3
16,12/19/2018,3.42
17,12/18/2018,3.225
18,12/17/2018,3.6
19,12/14/2018,3.765
20,12/13/2018,3.78
21,12/12/2018,3.78
22,12/11/2018,3.83
23,12/10/2018,3.865
24,12/07/2018,4.13
25,12/06/2018,4.13
26,12/04/2018,4.13
27,12/03/2018,3.8499999999999996
28,11/30/2018,4.09
29,11/29/2018,4.18
30,11/28/2018,4.18
31,11/27/2018,4.0824
32,11/26/2018,4.0479
33,11/23/2018,4.068849999999999
34,11/21/2018,4.34
35,11/20/2018,4.34
36,11/19/2018,4.34
37,11/16/2018,4.33
38,11/15/2018,4.73
39,11/14/2018,4.9849
40,11/13/2018,4.93855
41,11/12/2018,4.634
42,11/09/2018,4.955
43,11/08/2018,4.745
44,11/07/2018,4.995
45,11/06/2018,4.85
46,11/05/2018,4.551
47,11/02/2018,4.699999999999999
48,11/01/2018,4.375
49,10/31/2018,4.785
50,10/30/2018,4.15
51,10/29/2018,4.39
52,10/26/2018,4.1488499999999995
53,10/25/2018,4.65
54,10/24/2018,4.0600000000000005
55,10/23/2018,4.62
56,10/22/2018,5.165
57,10/19/2018,4.725
58,10/18/2018,4.625
59,10/17/2018,4.9613
60,10/16/2018,5.045
61,10/15/2018,4.98
62,10/12/2018,4.98
63,10/11/2018,4.779999999999999
64,10/10/2018,4.85
65,10/09/2018,5.050000000000001
66,10/08/2018,5.25
67,10/05/2018,5.3100000000000005
68,10/04/2018,5.373200000000001
69,10/03/2018,5.16
70,10/02/2018,5.0977
71,10/01/2018,5.02505
72,09/28/2018,5.0767
73,09/27/2018,5.1446
74,09/26/2018,5.0217
75,09/25/2018,4.92135
76,09/24/2018,4.994999999999999
77,09/21/2018,5.05
78,09/20/2018,5.15
79,09/19/2018,5.0242
80,09/18/2018,5.08
81,09/17/2018,5.05275
82,09/14/2018,5.21425
83,09/13/2018,5.05715
84,09/12/2018,5.140000000000001
85,09/11/2018,5.25825
86,09/10/2018,5.25
87,09/07/2018,5.2
88,09/06/2018,5.2251
89,09/05/2018,5.22625
90,09/04/2018,5.0009
91,08/31/2018,5.02485
92,08/30/2018,5.08165
93,08/29/2018,5.01005
94,08/28/2018,5.035
95,08/27/2018,5.0548
96,08/24/2018,5.0548
97,08/23/2018,5.0627
98,08/22/2018,5.15
99,08/21/2018,5.225
100,08/20/2018,5.2044999999999995
101,08/17/2018,5.3055
102,08/16/2018,5.285
103,08/15/2018,5.349550000000001
104,08/14/2018,5.51995
105,08/13/2018,5.187799999999999
106,08/10/2018,5.591
107,08/09/2018,5.970000000000001
108,08/08/2018,5.319599999999999
109,08/07/2018,5.49
110,08/06/2018,5.106
111,08/03/2018,5.04505
112,08/02/2018,4.905200000000001
113,08/01/2018,4.795
114,07/31/2018,4.885
115,07/30/2018,5.05
116,07/27/2018,4.79
117,07/26/2018,4.9125
118,07/25/2018,4.821
119,07/24/2018,4.785
120,07/23/2018,5.01
121,07/20/2018,4.977
122,07/19/2018,5.13
123,07/18/2018,5.06935
124,07/17/2018,5.055
125,07/16/2018,5.15
126,07/13/2018,5.045
127,07/12/2018,5.0922
128,07/11/2018,5.055300000000001
129,07/10/2018,4.9538
130,07/09/2018,4.819
131,07/06/2018,4.8026
132,07/05/2018,4.833
133,07/03/2018,4.75
134,07/02/2018,4.71
135,06/29/2018,4.6385000000000005
136,06/28/2018,4.725
137,06/27/2018,4.8100000000000005
138,06/26/2018,5.064500000000001
139,06/25/2018,4.7842
140,06/22/2018,5.1842500000000005
141,06/21/2018,4.79
142,06/20/2018,4.9832
143,06/19/2018,5.075
144,06/18/2018,4.9925
145,06/15/2018,5.1055
146,06/14/2018,5.155
147,06/13/2018,5.194
148,06/12/2018,5.135
149,06/11/2018,5.3
150,06/08/2018,5.17295
151,06/07/2018,5.18
152,06/06/2018,5.20435
153,06/05/2018,5.25
154,06/04/2018,5.11245
155,06/01/2018,5.234999999999999
156,05/31/2018,5.53055
157,05/30/2018,5.415
158,05/29/2018,5.24
159,05/25/2018,5.0
160,05/24/2018,5.255
161,05/23/2018,5.6005
162,05/22/2018,5.619949999999999
163,05/21/2018,5.630000000000001
164,05/18/2018,5.800000000000001
165,05/17/2018,5.915
166,05/16/2018,4.68
167,05/15/2018,4.625
168,05/14/2018,4.6850000000000005
169,05/11/2018,4.720000000000001
170,05/10/2018,4.74
171,05/09/2018,4.641249999999999
172,05/08/2018,4.7927
173,05/07/2018,4.9975000000000005
174,05/04/2018,4.6787
175,05/03/2018,4.715
176,05/02/2018,4.28395
177,05/01/2018,4.7
178,04/30/2018,5.1625
179,04/27/2018,4.9762
180,04/26/2018,4.82
181,04/25/2018,4.6823999999999995
182,04/24/2018,4.6455
183,04/23/2018,4.84365
184,04/20/2018,4.821249999999999
185,04/19/2018,4.8149999999999995
186,04/18/2018,4.890000000000001
187,04/17/2018,4.76
188,04/16/2018,4.75
189,04/13/2018,4.9052
190,04/12/2018,4.9704999999999995
191,04/11/2018,4.635
192,04/10/2018,4.800050000000001
193,04/09/2018,4.69495
194,04/06/2018,4.715
195,04/05/2018,4.37
196,04/04/2018,4.2339
197,04/03/2018,4.31795
198,04/02/2018,4.17825
199,03/29/2018,4.175000000000001
200,03/28/2018,4.255
201,03/27/2018,4.04
202,03/26/2018,4.05
203,03/23/2018,4.473800000000001
204,03/22/2018,4.765000000000001
205,03/21/2018,4.7807
206,03/20/2018,4.6808499999999995
207,03/19/2018,4.9350000000000005
208,03/16/2018,5.185
209,03/15/2018,5.5595
210,03/14/2018,5.087
211,03/13/2018,4.622
212,03/12/2018,4.3599
213,03/09/2018,4.1951
214,03/08/2018,4.215
215,03/07/2018,4.1091999999999995
216,03/06/2018,4.0555
217,03/05/2018,4.115
218,03/02/2018,4.11
219,03/01/2018,4.5428
220,02/28/2018,3.8
221,02/27/2018,3.76
222,02/26/2018,3.7055
223,02/23/2018,3.68995
224,02/22/2018,3.825
225,02/21/2018,3.535
226,02/20/2018,3.6705
227,02/16/2018,3.985
228,02/15/2018,3.9151499999999997
229,02/14/2018,4.168200000000001
230,02/13/2018,4.13
231,02/12/2018,4.18
232,02/09/2018,3.855
233,02/08/2018,4.135
234,02/07/2018,4.1
235,02/06/2018,4.1400500000000005
236,02/05/2018,4.726
237,02/02/2018,4.8450500000000005
238,02/01/2018,4.755
239,01/31/2018,4.912
240,01/30/2018,5.15625
241,01/29/2018,5.65
242,01/26/2018,5.88
243,01/25/2018,6.06875
244,01/24/2018,6.27
245,01/23/2018,6.1000499999999995
246,01/22/2018,5.715
247,01/19/2018,5.32555
248,01/18/2018,5.59995
249,01/17/2018,5.160550000000001
250,01/16/2018,4.98
251,01/12/2018,5.1899999999999995
252,01/11/2018,5.074999999999999
253,01/10/2018,5.215
254,01/09/2018,4.985
255,01/08/2018,4.85
256,01/05/2018,5.45505
257,01/04/2018,5.31185
258,01/03/2018,4.9895
259,01/02/2018,4.8675
260,12/29/2017,4.84
261,12/28/2017,4.705
262,12/27/2017,4.8322
263,12/26/2017,5.0649999999999995
264,12/22/2017,4.99
265,12/21/2017,5.1942
266,12/20/2017,5.085
267,12/19/2017,5.50005
268,12/18/2017,5.5249500000000005
269,12/15/2017,5.555
270,12/14/2017,5.4350000000000005
271,12/13/2017,5.38
272,12/12/2017,5.630050000000001
273,12/11/2017,5.02525
274,12/08/2017,4.9216
275,12/07/2017,4.795
276,12/06/2017,5.52
277,12/05/2017,6.355
278,12/04/2017,6.1
279,12/01/2017,6.12
280,11/30/2017,6.42
281,11/29/2017,6.4350000000000005
282,11/28/2017,7.65
283,11/27/2017,7.2250499999999995
284,11/24/2017,6.73
285,11/22/2017,6.0
286,11/21/2017,6.5578
287,11/20/2017,7.003550000000001
288,11/17/2017,5.67
289,11/16/2017,8.33
290,11/15/2017,2.4899
291,11/14/2017,2.09
292,11/13/2017,2.0
293,11/10/2017,2.225
294,11/09/2017,2.9299
295,11/08/2017,1.88
296,11/07/2017,1.875
297,11/06/2017,1.8950999999999998
298,11/03/2017,1.9002
299,11/02/2017,1.89
300,11/01/2017,1.8894
301,10/31/2017,1.8894
302,10/30/2017,1.91
303,10/27/2017,1.88
304,10/26/2017,1.88
305,10/25/2017,1.9
306,10/24/2017,1.8624
307,10/23/2017,1.925
308,10/20/2017,1.995
309,10/19/2017,2.05
310,10/18/2017,2.076
311,10/17/2017,2.076
312,10/16/2017,1.96
313,10/13/2017,1.9100000000000001
314,10/12/2017,1.99845
315,10/11/2017,1.97
316,10/10/2017,1.995
317,10/09/2017,1.97
318,10/06/2017,2.0251
319,10/05/2017,2.0458
320,10/04/2017,2.11
321,10/03/2017,2.0881499999999997
322,10/02/2017,2.08
323,09/29/2017,2.08
324,09/28/2017,1.97
325,09/27/2017,2.025
326,09/26/2017,2.0301
327,09/25/2017,2.0301
328,09/22/2017,2.0301
329,09/21/2017,2.03
330,09/20/2017,2.1550000000000002
331,09/19/2017,2.2249999999999996
332,09/18/2017,2.295
333,09/15/2017,2.285
334,09/14/2017,2.12
335,09/13/2017,2.06
336,09/12/2017,2.045
337,09/11/2017,2.0549999999999997
338,09/08/2017,2.031
339,09/07/2017,2.04
340,09/06/2017,2.13
341,09/05/2017,2.13
342,09/01/2017,2.1844
343,08/31/2017,2.3639
344,08/30/2017,2.4625000000000004
345,08/29/2017,2.47275
346,08/28/2017,2.534
347,08/25/2017,2.63
348,08/24/2017,2.63
349,08/23/2017,2.63
350,08/22/2017,2.58
351,08/21/2017,2.68
352,08/18/2017,2.68
353,08/17/2017,2.74635
