,Date,Avg
1,01/11/2019,47.825
2,01/10/2019,48.015
3,01/09/2019,48.235
4,01/08/2019,48.035
5,01/07/2019,47.795
6,01/04/2019,48.015
7,01/03/2019,47.595
8,01/02/2019,48.41
9,12/31/2018,49.2975
10,12/28/2018,48.96505
11,12/27/2018,47.375
12,12/26/2018,47.9491
13,12/24/2018,49.195
14,12/21/2018,50.28
15,12/20/2018,49.370000000000005
16,12/19/2018,49.489999999999995
17,12/18/2018,49.835
18,12/17/2018,50.3118
19,12/14/2018,50.755700000000004
20,12/13/2018,51.20195
21,12/12/2018,51.495000000000005
22,12/11/2018,50.5102
23,12/10/2018,49.325
24,12/07/2018,48.6375
25,12/06/2018,47.9966
26,12/04/2018,48.730000000000004
27,12/03/2018,48.58
28,11/30/2018,48.7282
29,11/29/2018,48.46
30,11/28/2018,48.205
31,11/27/2018,47.67
32,11/26/2018,47.43
33,11/23/2018,47.66
34,11/21/2018,47.4875
35,11/20/2018,47.5637
36,11/19/2018,47.835
37,11/16/2018,47.955
38,11/15/2018,47.5025
39,11/14/2018,47.6375
40,11/13/2018,47.8
41,11/12/2018,48.17
42,11/09/2018,48.2743
43,11/08/2018,48.0
44,11/07/2018,47.675
45,11/06/2018,46.66
46,11/05/2018,45.32875
47,11/02/2018,44.625
48,11/01/2018,44.91
49,10/31/2018,45.715
50,10/30/2018,46.1175
51,10/29/2018,46.415
52,10/26/2018,45.695
53,10/25/2018,45.400000000000006
54,10/24/2018,45.815
55,10/23/2018,45.955
56,10/22/2018,46.47
57,10/19/2018,46.46
58,10/18/2018,46.065
59,10/17/2018,46.03
60,10/16/2018,45.614999999999995
61,10/15/2018,45.265
62,10/12/2018,46.11
63,10/11/2018,46.989999999999995
64,10/10/2018,48.065
65,10/09/2018,48.290000000000006
66,10/08/2018,47.8
67,10/05/2018,47.349999999999994
68,10/04/2018,47.0703
69,10/03/2018,47.44499999999999
70,10/02/2018,47.39
71,10/01/2018,47.730000000000004
72,09/28/2018,47.85
73,09/27/2018,47.375
74,09/26/2018,47.4375
75,09/25/2018,47.81975
76,09/24/2018,47.825
77,09/21/2018,47.7
78,09/20/2018,47.275
79,09/19/2018,47.675
80,09/18/2018,48.650000000000006
81,09/17/2018,48.625
82,09/14/2018,48.67425
83,09/13/2018,48.40005
84,09/12/2018,48.575
85,09/11/2018,48.8941
86,09/10/2018,49.1
87,09/07/2018,48.75
88,09/06/2018,48.575
