,Date,Avg
1,01/11/2019,8.475
2,01/10/2019,8.51
3,01/09/2019,8.52
4,01/08/2019,8.355
5,01/07/2019,8.254999999999999
6,01/04/2019,8.105
7,01/03/2019,7.932499999999999
8,01/02/2019,7.965
9,12/31/2018,7.98945
10,12/28/2018,8.02
11,12/27/2018,7.912750000000001
12,12/26/2018,8.17
13,12/24/2018,8.2425
14,12/21/2018,8.489999999999998
15,12/20/2018,8.629999999999999
16,12/19/2018,8.985
17,12/18/2018,9.149999999999999
18,12/17/2018,9.18335
19,12/14/2018,9.285
20,12/13/2018,9.47
21,12/12/2018,9.3825
22,12/11/2018,9.335
23,12/10/2018,9.26
24,12/07/2018,9.365
25,12/06/2018,9.467500000000001
26,12/04/2018,9.49
27,12/03/2018,9.785
28,11/30/2018,10.19
29,11/29/2018,10.335
30,11/28/2018,10.344999999999999
31,11/27/2018,10.35
32,11/26/2018,10.35
33,11/23/2018,10.338750000000001
34,11/21/2018,10.219999999999999
35,11/20/2018,10.385
36,11/19/2018,10.55
37,11/16/2018,10.605
38,11/15/2018,10.66
39,11/14/2018,10.705
40,11/13/2018,10.71
41,11/12/2018,10.605
42,11/09/2018,10.59
43,11/08/2018,11.7074
44,11/07/2018,11.65
45,11/06/2018,11.625
46,11/05/2018,11.614999999999998
47,11/02/2018,11.7025
48,11/01/2018,11.774999999999999
49,10/31/2018,11.844999999999999
50,10/30/2018,11.719999999999999
51,10/29/2018,11.535
52,10/26/2018,11.175
53,10/25/2018,11.1995
54,10/24/2018,11.735
55,10/23/2018,12.182500000000001
56,10/22/2018,12.530000000000001
57,10/19/2018,12.765
58,10/18/2018,13.14
59,10/17/2018,13.370000000000001
60,10/16/2018,13.255
61,10/15/2018,13.317499999999999
62,10/12/2018,12.89
63,10/11/2018,12.33
64,10/10/2018,12.52
65,10/09/2018,12.055
66,10/08/2018,12.0
67,10/05/2018,12.105
68,10/04/2018,11.9
69,10/03/2018,12.135000000000002
70,10/02/2018,12.0725
71,10/01/2018,12.24
72,09/28/2018,12.274999999999999
73,09/27/2018,12.4625
74,09/26/2018,12.5
75,09/25/2018,12.475
76,09/24/2018,12.4375
77,09/21/2018,12.55
78,09/20/2018,12.8
79,09/19/2018,12.825
80,09/18/2018,12.725000000000001
81,09/17/2018,12.75
82,09/14/2018,12.925
83,09/13/2018,12.875
84,09/12/2018,12.850000000000001
85,09/11/2018,13.25
86,09/10/2018,13.425
87,09/07/2018,13.325
88,09/06/2018,13.4125
89,09/05/2018,13.275
90,09/04/2018,13.375
91,08/31/2018,13.3
92,08/30/2018,13.675
93,08/29/2018,13.745000000000001
94,08/28/2018,13.825
95,08/27/2018,13.875
96,08/24/2018,13.955
97,08/23/2018,13.8
98,08/22/2018,13.825
99,08/21/2018,13.975000000000001
100,08/20/2018,13.825
101,08/17/2018,13.5
102,08/16/2018,13.4375
103,08/15/2018,13.4375
104,08/14/2018,13.35
105,08/13/2018,12.9
106,08/10/2018,12.8
107,08/09/2018,12.7
108,08/08/2018,12.325
109,08/07/2018,12.325
110,08/06/2018,12.274999999999999
111,08/03/2018,12.274999999999999
112,08/02/2018,12.3125
113,08/01/2018,12.2
114,07/31/2018,12.3375
115,07/30/2018,12.325
116,07/27/2018,12.55
117,07/26/2018,12.675
118,07/25/2018,12.7
119,07/24/2018,12.787500000000001
120,07/23/2018,12.756
121,07/20/2018,12.9375
122,07/19/2018,12.925
123,07/18/2018,12.6905
124,07/17/2018,12.75
125,07/16/2018,12.65
126,07/13/2018,12.825
127,07/12/2018,12.75
128,07/11/2018,12.65
129,07/10/2018,12.5
130,07/09/2018,12.725
131,07/06/2018,12.95
132,07/05/2018,13.2
133,07/03/2018,13.175
134,07/02/2018,13.075
135,06/29/2018,13.05
136,06/28/2018,13.075
137,06/27/2018,13.129999999999999
138,06/26/2018,13.225000000000001
139,06/25/2018,13.2
140,06/22/2018,13.3275
141,06/21/2018,13.274999999999999
142,06/20/2018,13.15
143,06/19/2018,13.2
144,06/18/2018,13.344999999999999
145,06/15/2018,13.325
146,06/14/2018,13.075
147,06/13/2018,13.025
