,Date,Avg
1,01/11/2019,6.9399999999999995
2,01/10/2019,6.865
3,01/09/2019,6.8204
4,01/08/2019,6.784050000000001
5,01/07/2019,6.52
6,01/04/2019,6.449999999999999
7,01/03/2019,6.308
8,01/02/2019,6.07
9,12/31/2018,5.825
10,12/28/2018,5.775
11,12/27/2018,5.8105
12,12/26/2018,5.82
13,12/24/2018,5.585
14,12/21/2018,5.82
15,12/20/2018,5.890000000000001
16,12/19/2018,6.008500000000001
17,12/18/2018,6.125
18,12/17/2018,6.32
19,12/14/2018,6.425
20,12/13/2018,6.54
21,12/12/2018,6.640000000000001
22,12/11/2018,6.42
23,12/10/2018,6.3355
24,12/07/2018,6.535
25,12/06/2018,6.470000000000001
26,12/04/2018,6.6266
27,12/03/2018,6.755
28,11/30/2018,6.765000000000001
29,11/29/2018,6.8149999999999995
30,11/28/2018,6.82
31,11/27/2018,6.9399999999999995
32,11/26/2018,7.0625
33,11/23/2018,7.06635
34,11/21/2018,7.1081
35,11/20/2018,7.06495
36,11/19/2018,7.2607
37,11/16/2018,7.1582
38,11/15/2018,7.06275
39,11/14/2018,7.055
40,11/13/2018,7.12
41,11/12/2018,7.050000000000001
42,11/09/2018,7.205
43,11/08/2018,7.4422
44,11/07/2018,7.5
45,11/06/2018,7.42
46,11/05/2018,7.45
47,11/02/2018,7.44
48,11/01/2018,7.43995
49,10/31/2018,7.475
50,10/30/2018,7.4651
51,10/29/2018,7.555
52,10/26/2018,7.525
53,10/25/2018,7.5600000000000005
54,10/24/2018,7.61495
55,10/23/2018,7.6899999999999995
56,10/22/2018,7.82005
57,10/19/2018,7.64
58,10/18/2018,7.55
59,10/17/2018,7.71
60,10/16/2018,7.75135
61,10/15/2018,7.71
62,10/12/2018,7.7158999999999995
63,10/11/2018,7.75
64,10/10/2018,7.61385
65,10/09/2018,7.970000000000001
66,10/08/2018,8.043700000000001
67,10/05/2018,8.05
68,10/04/2018,8.01
69,10/03/2018,8.025
70,10/02/2018,8.03995
71,10/01/2018,8.065000000000001
72,09/28/2018,8.06
73,09/27/2018,8.19605
74,09/26/2018,8.35545
75,09/25/2018,8.4
76,09/24/2018,8.375
77,09/21/2018,8.315000000000001
78,09/20/2018,8.325
79,09/19/2018,8.4362
80,09/18/2018,8.465
81,09/17/2018,8.45
82,09/14/2018,8.424949999999999
83,09/13/2018,8.5
84,09/12/2018,8.51
85,09/11/2018,8.395
86,09/10/2018,8.315000000000001
87,09/07/2018,8.3455
88,09/06/2018,8.635000000000002
89,09/05/2018,8.79
90,09/04/2018,8.855
91,08/31/2018,8.885
92,08/30/2018,8.945
93,08/29/2018,8.965
94,08/28/2018,8.9565
95,08/27/2018,8.969850000000001
96,08/24/2018,8.92885
97,08/23/2018,8.875
98,08/22/2018,8.945
99,08/21/2018,8.960799999999999
100,08/20/2018,8.955
101,08/17/2018,8.77
102,08/16/2018,8.99905
103,08/15/2018,9.085
104,08/14/2018,9.14
105,08/13/2018,9.09
106,08/10/2018,9.2
107,08/09/2018,9.15
108,08/08/2018,9.165
109,08/07/2018,9.205
110,08/06/2018,9.195
111,08/03/2018,9.11
112,08/02/2018,9.119900000000001
113,08/01/2018,9.14
114,07/31/2018,9.19815
115,07/30/2018,9.25
116,07/27/2018,9.275
117,07/26/2018,9.335
118,07/25/2018,9.3
119,07/24/2018,9.375
120,07/23/2018,9.285
121,07/20/2018,9.156849999999999
122,07/19/2018,9.045
123,07/18/2018,8.975000000000001
124,07/17/2018,8.98
125,07/16/2018,9.024999999999999
126,07/13/2018,9.16
127,07/12/2018,9.18
